datasets,doi,journal,search_term,title,url,valid?,notes,pdf
dataset-623,10.1007/s12237-019-00640-z,Estuaries and Coasts,C-CAP,Climatic Controls on the Distribution of Foundation Plant Species in Coastal Wetlands of the Conterminous United States: Knowledge Gaps and Emerging Research Needs,https://link.springer.com/article/10.1007%2Fs12237-019-00640-z,Yes,,
dataset-623,10.3996/122018-jfwm-117,Journal of Fish and Wildlife Management,C-CAP,Local- and Landscape-Level Variables Related to Poweshiek Skipperling Presence in Michigan Prairie Fens,https://www.fwspubs.org/doi/10.3996/122018-JFWM-117,Yes,,
dataset-623,10.1016/j.ocemod.2019.101483,Ocean Modelling,C-CAP,Low frequency water level correction in storm surge models using data assimilation,,,,
dataset-623,10.3996/1944-687x-10.2.295b,Journal of Fish and Wildlife Management,C-CAP,Full Issue PDF,https://www.fwspubs.org/doi/10.3996/1944-687X-10.2.295b,No,"This is a journal, not a publication",
dataset-623,10.3390/rs11212493,Remote Sensing,C-CAP,Quantifying Spatiotemporal Patterns and Major Explanatory Factors of Urban Expansion in Miami Metropolitan Area During 1992-2016,http://dx.doi.org/10.3390/rs11212493,Yes,,
dataset-623,10.3389/fnins.2019.01122,Frontiers in Neuroscience,C-CAP,"Morphine Efficacy, Tolerance, and Hypersensitivity Are Altered After Modulation of SUR1 Subtype KATP Channel Activity in Mice",https://www.frontiersin.org/articles/10.3389/fnins.2019.01122/full,No,Unrelated C-CAP acronym,
dataset-623,10.3390/rs11202346,Remote Sensing,C-CAP,"Adjusting Emergent Herbaceous Wetland Elevation with Object-Based Image Analysis, Random Forest and the 2016 NLCD",http://dx.doi.org/10.3390/rs11202346,Yes,,
dataset-623,10.1007/s10840-019-00601-3,Cardiac Electrophysiology Review,C-CAP,Sex effect on efficacy of pulmonary vein cryoablation in patients with atrial fibrillation: data from the multicenter real-world 1STOP project,https://link.springer.com/article/10.1007%2Fs10840-019-00601-3,No,Unrelated C-CAP acronym,
"dataset-623,dataset-306",10.1016/j.ijdrr.2019.101240,International Journal of Disaster Risk Reduction,C-CAP,Flood exposure of critical infrastructures in the United States,https://www.sciencedirect.com/science/article/pii/S2212420918314754?via%3Dihub,Yes,,
dataset-623,10.3390/rs11192260,Remote Sensing,C-CAP,"A Methodology to Assess Land Use Development, Flooding, and Wetland Change as Indicators of Coastal Vulnerability",http://dx.doi.org/10.3390/rs11192260,Yes,,
