datasets,doi,journal,search_term,title,url
dataset-623,10.3390/rs11212493,Remote Sensing,C-CAP data,Quantifying Spatiotemporal Patterns and Major Explanatory Factors of Urban Expansion in Miami Metropolitan Area During 1992–2016,http://dx.doi.org/10.3390/rs11212493
dataset-623,10.3389/fmars.2019.00511,Frontiers in Marine Science,C-CAP data,Voluntary Restoration: Mitigation's Silent Partner in the Quest to Reverse Coastal Wetland Loss in the USA,http://dx.doi.org/10.3389/fmars.2019.00511
dataset-623,10.1016/j.jag.2019.03.013,"{'id': 'jour.1045706', 'title': 'International Journal of Applied Earth Observation and Geoinformation'}",C-CAP data,High-resolution mapping of biomass and distribution of marsh and forested wetlands in southeastern coastal Louisiana,
dataset-623,10.1080/10402381.2019.1606868,"{'id': 'jour.1045776', 'title': 'Lake and Reservoir Management'}",C-CAP data,Stability of Lake Sammamish phosphorus despite land use changes,
dataset-623,10.1016/j.landusepol.2019.01.029,"{'id': 'jour.1027840', 'title': 'Land Use Policy'}",C-CAP data,Specialized governance and regional land-use outcomes: A spatial analysis of Florida community development districts,
dataset-623,10.1002/jwmg.21605,"{'id': 'jour.1013866', 'title': 'Journal of Wildlife Management'}",C-CAP data,Seasonal habitat selection and movements by mottled ducks,
dataset-623,10.1016/j.landurbplan.2018.04.018,Landscape and Urban Planning,C-CAP data,Modeling non-stationary urban growth: The SPRAWL model and the ecological impacts of development,https://doi.org/10.1016/j.landurbplan.2018.04.018
dataset-623,10.1016/j.coastaleng.2017.11.005,"{'id': 'jour.1137566', 'title': 'Coastal Engineering'}",C-CAP data,The influence of bed friction variability due to land cover on storm-driven barrier island morphodynamics,
dataset-623,10.1080/09640568.2017.1301896,"{'id': 'jour.1138132', 'title': 'Journal of Environmental Planning and Management'}",C-CAP data,"Flexible, collaborative, and meaningful? The case of the US coastal nonpoint pollution control program",
dataset-623,10.1016/j.landurbplan.2017.09.008,"{'id': 'jour.1028245', 'title': 'Landscape and Urban Planning'}",C-CAP data,Disamenity to amenity: Spatial and temporal patterns of social response to river restoration progress,
dataset-623,10.1016/j.apgeog.2017.11.003,"{'id': 'jour.1027530', 'title': 'Applied Geography'}",C-CAP data,"Land cover, lightning frequency, and turbulent fluxes over Southern Louisiana",
dataset-623,10.1016/j.landurbplan.2017.07.003,"{'id': 'jour.1028245', 'title': 'Landscape and Urban Planning'}",C-CAP data,Evaluating the effects of open space configurations in reducing flood damage along the Gulf of Mexico coast,
dataset-623,10.1007/s12237-017-0209-2,"{'id': 'jour.1295073', 'title': 'Chesapeake Science'}",C-CAP data,Changes in Habitat Availability for Multiple Life Stages of Diamondback Terrapins (Malaclemys terrapin) in Chesapeake Bay in Response to Sea Level Rise,
dataset-623,10.1016/j.ocecoaman.2016.12.014,Ocean & Coastal Management,C-CAP data,Threatened protection: Sea level rise and coastal protected lands of the eastern United States,https://doi.org/10.1016/j.ocecoaman.2016.12.014
dataset-623,10.1175/mwr-d-16-0149.1,"{'id': 'jour.1136879', 'title': 'Monthly Weather Review'}",C-CAP data,A Measure-Theoretic Algorithm for Estimating Bottom Friction in a Coastal Inlet: Case Study of Bay St. Louis during Hurricane Gustav (2008),
dataset-623,10.14358/pers.82.9.711,"{'id': 'jour.1042026', 'title': 'Photogrammetric Engineering & Remote Sensing'}",C-CAP data,Accuracy Assessment of NOAA Coastal Change Analysis Program 2006-2010 Land Cover and Land Cover Change Data,
dataset-623,10.1080/13658816.2016.1144886,"{'id': 'jour.1027881', 'title': 'International Journal of Geographical Information Science'}",C-CAP data,The impact of Hurricane Katrina on urban growth in Louisiana: an analysis using data mining and simulation approaches,
dataset-623,10.1016/s0099-1112(16)30122-7,"{'id': 'jour.1042026', 'title': 'Photogrammetric Engineering & Remote Sensing'}",C-CAP data,Accuracy Assessment of NOAA Coastal Change Analysis Program 2006-2010 Land Cover and Land Cover Change Data,
dataset-623,10.3390/land5030025,Land,C-CAP data,Analysis and Prediction of Land Use Changes Related to Invasive Species and Major Driving Forces in the State of Connecticut,http://www.mdpi.com/2073-445X/5/3/25/pdf
dataset-623,10.3390/rs70911695,Remote Sensing,C-CAP data,Evaluation of Airborne Lidar Elevation Surfaces for Propagation of Coastal Inundation: The Importance of Hydrologic Connectivity,https://doi.org/10.3390/rs70911695
dataset-623,10.1007/s12237-014-9855-9,"{'id': 'jour.1295073', 'title': 'Chesapeake Science'}",C-CAP data,A National Assessment of Stressors to Estuarine Fish Habitats in the Contiguous USA,
dataset-623,10.4031/mtsj.49.2.13,"{'id': 'jour.1127195', 'title': 'Marine Technology Society Journal'}",C-CAP data,The National Ocean Service: Positioning America for the Future,
dataset-623,10.1007/s10661-015-4298-8,"{'id': 'jour.1095684', 'title': 'Environmental Monitoring and Assessment'}",C-CAP data,Modeling land use and land cover changes in a vulnerable coastal region using artificial neural networks and cellular automata,
dataset-623,10.1007/s12237-013-9647-7,"{'id': 'jour.1295073', 'title': 'Chesapeake Science'}",C-CAP data,Stakeholder Perceptions of Coastal Habitat Ecosystem Services,
dataset-623,10.3390/rs6087424,Remote Sensing,C-CAP data,The Multi-Resolution Land Characteristics (MRLC) Consortium — 20 Years of Development and Integration of USA National Land Cover Data,https://www.mdpi.com/2072-4292/6/8/7424/pdf
dataset-623,10.1080/10106049.2013.798357,Geocarto International,C-CAP data,"Geospatial method for computing supplemental multi-decadal US coastal land use and land cover classification products, using Landsat data and C-CAP products",http://hdl.handle.net/2060/20120014242
dataset-623,10.1007/s10661-014-3631-y,"{'id': 'jour.1095684', 'title': 'Environmental Monitoring and Assessment'}",C-CAP data,Application of a three-tier framework to assess ecological condition of Gulf of Mexico coastal wetlands,
dataset-623,10.1080/02723646.2014.898126,"{'id': 'jour.1141431', 'title': 'Physical Geography'}",C-CAP data,"Spatial persistence and temporal patterns in vegetation cover across Florida, 1982–2006",
dataset-623,10.1002/2013jc009604,Journal of Geophysical Research Oceans,C-CAP data,Uncertainty in hurricane surge simulation due to land cover specification,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1002/2013JC009604
dataset-623,10.1016/j.landurbplan.2013.05.004,"{'id': 'jour.1028245', 'title': 'Landscape and Urban Planning'}",C-CAP data,"Identifying, quantifying and classifying agricultural opportunities for land use planning",
