datasets,doi,journal,search_term,title,url,pdf
dataset-623,10.3390/rs11212493,Remote Sensing,C-CAP data,Quantifying Spatiotemporal Patterns and Major Explanatory Factors of Urban Expansion in Miami Metropolitan Area During 1992-2016,http://dx.doi.org/10.3390/rs11212493,https://www.mdpi.com/2072-4292/11/21/2493/pdf
dataset-623,10.3389/fmars.2019.00511,Frontiers in Marine Science,C-CAP data,Voluntary Restoration: Mitigation's Silent Partner in the Quest to Reverse Coastal Wetland Loss in the USA,http://dx.doi.org/10.3389/fmars.2019.00511,https://www.frontiersin.org/articles/10.3389/fmars.2019.00511/pdf
dataset-623,10.1016/j.jag.2019.03.013,International Journal of Applied Earth Observation and Geoinformation,C-CAP data,High-resolution mapping of biomass and distribution of marsh and forested wetlands in southeastern coastal Louisiana,https://www.sciencedirect.com/science/article/pii/S0303243418312285?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S0303243418312285/pdfft?md5=634d1f10cfe1ca6af5ad21e830cf3063&pid=1-s2.0-S0303243418312285-main.pdf
dataset-623,10.1080/10402381.2019.1606868,Lake and Reservoir Management,C-CAP data,Stability of Lake Sammamish phosphorus despite land use changes,https://www.tandfonline.com/doi/full/10.1080/10402381.2019.1606868,https://www.tandfonline.com/doi/pdf/10.1080/10402381.2019.1606868?needAccess=true
dataset-623,10.1016/j.landusepol.2019.01.029,Land Use Policy,C-CAP data,Specialized governance and regional land-use outcomes: A spatial analysis of Florida community development districts,https://www.sciencedirect.com/science/article/pii/S0264837718313437?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S0264837718313437/pdfft?md5=e579c8a1645e03e5d4a8a57c13b5cc00&pid=1-s2.0-S0264837718313437-main.pdf
dataset-623,10.1002/jwmg.21605,Journal of Wildlife Management,C-CAP data,Seasonal habitat selection and movements by mottled ducks,https://wildlife.onlinelibrary.wiley.com/doi/full/10.1002/jwmg.21605,https://wildlife.onlinelibrary.wiley.com/doi/epdf/10.1002/jwmg.21605
dataset-623,10.1016/j.landurbplan.2018.04.018,Landscape and Urban Planning,C-CAP data,Modeling non-stationary urban growth: The SPRAWL model and the ecological impacts of development,https://doi.org/10.1016/j.landurbplan.2018.04.018,https://www.sciencedirect.com/science/article/pii/S0169204618302640/pdfft?md5=e9ba288ac5c0eb9ca08eee9d845f9d7b&pid=1-s2.0-S0169204618302640-main.pdf
dataset-623,10.1016/j.coastaleng.2017.11.005,Coastal Engineering,C-CAP data,The influence of bed friction variability due to land cover on storm-driven barrier island morphodynamics,https://www.sciencedirect.com/science/article/pii/S0378383917301114?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S0378383917301114/pdfft?md5=0a5a3572cecf22b875cc277e196a118d&pid=1-s2.0-S0378383917301114-main.pdf
dataset-623,10.1080/09640568.2017.1301896,Journal of Environmental Planning and Management,C-CAP data,"Flexible, collaborative, and meaningful? The case of the US coastal nonpoint pollution control program",https://www.tandfonline.com/doi/full/10.1080/09640568.2017.1301896,https://www.tandfonline.com/doi/pdf/10.1080/09640568.2017.1301896?needAccess=true
dataset-623,10.1016/j.apgeog.2017.11.003,Applied Geography,C-CAP data,"Land cover, lightning frequency, and turbulent fluxes over Southern Louisiana",,https://www.sciencedirect.com/science/article/pii/S0169204617302098/pdfft?md5=d168de7aedf4c8b01beaa62b7add5246&pid=1-s2.0-S0169204617302098-main.pdf
