datasets,doi,journal,search_term,title
dataset-624,10.1016/j.atmosres.2019.104693,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Coastal Change Analysis Program Data,Contrasting frontal and warm-sector heavy rainfalls over South China during the early-summer rainy season
dataset-624,10.1016/j.atmosres.2019.104793,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Coastal Change Analysis Program Data,Changes in the summer extreme precipitation in the Jianghuai plum rain area and their relationship with the intensity anomalies of the south Asian high
dataset-624,10.1080/01431161.2019.1697007,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",Coastal Change Analysis Program Data,Real-time extraction of water surface boundary using shipborne radar
dataset-624,10.1016/j.chemosphere.2019.125477,"{'id': 'jour.1015185', 'title': 'Chemosphere'}",Coastal Change Analysis Program Data,Ecological effects of Ulva prolifera green tide on bacterial community structure in Qingdao offshore environment
dataset-624,10.1016/j.ijdrr.2019.101402,"{'id': 'jour.1048745', 'title': 'International Journal of Disaster Risk Reduction'}",Coastal Change Analysis Program Data,"An investigation of the targeting and allocation of post-flood disaster aid for rehabilitation in Punjab, Pakistan"
dataset-624,10.1016/j.ijdrr.2019.101424,"{'id': 'jour.1048745', 'title': 'International Journal of Disaster Risk Reduction'}",Coastal Change Analysis Program Data,The impact of evacuating on short-term disaster recovery: A study of individuals affected by Hurricane Harvey living in Texas counties
dataset-624,10.1080/01431161.2019.1681603,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",Coastal Change Analysis Program Data,Assessing the contributions of climate change and human activities to cropland productivity by means of remote sensing
dataset-624,10.1016/j.chemosphere.2019.125324,"{'id': 'jour.1015185', 'title': 'Chemosphere'}",Coastal Change Analysis Program Data,"Atmospheric deposition of polychlorinated biphenyls to seasonal surface snow at four glacier sites on Svalbard, 2013–2014"
dataset-624,10.1016/j.jmarsys.2019.103262,"{'id': 'jour.1043478', 'title': 'Journal of Marine Systems'}",Coastal Change Analysis Program Data,Interannual Coastal Trapped Waves in the Angola-Benguela Upwelling System and Benguela Niño and Niña events
dataset-624,10.1016/j.ecolind.2019.105888,"{'id': 'jour.1032186', 'title': 'Ecological Indicators'}",Coastal Change Analysis Program Data,"Greening and browning of the coastal areas in mainland China: Spatial heterogeneity, seasonal variation and its influential factors"
dataset-624,10.1016/j.worlddev.2019.104748,"{'id': 'jour.1122912', 'title': 'World Development'}",Coastal Change Analysis Program Data,An analysis of UNFCCC-financed coastal adaptation projects: Assessing patterns of project design and contributions to adaptive capacity
dataset-624,10.1016/j.ecolind.2019.105972,"{'id': 'jour.1032186', 'title': 'Ecological Indicators'}",Coastal Change Analysis Program Data,Mangrove regional feedback to sea level rise and drought intensity at the end of the 21st century
dataset-624,10.1016/j.ecolind.2019.105640,"{'id': 'jour.1032186', 'title': 'Ecological Indicators'}",Coastal Change Analysis Program Data,Non-indigenous species in soft-sediments: Are some estuaries more invaded than others?
dataset-624,10.1016/j.ecolind.2019.105883,"{'id': 'jour.1032186', 'title': 'Ecological Indicators'}",Coastal Change Analysis Program Data,Operationalizing the concept of robustness of nitrogen networks in mixed smallholder systems: A pilot study in the mid-hills and lowlands of Nepal
dataset-624,10.1016/j.landurbplan.2019.103712,"{'id': 'jour.1028245', 'title': 'Landscape and Urban Planning'}",Coastal Change Analysis Program Data,"From savanna to suburb: Effects of 160 years of landscape change on carbon storage in Silicon Valley, California"
dataset-624,10.1080/01431161.2019.1657603,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",Coastal Change Analysis Program Data,Spatial–temporal changes in vegetation coverage in the global coastal zone based on GIMMS NDVI3g data
dataset-624,10.1080/01431161.2019.1654144,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",Coastal Change Analysis Program Data,Review of snow water equivalent retrieval methods using spaceborne passive microwave radiometry
dataset-624,10.1080/01431161.2019.1648907,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",Coastal Change Analysis Program Data,Combining GF-2 and RapidEye satellite data for mapping mangrove species using ensemble machine-learning methods
dataset-624,10.1016/j.geomorph.2019.106871,"{'id': 'jour.1044680', 'title': 'Geomorphology'}",Coastal Change Analysis Program Data,Natural and anthropogenic-induced changes in a tidal inlet: Morphological evolution of Oregon Inlet
dataset-624,10.1016/j.geomorph.2019.106934,"{'id': 'jour.1044680', 'title': 'Geomorphology'}",Coastal Change Analysis Program Data,"Cosmo-SkyMed and TerraSAR-X datasets for geomorphological mapping in the eastern of Marajó Island, Amazon coast"
