datasets,doi,journal,search_term,title
dataset-624,10.1016/j.atmosres.2019.104790,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Coastal Flood Frequency,Improvement of aerosol activation/ice nucleation in a source-oriented WRF-Chem model to study a winter Storm in California
dataset-624,10.1016/j.ijdrr.2019.101424,"{'id': 'jour.1048745', 'title': 'International Journal of Disaster Risk Reduction'}",Coastal Flood Frequency,The impact of evacuating on short-term disaster recovery: A study of individuals affected by Hurricane Harvey living in Texas counties
dataset-624,10.1016/j.compenvurbsys.2019.101443,"{'id': 'jour.1028795', 'title': 'Computers Environment and Urban Systems'}",Coastal Flood Frequency,An integrated physical-social analysis of disrupted access to critical facilities and community service-loss tolerance in urban flooding
dataset-624,10.1016/j.ejrh.2019.100645,"{'id': 'jour.1143319', 'title': 'Journal of Hydrology Regional Studies'}",Coastal Flood Frequency,Assessment of storm direct runoff and peak flow rates using improved SCS-CN models for selected forested watersheds in the Southeastern United States
dataset-624,10.1080/02786826.2019.1679349,"{'id': 'jour.1130379', 'title': 'Aerosol Science and Technology'}",Coastal Flood Frequency,Development and characterization of a “store and create” microfluidic device to determine the heterogeneous freezing properties of ice nucleating particles
dataset-624,10.1111/jfr3.12573,"{'id': 'jour.1045084', 'title': 'Journal of Flood Risk Management'}",Coastal Flood Frequency,Benefits of an advanced quantitative precipitation information system
dataset-624,10.1111/jfr3.12556,"{'id': 'jour.1045084', 'title': 'Journal of Flood Risk Management'}",Coastal Flood Frequency,"An evidence based approach to evaluating flood adaptation effectiveness including climate change considerations for coastal cities: City of Port Phillip, Victoria, Australia"
dataset-624,10.1016/j.ecoleng.2019.105665,"{'id': 'jour.1130006', 'title': 'Ecological Engineering'}",Coastal Flood Frequency,Impacts of combined land-use and climate change on streamflow in two nested catchments in the Southeastern United States
dataset-624,10.1016/j.rsci.2019.12.006,"{'id': 'jour.1141304', 'title': 'Rice Science'}",Coastal Flood Frequency,Adoption and Impact of Modern Rice Varieties on Poverty in Eastern India
dataset-624,10.1016/j.ecss.2019.106481,"{'id': 'jour.1120689', 'title': 'Estuarine Coastal and Shelf Science'}",Coastal Flood Frequency,"On the nature of tidal asymmetry in the Gulf of Khambhat, Arabian Sea using the HF radar surface currents"
dataset-624,10.1007/978-981-13-9310-5,,Coastal Flood Frequency,"Energy, Environment and Globalization, Recent Trends, Opportunities and Challenges in India"
dataset-624,10.1007/978-981-13-8181-2,,Coastal Flood Frequency,"Advances in Water Resources Engineering and Management, Select Proceedings of TRACE 2018"
dataset-624,10.1007/978-3-030-21874-4,,Coastal Flood Frequency,"Arabian Plate and Surroundings: Geology, Sedimentary Basins and Georesources"
dataset-624,10.1007/978-981-13-7603-0,,Coastal Flood Frequency,"ACMSM25, Proceedings of the 25th Australasian Conference on Mechanics of Structures and Materials"
dataset-624,10.1007/978-981-15-0291-0,,Coastal Flood Frequency,"APAC 2019, Proceedings of the 10th International Conference on Asian and Pacific Coasts, 2019, Hanoi, Vietnam"
dataset-624,10.1007/978-3-030-21217-9,,Coastal Flood Frequency,"All Around the Nose, Basic Science, Diseases and Surgical Management"
dataset-624,10.1007/978-3-030-24178-0_1,,Coastal Flood Frequency,Heightening Satellite Image Display via Mobile Augmented Reality – A Cutting-Edge Planning Model
dataset-624,10.1007/978-3-030-32816-0_22,,Coastal Flood Frequency,Underlying Disaster Risk Factors for Sustainable Coastal Development Projects in Malaysia
dataset-624,10.1007/978-981-15-1129-5_15,,Coastal Flood Frequency,"Coral Recruitment on a Local Scale in Amitori Bay, Iriomote Island, Estimated by Filed Surveys and Numerical Analyses"
dataset-624,10.1007/978-3-030-12123-5,,Coastal Flood Frequency,"Polish River Basins and Lakes – Part I, Hydrology and Hydrochemistry"
