datasets,doi,journal,search_term,title,url
dataset-617,10.3389/fenvs.2019.00096,Frontiers in Environmental Science,ENOW,Using Re-scaled Resilience Screening Index Results and Location Quotients for Socio-Ecological Characterizations in U.S. Coastal Regions,https://www.frontiersin.org/articles/10.3389/fenvs.2019.00096/pdf
dataset-617,10.1080/0075417x.2019.1652674,"{'id': 'jour.1002311', 'title': 'Journal of Child Psychotherapy'}",ENOW,Therapist memory and reverie: implications for the clinical setting,
dataset-617,10.1787/bb7a8195-en,,ENOW,Abbreviations and acronyms,
dataset-617,10.1787/d71e8b4d-en,,ENOW,Innovative approaches to measuring the ocean economy,
dataset-617,10.1007/s13201-018-0879-3,Applied Water Science,ENOW,Modeling adsorption mechanism of paraquat onto Ayous (Triplochiton scleroxylon) wood sawdust,https://link.springer.com/content/pdf/10.1007%2Fs13201-018-0879-3.pdf
dataset-617,10.1504/ijkedm.2019.10021017,International Journal of Knowledge Engineering and Data Mining,ENOW,INDUSTRIAL SAND MINING ON THE TIKO ESTUARY OF CAMEROON AND ITS IMPACTS ON RIPARIAN COMMUNITY,https://www.inderscience.com/www/leaflet.php?filename=IJKEDM_leaflet.pdf
dataset-617,10.1115/iowtc2018-1052,,ENOW,A New Assessment of Offshore Wind Profile Relationships,
dataset-617,10.24574/jsahj.36.0_2,"{'id': 'jour.1368620', 'title': '建築史学'}",ENOW,古代ジャワの寺院伽藍に見る象徴性,
dataset-617,10.1080/04250494.2018.1438119,"{'id': 'jour.1138050', 'title': 'English in Education'}",ENOW,The invisible plan: how English teachers develop their expertise and the special place of adapting the skills of lesson planning,
dataset-617,10.3233/hsm-171781,"{'id': 'jour.1122772', 'title': 'Human Systems Management'}",ENOW,Human contribution to service quality in West Bengal’s luxury hotels,
dataset-617,10.1016/j.ocecoaman.2017.05.006,"{'id': 'jour.1042461', 'title': 'Ocean & Coastal Management'}",ENOW,Economic impact of Mississippi and Alabama Gulf Coast tourism on the regional economy,
dataset-617,10.4324/9781315554006,,ENOW,The Price of Gender Equality,
dataset-617,10.1016/j.jglr.2015.10.014,"{'id': 'jour.1126659', 'title': 'Journal of Great Lakes Research'}",ENOW,Assessing transboundary scientific collaboration in the Great Lakes of North America,
dataset-617,10.1016/b978-0-12-420134-7.00011-4,,ENOW,Chapter 11 Mitigation Tools,
dataset-617,10.1890/140328,"{'id': 'jour.1041988', 'title': 'Frontiers in Ecology and the Environment'}",ENOW,Using cultural ecosystem services to inform restoration priorities in the Laurentian Great Lakes,
dataset-617,10.1016/j.ocecoaman.2015.04.014,Ocean & Coastal Management,ENOW,Approach for assessing coastal vulnerability to oil spills for prevention and readiness using GIS and the Blowout and Spill Occurrence Model,https://manuscript.elsevier.com/S0964569115001076/pdf/S0964569115001076.pdf
dataset-617,10.3390/su7044310,Sustainability,ENOW,The Evolution of the Coastal Economy: The Role of Working Waterfronts in the Alabama Gulf Coast,http://www.mdpi.com/2071-1050/7/4/4310/pdf
dataset-617,10.4031/mtsj.49.2.13,"{'id': 'jour.1127195', 'title': 'Marine Technology Society Journal'}",ENOW,The National Ocean Service: Positioning America for the Future,
dataset-617,10.1108/s2050-206020150000009005,,ENOW,"How Far can Scholarly Networks Go? Examining the Relationships between Distance, Disciplines, Motivations, and Clusters Abstract Acknowledgments",https://www.emeraldinsight.com/doi/pdfplus/10.1108/S2050-206020150000009005
dataset-617,10.1007/s12237-014-9926-y,Chesapeake Science,ENOW,Human Dimensions of Our Estuaries and Coasts,https://link.springer.com/content/pdf/10.1007%2Fs12237-014-9926-y.pdf
dataset-617,10.1057/9781137436573_2,,ENOW,From Rome to Maastricht: The Golden Age of an Exceptional Policy?,
dataset-617,10.1002/9781119007791.ch4,,ENOW,Maritime Economy: Definition and Main Aspects,
dataset-617,10.1016/j.wsif.2014.10.012,Women's Studies International Forum,ENOW,"Women in alternative economy or, what do women do without official currency?",http://economics.soc.uoc.gr/wpa/docs/1207.pdf
dataset-617,10.1109/icme.2014.6890251,,ENOW,Edge-preserving nonlocal weighting scheme for total variation based compressive sensing recovery,
dataset-617,10.1017/cls.2013.22,"{'id': 'jour.1358835', 'title': 'Canadian Journal of Law and Society / Revue Canadienne Droit et Société'}",ENOW,"Legal Mobilization, Transnational Activism, and Gender Equality in the EU",
dataset-617,10.4324/9780203084977,,ENOW,Contemporary Western European Feminism (RLE Feminist Theory),
dataset-617,10.1007/978-1-4302-3751-8,,ENOW,Beginning SQL Server 2012 for Developers,
dataset-617,10.1007/978-1-4302-4462-2,,ENOW,Pro JavaScript for Web Apps,
dataset-617,10.1007/978-1-4302-4198-0,,ENOW,Beginning Android ADK with Arduino,
dataset-617,10.1007/978-1-4302-3462-3,,ENOW,Beginning Silverlight 5 in C#,
dataset-617,10.1007/978-1-4302-4096-9,,ENOW,Pro jQuery,
dataset-617,10.1007/978-1-4302-4105-8,,ENOW,Beginning Kinect Programming with the Microsoft Kinect SDK,
dataset-617,10.3390/s110707188,Sensors,ENOW,Data Collection Method for Mobile Sensor Networks Based on the Theory of Thermal Fields,https://www.mdpi.com/1424-8220/11/7/7188/pdf
dataset-617,10.1007/978-1-4302-4024-2,,ENOW,Pro .NET Best Practices,
dataset-617,10.11606/d.59.2009.tde-04082009-160836,,ENOW,Imagem funcional por ressonância magnética para mapeamento de memória episódica em pacientes com epilepsia de difícil controle,http://www.teses.usp.br/teses/disponiveis/59/59135/tde-04082009-160836/publico/Dissertacao_KHALLIL_24mar2009.pdf
dataset-617,10.1177/0305735607082621,"{'id': 'jour.1049169', 'title': 'Psychology of Music'}",ENOW,Comparative effects of music and recalled life-events on emotional state,
dataset-617,10.1111/j.1364-3703.2007.00437.x,Molecular Plant Pathology,ENOW,Abscisic acid deficiency leads to rapid activation of tomato defence responses upon infection with Erwinia chrysanthemi,https://biblio.ugent.be/publication/385411/file/582836.pdf
dataset-617,10.1111/j.1364-3703.2007.00437.x,Molecular Plant Pathology,ENOW,Abscisic acid deficiency leads to rapid activation of tomato defence responses upon infection with Erwinia chrysanthemi,https://biblio.ugent.be/publication/385411/file/582836.pdf
dataset-617,10.4324/9780203991428,,ENOW,Policy-Making in the European Union,
dataset-617,10.4324/9780203506783,,ENOW,Promoting Women's Rights,
dataset-617,10.1002/ird.106,"{'id': 'jour.1297650', 'title': 'Irrigation and Drainage'}",ENOW,Advances in PLC‐based irrigation canal automation,
dataset-617,10.1080/136985700111468,"{'id': 'jour.1020743', 'title': 'Health Risk & Society'}",ENOW,"Anything but 'empowerment'? Smokers, tar and nicotine data and cigarette design",
dataset-617,10.1007/978-3-322-90698-4,,ENOW,"Neue soziale Bewegungen, Impulse, Bilanzen und Perspektiven",
dataset-617,10.1007/978-3-322-90698-4_12,,ENOW,Lokal — national — international,
dataset-617,10.1115/1.2818179,Journal of Engineering for Gas Turbines and Power,ENOW,Model Based Fuzzy Logic Sensor Fault Accommodation,http://proceedings.asmedigitalcollection.asme.org/data/Conferences/ASMEP/82060/V004T15A017-97-GT-222.pdf
dataset-617,10.1007/978-94-009-0093-6,,ENOW,Buttress’s World Guide to Abbreviations of Organizations,
dataset-617,10.1007/978-1-349-25655-6,,ENOW,Representing Interests in the European Union,https://link.springer.com/content/pdf/bfm%3A978-1-349-25655-6%2F1.pdf
dataset-617,10.1111/j.1468-5965.1996.tb00587.x,"{'id': 'jour.1027780', 'title': 'JCMS Journal of Common Market Studies'}",ENOW,Women's Networks and the European Union: Towards an Inclusive Approach?,
dataset-617,10.1016/0277-5395(96)00014-3,"{'id': 'jour.1312261', 'title': ""Women's Studies International Forum""}",ENOW,Women's policy networks and the European Union,
dataset-617,10.1111/j.1467-9299.1995.tb00848.x,"{'id': 'jour.1066756', 'title': 'Public Administration'}",ENOW,THE DEVELOPMENT OF EU EQUALITY POLICIES: BUREAUCRATIC EXPANSION ON BEHALF OF WOMEN?,
dataset-617,10.1037/1061-4087.46.1.49,"{'id': 'jour.1105188', 'title': 'Consulting Psychology Journal Practice and Research'}",ENOW,Identifying leadership potential in future international executives: Developing a concept.,
dataset-617,10.1007/978-94-011-2132-3,,ENOW,Buttress’s World Guide to Abbreviations of Organizations,
dataset-617,10.1007/bf01616967,"{'id': 'jour.1022202', 'title': 'Early Childhood Education Journal'}",ENOW,A winter holiday party that involves families,
dataset-617,10.1332/030557392782718724,"{'id': 'jour.1028407', 'title': 'Policy & Politics'}",ENOW,The Development of Equal Opportunities Theory and Practice in the European Community,
dataset-617,10.1007/978-1-349-13281-2,,ENOW,"Feminising the Market, Women’s Pay and Employment in the European Community",
dataset-617,10.1016/0277-5395(92)90055-z,"{'id': 'jour.1312261', 'title': ""Women's Studies International Forum""}",ENOW,Bibliographical statements,
dataset-617,10.1016/b978-0-444-89316-1.50008-8,,ENOW,Heavy quarks and long-lived hadrons,https://authors.library.caltech.edu/2868/1/APEprd75.pdf
dataset-617,10.1115/91-gt-274,,ENOW,Inlet Flow Angle Determination of Transonic Compressor Cascades,http://proceedings.asmedigitalcollection.asme.org/data/conferences/asmep/82846/v001t01a086-91-gt-274.pdf
dataset-617,10.21236/ada229436,,ENOW,"Completion of Embankment, Spillway and Outlet Works",http://www.dtic.mil/dtic/tr/fulltext/u2/a229436.pdf
dataset-617,10.1016/s0016-7878(89)80005-7,"{'id': 'jour.1026126', 'title': 'Proceedings of the Geologists Association'}",ENOW,Upper Cretaceous cirripedes from N.E. Belgium,
dataset-617,10.1080/09649068608413533,"{'id': 'jour.1089223', 'title': 'Journal of Social Welfare and Family Law'}",ENOW,Severe disablement allowance: The old dressed up as new?,
dataset-617,10.1057/fr.1985.19,"{'id': 'jour.1027604', 'title': 'Feminist Review'}",ENOW,Women's Equality and the European Community,
dataset-617,10.1007/978-1-349-07763-2,,ENOW,The 68000 Hardware and Software,
dataset-617,10.1016/s0022-3476(84)80938-5,"{'id': 'jour.1017754', 'title': 'The Journal of Pediatrics'}",ENOW,The art and science of medical decision making,
dataset-617,10.1002/crat.19770120508,"{'id': 'jour.1136987', 'title': 'Crystal Research and Technology'}",ENOW,Die Untersuchung der Dampfeinschlüsse in Kristallen des Tetrabromkohlenstoffs als Möglichkeit zur Reinheitsprüfung,
dataset-617,10.1111/j.1477-9552.1975.tb02333.x,"{'id': 'jour.1137461', 'title': 'Journal of Agricultural Economics'}",ENOW,UNITED KINGDOM STRUCTURAL POLICY AND THE GUIDANCE SECTION OF F.E.O.G.A.*,
dataset-617,10.1088/0031-9120/7/3/001,"{'id': 'jour.1137078', 'title': 'Physics Education'}",ENOW,Computer-based learning in the physical sciences,
dataset-617,10.1145/1478462.1478505,,ENOW,Integrated computer aided design systems,
dataset-617,10.1007/978-3-642-95101-5_3,,ENOW,Röntgendiagnostik der Atemorgane,
dataset-617,10.1515/9783111563374-005,,ENOW,The Reverse Word List. Teil 1,
dataset-617,10.1007/bf01820019,"{'id': 'jour.1297490', 'title': 'International Journal of Earth Sciences'}",ENOW,Stockwerktektonische Untersuchungen im Ruhrkarbon,
