dataset,doi,journal,search_term,title,pdf ,url
"dataset-617, dataset-627",10.3389/fenvs.2019.00096,Frontiers in Environmental Science,ENOW,Using Re-scaled Resilience Screening Index Results and Location Quotients for Socio-Ecological Characterizations in U.S. Coastal Regions,https://www.frontiersin.org/articles/10.3389/fenvs.2019.00096/pdf,https://www.frontiersin.org/articles/10.3389/fenvs.2019.00096/full
"dataset-617, dataset-328, dataset-628, dataset-629",10.1016/j.ocecoaman.2017.05.006,Ocean & Coastal Management,ENOW,Economic impact of Mississippi and Alabama Gulf Coast tourism on the regional economy,,https://www.sciencedirect.com/science/article/pii/S0964569117304982#bib5
dataset-617,10.1890/140328,Frontiers in Ecology and the Environment,ENOW,Using cultural ecosystem services to inform restoration priorities in the Laurentian Great Lakes,,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/140328
dataset-617,10.1016/j.ocecoaman.2015.04.014,Ocean & Coastal Management,ENOW,Approach for assessing coastal vulnerability to oil spills for prevention and readiness using GIS and the Blowout and Spill Occurrence Model,https://manuscript.elsevier.com/S0964569115001076/pdf/S0964569115001076.pdf,https://www.sciencedirect.com/science/article/pii/S0964569115001076#bib48
"dataset-617, dataset-328, dataset-629, dataset-630",10.3390/su7044310,Sustainability,ENOW,The Evolution of the Coastal Economy: The Role of Working Waterfronts in the Alabama Gulf Coast,http://www.mdpi.com/2071-1050/7/4/4310/pdf,https://www.mdpi.com/2071-1050/7/4/4310/htm
"dataset-617, dataset-630",10.1007/s12237-014-9926-y,Chesapeake Science,ENOW,Human Dimensions of Our Estuaries and Coasts,https://link.springer.com/content/pdf/10.1007%2Fs12237-014-9926-y.pdf,
"dataset-617, dataset-632",10.1016/j.scitotenv.2016.10.113,The Science of The Total Environment,Economics: National Ocean Watch,Citizen science datasets reveal drivers of spatial and temporal variation for anthropogenic litter on Great Lakes beaches,,https://www.sciencedirect.com/science/article/pii/S0048969716322999?via%3Dihub#bb0110
"dataset-617, dataset-631",10.1016/j.marpol.2016.04.030,Marine Policy,Economics: National Ocean Watch,Indicators of climate change and social vulnerability in fishing dependent communities along the Eastern and Gulf Coasts of the United States,,https://www.sciencedirect.com/science/article/pii/S0308597X16302123#bfn2
"dataset-617, dataset-623",10.1016/s0099-1112(16)30122-7,Photogrammetric Engineering & Remote Sensing,Economics: National Ocean Watch,Accuracy Assessment of NOAA Coastal Change Analysis Program 2006-2010 Land Cover and Land Cover Change Data,https://coast.noaa.gov/data/digitalcoast/pdf/ccap-accuracy-assessment.pdf,
"dataset-617, dataset-632",10.1016/j.jglr.2014.12.015,Journal of Great Lakes Research,Economics: National Ocean Watch,Abundance and environmental drivers of anthropogenic litter on 5 Lake Michigan beaches: A study facilitated by citizen science data collection,,https://www.sciencedirect.com/science/article/pii/S0380133014002767#bbb0140
