datasets,doi,journal,search_term,title
dataset-624,10.3389/fenvs.2019.00096,"{'id': 'jour.1050576', 'title': 'Frontiers in Environmental Science'}",ENOW data,Using Re-scaled Resilience Screening Index Results and Location Quotients for Socio-Ecological Characterizations in U.S. Coastal Regions
dataset-624,10.1787/d71e8b4d-en,,ENOW data,Innovative approaches to measuring the ocean economy
dataset-624,10.1007/s13201-018-0879-3,"{'id': 'jour.1051421', 'title': 'Applied Water Science'}",ENOW data,Modeling adsorption mechanism of paraquat onto Ayous (Triplochiton scleroxylon) wood sawdust
dataset-624,10.1115/iowtc2018-1052,,ENOW data,A New Assessment of Offshore Wind Profile Relationships
dataset-624,10.1080/04250494.2018.1438119,"{'id': 'jour.1138050', 'title': 'English in Education'}",ENOW data,The invisible plan: how English teachers develop their expertise and the special place of adapting the skills of lesson planning
dataset-624,10.3233/hsm-171781,"{'id': 'jour.1122772', 'title': 'Human Systems Management'}",ENOW data,Human contribution to service quality in West Bengal’s luxury hotels
dataset-624,10.1016/j.ocecoaman.2017.05.006,"{'id': 'jour.1042461', 'title': 'Ocean & Coastal Management'}",ENOW data,Economic impact of Mississippi and Alabama Gulf Coast tourism on the regional economy
dataset-624,10.4324/9781315554006,,ENOW data,The Price of Gender Equality
dataset-624,10.1016/j.jglr.2015.10.014,"{'id': 'jour.1126659', 'title': 'Journal of Great Lakes Research'}",ENOW data,Assessing transboundary scientific collaboration in the Great Lakes of North America
dataset-624,10.1016/b978-0-12-420134-7.00011-4,,ENOW data,Chapter 11 Mitigation Tools
dataset-624,10.1890/140328,"{'id': 'jour.1041988', 'title': 'Frontiers in Ecology and the Environment'}",ENOW data,Using cultural ecosystem services to inform restoration priorities in the Laurentian Great Lakes
dataset-624,10.1016/j.ocecoaman.2015.04.014,"{'id': 'jour.1042461', 'title': 'Ocean & Coastal Management'}",ENOW data,Approach for assessing coastal vulnerability to oil spills for prevention and readiness using GIS and the Blowout and Spill Occurrence Model
dataset-624,10.3390/su7044310,"{'id': 'jour.1046556', 'title': 'Sustainability'}",ENOW data,The Evolution of the Coastal Economy: The Role of Working Waterfronts in the Alabama Gulf Coast
dataset-624,10.4031/mtsj.49.2.13,"{'id': 'jour.1127195', 'title': 'Marine Technology Society Journal'}",ENOW data,The National Ocean Service: Positioning America for the Future
dataset-624,10.1108/s2050-206020150000009005,,ENOW data,"How Far can Scholarly Networks Go? Examining the Relationships between Distance, Disciplines, Motivations, and Clusters Abstract Acknowledgments"
dataset-624,10.1007/s12237-014-9926-y,"{'id': 'jour.1295073', 'title': 'Chesapeake Science'}",ENOW data,Human Dimensions of Our Estuaries and Coasts
dataset-624,10.1057/9781137436573_2,,ENOW data,From Rome to Maastricht: The Golden Age of an Exceptional Policy?
dataset-624,10.1002/9781119007791.ch4,,ENOW data,Maritime Economy: Definition and Main Aspects
dataset-624,10.1016/j.wsif.2014.10.012,"{'id': 'jour.1312261', 'title': ""Women's Studies International Forum""}",ENOW data,"Women in alternative economy or, what do women do without official currency?"
dataset-624,10.1017/cls.2013.22,"{'id': 'jour.1358835', 'title': 'Canadian Journal of Law and Society / Revue Canadienne Droit et Société'}",ENOW data,"Legal Mobilization, Transnational Activism, and Gender Equality in the EU"
