datasets,doi,journal,search_term,title,url
dataset-622,10.1016/j.physa.2019.122984,"{'id': 'jour.1134078', 'title': 'Physica A Statistical Mechanics and its Applications'}",GDP by state,Analysis of the driving factors of U.S. domestic population mobility,
dataset-622,10.1080/09639284.2019.1670685,"{'id': 'jour.1138848', 'title': 'Accounting Education'}",GDP by state,An alternate state in mind: the effect of CPA exam credit-hour requirements and economic competitiveness on state-level exam candidate pools and pass rates,
dataset-622,10.1016/j.econedurev.2019.04.007,"{'id': 'jour.1028216', 'title': 'Economics of Education Review'}",GDP by state,Why Brazil Fell Behind in College Education?,
dataset-622,10.1016/j.jedc.2019.103726,"{'id': 'jour.1027784', 'title': 'Journal of Economic Dynamics and Control'}",GDP by state,The Quantitative Effects of Tax Foresight: Not All States Are Equal,
dataset-622,10.1017/s1474747218000422,"{'id': 'jour.1045126', 'title': 'Journal of Pension Economics and Finance'}",GDP by state,Social security and retirement timing: evidence from a national sample of teachers,
dataset-622,10.1111/infi.12357,"{'id': 'jour.1141576', 'title': 'International Finance'}",GDP by state,Effects of unconventional monetary policy across U.S. industries,
dataset-622,10.1016/j.jebo.2019.04.012,Journal of Economic Behavior & Organization,GDP by state,From broken windows to broken bonds: Militarized police and social fragmentation,http://www.usna.edu/EconDept/RePEc/usn/wp/usnawp53.pdf
dataset-622,10.1007/s11205-018-1976-2,"{'id': 'jour.1081548', 'title': 'Social Indicators Research'}",GDP by state,The Underemployment-Job Satisfaction Nexus: A Study of Part-Time Employment in Australia,
dataset-622,10.1162/rest_a_00830,Review of Economics and Statistics,GDP by state,Heterogeneous Government Spending Multipliers in the Era Surrounding the Great Recession,http://wps-feb.ugent.be/Papers/wp_17_941.pdf
dataset-622,10.1007/s10640-018-0239-7,Environmental and Resource Economics,GDP by state,Natural Disasters and Macroeconomic Performance,https://link.springer.com/content/pdf/10.1007%2Fs10640-018-0239-7.pdf
dataset-622,10.1111/jmcb.12574,Journal of money credit and banking,GDP by state,Temperature and Growth: A Panel Analysis of the United States,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jmcb.12574
dataset-622,10.1016/j.regsciurbeco.2018.11.008,"{'id': 'jour.1027410', 'title': 'Regional Science and Urban Economics'}",GDP by state,The effects of government spending shocks: Evidence from U.S. states,
dataset-622,10.1016/j.econmod.2018.08.008,"{'id': 'jour.1027798', 'title': 'Economic Modelling'}",GDP by state,Convergence of labor productivity across the US states,
dataset-622,10.1111/grow.12277,Growth and Change,GDP by state,"Economic liberalization and external shocks. The hypothesis of convergence revisited for the Mexican states, 1994–2015",https://onlinelibrary.wiley.com/doi/pdf/10.1111/grow.12277
dataset-622,10.1057/s41267-018-0150-z,Journal of International Business Studies,GDP by state,Individualism and stock price crash risk,http://eprints.gla.ac.uk/160978/7/160978.pdf
dataset-622,10.1016/j.jeoa.2018.03.006,The Journal of the Economics of Ageing,GDP by state,Long-Term Care Partnerships: Are They Fit for Purpose?,http://eprints.lse.ac.uk/60757/1/Bergquist_CostaFont_Swartz_Long-term-care-partnerships_2015.pdf
dataset-622,10.1080/0163660x.2018.1557491,"{'id': 'jour.1025616', 'title': 'The Washington Quarterly'}",GDP by state,Should the United States Fear China’s Rise?,
dataset-622,10.1080/00213624.2018.1483151,"{'id': 'jour.1027567', 'title': 'Journal of Economic Issues'}",GDP by state,"An American-Style Transfer Union in Europe, A First Glance at How Much It Might Cost",
dataset-622,10.1002/soej.12280,Southern Economic Journal,GDP by state,Assessing the effects of the Mexican Drug War on economic growth: An empirical analysis,https://onlinelibrary.wiley.com/doi/pdf/10.1002/soej.12280
dataset-622,10.1007/s10887-017-9153-z,Journal of Economic Growth,GDP by state,Globalizing labor and the world economy: the role of human capital,https://www.liser.lu/publi_viewer.cfm?tmp=4137
dataset-622,10.1080/10668926.2017.1283260,"{'id': 'jour.1137673', 'title': 'Community College Journal of Research and Practice'}",GDP by state,Community College Program Planning: A Method to Measure and Meet Community Need,
dataset-622,10.1016/j.apenergy.2018.01.036,"{'id': 'jour.1029519', 'title': 'Applied Energy'}",GDP by state,GDP and energy consumption: A panel analysis of the US,
dataset-622,10.1007/978-981-10-8090-6_9,,GDP by state,Institutional Arrangement and Legal Framework for the Management of Watersheds in Malaysia,
dataset-622,10.2139/ssrn.3127401,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",GDP by state,Competition and Innovation in the Banking Industry,
dataset-622,10.1007/978-981-10-8090-6,,GDP by state,"Environmental Risk Analysis for Asian-Oriented, Risk-Based Watershed Management, Japan and Malaysia",
dataset-622,10.1007/s11294-017-9655-7,International Advances in Economic Research,GDP by state,Was the American Recovery and Reinvestment Act an Economic Stimulus?,https://link.springer.com/content/pdf/10.1007%2Fs11294-017-9655-7.pdf
