datasets,doi,journal,search_term,title
dataset-624,10.1115/1.4045315,"{'id': 'jour.1049907', 'title': 'Journal of Solar Energy Engineering'}",Global Forecast System,Solar Irradiance Fluctuation Prediction Methodology Using Artificial Neural Networks
dataset-624,10.1016/j.atmosres.2019.104772,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Global Forecast System,"Characteristics of cut-off lows during the 2015–2017 drought in the Western Cape, South Africa"
dataset-624,10.1016/j.ijepes.2019.105711,"{'id': 'jour.1137152', 'title': 'International Journal of Electrical Power & Energy Systems'}",Global Forecast System,"Development of a Typhoon Power Outage Model in Guangdong, China"
dataset-624,10.1016/j.atmosres.2019.104802,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Global Forecast System,Weather regimes linked to daily precipitation anomalies in Northern Chile
dataset-624,10.1016/j.atmosres.2019.104785,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Global Forecast System,Regional climate models: 30 years of dynamical downscaling
dataset-624,10.1016/j.atmosres.2019.104768,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Global Forecast System,Characteristics of low-level meso-γ-scale vortices in the warm season over East China
dataset-624,10.1016/j.atmosres.2019.104746,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Global Forecast System,"Evaluating satellite-based and reanalysis precipitation datasets with gauge-observed data and hydrological modeling in the Xihe River Basin, China"
dataset-624,10.1016/j.rcim.2019.101861,"{'id': 'jour.1044008', 'title': 'Robotics and Computer-Integrated Manufacturing'}",Global Forecast System,Manufacturing big data ecosystem: A systematic literature review
dataset-624,10.1016/j.atmosres.2019.104738,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Global Forecast System,Assessing the sensitivity of land-atmosphere coupling strength to boundary and surface layer parameters in the WRF model over Amazon
dataset-624,10.1016/j.atmosres.2019.104771,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Global Forecast System,Assimilation of radar radial velocity data with the WRF hybrid 4DEnVar system for the prediction of hurricane Ike (2008)
dataset-624,10.1016/j.atmosres.2019.104739,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Global Forecast System,Evaluation of WRF land surface schemes in land-atmosphere exchange simulations over grassland in Southeast Tibet
dataset-624,10.1016/j.future.2019.11.006,"{'id': 'jour.1125399', 'title': 'Future Generation Computer Systems'}",Global Forecast System,PCCP: Proactive Video Chunks Caching and Processing in edge networks
dataset-624,10.1016/j.atmosres.2019.104741,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Global Forecast System,A study of ensemble-sensitivity-based initial condition perturbation methods for convection-permitting ensemble forecasts
dataset-624,10.1016/j.future.2019.11.041,"{'id': 'jour.1125399', 'title': 'Future Generation Computer Systems'}",Global Forecast System,Proactive content caching using surplus renewable energy: A win-win solution for both network service and energy providers
dataset-624,10.1080/01431161.2019.1688418,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",Global Forecast System,A spatio-temporal prediction of NDVI based on precipitation: an application for grazing management in the arid and semi-arid grasslands
dataset-624,10.13044/j.sdewes.d7.0263,"{'id': 'jour.1147543', 'title': 'Journal of Sustainable Development of Energy Water and Environment Systems'}",Global Forecast System,Modelling of Temperature and Syngas Composition in a Fixed Bed Biomass Gasifier using Nonlinear Autoregressive Networks
dataset-624,10.1016/j.renene.2019.09.011,"{'id': 'jour.1048491', 'title': 'Renewable Energy'}",Global Forecast System,Comparisons of next-day solar forecasting for Singapore using 3DVAR and 4DVAR data assimilation approaches with the WRF model
dataset-624,10.1016/j.jmarsys.2019.103267,"{'id': 'jour.1043478', 'title': 'Journal of Marine Systems'}",Global Forecast System,Connectivity of deep waters in the Gulf of Mexico
dataset-624,10.1016/j.respol.2019.103899,"{'id': 'jour.1015700', 'title': 'Research Policy'}",Global Forecast System,Natural laboratories as policy instruments for technological learning and institutional capacity building: The case of Chile's astronomy cluster
dataset-624,10.1016/j.resourpol.2019.101544,"{'id': 'jour.1137773', 'title': 'Resources Policy'}",Global Forecast System,The impact of China's ‘Atmosphere Ten Articles’ policy on total factor productivity of energy exploitation: Empirical evidence using synthetic control methods
