dataset,doi,journal,search_term,title,url,valid?,notes,pdf
dataset-620,10.1016/j.atmosres.2019.104771,Atmospheric Research,Global Forecast System,Assimilation of radar radial velocity data with the WRF hybrid 4DEnVar system for the prediction of hurricane Ike (2008),https://www.sciencedirect.com/science/article/pii/S0169809519304636?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S0169809519304636/pdfft?md5=c1803c1d7208493f6f3185da5ded89a8&pid=1-s2.0-S0169809519304636-main.pdf
dataset-620,10.1016/j.atmosres.2019.104741,Atmospheric Research,Global Forecast System,A study of ensemble-sensitivity-based initial condition perturbation methods for convection-permitting ensemble forecasts,https://www.sciencedirect.com/science/article/pii/S0169809519302492?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S0169809519302492/pdfft?md5=3560e37c0bc67452fda18289ddb33e04&pid=1-s2.0-S0169809519302492-main.pdf
dataset-620,10.1016/j.atmosres.2019.104682,Atmospheric Research,Global Forecast System,Evaluation of season long rainfall simulated by WRF over the NWH region: KF vs. MSKF,https://www.sciencedirect.com/science/article/pii/S0169809519303904?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S0169809519303904/pdfft?md5=5962fc5bf35053bdee99c34caf58741f&pid=1-s2.0-S0169809519303904-main.pdf
dataset-620,10.1016/j.envsoft.2019.104585,Environmental Modelling & Software,Global Forecast System,OPENCoastS: An open-access service for the automatic generation of coastal forecast systems,https://www.sciencedirect.com/science/article/pii/S1364815219304967?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S1364815219304967/pdfft?md5=132ddb85fc0302026bdbcebec593f23a&pid=1-s2.0-S1364815219304967-main.pdf
dataset-620,10.1016/j.atmosres.2019.104681,Atmospheric Research,Global Forecast System,"Forecasting experiences associated with supercells over South-Western Poland on July 7, 2017",https://www.sciencedirect.com/science/article/pii/S0169809519305150?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S0169809519305150/pdfft?md5=40fdf7e4b3f5e6c791c27c8acfbd533e&pid=1-s2.0-S0169809519305150-main.pdf
dataset-620,10.1016/j.renene.2019.07.126,Renewable Energy,Global Forecast System,Maximizing Energy Production from Hydropower Dams using Short-Term Weather Forecasts,https://www.sciencedirect.com/science/article/pii/S0960148119311462?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S0960148119311462/pdfft?md5=33f4c2bfb3e25180eb5f343151493991&pid=1-s2.0-S0960148119311462-main.pdf
dataset-620,10.1016/j.renene.2019.06.132,Renewable Energy,Global Forecast System,Using the Analog Ensemble Method as a Proxy Measurement for Wind Power Predictability,https://www.sciencedirect.com/science/article/pii/S0960148119309668?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S0960148119309668/pdfft?md5=e9bee0e20eff8080f4752e118888d1a0&pid=1-s2.0-S0960148119309668-main.pdf
dataset-620,10.1007/s00376-019-9105-y,Advances in Atmospheric Sciences,Global Forecast System,Modeling Arctic Boundary Layer Cloud Streets at Grey-zone Resolutions,https://link.springer.com/article/10.1007%2Fs00376-019-9105-y,Yes,,https://link.springer.com/content/pdf/10.1007%2Fs00376-019-9105-y.pdf
dataset-620,10.1016/j.atmosenv.2019.117072,Atmospheric Environment,Global Forecast System,A novel framework for daily forecasting of ozone mass concentrations based on cycle reservoir with regular jumps neural networks,https://www.sciencedirect.com/science/article/pii/S1352231019307113?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S1352231019307113/pdfft?md5=150e66ed754add47f5a1faab41c90dbb&pid=1-s2.0-S1352231019307113-main.pdf
dataset-620,10.1007/978-3-030-14347-3_2,Hybrid Intelligent Systems,Global Forecast System,Post-processing of Wind-Speed Forecasts Using the Extended Perfect Prog Method with Polynomial Neural Networks to Elicit PDE Models,https://link.springer.com/chapter/10.1007%2F978-3-030-14347-3_2,Yes,This is a book,https://link.springer.com/content/pdf/10.1007%2F978-3-030-14347-3.pdf
dataset-620,10.1007/978-3-030-22055-6_53,Air Pollution Modeling and its Application XXVI,Global Forecast System,Sensitivity of Atmospheric Composition Mesoscale Simulations in the Mediterranean to the Meteorological Data and Chemical Boundary Conditions,https://link.springer.com/chapter/10.1007%2F978-3-030-22055-6_53,Yes,,https://link.springer.com/content/pdf/10.1007%2F978-3-030-22055-6.pdf
dataset-620,10.1007/978-3-030-13901-8_3,Advanced GNSS Tropospheric Products for Monitoring Severe Weather Events and Climate,Global Forecast System,Advanced GNSS Processing Techniques (Working Group 1),,Yes,This is part of a book,https://link.springer.com/content/pdf/10.1007%2F978-3-030-13901-8.pdf
dataset-620,10.1175/jcli-d-19-0308.1,Journal of Climate,Global Forecast System,Impacts of North Pacific subtropical and subarctic oceanic frontal zones on the wintertime atmospheric large-scale circulations,,Yes,,https://journals.ametsoc.org/doi/pdf/10.1175/JCLI-D-19-0308.1
dataset-620,10.1088/1748-9326/ab54fa,Environmental Research Letters,Global Forecast System,Air quality and health impacts from the updated industrial emission standards in China,http://dx.doi.org/10.1088/1748-9326/ab54fa,Yes,,https://iopscience.iop.org/article/10.1088/1748-9326/ab54fa/pdf
dataset-620,10.1029/2019jc015319,Journal of Geophysical Research Oceans,Global Forecast System,Modeling of Internal Tides in the Western Bay of Bengal: Characteristics and Energetics,,Yes,,
dataset-620,10.5194/os-15-1627-2019,Ocean Science,Global Forecast System,Vertical structure of ocean surface currents under high winds from massive arrays of drifters,http://dx.doi.org/10.5194/os-15-1627-2019,Yes,,
dataset-620,10.1002/met.1862,Meteorological Applications,Global Forecast System,Impact of ocean mixed‐layer depth initialization on the simulation of tropical cyclones over the Bay of Bengal using the WRF-ARW model,,Yes,,
dataset-620,10.1007/s00382-019-05074-8,Climate Dynamics,Global Forecast System,Predictability of the wintertime 500 hPa geopotential height over Ural-Siberia in the NCEP climate forecast system,,Yes,,
dataset-620,10.1029/2019jd031232,Journal of Geophysical Research Atmospheres,Global Forecast System,Toward a Better Regional Ozone Forecast Over CONUS Using Rapid Data Assimilation of Clouds and Meteorology in WRF-Chem,,Yes,,
dataset-620,10.1007/s41885-019-00049-9,Economics of Disasters and Climate Change,Global Forecast System,Extreme Weather and Poverty Risk: Evidence from Multiple Shocks in Mozambique,,Yes,,
dataset-620,10.5194/acp-19-14657-2019,Atmospheric Chemistry and Physics,Global Forecast System,The role of aerosol-radiation-cloud interactions in linking anthropogenic pollution over southern west Africa and dust emission over the Sahara,http://dx.doi.org/10.5194/acp-19-14657-2019,Yes,,
dataset-620,10.1111/1752-1688.12806,JAWRA Journal of the American Water Resources Association,Global Forecast System,Use of Predictive Weather Uncertainties in an Irrigation Scheduling Tool Part II: An Application of Metrics and Adjoints,https://onlinelibrary.wiley.com/doi/full/10.1111/1752-1688.12806,Yes,,https://onlinelibrary.wiley.com/doi/epdf/10.1111/1752-1688.12806
dataset-620,10.1029/2019ms001741,Journal of Advances in Modeling Earth Systems,Global Forecast System,Multi-Grid Nesting Ability to Represent Convections across the Gray Zone,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019MS001741,Yes,,https://agupubs.onlinelibrary.wiley.com/doi/epdf/10.1029/2019MS001741
dataset-620,10.3390/atmos10110684,Atmosphere,Global Forecast System,Study on Wind Simulations Using Deep Learning Techniques during Typhoons: A Case Study of Northern Taiwan,https://www.mdpi.com/2073-4433/10/11/684/htm,Yes,,https://www.mdpi.com/2073-4433/10/11/684/pdf
