datasets,doi,journal,search_term,title,url,valid?,notes,pdf
dataset-620,10.1016/j.atmosres.2019.104771,Atmospheric Research,Global Forecast System,Assimilation of radar radial velocity data with the WRF hybrid 4DEnVar system for the prediction of hurricane Ike (2008),,Yes,,https://www.sciencedirect.com/science/article/pii/S0169809519304636/pdfft?md5=c1803c1d7208493f6f3185da5ded89a8&pid=1-s2.0-S0169809519304636-main.pdf
dataset-620,10.1016/j.atmosres.2019.104741,Atmospheric Research,Global Forecast System,A study of ensemble-sensitivity-based initial condition perturbation methods for convection-permitting ensemble forecasts,,Yes,,https://www.sciencedirect.com/science/article/pii/S0169809519302492/pdfft?md5=3560e37c0bc67452fda18289ddb33e04&pid=1-s2.0-S0169809519302492-main.pdf
dataset-620,10.1016/j.atmosres.2019.104682,Atmospheric Research,Global Forecast System,Evaluation of season long rainfall simulated by WRF over the NWH region: KF vs. MSKF,https://www.sciencedirect.com/science/article/pii/S0169809519303904?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S0169809519303904/pdfft?md5=5962fc5bf35053bdee99c34caf58741f&pid=1-s2.0-S0169809519303904-main.pdf
dataset-620,10.1016/j.envsoft.2019.104585,Environmental Modelling & Software,Global Forecast System,OPENCoastS: An open-access service for the automatic generation of coastal forecast systems,https://www.sciencedirect.com/science/article/pii/S1364815219304967?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S1364815219304967/pdfft?md5=132ddb85fc0302026bdbcebec593f23a&pid=1-s2.0-S1364815219304967-main.pdf
dataset-620,10.1016/j.atmosres.2019.104681,Atmospheric Research,Global Forecast System,"Forecasting experiences associated with supercells over South-Western Poland on July 7, 2017",https://www.sciencedirect.com/science/article/pii/S0169809519305150?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S0169809519305150/pdfft?md5=40fdf7e4b3f5e6c791c27c8acfbd533e&pid=1-s2.0-S0169809519305150-main.pdf
dataset-620,10.1016/j.energy.2019.116498,Energy,Global Forecast System,Day ahead Powerful Probabilistic Wind Power Forecast Using Combined Intelligent Structure and Fuzzy Clustering algorithm,,No,Data not used,
dataset-620,10.1016/j.renene.2019.07.126,Renewable Energy,Global Forecast System,Maximizing Energy Production from Hydropower Dams using Short-Term Weather Forecasts,https://www.sciencedirect.com/science/article/pii/S0960148119311462?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S0960148119311462/pdfft?md5=33f4c2bfb3e25180eb5f343151493991&pid=1-s2.0-S0960148119311462-main.pdf
dataset-620,10.1016/j.renene.2019.06.132,Renewable Energy,Global Forecast System,Using the Analog Ensemble Method as a Proxy Measurement for Wind Power Predictability,https://www.sciencedirect.com/science/article/pii/S0960148119309668?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S0960148119309668/pdfft?md5=e9bee0e20eff8080f4752e118888d1a0&pid=1-s2.0-S0960148119309668-main.pdf
dataset-620,10.1007/s00376-019-9105-y,Advances in Atmospheric Sciences,Global Forecast System,Modeling Arctic Boundary Layer Cloud Streets at Grey-zone Resolutions,https://link.springer.com/article/10.1007%2Fs00376-019-9105-y,Yes,,https://link.springer.com/content/pdf/10.1007%2Fs00376-019-9105-y.pdf
dataset-620,10.1016/j.atmosenv.2019.117072,Atmospheric Environment,Global Forecast System,A novel framework for daily forecasting of ozone mass concentrations based on cycle reservoir with regular jumps neural networks,https://www.sciencedirect.com/science/article/pii/S1352231019307113?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S1352231019307113/pdfft?md5=150e66ed754add47f5a1faab41c90dbb&pid=1-s2.0-S1352231019307113-main.pdf
