datasets,doi,journal,search_term,title
dataset-624,10.1016/j.vhri.2019.08.477,"{'id': 'jour.1047455', 'title': 'Value in Health Regional Issues'}",Gross Domestic Product by State data,The Cost-Effectiveness of Abdominal Aortic Aneurysm Screening in Estonia
dataset-624,10.1080/01431161.2019.1693077,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",Gross Domestic Product by State data,"Comparative analysis between VIIRS-DNB and DMSP-OLS night-time light data to estimate electric power consumption in Uttar Pradesh, India"
dataset-624,10.1080/01431161.2019.1693661,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",Gross Domestic Product by State data,Mapping urban expansion using night-time light images from Luojia1-01 and International Space Station
dataset-624,10.1016/j.ribaf.2019.101146,"{'id': 'jour.1140375', 'title': 'Research in International Business and Finance'}",Gross Domestic Product by State data,Is heterogeneous capital depreciation important for estimating firm-level productivity? Evidence from Chinese manufacturing firms
dataset-624,10.1016/j.evalprogplan.2019.101749,"{'id': 'jour.1087240', 'title': 'Evaluation and Program Planning'}",Gross Domestic Product by State data,Women Underrepresentation in R&I: A Sector Program Assessment of the Contribution of Gender Equality Policies to Research and Innovation
dataset-624,10.1016/j.jort.2019.100254,"{'id': 'jour.1147786', 'title': 'Journal of Outdoor Recreation and Tourism'}",Gross Domestic Product by State data,"The nexus between tourism and urban risk: Towards inclusive, safe, resilient and sustainable outdoor tourism in African cities"
dataset-624,10.1016/j.renene.2019.09.005,"{'id': 'jour.1048491', 'title': 'Renewable Energy'}",Gross Domestic Product by State data,The effect of financial development on renewable energy consumption. A panel data approach
dataset-624,10.1016/j.resourpol.2019.101537,"{'id': 'jour.1137773', 'title': 'Resources Policy'}",Gross Domestic Product by State data,Demographic vs economic variables in the modelling and forecasting of the demand of aggregates: The case of the Spanish market (1995–2016)
dataset-624,10.1016/j.apsusc.2019.144866,"{'id': 'jour.1038686', 'title': 'Applied Surface Science'}",Gross Domestic Product by State data,Designed synthesis of highly active CeO2-ZrO2-Al2O3 support materials with optimized surface property for Pd-only three-way catalysts
dataset-624,10.1016/j.ecolecon.2019.106567,"{'id': 'jour.1327410', 'title': 'Ecological Economics'}",Gross Domestic Product by State data,Why ecological economics needs to return to its roots: The biophysical foundation of socio-economic systems
dataset-624,10.1016/j.resconrec.2019.104623,"{'id': 'jour.1135211', 'title': 'Resources Conservation and Recycling'}",Gross Domestic Product by State data,Incorporating environmental impacts into the economic evaluation of health care systems: Perspectives from ecological economics
dataset-624,10.1016/j.ecolecon.2019.106508,"{'id': 'jour.1327410', 'title': 'Ecological Economics'}",Gross Domestic Product by State data,Hidden linkages between resources and economy: A “Beyond-GDP” approach using alternative welfare indicators
dataset-624,10.1016/j.ssci.2019.104559,"{'id': 'jour.1101847', 'title': 'Safety Science'}",Gross Domestic Product by State data,An empirical study of early warning model on the number of coal mine accidents in China
dataset-624,10.1016/j.ecolind.2019.105922,"{'id': 'jour.1032186', 'title': 'Ecological Indicators'}",Gross Domestic Product by State data,"Integrated assessment of water quality characteristics and ecological compensation in the Xiangjiang River, south-central China"
dataset-624,10.1016/j.jimonfin.2019.102083,"{'id': 'jour.1052483', 'title': 'Journal of International Money and Finance'}",Gross Domestic Product by State data,Financial Development and Innovation-led Growth: Is Too Much Finance Better?
dataset-624,10.1016/j.cities.2019.102491,"{'id': 'jour.1027483', 'title': 'Cities'}",Gross Domestic Product by State data,Inter-city housing purchase: a case of China’s Yangtze River Delta region
dataset-624,10.1016/j.foodres.2019.108775,"{'id': 'jour.1091687', 'title': 'Food Research International'}",Gross Domestic Product by State data,Contamination of milk and dairy products by Brucella species: a global systematic review and meta-analysis
dataset-624,10.1016/j.scitotenv.2019.135005,"{'id': 'jour.1015499', 'title': 'The Science of The Total Environment'}",Gross Domestic Product by State data,Spatiotemporal patterns and drivers of ecosystem service supply and demand across the conterminous United States: A multiscale analysis
dataset-624,10.1016/j.scitotenv.2019.135972,"{'id': 'jour.1015499', 'title': 'The Science of The Total Environment'}",Gross Domestic Product by State data,Does the interaction between growth determinants a drive for global environmental sustainability? Evidence from world top 10 pollutant emissions countries
dataset-624,10.1016/j.rse.2019.111443,"{'id': 'jour.1045931', 'title': 'Remote Sensing of Environment'}",Gross Domestic Product by State data,Remote sensing of night lights: A review and an outlook for the future
