datasets,doi,journal,search_term,title
dataset-624,10.1016/j.atmosres.2019.104801,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",ISD,Aircraft observed diurnal variations of the planetary boundary layer under heat waves
dataset-624,10.1016/j.inffus.2019.10.003,"{'id': 'jour.1041964', 'title': 'Information Fusion'}",ISD,"Ringing Artifacts in Wavelet Based Image Fusion: Analysis, Measurement and Remedies"
dataset-624,10.1016/j.ijmecsci.2019.105334,"{'id': 'jour.1137044', 'title': 'International Journal of Mechanical Sciences'}",ISD,A theoretical analysis on the active structural acoustical control of a vibration isolation system with a coupled plate-shell foundation
dataset-624,10.1016/j.soildyn.2019.105998,"{'id': 'jour.1137462', 'title': 'Soil Dynamics and Earthquake Engineering'}",ISD,Effect of frequency dependence of large mass ratio viscoelastic tuned mass damper on seismic performance of structures
dataset-624,10.1016/j.renene.2019.09.072,"{'id': 'jour.1048491', 'title': 'Renewable Energy'}",ISD,"Influence of drying methods on the thermodynamic parameters, effective moisture diffusion and drying rate of wastewater sewage sludge"
dataset-624,10.1016/j.renene.2019.09.018,"{'id': 'jour.1048491', 'title': 'Renewable Energy'}",ISD,"Thermal performance of a passive, mixed-type solar dryer for tomato slices (Solanum lycopersicum)"
dataset-624,10.1002/9781119236306.ch13,,ISD,5G Modem Design Challenges
dataset-624,10.1088/1361-6528/ab5274,"{'id': 'jour.1035078', 'title': 'Nanotechnology'}",ISD,Functionalized single-walled carbon-nanotube-blended P3HT-based high performance memory behavior thin-film transistor devices
dataset-624,10.1016/j.phycom.2019.100971,"{'id': 'jour.1142002', 'title': 'Physical Communication'}",ISD,Adjustable threshold LAS massive MIMO detection under imperfect CSI and spatial correlation
dataset-624,10.1016/j.commatsci.2019.109418,"{'id': 'jour.1137015', 'title': 'Computational Materials Science'}",ISD,Simulation of coarsening in two-phase systems with dissimilar mobilities
dataset-624,10.1016/j.neuroimage.2019.116430,"{'id': 'jour.1103053', 'title': 'NeuroImage'}",ISD,Stroop task performance across the lifespan: High cognitive reserve in older age is associated with enhanced proactive and reactive interference control
dataset-624,10.1109/tie.2019.2891466,"{'id': 'jour.1033601', 'title': 'IEEE Transactions on Industrial Electronics'}",ISD,A Complete Switching Analytical Model of Low-Voltage eGaN HEMTs and Its Application in Loss Analysis
dataset-624,10.1016/j.ins.2019.09.030,"{'id': 'jour.1119728', 'title': 'Information Sciences'}",ISD,Using Low-Density Parity-Check Codes to Improve the McEliece Cryptosystem
dataset-624,10.1016/j.wneu.2019.10.048,"{'id': 'jour.1016817', 'title': 'World Neurosurgery'}",ISD,Cortical spreading depression in the setting of traumatic brain injury
dataset-624,10.1016/j.bioelechem.2019.107395,"{'id': 'jour.1022917', 'title': 'Bioelectrochemistry'}",ISD,Effect of electrode spacing on electron transfer and conductivity of Geobacter sulfurreducens biofilms
dataset-624,10.1016/j.energy.2019.116697,"{'id': 'jour.1048347', 'title': 'Energy'}",ISD,Drying of Untreated Musa nendra and Momordica charantia in a Forced Convection Solar Cabinet Dryer with Thermal Storage
dataset-624,10.1146/annurev-pharmtox-010919-023508,"{'id': 'jour.1085345', 'title': 'The Annual Review of Pharmacology and Toxicology'}",ISD,Addressing the Challenge of Polypharmacy
dataset-624,10.1016/j.ymssp.2019.106370,"{'id': 'jour.1042338', 'title': 'Mechanical Systems and Signal Processing'}",ISD,On-line estimation of road profile in semi-active suspension based on unsprung mass acceleration
dataset-624,10.1016/j.jobe.2019.100972,"{'id': 'jour.1145724', 'title': 'Journal of Building Engineering'}",ISD,"An early-stage analysis of climate-adaptive designs for multi-family buildings under future climate scenario: Case studies in Rome, Italy and Stockholm, Sweden"
dataset-624,10.1016/j.ssci.2019.08.031,"{'id': 'jour.1101847', 'title': 'Safety Science'}",ISD,"From clapham junction to macondo, deepwater horizon: Risk and safety management in high-tech-high-hazard sectors A review of English and Dutch literature: 1988–2010"
