datasets,doi,journal,search_term,title
dataset-624,10.1016/j.atmosres.2019.104801,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Integrated Surface Database,Aircraft observed diurnal variations of the planetary boundary layer under heat waves
dataset-624,10.1016/j.atmosres.2019.104761,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Integrated Surface Database,Transport of black carbon from planetary boundary layer to free troposphere during the summer monsoon over South Asia
dataset-624,10.1115/1.4044562,"{'id': 'jour.1047639', 'title': 'Journal of Energy Resources Technology'}",Integrated Surface Database,Recent Developments in Solar and Low-Temperature Heat Sources Assisted Power and Cooling Systems: A Design Perspective
dataset-624,10.1016/j.icarus.2019.113521,"{'id': 'jour.1134141', 'title': 'Icarus'}",Integrated Surface Database,Characterization of a local dust storm on Mars with REMS/MSL measurements and MARCI/MRO images
dataset-624,10.1016/j.icarus.2019.113463,"{'id': 'jour.1134141', 'title': 'Icarus'}",Integrated Surface Database,"Analysis in the Visible Range of NASA Lucy Mission Targets: Eurybates, Polymele, Orus and Donaldjohanson."
dataset-624,10.1016/j.jmbbm.2019.103574,"{'id': 'jour.1039326', 'title': 'Journal of the Mechanical Behavior of Biomedical Materials'}",Integrated Surface Database,Mechanical aspects of dental implants and osseointegration: A narrative review
dataset-624,10.1016/j.uclim.2019.100540,"{'id': 'jour.1143582', 'title': 'Urban Climate'}",Integrated Surface Database,"Inter-local climate zone differentiation of land surface temperatures for Management of Urban Heat in Nairobi City, Kenya"
dataset-624,10.1080/01431161.2019.1662966,"{'id': 'jour.1122771', 'title': 'International Journal of Remote Sensing'}",Integrated Surface Database,Identification of trees and their trunks from mobile laser scanning data of roadway scenes
dataset-624,10.1002/9781119538172,,Integrated Surface Database,Implant Restorations
dataset-624,10.1002/9781119288190,,Integrated Surface Database,Compendium of Biomedical Instrumentation
dataset-624,10.1115/1.4045347,,Integrated Surface Database,A New Methodology to Assess Building Integrated Roof Top Photovoltaic Installations at City Scales: The Tropical Coastal City Case
dataset-624,10.1016/j.apenergy.2019.114257,"{'id': 'jour.1029519', 'title': 'Applied Energy'}",Integrated Surface Database,An integrated GIS and robust optimization framework for solar PV plant planning scenarios at utility scale
dataset-624,10.1016/j.envint.2019.105379,"{'id': 'jour.1088587', 'title': 'Environment International'}",Integrated Surface Database,"Blood lead levels among Chinese children: The shifting influence of industry, traffic, and e-waste over three decades"
dataset-624,10.1016/j.fuel.2019.116485,"{'id': 'jour.1044923', 'title': 'Fuel'}",Integrated Surface Database,Simultaneous removal of NO and volatile organic compounds (VOCs) by Ce/Mo doping-modified selective catalytic reduction (SCR) catalysts in denitrification zone of coal-fired flue gas
dataset-624,10.1016/j.jsg.2019.103933,"{'id': 'jour.1052488', 'title': 'Journal of Structural Geology'}",Integrated Surface Database,"Neotectonics and late Holocene paleoseismic evidence in the Plio-Quaternary Daroca Half-graben, Iberian Chain, NE Spain. Implications for fault source characterization"
dataset-624,10.1016/j.landurbplan.2019.103703,"{'id': 'jour.1028245', 'title': 'Landscape and Urban Planning'}",Integrated Surface Database,Planning green infrastructure to mitigate urban surface water flooding risk – A methodology to identify priority areas applied in the city of Ghent
dataset-624,10.1016/j.energy.2019.116559,"{'id': 'jour.1048347', 'title': 'Energy'}",Integrated Surface Database,Potential of Organic Rankine Cycles for Unmanned Underwater Vehicles
dataset-624,10.1016/j.carbon.2019.10.018,"{'id': 'jour.1033315', 'title': 'Carbon'}",Integrated Surface Database,"Phosphorus-containing carbons: preparation, properties and utilization"
dataset-624,10.1016/j.eti.2019.100567,"{'id': 'jour.1149110', 'title': 'Environmental Technology & Innovation'}",Integrated Surface Database,Integrated approaches in microbial degradation of plastics
dataset-624,10.1016/j.scs.2019.101919,"{'id': 'jour.1141177', 'title': 'Sustainable Cities and Society'}",Integrated Surface Database,The influence of the vegetation cycle on the mitigation of air pollution by a deciduous roadside hedge
