datasets,doi,journal,search_term,title,url,valid?,notes,pdf
dataset-621,10.1016/j.atmosres.2019.104801,Atmospheric Research,Integrated Surface Database,Aircraft observed diurnal variations of the planetary boundary layer under heat waves,,Yes,,https://www.sciencedirect.com/science/article/pii/S0169809519311305/pdfft?md5=6649a4e660c51f2b408aed3288ff1d23&pid=1-s2.0-S0169809519311305-main.pdf
dataset-621,10.1016/j.scs.2019.101919,Sustainable Cities and Society,Integrated Surface Database,The influence of the vegetation cycle on the mitigation of air pollution by a deciduous roadside hedge,,Yes,,https://www.sciencedirect.com/science/article/pii/S2210670719329567/pdfft?md5=0c59916fb8439fcbf8fde39034859eba&pid=1-s2.0-S2210670719329567-main.pdf
dataset-621,10.1016/j.envint.2019.105285,Environment International,Integrated Surface Database,How community vulnerability factors jointly affect multiple health outcomes after catastrophic storms,,Yes,,https://www.sciencedirect.com/science/article/pii/S0160412019315247/pdfft?md5=841f671761d33e5a80c78c295373d634&pid=1-s2.0-S0160412019315247-main.pdf
dataset-621,10.1016/b978-0-12-815822-7.00005-4,Spatiotemporal Analysis of Air Pollution and Its Application in Public Health,Integrated Surface Database,Chapter 5 Machine learning for spatiotemporal big data in air pollution,,Yes,,https://www.sciencedirect.com/science/article/pii/B9780128158227000054/pdfft?md5=3d8bb6d2900378a245f1c78dcac260e0&pid=3-s2.0-B9780128158227000054-main.pdf
dataset-621,10.1088/1748-9326/ab51b6,,Integrated Surface Database,On the use of indices to study extreme precipitation on sub-daily and daily timescales,http://dx.doi.org/10.1088/1748-9326/ab51b6,No,Mentioned but not used,
dataset-621,10.1186/s12940-019-0483-5,Environmental Health,Integrated Surface Database,Assessing the magnitude and uncertainties of the burden of selected diseases attributable to extreme heat and extreme precipitation under a climate change scenario in Michigan for the period 2041-2070,https://ehjournal.biomedcentral.com/track/pdf/10.1186/s12940-019-0483-5,Yes,,https://ehjournal.biomedcentral.com/track/pdf/10.1186/s12940-019-0483-5
dataset-621,10.1016/j.cliser.2019.100138,Climate Services,Integrated Surface Database,A climate projection dataset tailored for the European energy sector,,No,Mentioned but not used,
dataset-621,10.1038/s41598-019-52799-x,Scientific Reports,Integrated Surface Database,"Connecting Crop Productivity, Residue Fires, and Air Quality over Northern India",http://dx.doi.org/10.1038/s41598-019-52799-x,Yes,,https://www.nature.com/articles/s41598-019-52799-x.pdf
dataset-621,10.1038/s41746-019-0180-3,Digital Medicine,Integrated Surface Database,How the weather affects the pain of citizen scientists using a smartphone app,https://www.nature.com/articles/s41746-019-0180-3,Yes,,https://www.nature.com/articles/s41746-019-0180-3.pdf
dataset-621,10.1038/s41598-019-38994-w,Scientific Reports,Integrated Surface Database,A climate-driven and field data-assimilated population dynamics model of sand flies,https://www.nature.com/articles/s41598-019-38994-w.pdf,Yes,,https://www.nature.com/articles/s41598-019-38994-w.pdf
dataset-621,10.1002/joc.6367,International Journal of Climatology,Integrated Surface Database,Development of a near-real-time global in situ daily precipitation dataset for 0000-0000 UTC,,Yes,,https://rmets.onlinelibrary.wiley.com/doi/epdf/10.1002/joc.6367
dataset-621,10.1111/acfi.12565,Accounting and Finance,Integrated Surface Database,Betting on temperature: psychological bias in insurance purchases,,Yes,,https://onlinelibrary.wiley.com/doi/epdf/10.1111/acfi.12565
dataset-621,10.1038/s41370-018-0105-2,Journal of Exposure Science & Environmental Epidemiology,Integrated Surface Database,Suitability of gridded climate datasets for use in environmental epidemiology,https://www.nature.com/articles/s41370-018-0105-2,Yes,ISD-Lite,https://www.nature.com/articles/s41370-018-0105-2.pdf
dataset-621,10.1016/j.scitotenv.2019.06.379,The Science of The Total Environment,Integrated Surface Database,"Parameterization and evaluation of the CALMET/CALPUFF model system in near-field and complex terrain - Terrain data, grid resolution and terrain adjustment method",https://www.sciencedirect.com/science/article/pii/S0048969719329523?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S0048969719329523/pdfft?md5=f1f177f12f54826240e16d982895c3bf&pid=1-s2.0-S0048969719329523-main.pdf
dataset-621,10.1002/joc.6353,International Journal of Climatology,Integrated Surface Database,Homogenization of a combined hourly air temperature dataset over Romania,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/joc.6353,Yes,rnoaa package,https://rmets.onlinelibrary.wiley.com/doi/epdf/10.1002/joc.6353
dataset-621,10.1002/hyp.13602,Hydrological Processes,Integrated Surface Database,A new approach for measuring surface hydrological connectivity,https://onlinelibrary.wiley.com/doi/full/10.1002/hyp.13602,Yes,,https://onlinelibrary.wiley.com/doi/epdf/10.1002/hyp.13602
dataset-621,10.1002/qj.3598,Quarterly Journal of the Royal Meteorological Society,Integrated Surface Database,Towards a more reliable historical reanalysis: Improvements for version 3 of the Twentieth Century Reanalysis system,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/qj.3598,Yes,,https://rmets.onlinelibrary.wiley.com/doi/epdf/10.1002/qj.3598
dataset-621,10.1002/qj.3651,Quarterly Journal of the Royal Meteorological Society,Integrated Surface Database,Spatio-temporal variability of cloud cover types in West Africa with satellite-based and reanalysis data,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/qj.3651,Yes,,https://rmets.onlinelibrary.wiley.com/doi/epdf/10.1002/qj.3651
dataset-621,10.1016/j.jweia.2019.103961,Journal of Wind Engineering and Industrial Aerodynamics,Integrated Surface Database,Characteristics of measured extreme thunderstorm near-surface wind gusts in the United States,https://www.sciencedirect.com/science/article/pii/S0167610519305525?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S0167610519305525/pdfft?md5=81c1e1618b0f4dbc17e98dcbf7a1c974&pid=1-s2.0-S0167610519305525-main.pdf
dataset-621,10.1016/j.envpol.2019.06.113,Environmental Pollution,Integrated Surface Database,"Gaseous and particulate pollutants in Lhasa, Tibet during 2013–2017: Spatial variability, temporal variations and implications",https://www.sciencedirect.com/science/article/pii/S0269749119314848?via%3Dihub#bib30,Yes,Not very explicit,https://www.sciencedirect.com/science/article/pii/S0269749119314848/pdfft?md5=b5715d2a9e2fb1dfaf54f974cf08a29a&pid=1-s2.0-S0269749119314848-main.pdf
dataset-621,10.5194/acp-19-11721-2019,Atmospheric Chemistry and Physics,Integrated Surface Database,"Anthropogenic VOCs in Abidjan, southern West Africa: from source quantification to atmospheric impacts",https://www.atmos-chem-phys.net/19/11721/2019/,Yes,,https://www.atmos-chem-phys.net/19/11721/2019/acp-19-11721-2019.pdf
dataset-621,10.5194/acp-19-11303-2019,Atmospheric Chemistry and Physics,Integrated Surface Database,Assessing the impact of clean air action on air quality trends in Beijing using a machine learning technique,http://dx.doi.org/10.5194/acp-19-11303-2019,Yes,Through worldmet package,https://www.atmos-chem-phys.net/19/11303/2019/acp-19-11303-2019.pdf
dataset-621,10.3389/fbuil.2019.00105,Frontiers in Built Environment,Integrated Surface Database,Exploratory Analysis of Energy Use Across Building Types and Geographic Regions in the United States,https://www.frontiersin.org/articles/10.3389/fbuil.2019.00105/full,Yes,,https://www.frontiersin.org/articles/10.3389/fbuil.2019.00105/pdf
dataset-621,10.1177/0149206318771179,Journal of Management,Integrated Surface Database,The Role of Affect in Shaping the Behavioral Consequences of CEO Option Incentives,https://journals.sagepub.com/doi/10.1177/0149206318771179,Yes,,https://journals.sagepub.com/doi/pdf/10.1177/0149206318771179
dataset-621,10.1016/j.atmosenv.2019.06.015,Atmospheric Environment,Integrated Surface Database,"Analysis of PM2.5 pollution episodes in Beijing from 2014 to 2017: Classification, interannual variations and associations with meteorological features",https://www.sciencedirect.com/science/article/pii/S135223101930398X?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S135223101930398X/pdfft?md5=e0b94a013f394829dba6b91278f64ce7&pid=1-s2.0-S135223101930398X-main.pdf
dataset-621,10.1016/j.renene.2019.02.069,Renewable Energy,Integrated Surface Database,Improvement of the hourly global solar model and solar radiation for air-conditioning design in China,https://www.sciencedirect.com/science/article/pii/S096014811930223X?via%3Dihub,Yes,,https://www.sciencedirect.com/science/article/pii/S096014811930223X/pdfft?md5=ba4b741a93d8344f37ca5455177f2100&pid=1-s2.0-S096014811930223X-main.pdf
dataset-621,10.1002/joc.6233,International Journal of Climatology,Integrated Surface Database,A climatology of high‐wind events for the eastern United States,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/joc.6233,Yes,,https://rmets.onlinelibrary.wiley.com/doi/epdf/10.1002/joc.6233
dataset-621,10.5194/nhess-2019-197,Natural Hazards and Earth System Sciences,Integrated Surface Database,Evaluation of Global Fire Weather Database re-analysis and short-term forecast products,https://www.nat-hazards-earth-syst-sci-discuss.net/nhess-2019-197/nhess-2019-197.pdf,Yes,,https://www.nat-hazards-earth-syst-sci-discuss.net/nhess-2019-197/nhess-2019-197.pdf
dataset-621,10.1016/j.heliyon.2019.e02105,Heliyon,Integrated Surface Database,Investigating the influence of contributing factors and predicting visibility at road link-level,http://www.heliyon.com/article/e02105/pdf,Yes,,https://www.sciencedirect.com/science/article/pii/S2405844019357652/pdfft?md5=e63cd1c1f747d03f450bd2d300dfea4d&pid=1-s2.0-S2405844019357652-main.pdf
dataset-621,10.1175/waf-d-18-0154.1,Weather and Forecasting,Integrated Surface Database,Long-Duration Freezing Rain Events over North America: Regional Climatology and Thermodynamic Evolution Long-Duration Freezing Rain Events over North America: Regional Climatology and Thermodynamic Evolution,,Maybe,Needs to sign-in,
dataset-621,10.1002/joc.5995,International Journal of Climatology,Integrated Surface Database,High-resolution mapping of daily climate variables by aggregating multiple spatial data sets with the random forest algorithm over the conterminous United States,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/joc.5995,Yes,,https://rmets.onlinelibrary.wiley.com/doi/epdf/10.1002/joc.5995
