datasets,doi,journal,search_term,title,url
dataset-622,10.1016/j.ufug.2019.126549,"{'id': 'jour.1034339', 'title': 'Urban Forestry & Urban Greening'}",National Flood Hazard Layer,Identification of environmental drivers in urban greenway communities,
dataset-622,10.1016/j.ancene.2019.100217,"{'id': 'jour.1146833', 'title': 'Anthropocene'}",National Flood Hazard Layer,A Survey-Based Assessment of Perceived Flood Risk in Urban Areas of the United States,
dataset-622,10.3390/rs11192260,Remote Sensing,National Flood Hazard Layer,"A Methodology to Assess Land Use Development, Flooding, and Wetland Change as Indicators of Coastal Vulnerability",http://dx.doi.org/10.3390/rs11192260
dataset-622,10.1016/j.ijdrr.2019.101310,"{'id': 'jour.1048745', 'title': 'International Journal of Disaster Risk Reduction'}",National Flood Hazard Layer,A resilience matrix approach for measuring and mitigating disaster-induced population displacement,
dataset-622,10.1007/s10640-018-00314-7,"{'id': 'jour.1049212', 'title': 'Environmental and Resource Economics'}",National Flood Hazard Layer,Special Flood Hazard Effects on Coastal and Interior Home Values: One Size Does Not Fit All,
dataset-622,10.1111/disa.12383,"{'id': 'jour.1086224', 'title': 'Disasters'}",National Flood Hazard Layer,Assessing Community Vulnerability to Floods and Hurricanes along the U.S. Gulf Coast,
dataset-622,10.1177/0361198119839346,"{'id': 'jour.1040436', 'title': 'Transportation Research Record Journal of the Transportation Research Board'}",National Flood Hazard Layer,"Analysis of Flood Vulnerability and Transit Availability with a Changing Climate in Harris County, Texas",
dataset-622,10.1016/j.gfj.2018.10.004,"{'id': 'jour.1140476', 'title': 'Global Finance Journal'}",National Flood Hazard Layer,Municipal financing costs following disasters,
dataset-622,10.1016/j.jenvman.2019.02.078,"{'id': 'jour.1018392', 'title': 'Journal of Environmental Management'}",National Flood Hazard Layer,Modeling residential coastal flood vulnerability using finished-floor elevations and socio-economic characteristics,
dataset-622,10.1016/j.rse.2019.03.022,Remote Sensing of Environment,National Flood Hazard Layer,Land subsidence in Houston correlated with flooding from Hurricane Harvey,https://doi.org/10.1016/j.rse.2019.03.022
dataset-622,10.1177/0013916517748711,"{'id': 'jour.1015691', 'title': 'Environment and Behavior'}",National Flood Hazard Layer,The Influence of Hazard Maps and Trust of Flood Controls on Coastal Flood Spatial Awareness and Risk Perception,
dataset-622,10.1017/aaq.2018.85,American Antiquity,National Flood Hazard Layer,"Preparing for the Future Impacts of Megastorms on Archaeological Sites: An Evaluation of Flooding from Hurricane Harvey, Houston, Texas",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A071425AD1C69A33E763A61378C87260/S0002731618000859a.pdf/div-class-title-preparing-for-the-future-impacts-of-megastorms-on-archaeological-sites-an-evaluation-of-flooding-from-hurricane-harvey-houston-texas-div.pdf
dataset-622,10.1080/02723638.2016.1206395,"{'id': 'jour.1026009', 'title': 'Urban Geography'}",National Flood Hazard Layer,"Urban resilience for whom, what, when, where, and why?",
dataset-622,10.3390/rs11020191,Remote Sensing,National Flood Hazard Layer,Rapid Flood Progress Monitoring in Cropland with NASA SMAP,https://www.mdpi.com/2072-4292/11/2/191/pdf
dataset-622,10.1016/j.scitotenv.2018.07.353,"{'id': 'jour.1015499', 'title': 'The Science of The Total Environment'}",National Flood Hazard Layer,Development of a spatially complete floodplain map of the conterminous United States using random forest,
dataset-622,10.2139/ssrn.3373139,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",National Flood Hazard Layer,Do NFIP Subsidies Matter to Homebuyers? Evidence from Nationwide Housing Sales,
dataset-622,10.2139/ssrn.3467329,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",National Flood Hazard Layer,Adaptation and Adverse Selection in Markets for Natural Disaster Insurance,
dataset-622,10.2139/ssrn.3396611,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",National Flood Hazard Layer,Let the Rich Be Flooded: The Unequal Impact of Hurricane Harvey on Household Debt,
dataset-622,10.5194/hess-22-5657-2018,Hydrology and Earth System Sciences,National Flood Hazard Layer,Challenges to implementing bottom-up flood risk decision analysis frameworks: how strong are social networks of flooding professionals?,https://www.hydrol-earth-syst-sci.net/22/5657/2018/hess-22-5657-2018.pdf
dataset-622,10.1080/1573062x.2019.1574841,"{'id': 'jour.1140468', 'title': 'Urban Water Journal'}",National Flood Hazard Layer,A new approach for using GIS to link infiltration BMPs to Groundwater Pollution Risk,
dataset-622,10.1029/2018wr023018,"{'id': 'jour.1081604', 'title': 'Water Resources Research'}",National Flood Hazard Layer,A Statistical Approach to Mapping Flood Susceptibility in the Lower Connecticut River Valley Region,
dataset-622,10.3390/urbansci2030085,Urban Science,National Flood Hazard Layer,"Reuse Choice, Flood Risk and Resilience, and Characteristics of Counties with Brownfield Cleanups",https://www.mdpi.com/2413-8851/2/3/85/pdf
dataset-622,10.1080/24694452.2017.1421896,"{'id': 'jour.1120577', 'title': 'Annals of the American Association of Geographers'}",National Flood Hazard Layer,Modeling the Dynamics of Community Resilience to Coastal Hazards Using a Bayesian Network,
dataset-622,10.1016/j.ijdrr.2018.01.023,"{'id': 'jour.1048745', 'title': 'International Journal of Disaster Risk Reduction'}",National Flood Hazard Layer,"Is storm surge scary? The influence of hazard, impact, and fear-based messages and individual differences on responses to hurricane risks in the U.S",
dataset-622,10.5194/hess-2018-327,Hydrology and Earth System Sciences Discussions,National Flood Hazard Layer,Challenges to Implementing Bottom-Up Flood Risk Decision Analysis Frameworks: How Strong are Social Networks of Flooding Professionals?,http://eprints.lse.ac.uk/90952/1/Elliott_Challenges-to-implementing.pdf
dataset-622,10.1029/2017wr022133,"{'id': 'jour.1081604', 'title': 'Water Resources Research'}",National Flood Hazard Layer,Policy Targeting to Reduce Economic Damages From Land Subsidence,
dataset-622,10.1007/s40572-018-0200-5,"{'id': 'jour.1049892', 'title': 'Current Environmental Health Reports'}",National Flood Hazard Layer,"Extreme Precipitation, Public Health Emergencies, and Safe Drinking Water in the USA",
dataset-622,10.5194/nhess-18-1073-2018,Natural Hazards and Earth System Science,National Flood Hazard Layer,Brief communication: Loss of life due to Hurricane Harvey,https://www.nat-hazards-earth-syst-sci.net/18/1073/2018/nhess-18-1073-2018.pdf
dataset-622,10.1111/rmir.12090,"{'id': 'jour.1023603', 'title': 'Risk Management and Insurance Review'}",National Flood Hazard Layer,Financing Flood Losses: A Discussion of the National Flood Insurance Program,
dataset-622,10.1111/jfr3.12257,"{'id': 'jour.1045084', 'title': 'Journal of Flood Risk Management'}",National Flood Hazard Layer,An approach for improving flood risk communication using realistic interactive visualisation,
dataset-622,10.1002/esp.4234,Earth Surface Processes and Landforms,National Flood Hazard Layer,Hydrogeomorphological differentiation between floodplains and terraces,http://onlinelibrary.wiley.com/doi/10.1002/esp.4234/pdf
dataset-622,10.1016/j.crm.2018.03.005,Climate Risk Management,National Flood Hazard Layer,American archives and climate change: risks and adaptation,https://doi.org/10.1016/j.crm.2018.03.005
dataset-622,10.5194/nhess-17-2199-2017,Natural Hazards and Earth System Science,National Flood Hazard Layer,Climate change impacts on flood risk and asset damages within mapped 100-year floodplains of the contiguous United States,https://www.nat-hazards-earth-syst-sci.net/17/2199/2017/nhess-17-2199-2017.pdf
dataset-622,10.1080/24694452.2017.1320214,"{'id': 'jour.1120577', 'title': 'Annals of the American Association of Geographers'}",National Flood Hazard Layer,Changes in Exposure to Flood Hazards in the United States,
dataset-622,10.5194/esurf-5-369-2017,Earth Surface Dynamics,National Flood Hazard Layer,Geomorphometric delineation of floodplains and terraces from objectively defined topographic thresholds,https://www.earth-surf-dynam.net/5/369/2017/esurf-5-369-2017.pdf
dataset-622,10.1007/s11069-017-2806-6,"{'id': 'jour.1050117', 'title': 'Natural Hazards'}",National Flood Hazard Layer,"Spatiotemporal analysis of residential flood exposure in the Atlanta, Georgia metropolitan area",
dataset-622,10.1016/j.dib.2017.03.044,Data in Brief,National Flood Hazard Layer,Dataset of 100-year flood susceptibility maps for the continental U.S. derived with a geomorphic method,https://doi.org/10.1016/j.dib.2017.03.044
dataset-622,10.5194/nhess-2017-152,Natural Hazards and Earth System Sciences Discussions,National Flood Hazard Layer,Modeled changes in 100 year Flood Risk and Asset Damages within Mapped Floodplains of the Contiguous United States,https://doi.org/10.5194/nhess-2017-152
dataset-622,10.5194/esurf-2017-21,Earth Surface Dynamics Discussions,National Flood Hazard Layer,Geomorphometric delineation of floodplains and terraces from objectively defined topographic thresholds,https://doi.org/10.5194/esurf-2017-21
dataset-622,10.1175/wcas-d-16-0076.1,"{'id': 'jour.1048437', 'title': 'Weather Climate and Society'}",National Flood Hazard Layer,Improving Coastal Storm Evacuation Messages,
dataset-622,10.1111/1752-1688.12474,JAWRA Journal of the American Water Resources Association,National Flood Hazard Layer,Conceptual Framework for the National Flood Interoperability Experiment,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1752-1688.12474
dataset-622,10.1016/j.advwatres.2017.01.007,"{'id': 'jour.1039900', 'title': 'Advances in Water Resources'}",National Flood Hazard Layer,Geomorphic classifiers for flood-prone areas delineation for data-scarce environments,
dataset-622,10.2139/ssrn.2947917,"{'id': 'jour.1276748', 'title': 'SSRN Electronic Journal'}",National Flood Hazard Layer,Financing Flood Losses: A Discussion of the National Flood Insurance Program,
dataset-622,10.1007/s13157-016-0836-6,"{'id': 'jour.1045785', 'title': 'Wetlands'}",National Flood Hazard Layer,"Field Verification of Original and Updated National Wetlands Inventory Maps in three Metropolitan Areas in Illinois, USA",
dataset-622,10.1115/ipc2016-64128,,National Flood Hazard Layer,Utilizing Modern Data and Technologies for Pipeline Risk Assessment,
dataset-622,10.1111/1752-1688.12408,"{'id': 'jour.1081849', 'title': 'JAWRA Journal of the American Water Resources Association'}",National Flood Hazard Layer,"Recent Changes in Stream Flashiness and Flooding, and Effects of Flood Management in North Carolina and Virginia",
dataset-622,10.1111/risa.12505,"{'id': 'jour.1092707', 'title': 'Risk Analysis'}",National Flood Hazard Layer,"Flood Risk, Flood Mitigation, and Location Choice: Evaluating the National Flood Insurance Program's Community Rating System",
dataset-622,10.1080/01944363.2015.1123640,"{'id': 'jour.1122147', 'title': 'Journal of the American Planning Association'}",National Flood Hazard Layer,Building Community Resilience Through Historic Preservation,
dataset-622,10.1016/j.jenvman.2015.10.044,Journal of Environmental Management,National Flood Hazard Layer,An empirical assessment of which inland floods can be managed,https://manuscript.elsevier.com/S030147971530342X/pdf/S030147971530342X.pdf
dataset-622,10.1088/1748-9326/10/9/095010,Environmental Research Letters,National Flood Hazard Layer,"Assessing the environmental justice consequences of flood risk: a case study in Miami, Florida",https://iopscience.iop.org/article/10.1088/1748-9326/10/9/095010/pdf
dataset-622,10.1371/journal.pone.0132651,PLoS ONE,National Flood Hazard Layer,Aligning Natural Resource Conservation and Flood Hazard Mitigation in California,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0132651&type=printable
dataset-622,10.1080/00139157.2015.1048134,"{'id': 'jour.1011588', 'title': 'Environment Science and Policy for Sustainable Development'}",National Flood Hazard Layer,Extreme Weather Events and Interconnected Infrastructures: Toward More Comprehensive Climate Change Planning,
dataset-622,10.1680/cien.14.00032,"{'id': 'jour.1138351', 'title': 'Proceedings of the Institution of Civil Engineers - Civil Engineering'}",National Flood Hazard Layer,"Assessment of infrastructure devastated by extreme floods: a case study from Colorado, USA",
dataset-622,10.1007/978-94-007-5234-4,,National Flood Hazard Layer,Coastal Hazards,
dataset-622,10.1007/978-94-007-5234-4_6,,National Flood Hazard Layer,Estimating the United States Population at Risk from Coastal Flood-Related Hazards,
dataset-622,10.2139/ssrn.2365778,SSRN Electronic Journal,National Flood Hazard Layer,"Natural Amenities, Neighborhood Dynamics, and Persistence in the Spatial Distribution of Income",http://www.philadelphiafed.org/research-and-data/publications/working-papers/2013/wp13-48.pdf
dataset-622,10.1016/j.prevetmed.2012.05.004,"{'id': 'jour.1093527', 'title': 'Preventive Veterinary Medicine'}",National Flood Hazard Layer,Evaluations of hydrologic risk factors for canine leptospirosis: 94 cases (2002–2009),
dataset-622,10.1007/978-3-642-35267-6_30,,National Flood Hazard Layer,A Study on Damage Spatial Data Generation to Construct Disaster History Information,
dataset-622,10.1007/978-3-642-35267-6,,National Flood Hazard Layer,"Computer Applications for Software Engineering, Disaster Recovery, and Business Continuity, International Conferences, ASEA and DRBC 2012, Held in Conjunction with GST 2012, Jeju Island, Korea, November 28-December 2, 2012. Proceedings",
dataset-622,10.2112/jcoastres-d-09-00076.1,Journal of Coastal Research,National Flood Hazard Layer,An Estimate of the U.S. Population Living in 100-Year Coastal Flood Hazard Areas,http://www.pewclimate.org/docUploads/env_sealevel.pdf
