datasets,doi,journal,search_term,title
dataset-624,10.1016/j.atmosres.2019.104790,"{'id': 'jour.1031343', 'title': 'Atmospheric Research'}",Next Generation Weather Radar,Improvement of aerosol activation/ice nucleation in a source-oriented WRF-Chem model to study a winter Storm in California
dataset-624,10.1016/j.jhydrol.2019.124248,"{'id': 'jour.1126746', 'title': 'Journal of Hydrology'}",Next Generation Weather Radar,Optimized Raindrop Size Distribution Retrieval and Quantitative Rainfall Estimation from Polarimetric Radar
dataset-624,10.1007/978-3-030-16621-2,,Next Generation Weather Radar,Advances in Computer Science for Engineering and Education II
dataset-624,10.1007/978-981-10-7647-3,,Next Generation Weather Radar,Advanced Metric Wave Radar
dataset-624,10.1007/978-981-13-9042-5,,Next Generation Weather Radar,"Computational Intelligence in Pattern Recognition, Proceedings of CIPR 2019"
dataset-624,10.1007/978-981-13-9386-0,,Next Generation Weather Radar,Air Traffic Control Automated Systems
dataset-624,10.1007/978-981-32-9690-9,,Next Generation Weather Radar,"Smart Intelligent Computing and Applications, Proceedings of the Third International Conference on Smart Computing and Informatics, Volume 2"
dataset-624,10.1007/978-3-030-14628-3,,Next Generation Weather Radar,"Validation and Verification of Automated Systems, Results of the ENABLE-S3 Project"
dataset-624,10.1007/978-3-030-37442-6,,Next Generation Weather Radar,Proceedings of the 23rd Asia Pacific Symposium on Intelligent and Evolutionary Systems
dataset-624,10.1007/978-3-030-20212-5,,Next Generation Weather Radar,Machine Learning and Data Mining in Aerospace Technology
dataset-624,10.1007/978-981-15-0663-5,,Next Generation Weather Radar,"Internet of Things and Analytics for Agriculture, Volume 2"
dataset-624,10.1007/978-3-030-21718-1,,Next Generation Weather Radar,Geodetic Time Series Analysis in Earth Sciences
dataset-624,10.1007/978-3-030-10979-0,,Next Generation Weather Radar,"Remote Sensing for Archaeology and Cultural Landscapes, Best Practices and Perspectives Across Europe and the Middle East"
dataset-624,10.1007/978-981-13-7139-4,,Next Generation Weather Radar,"Smart Technologies, Scope and Applications"
dataset-624,10.1007/978-3-030-18963-1,,Next Generation Weather Radar,"Nonlinear Approaches in Engineering Applications, Automotive Applications of Engineering Problems"
dataset-624,10.1007/978-3-030-16450-8,,Next Generation Weather Radar,Technological Trends in Improved Mobility of the Visually Impaired
dataset-624,10.1007/978-981-13-9081-4,,Next Generation Weather Radar,Magnetohydrodynamic Modeling of the Solar Corona and Heliosphere
dataset-624,10.1007/978-3-030-32591-6,,Next Generation Weather Radar,"Advances in Natural Computation, Fuzzy Systems and Knowledge Discovery, Volume 2"
dataset-624,10.1007/978-3-030-30465-2,,Next Generation Weather Radar,"Intelligent Computing, Information and Control Systems, ICICCS 2019"
dataset-624,10.1007/978-981-15-0077-0,,Next Generation Weather Radar,"Smart Trends in Computing and Communications, Proceedings of SmartCom 2019"
