datasets,doi,journal,search_term,title,url
dataset-622,10.1016/j.jeca.2019.e00137,"{'id': 'jour.1047627', 'title': 'The Journal of Economic Asymmetries'}",SLR,Policy transmission in Indian money markets: The role of liquidity,
dataset-622,10.1016/j.jfoodeng.2019.109840,"{'id': 'jour.1127677', 'title': 'Journal of Food Engineering'}",SLR,Supercooling preservation on quality of beef steak,
dataset-622,10.26599/tst.2019.9010006,"{'id': 'jour.1294771', 'title': 'Tsinghua Science & Technology'}",SLR,5Ws of green and sustainable software,
dataset-622,10.1016/j.mvr.2019.103957,"{'id': 'jour.1010513', 'title': 'Microvascular Research'}",SLR,Unique changes in the retinal microvasculature reveal subclinical retinal impairment in patients with systemic lupus erythematosus,
dataset-622,10.1016/j.vhri.2019.07.013,"{'id': 'jour.1047455', 'title': 'Value in Health Regional Issues'}",SLR,Cost-Effectiveness of Transcatheter Aortic Valve Implantation Using a Balloon-Expandable Valve in Japan: Experience From the Japanese Pilot Health Technology Assessment,
dataset-622,10.1016/j.geothermics.2019.101758,"{'id': 'jour.1137459', 'title': 'Geothermics'}",SLR,An updated ground thermal properties database for GSHP applications,
dataset-622,10.1016/j.csl.2019.101053,"{'id': 'jour.1096896', 'title': 'Computer Speech & Language'}",SLR,Trajectory-Based Recognition of Dynamic Persian Sign Language Using Hidden Marcov Model,
dataset-622,10.1016/j.chemosphere.2019.125508,"{'id': 'jour.1015185', 'title': 'Chemosphere'}",SLR,Influence of operating conditions on sulfate reduction from real mining process water by membrane biofilm reactors,
dataset-622,10.1016/j.ins.2019.12.005,"{'id': 'jour.1119728', 'title': 'Information Sciences'}",SLR,Hybrid Adversarial Network for Unsupervised Domain Adaptation,
dataset-622,10.1016/j.chemosphere.2019.125381,"{'id': 'jour.1015185', 'title': 'Chemosphere'}",SLR,Simultaneous biological nitrification and desulfurization treatment of ammonium and sulfide-rich wastewater: Effectiveness of a sequential batch operation,
dataset-622,10.1016/j.tourman.2019.104010,"{'id': 'jour.1052651', 'title': 'Tourism Management'}",SLR,Mobile phone network data reveal nationwide economic value of coastal tourism under climate change,
