datasets,doi,journal,search_term,title,url
dataset-610,10.1186/s40537-019-0254-8,"{'id': 'jour.1051924', 'title': 'Journal of Big Data'}",SLR Data,An analytical study of information extraction from unstructured and multidimensional big data,
dataset-610,10.1016/j.infsof.2019.08.007,"{'id': 'jour.1129802', 'title': 'Information and Software Technology'}",SLR Data,Software Process Line as an Approach to Support Software Process Reuse: a Systematic Literature Review,
dataset-610,10.1109/tgrs.2018.2885845,"{'id': 'jour.1033615', 'title': 'IEEE Transactions on Geoscience and Remote Sensing'}",SLR Data,Impact of the Atmospheric Non-tidal Pressure Loading on Global Geodetic Parameters Based on Satellite Laser Ranging to GNSS,
dataset-610,10.1016/j.tele.2018.01.015,"{'id': 'jour.1138016', 'title': 'Telematics and Informatics'}",SLR Data,Social Media for Knowledge-Sharing: A Systematic Literature Review,
dataset-610,10.1007/978-981-13-7759-4,,SLR Data,"China Satellite Navigation Conference (CSNC) 2019 Proceedings, Volume II",https://link.springer.com/content/pdf/bfm%3A978-981-13-7759-4%2F1.pdf
dataset-610,10.1007/978-981-13-7759-4_35,,SLR Data,Precision Analysis of BDS-3 Satellite Orbit by Using SLR Data,
dataset-610,10.1186/s41687-018-0091-0,Journal of Patient-Reported Outcomes,SLR Data,Exploring the implementation of patient-reported outcome measures in cancer care: need for more real-world evidence results in the peer reviewed literature,https://jpro.springeropen.com/track/pdf/10.1186/s41687-018-0091-0
dataset-610,10.1109/icced.2018.00031,,SLR Data,Recommendation System for Smart LMS Using Machine Learning: A Literature Review,
dataset-610,10.3390/s18092847,Sensors,SLR Data,Orbit Determination of Korean GEO Satellite Using Single SLR Sensor,https://www.mdpi.com/1424-8220/18/9/2847/pdf
dataset-610,10.1007/978-3-319-69170-1,,SLR Data,"International Symposium on Earth and Environmental Sciences for Future Generations, Proceedings of the IAG General Assembly, Prague, Czech Republic, June 22-July 2, 2015",
dataset-610,10.1109/cpgps.2017.8075132,,SLR Data,SLR Data Quality Analysis and Assessment Based on Zero-Difference Kinematic Orbit of GRACE Satellites,
