datasets,doi,journal,search_term,title,url
dataset-613,10.1016/j.wri.2019.100121,"{'id': 'jour.1149151', 'title': 'Water Resources and Industry'}",SVI,Electrochemical treatment of industrial cooling tower blowdown water using magnesium-rod electrode,
dataset-613,10.1016/j.chemosphere.2019.125570,"{'id': 'jour.1015185', 'title': 'Chemosphere'}",SVI,Enhancement of anammox bacterial activity by sodium glutamate,
dataset-613,10.1016/j.chemosphere.2019.125371,"{'id': 'jour.1015185', 'title': 'Chemosphere'}",SVI,Factors influencing Candidatus Microthrix parvicella growth and specific filamentous bulking control: A review,
dataset-613,10.1016/j.renene.2019.10.003,"{'id': 'jour.1048491', 'title': 'Renewable Energy'}",SVI,Sequential dilute acid and alkali deconstruction of sugarcane bagasse for improved hydrolysis: Insight from small angle neutron scattering (SANS),
dataset-613,10.1016/j.chemosphere.2019.125434,"{'id': 'jour.1015185', 'title': 'Chemosphere'}",SVI,Startup and stable operation of advanced continuous flow reactor and the changes of microbial communities in aerobic granular sludge,
dataset-613,10.1016/j.adhoc.2019.102033,"{'id': 'jour.1034789', 'title': 'Ad Hoc Networks'}",SVI,Reliable Congestion Control Mechanism for Safety Applications in Urban VANETs,
dataset-613,10.1016/j.jbusres.2019.10.061,"{'id': 'jour.1028262', 'title': 'Journal of Business Research'}",SVI,Attention-grabbing IPOs in early stages for IT firms: An empirical analysis of post-IPO performance,
dataset-613,10.1016/j.seppur.2019.116049,"{'id': 'jour.1043159', 'title': 'Separation and Purification Technology'}",SVI,Sludge volume index and suspended solids estimation of mature aerobic granular sludge by quantitative image analysis and chemometric tools,
dataset-613,10.1016/j.chemosphere.2019.125159,"{'id': 'jour.1015185', 'title': 'Chemosphere'}",SVI,Improving aerobic sludge granulation in sequential batch reactor by natural drying: Effluent sludge recovery and feeding back into reactor,
dataset-613,10.1016/j.strusafe.2019.101907,"{'id': 'jour.1138278', 'title': 'Structural Safety'}",SVI,Measurement of the threshold of community seismic resilience using dynamics-based metrics,
dataset-613,10.1016/j.jwpe.2019.101018,"{'id': 'jour.1143108', 'title': 'Journal of Water Process Engineering'}",SVI,A novel convenient approach toward the fouling alleviation in membrane bioreactors using the combined methods of oxidation and coagulation,
dataset-613,10.1016/j.ccl.2019.09.002,"{'id': 'jour.1093653', 'title': 'Cardiology Clinics'}",SVI,"Aortic Stenosis with Other Concomitant Valvular Disease Aortic Regurgitation, Mitral Regurgitation, Mitral Stenosis, or Tricuspid Regurgitation",
dataset-613,10.1016/j.jad.2019.11.012,"{'id': 'jour.1089762', 'title': 'Journal of Affective Disorders'}",SVI,Negative view of the self and symptoms of depression in adolescents,
dataset-613,10.1016/j.istruc.2019.10.016,"{'id': 'jour.1146586', 'title': 'Structures'}",SVI,The efficiency of an improved seismic vulnerability index under strong ground motions,
dataset-613,10.1016/j.jhazmat.2019.121273,"{'id': 'jour.1106099', 'title': 'Journal of Hazardous Materials'}",SVI,Formation of partial-denitrification (PD) granular sludge from low-strength nitrate wastewater: the influence of loading rates,
dataset-613,10.1016/j.jhazmat.2019.121184,"{'id': 'jour.1106099', 'title': 'Journal of Hazardous Materials'}",SVI,"Alternated biodegradation of naphthalene (NAP), acenaphthylene (ACY) and acenaphthene (ACE) in an aerobic granular sludge reactor (GSBR)",
dataset-613,10.1016/j.scitotenv.2019.134376,"{'id': 'jour.1015499', 'title': 'The Science of The Total Environment'}",SVI,Understanding the role of cellulose fiber on the dewaterability of simulated pulp and paper mill sludge,
dataset-613,10.1016/j.cej.2019.122799,"{'id': 'jour.1127675', 'title': 'Chemical Engineering Journal'}",SVI,Performance of Chlorella sorokiniana-Activated Sludge consortium treating wastewater under light-limited heterotrophic condition,
dataset-613,10.1016/j.jenvman.2019.109850,"{'id': 'jour.1018392', 'title': 'Journal of Environmental Management'}",SVI,Effect of calcium addition on the formation and maintenance of aerobic granular sludge (AGS) in simultaneous fill/draw mode sequencing batch reactors (SBRs),
dataset-613,10.1016/j.scitotenv.2019.135031,"{'id': 'jour.1015499', 'title': 'The Science of The Total Environment'}",SVI,Efficient municipal wastewater treatment by oxidation ditch process at low temperature: Bacterial community structure in activated sludge,
dataset-613,10.1080/09593330.2018.1491637,"{'id': 'jour.1126598', 'title': 'Environmental Technology'}",SVI,Application of response surface methodology (RSM) for optimizing coagulation process of paper recycling wastewater using Ocimum basilicum,
dataset-613,10.1080/01904167.2019.1659324,"{'id': 'jour.1026188', 'title': 'Journal of Plant Nutrition'}",SVI,Effect of salt stress on tomato plant and the role of calcium,
dataset-613,10.1080/10409289.2019.1609819,"{'id': 'jour.1099954', 'title': 'Early Education and Development'}",SVI,"Differences and Associations in Symbolic and Non-Symbolic Early Numeracy Competencies of Chilean Kinder Grade Children, considering Socioeconomic Status of Schools",
dataset-613,10.1002/jctb.6212,"{'id': 'jour.1097496', 'title': 'Journal of Chemical Technology & Biotechnology'}",SVI,Biological nutrient removal from slaughterhouse wastewater via nitritation/denitritation using granular sludge: an onsite pilot demonstration,
dataset-613,10.1016/j.powtec.2019.09.011,"{'id': 'jour.1131466', 'title': 'Powder Technology'}",SVI,Intensification of uniflow cyclone performance at low loading,
dataset-613,10.1016/j.biortech.2019.122279,"{'id': 'jour.1133055', 'title': 'Bioresource Technology'}",SVI,"Impact of the acetate/oleic acid ratio on the performance, quorum sensing, and microbial community of sequencing batch reactor system",
