datasets,doi,journal,search_term,title,url
dataset-622,10.1029/2019jc015055,"{'id': 'jour.1052083', 'title': 'Journal of Geophysical Research Oceans'}",Tidal Datums,Historical Changes in Lower Columbia River and Estuary Floods: A Numerical Study,
dataset-622,10.1101/821827,"{'id': 'jour.1293558', 'title': 'bioRxiv'}",Tidal Datums,"Sediment accumulation, elevation change, and the vulnerability of tidal marshes in the Delaware Estuary and Barnegat Bay to accelerated sea level rise",
dataset-622,10.3390/w11112228,Water,Tidal Datums,A Rapid Assessment Method to Identify Potential Groundwater Flooding Hotspots as Sea Levels Rise in Coastal Cities,http://dx.doi.org/10.3390/w11112228
dataset-622,10.2112/jcoastres-d-18-00074.1,"{'id': 'jour.1137383', 'title': 'Journal of Coastal Research'}",Tidal Datums,Examining Coastal Dynamics and Archaeological Site Evidence at a Drowned Cirque Basin Influenced by Earthquakes and Little Ice Age Glaciation,
dataset-622,10.1007/s10666-018-9622-6,"{'id': 'jour.1136031', 'title': 'Environmental Modeling & Assessment'}",Tidal Datums,Sea-Level Rise Impact on Salt Marsh Sustainability and Migration for a Subtropical Estuary: GTMNERR (Guana Tolomato Matanzas National Estuarine Research Reserve),
dataset-622,10.3390/jmse7020044,Journal of Marine Science and Engineering,Tidal Datums,Modeling Tidal Datums and Spatially Varying Uncertainty in the Texas and Western Louisiana Coastal Waters,https://www.mdpi.com/2077-1312/7/2/44/pdf
dataset-622,10.1016/j.ecss.2018.11.003,"{'id': 'jour.1120689', 'title': 'Estuarine Coastal and Shelf Science'}",Tidal Datums,Salt marsh ecosystem restructuring enhances elevation resilience and carbon storage during accelerating relative sea-level rise,
dataset-622,10.1007/978-3-319-93806-6_59,,Tidal Datums,Capping of Contaminated Coastal Areas,
dataset-622,10.1007/978-3-319-93806-6_309,,Tidal Datums,Tafone,
dataset-622,10.1007/978-3-319-93806-6_177,,Tidal Datums,Ice-Bordered Coasts,
dataset-622,10.1007/978-3-319-93806-6_314,,Tidal Datums,Tidal Datums,
dataset-622,10.1007/978-3-319-93806-6_26,,Tidal Datums,Barrier,
dataset-622,10.1007/978-3-319-93806-6_147,,Tidal Datums,Geochronology,
dataset-622,10.1007/978-3-319-93806-6,,Tidal Datums,Encyclopedia of Coastal Science,https://link.springer.com/content/pdf/bfm%3A978-3-319-93806-6%2F1.pdf
dataset-622,10.3390/jmse6040131,Journal of Marine Science and Engineering,Tidal Datums,Improvements for the Eastern North Pacific ADCIRC Tidal Database (ENPAC15),https://www.mdpi.com/2077-1312/6/4/131/pdf
dataset-622,10.2112/jcoastres-d-17-00211.1,Journal of Coastal Research,Tidal Datums,Estimating Coastal Digital Elevation Model Uncertainty,https://doi.org/10.2112/jcoastres-d-17-00211.1
dataset-622,10.3390/jmse6040114,Journal of Marine Science and Engineering,Tidal Datums,Tidal Datums with Spatially Varying Uncertainty in North-East Gulf of Mexico for VDatum Application,https://www.mdpi.com/2077-1312/6/4/114/pdf
dataset-622,10.1007/s11852-018-0605-1,Journal of Coastal Conservation,Tidal Datums,Adding to the toolbox for tidal-inundation mapping in estuarine areas,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6416087
dataset-622,10.1016/j.margeo.2018.02.010,"{'id': 'jour.1026150', 'title': 'Marine Geology'}",Tidal Datums,Episodic reef growth in the granitic Seychelles during the Last Interglacial: Implications for polar ice sheet dynamics,
dataset-622,10.1016/j.ecss.2017.11.034,"{'id': 'jour.1120689', 'title': 'Estuarine Coastal and Shelf Science'}",Tidal Datums,Improving salt marsh digital elevation model accuracy with full-waveform lidar and nonparametric predictive modeling,
dataset-622,10.1016/j.ijnaoe.2017.03.004,International Journal of Naval Architecture and Ocean Engineering,Tidal Datums,"Analysis on the estimation errors of the lowest and highest astronomical tides for the southwestern 2.5 GW offshore wind farm, Korea",https://doi.org/10.1016/j.ijnaoe.2017.03.004
dataset-622,10.1007/978-3-319-48657-4_37-2,,Tidal Datums,Beach Profile,
dataset-622,10.1007/978-3-319-48657-4_183-2,,Tidal Datums,Isostasy,
dataset-622,10.1007/978-3-319-48657-4_148-2,,Tidal Datums,Geodesy,
dataset-622,10.1007/978-3-319-48657-4_314-2,,Tidal Datums,Tidal Datums,
dataset-622,10.1007/978-3-319-48657-4_37-3,,Tidal Datums,Beach Profile,
dataset-622,10.3390/rs9101020,Remote Sensing,Tidal Datums,UAS-SfM for Coastal Research: Geomorphic Feature Extraction and Land Cover Classification from High-Resolution Elevation and Optical Imagery,https://www.mdpi.com/2072-4292/9/10/1020/pdf
dataset-622,10.1016/j.isprsjprs.2017.07.008,"{'id': 'jour.1044622', 'title': 'ISPRS Journal of Photogrammetry and Remote Sensing'}",Tidal Datums,Reconstruction of time-varying tidal flat topography using optical remote sensing imageries,
dataset-622,10.1016/j.marmicro.2017.06.003,"{'id': 'jour.1023049', 'title': 'Marine Micropaleontology'}",Tidal Datums,Applicability of transfer functions for relative sea-level reconstructions in the southern North Sea coastal region based on salt-marsh foraminifera,
dataset-622,10.3390/jmse5030031,Journal of Marine Science and Engineering,Tidal Datums,South Florida’s Encroachment of the Sea and Environmental Transformation over the 21st Century,https://www.mdpi.com/2077-1312/5/3/31/pdf
dataset-622,10.1007/s10641-017-0589-y,"{'id': 'jour.1035234', 'title': 'Environmental Biology of Fishes'}",Tidal Datums,Abundance and distribution of sturgeon feeding pits in a Washington estuary,
dataset-622,10.1007/978-3-319-42928-1,,Tidal Datums,Springer Handbook of Global Navigation Satellite Systems,
dataset-622,10.1007/978-3-319-42928-1_35,,Tidal Datums,Surveying,
dataset-622,10.3390/jmse4040079,Journal of Marine Science and Engineering,Tidal Datums,Tidal Datum Changes Induced by Morphological Changes of North Carolina Coastal Inlets,https://www.mdpi.com/2077-1312/4/4/79/pdf
dataset-622,10.3390/jmse4040077,Journal of Marine Science and Engineering,Tidal Datums,Model Development and Hindcast Simulations of NOAA’s Gulf of Maine Operational Forecast System,https://www.mdpi.com/2077-1312/4/4/77/pdf
dataset-622,10.3390/jmse4040072,Journal of Marine Science and Engineering,Tidal Datums,"Improvements for the Western North Atlantic, Caribbean and Gulf of Mexico ADCIRC Tidal Database (EC2015)",https://www.mdpi.com/2077-1312/4/4/72/pdf
dataset-622,10.3390/jmse4040064,Journal of Marine Science and Engineering,Tidal Datums,Statistical Interpolation of Tidal Datums and Computation of Its Associated Spatially Varying Uncertainty,https://www.mdpi.com/2077-1312/4/4/64/pdf
dataset-622,10.1016/j.ecolmodel.2016.01.013,Ecological Modelling,Tidal Datums,"A coupled, two-dimensional hydrodynamic-marsh model with biological feedback",https://manuscript.elsevier.com/S0304380016300011/pdf/S0304380016300011.pdf
dataset-622,10.1080/01490419.2016.1160011,"{'id': 'jour.1138511', 'title': 'Marine Geodesy'}",Tidal Datums,Hydrographic Vertical Separation Surfaces (HyVSEPs) for the Tidal Waters of Canada,
dataset-622,10.2112/jcoastres-d-15-00100.1,"{'id': 'jour.1137383', 'title': 'Journal of Coastal Research'}",Tidal Datums,"The Impacts of Sea-Level Rise on Tidal Flooding in Boston, Massachusetts",
dataset-622,10.3390/jmse3041382,Journal of Marine Science and Engineering,Tidal Datums,Time Evolution of Man-Made Harbor Modifications in San Diego: Effects on Tsunamis,https://www.mdpi.com/2077-1312/3/4/1382/pdf
