datasets,doi,journal,search_term,title
dataset-624,10.1146/annurev-earth-071719-054845,"{'id': 'jour.1026175', 'title': 'Annual Review of Earth and Planetary Sciences'}",Tide gauge information,Tsunami Modeling for the Deep Sea and Inside Focal Areas
dataset-624,10.26833/ijeg.580510,"{'id': 'jour.1299723', 'title': 'International Journal of Engineering and Geosciences'}",Tide gauge information,INVESTIGATION OF BLACK SEA MEAN SEA LEVEL VARIABILITY BY SINGULAR SPECTRUM ANALYSIS
dataset-624,10.1016/j.rse.2019.111548,"{'id': 'jour.1045931', 'title': 'Remote Sensing of Environment'}",Tide gauge information,Validation of Sentinel-3A SAR mode sea level anomalies around the Australian coastal region
dataset-624,10.1016/j.earscirev.2019.102948,"{'id': 'jour.1052623', 'title': 'Earth-Science Reviews'}",Tide gauge information,Remote sensing of glacier and ice sheet grounding lines: A review
dataset-624,10.1016/j.jenvman.2019.109915,"{'id': 'jour.1018392', 'title': 'Journal of Environmental Management'}",Tide gauge information,"Synthetic vulnerability assessment to inform climate-change adaptation along an urbanized coast of Shenzhen, China"
dataset-624,10.1016/j.jafrearsci.2019.103726,"{'id': 'jour.1284251', 'title': 'Journal of African Earth Sciences'}",Tide gauge information,A methodological approach for mapping Tunisia‘s lower coast’s risk of submersion: the case of the coastal sabkhas of Sidi Khlifa and Halq El Menjel (Central-East Tunisia)
dataset-624,10.1016/j.margeo.2019.106048,"{'id': 'jour.1026150', 'title': 'Marine Geology'}",Tide gauge information,Decadal-scale morphological evolution of a muddy open coast
dataset-624,10.1146/annurev-marine-010419-010610,"{'id': 'jour.1327494', 'title': 'Annual Review of Marine Science'}",Tide gauge information,Improving Predictions of Salt Marsh Evolution Through Better Integration of Data and Models
dataset-624,10.1016/j.ecss.2019.106509,"{'id': 'jour.1120689', 'title': 'Estuarine Coastal and Shelf Science'}",Tide gauge information,Using passive acoustic monitoring to investigate the occurrence of cetaceans in a protected marine area in northwest Ireland
dataset-624,10.1016/j.coastaleng.2019.103593,"{'id': 'jour.1137566', 'title': 'Coastal Engineering'}",Tide gauge information,Optical wave gauging using deep neural networks
dataset-624,10.1016/j.oceaneng.2019.106706,"{'id': 'jour.1137131', 'title': 'Ocean Engineering'}",Tide gauge information,Development of a numerical marine weather routing system for coastal and marginal seas using regional oceanic and atmospheric simulations
dataset-624,10.1016/j.margeo.2019.106077,"{'id': 'jour.1026150', 'title': 'Marine Geology'}",Tide gauge information,Application of multivariate statistical techniques in alongshore differentiation of coastal barriers
dataset-624,10.1016/j.ijdrr.2019.101374,"{'id': 'jour.1048745', 'title': 'International Journal of Disaster Risk Reduction'}",Tide gauge information,Coastal vulnerability assessment of Meghna estuary of Bangladesh using integrated geospatial techniques
dataset-624,10.1016/j.jhydrol.2019.124361,"{'id': 'jour.1126746', 'title': 'Journal of Hydrology'}",Tide gauge information,Modelling Groundwater Flooding In A Lowland Karst Catchment
dataset-624,10.1016/j.csr.2019.104026,"{'id': 'jour.1044667', 'title': 'Continental Shelf Research'}",Tide gauge information,Importance of infragravity waves in a wave-dominated inlet under storm conditions
dataset-624,10.1007/978-3-030-15632-9,,Tide gauge information,"Mysterious Ocean, Physical Processes and Geological Evolution"
dataset-624,10.1007/978-3-030-24643-3_121,,Tide gauge information,A Comprehensive Study of Various Techniques Used for Flood Prediction
dataset-624,10.1007/978-3-030-14015-1_26,,Tide gauge information,Earth Tide Effect in Karstic and Non-karstic Aquifers in the Guinea Gulf
dataset-624,10.1007/978-981-15-0291-0,,Tide gauge information,"APAC 2019, Proceedings of the 10th International Conference on Asian and Pacific Coasts, 2019, Hanoi, Vietnam"
dataset-624,10.1007/978-3-030-20680-2,,Tide gauge information,"The Future of Management in an AI World, Redefining Purpose and Strategy in the Fourth Industrial Revolution"
