ISSN,datasets,doi,journal,title,url
2052-4463,dataset-623,10.1038/s41597-019-0333-x,Scientific data,An extreme sea level indicator for the contiguous United States coastline.,https://doi.org/10.1038/s41597-019-0333-x
2375-2548,dataset-623,10.1126/sciadv.aaw9883,Science advances,The polar regions in a 2°C warmer world.,https://doi.org/10.1126/sciadv.aaw9883
2041-1723,dataset-623,10.1038/s41467-019-13552-0,Nature communications,Author Correction: New elevation data triple estimates of global vulnerability to sea-level rise and coastal flooding.,https://doi.org/10.1038/s41467-019-13552-0
2045-2322,dataset-623,10.1038/s41598-019-54239-2,Scientific reports,"Global ocean freshening, ocean mass increase and global mean sea level rise over 2005-2015.",https://doi.org/10.1038/s41598-019-54239-2
1932-6203,dataset-623,10.1371/journal.pone.0225048,PloS one,Cold-related Florida manatee mortality in relation to air and water temperatures.,https://doi.org/10.1371/journal.pone.0225048
2041-1723,dataset-623,10.1038/s41467-019-12874-3,Nature communications,Asynchronous Antarctic and Greenland ice-volume contributions to the last interglacial sea-level highstand.,https://doi.org/10.1038/s41467-019-12874-3
1424-8220,dataset-623,,"Sensors (Basel, Switzerland)",Prediction of Sea Level Nonlinear Trends around Shandong Peninsula from Satellite Altimetry.,
2375-2548,dataset-623,10.1126/sciadv.aaw5980,Science advances,Lake sediments with Azorean tephra reveal ice-free conditions on coastal northwest Spitsbergen during the Last Glacial Maximum.,https://doi.org/10.1126/sciadv.aaw5980
1879-1026,dataset-623,,The Science of the total environment,The adaptation towards climate change impacts among islanders in Malaysia.,
1095-8630,dataset-623,,Journal of environmental management,Managed retreat for climate change adaptation in coastal megacities: A comparison of policy and practice in Manila and Vancouver.,
2352-3409,dataset-623,10.1016/j.dib.2019.104600,Data in brief,Relative sea-level data from the SEAMIS database compared to ICE-5G model predictions of glacial isostatic adjustment.,https://doi.org/10.1016/j.dib.2019.104600
2352-3409,dataset-623,10.1016/j.dib.2019.104585,Data in brief,Dataset of global extreme climatic indices due to an acceleration of ice sheet melting during the 21st century.,https://doi.org/10.1016/j.dib.2019.104585
2041-1723,dataset-623,10.1038/s41467-019-12808-z,Nature communications,New elevation data triple estimates of global vulnerability to sea-level rise and coastal flooding.,https://doi.org/10.1038/s41467-019-12808-z
1590-3729,dataset-623,,"Nutrition, metabolism, and cardiovascular diseases : NMCD",Does a rise in plasma erythropoietin after high-altitude exposure affect FGF23 in healthy volunteers on a normal or low-phosphorus diet?,
1660-4601,dataset-623,,International journal of environmental research and public health,Improved Estimates of Population Exposure in Low-Elevation Coastal Zones of China.,
2375-2548,dataset-623,10.1126/sciadv.aax2215,Science advances,Troughs developed in ice-stream shear margins precondition ice shelves for ocean-driven breakup.,https://doi.org/10.1126/sciadv.aax2215
1365-2486,dataset-623,10.1111/gcb.14800,Global change biology,Extreme spatial heterogeneity in carbonate accretion potential on a Caribbean fringing reef linked to local human disturbance gradients.,https://doi.org/10.1111/gcb.14800
2223-7747,dataset-623,,"Plants (Basel, Switzerland)",Differential Effects of Increasing Salinity on Germination and Seedling Growth of Native and Exotic Invasive Cordgrasses.,
1476-4687,dataset-623,10.1038/s41586-019-1550-3,Nature,Rapid expansion of Greenland's low-permeability ice slabs.,https://doi.org/10.1038/s41586-019-1550-3
2041-1723,dataset-623,10.1038/s41467-019-11602-1,Nature communications,Mekong delta much lower than previously assumed in sea-level rise impact assessments.,https://doi.org/10.1038/s41467-019-11602-1
1432-1009,dataset-623,10.1007/s00267-019-01198-z,Environmental management,Do the Adaptations of Venice and Miami to Sea Level Rise Offer Lessons for Other Vulnerable Coastal Cities?,https://doi.org/10.1007/s00267-019-01198-z
1932-6203,dataset-623,10.1371/journal.pone.0218558,PloS one,Insights into estuary habitat loss in the western United States using a new method for mapping maximum extent of tidal wetlands.,https://doi.org/10.1371/journal.pone.0218558
1095-8290,dataset-623,,Annals of botany,Seeds of change: characterizing the soil seed bank of a migrating salt marsh.,
2167-8359,dataset-623,10.7717/peerj.7397,PeerJ,262 Voyages Beneath the Sea: a global assessment of macro- and megafaunal biodiversity and research effort at deep-sea hydrothermal vents.,https://doi.org/10.7717/peerj.7397
0169-555X,dataset-623,10.1016/j.geomorph.2018.04.001,"Geomorphology (Amsterdam, Netherlands)","Response of a vulnerable barrier island to multi-year storm impacts: LiDAR-data-inferred morphodynamic changes on Ship Island, Mississippi, USA.",https://doi.org/10.1016/j.geomorph.2018.04.001
