title,url,authors,open,journal,search_term,dataset_id
Urban Climate Map System for Dutch spatial planning,http://dspace.library.uu.nl/handle/1874/278887,"Ren, C., Spit, T.J.M., Lenzholder, S., Yim, H.L.S., Heusinkveld, B., Hove, B. van, Chen, L., Kupski, S., Burghardt, R., Katzschner, L.",False,,Applied Climate Information System,dataset-642
Indigenous climate knowledge in southern Uganda: the multiple components of a dynamic regional system,http://www.escholarship.org/uc/item/198655bm,"Orlove, Ben, Roncoli, Carla, Kabugo, Merit, Majugu, Abushen",True,Climatic Change,Applied Climate Information System,dataset-642
Quantification of Information Exchange in Idealized and Climate System Applications,https://www.mdpi.com/1099-4300/21/11/1094,"Praveen Kumar Pothapakula, Cristina Primo, Bodo Ahrens",True,Entropy,Applied Climate Information System,dataset-642
"Hazard Ratings of Debris Flow Evacuation Sites in Hillside Communities of Ershui Township, Changhua County, Taiwan",http://www.mdpi.com/2073-4441/8/2/54,Szu-Hsien Peng,True,Water,Applied Climate Information System,dataset-642
Understanding climate data through commentary metadata: the CHARMe project,http://centaur.reading.ac.uk/34397/1/CHARMe%20Malta%20workshop%20final.pdf,"Blower, Jonathan, Alegre, Raquel, Bennett, Victoria L., Clifford, Debbie, Kershaw, Philip J., Lawrence, Bryan, Lewis, Jane, Marsh, Kevin, Nagni, Maurizio, O'Neill, Alan, Phipps, Rhona",True,,Applied Climate Information System,dataset-642
A proposal for a new scenario framework to support research and assessment in different climate research communities,https://research.vu.nl/en/publications/46c2506c-48bb-4064-a208-d43750dfdf93,"van Vuuren, D.P., Riahi, K., Moss, R., Edmonds, J.A., Nakicenovic, N., Kram, T., Berkhout, F.G.H., Swart, R., Janetos, A., Rose, S., Arnell, N.",True,,Applied Climate Information System,dataset-642
Implication of Paris Agreement in the context of long-term climate mitigation goals,http://europepmc.org/articles/PMC5028350,"Fujimori, Shinichiro, Su, Xuanming, Liu, Jing-Yu, Hasegawa, Tomoko, Takahashi, Kiyoshi, Masui, Toshihiko, Takimi, Maho",True,SpringerPlus,Applied Climate Information System,dataset-642
New perspectives in the study of the Earth's magnetic field and climate connection: The use of transfer entropy.,http://hdl.handle.net/10261/187123,"Campuzano, S. A., De Santis, A., Pavón-Carrasco, F. J., Osete, M. L., Qamili, E.",True,PLoS ONE,Applied Climate Information System,dataset-642
Climate Change and Geographic Ranges: The Implications for Russian Forests,https://www.frontiersin.org/article/10.3389/fevo.2019.00057/full,"Sergio Noce, Luca Caporaso, Monia Santini, Monia Santini",True,Frontiers in Ecology and Evolution,Applied Climate Information System,dataset-642
Benefits of European climate policies for mercury air pollution,http://www.mdpi.com/2073-4433/5/1/45,"Peter Rafaj, Janusz Cofala, Jeroen Kuenen, Artur Wyrwa, Janusz Zyśk",True,Atmosphere,Applied Climate Information System,dataset-642
Remote sensing-supported vegetation parameters for regional climate models: a brief review,https://iforest.sisef.org/contents/?id=ifor0543-003,"Latifi H, Galos B",True,iForest - Biogeosciences and Forestry,Applied Climate Information System,dataset-642
A paleogeographic approach to aerosol prescription in simulations of deep time climate,http://www.agu.org/journals/ms/ms1211/2012MS000166/,"Nicholas Gray Heavens, Christine A Shields, Natalie M Mahowald",True,Journal of Advances in Modeling Earth Systems,Applied Climate Information System,dataset-642
Association between esophageal cancer and drought in China by using Geographic Information System,http://www.sciencedirect.com/science/article/pii/S0160412007000062,"Kusheng Wu, Ke Li",True,Environment International,Applied Climate Information System,dataset-642
"The Vulnerability, Impacts, Adaptation and Climate Services Advisory Board (VIACS AB v1.0) contribution to CMIP6",http://dx.doi.org/10.1371/journal.pone.0133794,"Ruane, A. C., Teichmann, C., Arnell, N. W., Carter, T. R., Ebi, K. L., Frieler, K., Goodess, C. M., Hewitson, B., Horton, R., Kovats, R. S., Lotze, H. K., Mearns, L. O., Navarra, A., Ojima, D. S., Riahi, K., Rosenzweig, C., Themessl, M., Vincent, K.",True,,Applied Climate Information System,dataset-642
Exploring constraints on the realised value of a forecast-based climate service,http://www.sciencedirect.com/science/article/pii/S2405880718300906,"Edward C.D. Pope, Carlo Buontempo, Theo Economou",True,Climate Services,Applied Climate Information System,dataset-642
Climate change prediction with new generation models: moderate and high resolution studies,http://hdl.handle.net/10945/48174,"Washington, Warren, Meehl, Gerald, Semtner, Bert, Weatherly, John",True,,Applied Climate Information System,dataset-642
A cost-optimal solar thermal system for apartment buildings with district heating in a cold climate,https://aaltodoc.aalto.fi/handle/123456789/37607,"Arabzadeh, Vahid, Jokisalo, Juha, Kosonen, Risto",True,,Applied Climate Information System,dataset-642
TOWARDS CONSISTENT MAPPING OF URBAN STRUCTURES – GLOBAL HUMAN SETTLEMENT LAYER AND LOCAL CLIMATE ZONES,https://doaj.org/toc/2194-9034,"Bechtel, B., Pesaresi, M., See, L., Mills, G., Ching, J., Alexander, P. J., Feddema, J. J., Florczyk, A. J., Stewart, I.",True,The International Archives of the Photogrammetry,Applied Climate Information System,dataset-642
Rancang Bangun Sistem Pemantauan dan Peringatan dini Parameter Lingkungan Mikro Budidaya Tanaman pada Rumah Tanaman Berbasis SMS (Short Message Service),https://doaj.org/toc/2338-8439,"Mohamad Solahudin, Yudi Chadirin, Gumilang Agus Gozali",True,Journal Keteknikan Pertanian,Applied Climate Information System,dataset-642
Climate change and health effects in Northwest Alaska,http://europepmc.org/articles/PMC3198120,"Brubaker, Michael, Berner, James, Chavan, Raj, Warren, John",True,Global Health Action,Applied Climate Information System,dataset-642
Optimization of internal psychological climate of project teams as a way to increase the competitiveness of an enterprise,http://journals.uran.ua/tarp/article/view/12242,"Антон Сергеевич Филатов, Виктория Александровна Хрутьба",True,Tehnologìčnij Audit ta Rezervi Virobnictva,Applied Climate Information System,dataset-642
Initial phase of the Hans-Ertel Centre for Weather Research - A virtual centre at the interface of basic and applied weather and climate research,https://epub.ub.uni-muenchen.de/33534/,"Weissmann, M., Gober, M., Hohenegger, C., Janjic, T., Keller, J., Ohlwein, C., Seifert, A., Tromel, S., Ulbrich, T., Wapler, K., Bollmeyer, C., Deneke, H.",True,,Applied Climate Information System,dataset-642
