title,journal,url,authors,open,search_term,dataset_id
"Harmonising topographic & remotely sensed datasets, a reference dataset for shoreline and beach change analysis",Scientific Data,http://europepmc.org/articles/PMC6486598,"Pollard, James A., Spencer, Tom, Brooks, Susan M.",True,Coastal Topographic Lidar,dataset-618
Using LiDAR to quantify topographic and bathymetric details for sea turtle nesting beaches in Florida,,http://researchoutputs.unisa.edu.au/1959.8/137984,,True,Coastal Topographic Lidar,dataset-618
CLASSIFICATION OF WATER SURFACES USING AIRBORNE TOPOGRAPHIC LIDAR DATA,The International Archives of the Photogrammetry,https://doaj.org/toc/2194-9034,"Smeeckaert, J., Mallet, C., David, N.",True,Coastal Topographic Lidar,dataset-618
"Spatial Discrimination of Complex, Low-Relief Quaternary Siliciclastic Strata Using Airborne Lidar and Near-Surface Geophysics: An Example from the Texas Coastal Plain, USA",Engineering,http://www.sciencedirect.com/science/article/pii/S2095809918303278,"Jeffrey G. Paine, Edward W. Collins, Lucie Costard",True,Coastal Topographic Lidar,dataset-618
Flood protection structure detection with Lidar: examples on French Mediterranean rivers and coastal areas,E3S Web of Conferences,http://dx.doi.org/10.1051/e3sconf/20160714001,"Trmal Céline, Pons Frédéric, Ledoux Patrick",True,Coastal Topographic Lidar,dataset-618
Full-Waveform LiDAR Pixel Analysis for Low-Growing Vegetation Mapping of Coastal Foredunes in Western France,Remote Sensing,https://hal.archives-ouvertes.fr/hal-02049011/document,"Launeau, Patrick, Giraud, Manuel, Ba, Antoine, Moussaoui, Saïd, Robin, Marc, Debaine, Françoise, Lague, Dimitri, Le Menn, Erwan",True,Coastal Topographic Lidar,dataset-618
UAS-SfM for Coastal Research: Geomorphic Feature Extraction and Land Cover Classification from High-Resolution Elevation and Optical Imagery,Remote Sensing,https://www.mdpi.com/2072-4292/9/10/1020,"Emily J. Sturdivant, Erika E. Lentz, E. Robert Thieler, Amy S. Farris, Kathryn M. Weber, David P. Remsen, Simon Miner, Rachel E. Henderson",True,Coastal Topographic Lidar,dataset-618
Beach-dune morphological relationships and erosion/accretion: an investigation at five sites in England and Wales using LIDAR data,,https://pure.knaw.nl/portal/en/publications/beachdune-morphological-relationships-and-erosionaccretion-an-investigation-at-five-sites-in-england-and-wales-using-lidar-data(f808be04-ee7b-4a16-897a-959c16608d97).html,"Saye, S.E., Van der Wal, D., Pye, K., Blott, S.J.",False,Coastal Topographic Lidar,dataset-618
Restored saltmarshes lack the topographic diversity found in natural habitat,,http://e-space.mmu.ac.uk/619991/,"Lawrence, PJ, Smith, Graham, Sullivan, MJP, Mossman, Hannah",True,Coastal Topographic Lidar,dataset-618
Improving accuracy of LiDAR-derived digital terrain models for saltmarsh management,Journal of Coastal Conservation,https://discovery.ucl.ac.uk/id/eprint/1545091/1/art%253A10.1007%252Fs11852-016-0492-2.pdf,"Fernandez-Nunez, M., Burningham, H., Ojeda Zujar, J.",True,Coastal Topographic Lidar,dataset-618
Impact of High-Resolution Topographic Mapping on Beach Morphological Analyses Based on Terrestrial LiDAR and Object-Oriented Beach Evolution,ISPRS International Journal of Geo-Information,http://www.mdpi.com/2220-9964/6/5/147,"Xuelian Meng, Xukai Zhang, Rodolfo Silva, Chunyan Li, Lei Wang",True,Coastal Topographic Lidar,dataset-618
HOMOGENEOUS GEOVISUALIZATION OF COASTAL AREAS FROM HETEROGENEOUS SPATIO-TEMPORAL DATA,,https://doaj.org/toc/2194-9034,"A. Masse, S. Christophe",True,Coastal Topographic Lidar,dataset-618
