title,journal,url,authors,open,search_term,dataset_id
Izdelava in vzdrževanje digitalnega modela reliefa Slovenije z integracijo obstoječih virov : Production and Maintenance of Digital Elevation Model of Slovenia with Data Integration,Geodetski Vestnik,https://doaj.org/toc/0351-0271,"Mlinar, Jurij, Podobnikar, Tomaž",True,Digital Elevation Model Data,dataset-631
"A new, high-resolution digital elevation model of Greenland fully validated with airborne laser altimeter data",,https://research-information.bris.ac.uk/en/publications/a-new-highresolution-digital-elevation-model-of-greenland-fully-validated-with-airborne-laser-altimeter-data(1f42af66-22fe-4c06-9031-c4d0b666980e).html,"Bamber, JL, Ekholm, S, Krabill, WB",True,Digital Elevation Model Data,dataset-631
EVALUATION DIGITAL ELEVATION MODEL GENERATED BY SYNTHETIC APERTURE RADAR DATA,The International Archives of the Photogrammetry,https://doaj.org/toc/2194-9034,"Makineci, H. B., Karabörk, H.",True,Digital Elevation Model Data,dataset-631
"Generation of a Digital Elevation Model of Mols Bjerge, Denmark, and Georeferencing of Airborne Scanner Data",,https://pure.au.dk/portal/da/publications/generation-of-a-digital-elevation-model-of-mols-bjerge-denmark-and-georeferencing-of-airborne-scanner-data(b4892e30-7e9c-11dd-a5a8-000ea68e967b).html,"Jacobsen, A., Drewes, N., Stjernholm, M., Balstrøm, T.",False,Digital Elevation Model Data,dataset-631
Visualization of a Digital Elevation Model,Data Science Journal,https://datascience.codata.org/jms/article/view/dsj.6.S481,"Linlin Lu, Huadong Guo",True,Digital Elevation Model Data,dataset-631
Использование цифровой модели рельефа речной долины при моделировании русловых процессов (на примере рек алтайского края),Интерэкспо Гео-Сибирь,http://cyberleninka.ru/article/n/ispolzovanie-tsifrovoy-modeli-reliefa-rechnoy-doliny-pri-modelirovanii-ruslovyh-protsessov-na-primere-rek-altayskogo-kraya,"Шибких, А.",True,Digital Elevation Model Data,dataset-631
Digital elevation models of TanDEM-X mission,Biuletyn Wojskowej Akademii Technicznej,http://biuletynwat.pl/icid/1145420,Małgorzata Woroszkiewicz,True,Digital Elevation Model Data,dataset-631
High-Fidelity Inhomogeneous Ground Clutter Simulation of Airborne Phased Array PD Radar Aided by Digital Elevation Model and Digital Land Classification Data,Sensors,https://doaj.org/toc/1424-8220,"Li, Hai, Wang, Jie, Fan, Yi, Han, Jungong",True,Digital Elevation Model Data,dataset-631
Single beam echo-sounding dataset and digital elevation model of the southeastern part of the Baltic Sea (Russian sector),Data in Brief,https://doaj.org/toc/2352-3409,"Dorokhov, Dmitry, Dudkov, Ivan, Sivkov, Vadim",True,Digital Elevation Model Data,dataset-631
UNMANNED AERIAL VEHICLE COLLISION AVOIDANCE USING DIGITAL ELEVATION MODEL,Vìsnik Nacìonalʹnogo Avìacìjnogo Unìversitetu,http://jrnl.nau.edu.ua/index.php/visnik/article/view/3858,"Volodymyr Kharchenko, Nataliia Kuzmenko",True,Digital Elevation Model Data,dataset-631
Generation of High Resolution Digital Elevation Model (1m) for the University of Baghdad Camp Using DGPS and GIS,Journal of University of Babylon,http://www.uobjournal.com/papers/uobj_paper_2017_51833436.pdf,"Musa. K. Mohsin, Huda. M. Hamid",True,Digital Elevation Model Data,dataset-631
DIGITAL ELEVATION MODEL TO VISUALIZE SMALL SPATIAL OBJECT IN 3D,Matics,http://ejournal.uin-malang.ac.id/index.php/saintek/article/view/1559,Cahyo Crysdian,True,Digital Elevation Model Data,dataset-631
Soil-landscape modelling using fuzzy c-means clustering of attribute data derived from a Digital Elevation Model (DEM).,,https://research.utwente.nl/en/publications/soil--landscape-modelling-using-fuzzy-c--means-clustering-of-attribute-data-derived-from-a-digital-elevation-model-dem(dd792042-e942-415a-9c64-fc6f84043419).html,"de Bruin, S., Stein, A.",False,Digital Elevation Model Data,dataset-631
New high-fidelity terrain modeling method constrained by terrain semanteme.,PLoS ONE,http://dx.doi.org/10.1371/journal.pone.0198530.t001,"Zhou, Bo, Xu, Junbo, Zhang, Xuedong, Liu, Xuejun",True,Digital Elevation Model Data,dataset-631
GERAÇÃO DE MODELO DIGITAL DE TERRENO POR MEIO DA FILTRAGEM DE DADOS OBTIDOS POR VARREDURA A LASER UTILIZANDO UM MÉTODO BASEADO NO PRINCÍPIO DA DECLIVIDADE,Colloquium Exactarum,http://revistas.unoeste.br/revistas/ojs/index.php/ce/article/view/1013/1108,"Wallace Felipe Francisco Cardoso, Francisco Assis da Silva, Mário Augusto Pazoti",True,Digital Elevation Model Data,dataset-631
"Development of digital elevation model for Okomu National Park, Nigeria",Current Life Sciences,https://zenodo.org/record/1241195,"Chukwu, Onyekachi, Alo, Akintunde A., Ezenwenyi, Jacinta U.",True,Digital Elevation Model Data,dataset-631
Study of Digital Elevation Model (DEM) Extraction using Stereo Radargrammetry TerraSAR-X in Madiun Area – Elevation Accuracy Improvement,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2019/20/e3sconf_isgnss2018_04003.pdf,"Sari Inggit L., Maulana Rachmat, Dyatmika Haris S., Suprijanto Agus, Arief Rahmat, Ali Shadiq",True,Digital Elevation Model Data,dataset-631
Development of a variogram procedure to identify spatial outliers using a supplemental digital elevation model,Journal of Hydrology X,http://www.sciencedirect.com/science/article/pii/S2589915519300136,"Zane D. Helwig, Joe Guggenberger, Andrew Curtis Elmore, Rachel Uetrecht",True,Digital Elevation Model Data,dataset-631
VEGETATION COVER MAPPING BASED ON REMOTE SENSING AND DIGITAL ELEVATION MODEL DATA,The International Archives of the Photogrammetry,https://doaj.org/toc/2194-9034,"Korets, M. A., Ryzhkova, V. A., Danilova, I. V., Prokushkin, A. S.",True,Digital Elevation Model Data,dataset-631
A new 100-m Digital Elevation Model of the Antarctic Peninsula derived from ASTER Global DEM: methods and accuracy assessment,Earth System Science Data,http://dx.doi.org/10.5194/essd-4-129-2012,"Cook, A.J., Murray, T., Luckman, A., Vaughan, D.E., Barrand, N.E.",True,Digital Elevation Model Data,dataset-631
