title,journal,url,authors,open,search_term,dataset_id
"A Validation of ERA5 Reanalysis Data in the Southern Antarctic Peninsula—Ellsworth Land Region, and Its Implications for Ice Core Studies",Geosciences,https://www.mdpi.com/2076-3263/9/7/289,"Tetzner, Dieter, Thomas, Liz, Allen, Claire",True,ERA5 Reanalysis,dataset-666
Extreme variability in Irminger Sea winter heat loss Revealed by ocean observatories initiative mooring and the ERA5 Reanalysis,,http://dx.doi.org/10.1029/2018GL080956,"Josey, S.A., de Jong, M.F., Oltmanns, M., Moore, G.K., Weller, R.A.",True,ERA5 Reanalysis,dataset-666
From ERA-Interim to ERA5: the considerable impact of ECMWF's next-generation reanalysis on Lagrangian transport simulations,Atmospheric Chemistry and Physics,http://juser.fz-juelich.de/record/861315,"Hoffmann, Lars, Günther, Gebhard, Wright, Jonathon S., Li, Dan, Stein, Olaf, Wu, Xue, Griessbach, Sabine, Heng, Yi, Konopka, Paul, Müller, Rolf, Vogel, Bärbel",True,ERA5 Reanalysis,dataset-666
ERA5: The new champion of wind power modelling?,,http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-226569,"Olauson, Jon",True,ERA5 Reanalysis,dataset-666
Evaluation of global horizontal irradiance estimates from ERA5 and COSMO-REA6 reanalyses using ground and satellite-based data,,http://hdl.handle.net/10138/235285,"Urraca, Ruben, Huld, Thomas, Gracia-Amillo, Ana, Martinez-de-Pison, Francisco Javier, Kaspar, Frank, Sanz-Garcia, Andres",True,ERA5 Reanalysis,dataset-666
Advancing global storm surge modelling using the new ERA5 climate reanalysis,,https://research.vu.nl/en/publications/7245016c-6a24-468e-a882-4037165ca497,"Dullaart, Job C.M., Muis, Sanne, Bloemendaal, Nadia, Aerts, Jeroen C.J.H.",True,ERA5 Reanalysis,dataset-666
Development and Evaluation of an Ensemble‐Based Data Assimilation System for Regional Reanalysis Over the Tibetan Plateau and Surrounding Regions,Journal of Advances in Modeling Earth Systems,http://europepmc.org/articles/PMC6853211,"He, Jie, Zhang, Fuqing, Chen, Xingchao, Bao, Xinghua, Chen, Deliang, Kim, Hyun Mee, Lai, Hui‐Wen, Leung, L. Ruby, Ma, Xulin, Meng, Zhiyong, Ou, Tinghai, Xiao, Ziniu, Yang, Eun‐Gyeong, Yang, Kun",True,ERA5 Reanalysis,dataset-666
Evaluation of Satellite and Reanalysis Precipitable Water Vapor Data Sets Against Radiosonde Observations in Central Asia,Earth and Space Science,https://doi.org/10.1029/2019EA000654,"Jie Jiang, Tianjun Zhou, Wenxia Zhang",True,ERA5 Reanalysis,dataset-666
Development and Evaluation of an Ensemble‐Based Data Assimilation System for Regional Reanalysis Over the Tibetan Plateau and Surrounding Regions,Journal of Advances in Modeling Earth Systems,https://doi.org/10.1029/2019MS001665,"Jie He, Fuqing Zhang, Xingchao Chen, Xinghua Bao, Deliang Chen, Hyun Mee Kim, Hui‐Wen Lai, L. Ruby Leung, Xulin Ma, Zhiyong Meng, Tinghai Ou, Ziniu Xiao, Eun‐Gyeong Yang, Kun Yang",True,ERA5 Reanalysis,dataset-666
"Precipitable Water Vapor Retrieval and Analysis by Multiple Data Sources: Ground-Based GNSS, Radio Occultation, Radiosonde, Microwave Satellite, and NWP Reanalysis Data",Journal of Sensors,http://dx.doi.org/10.1155/2018/3428303,"Zhang, Qin, Ye, Junhua, Zhang, Shuangcheng, Han, Fei",True,ERA5 Reanalysis,dataset-666
