title,url,authors,open,journal,search_term,dataset_id
Global Seasonal forecast system version 5 (GloSea5): a high-resolution seasonal forecast system,http://dx.doi.org/10.1002/qj.2396,"MacLachlan, C., Arribas, A., Peterson, K.A., Maidens, A., Fereday, D., Scaife, A.A., Gordon, M., Vellinga, M., Williams, A., Comer, R.E., Camp, J., Xavier, P., Madec, G.",True,,Global Forecast System,dataset-620
Determining the bounds of skilful forecast range for probabilistic prediction of system-wide wind power generation,http://centaur.reading.ac.uk/45951/7/metz__Determining_the_bounds_of_skilful_forecast_range_for_probabilistic_prediction_of_system_wide_wind_power_generation_87066.pdf,"Cannon, Dirk, Brayshaw, David, Methven, John, Drew, Daniel",True,Meteorologische Zeitschrift,Global Forecast System,dataset-620
A novel probabilistic forecast system predicting anomalously warm 2018-2022 reinforcing the long-term global warming trend,https://hal.archives-ouvertes.fr/hal-02136488,"Sévellec, Florian, Drijfhout, Sybren S.",True,Nature Communications,Global Forecast System,dataset-620
Verification of Forecast Weather Surface Variables over Vietnam Using the National Numerical Weather Prediction System,https://doaj.org/toc/1687-9309,"Tien Du Duc, Lars Robert Hole, Duc Tran Anh, Cuong Hoang Duc, Thuy Nguyen Ba",True,Advances in Meteorology,Global Forecast System,dataset-620
GIM-TEC adaptive ionospheric weather assessment and forecast system,http://hdl.handle.net/2117/28462,"Gulyaeva, Tamara L., Arikan, Feza, Hernández Pajares, Manuel, Stanislawska, Iwona",True,,Global Forecast System,dataset-620
Coupling global chemistry transport models to ECMWF’s integrated forecast system,https://doaj.org/toc/1991-9603,"J. Flemming, A. Inness, H. Flentje, V. Huijnen, P. Moinat, M. G. Schultz, O. Stein",True,,Global Forecast System,dataset-620
A Preliminary Assessment of the Impact of Assimilating Satellite Soil Moisture Data Products on NCEP Global Forecast System,http://dx.doi.org/10.1155/2018/7363194,"Zheng, Weizhong, Zhan, Xiwu, Liu, Jicheng, Ek, Michael",True,Advances in Meteorology,Global Forecast System,dataset-620
THE FORECAST OF FORMING THE GLOBAL SYSTEM INSTITUTIONS ON THE BASIS OF SIMULATION MODELING: THE MAIN PRINCIPLES,http://www.revecon.ro/articles/2009-1/2009-1-6.pdf,Dmitry CHISTILIN,True,Romanian Journal of Economics,Global Forecast System,dataset-620
Spectral analysis of forecast error investigated with an observing system simulation experiment,https://doaj.org/toc/1600-0870,"Nikki C. Privé, Ronald M. Errico",True,Tellus A,Global Forecast System,dataset-620
Validation of reactive gases and aerosols in the MACC global analysis and forecast system,https://doaj.org/toc/1991-9603,"Eskes, H., Richter, A., Schulz, M., Huijnen, V., Arola, A., Benedictow, A., Blechschmidt, A.-M., Botek, E., Boucher, O., Bouarar, I., Chabrillat, S., Cuevas, E., Engelen, R., Flentje, H., Gaudel, A., Griesfeller, J., Jones, L., Kapsomenakis, J., Katragkou, E., Kinne, S., Langerock, B., Razinger, M., Schultz, M., Sudarchikova, N., Thouret, V., Vrekoussis, M., Wagner, A., Zerefos, C.",True,,Global Forecast System,dataset-620
THE FORECAST OF FORMING THE GLOBAL SOCIUM INSTITUTIONS ON THE BASIS OF SIMULATION MODELING: THE MAIN PRINCIPLES,http://www.managementgeneral.ro/pdf/2_2009_7.pdf,Dmitri K. CHISTILIN,True,Review of General Management,Global Forecast System,dataset-620
Estimation of observation impact using the NRL atmospheric variational data assimilation adjoint system,http://www.tellusa.net/index.php/tellusa/article/view/14413,"Langland, Rolf H., Baker, Nancy L.",True,Tellus A,Global Forecast System,dataset-620
A Scalable Version of the Navy Operational Global Atmospheric Prediction System Spectral Forecast Model,https://doaj.org/toc/1058-9244,Thomas E. Rosmond,True,Scientific Programming,Global Forecast System,dataset-620
Evaluation of the Earth Systems Research Laboratory’s global Observing System Simulation Experiment system,https://doaj.org/toc/1600-0870,"Nikki C. Priv&#x00E9;, Yuanfu Xie, John S. Woollen, Steven E. Koch, Robert Atlas, Robbie E. Hood",True,Tellus A,Global Forecast System,dataset-620
Forecast of Chaotic Series in a Horizon Superior to the Inverse of the Maximum Lyapunov Exponent,https://doaj.org/toc/1099-0526,"Miguel Alfaro, Guillermo Fuertes, Manuel Vargas, Juan Sepúlveda, Matias Veloso-Poblete",True,Complexity,Global Forecast System,dataset-620
Towards improving the framework for probabilistic forecast evaluation,http://centaur.reading.ac.uk/40860/1/art%253A10.1007%252Fs10584-015-1430-2.pdf,"Smith, Leonard A., Suckling, Emma B, Thompson, Erica L., Maynard, Trevor, Du, Hailiang",True,,Global Forecast System,dataset-620
Forecasting Ocean Chlorophyll in the Equatorial Pacific,http://journal.frontiersin.org/article/10.3389/fmars.2017.00236/full,"Cecile S. Rousseaux, Cecile S. Rousseaux, Watson W. Gregg",True,Frontiers in Marine Science,Global Forecast System,dataset-620
Forecasting global atmospheric CO_2,https://authors.library.caltech.edu/53037/,"Agustí-Panareda, A., Massart, S., Chevallier, F., Bousetta, S., Balsamo, G., Beljaars, A., Ciais, P., Deutscher, N. M., Engelen, R., Jones, L., Kivi, R., Parise, J.-D., Peuch, V.-H., Sherlock, V., Vermeulen, A. T., Wennberg, P. O., Wunch, D.",True,,Global Forecast System,dataset-620
The implementation of NEMS GFS Aerosol Component (NGAC) Version 2.0 for global multispecies forecasting at NOAA/NCEP – Part 1: Model descriptions,https://www.geosci-model-dev.net/11/2315/2018/gmd-11-2315-2018.pdf,"J. Wang, P. S. Bhattacharjee, V. Tallapragada, C.-H. Lu, S. Kondragunta, A. da Silva, X. Zhang, S.-P. Chen, S.-W. Wei, A. S. Darmenov, J. McQueen, P. Lee, P. Koner, A. Harris",True,Geoscientific Model Development,Global Forecast System,dataset-620
