title,journal,url,authors,open,search_term,dataset_id
Mechanistic insights into the superoxide-cytochrome c reaction by lysine surface scanning,JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY,http://dx.doi.org/10.1007/s00775-013-0987-3,"Wegerich F., Giachetti A., Allegrozzi M., Lisdat F., Turano P.",True,Integrated Surface Database,dataset-621
Adsorption of ammonia on hydrogen covered GaN(0001) surface - Density Functional Theory study,Journal of Crystal Growth,http://dx.doi.org/10.1016/j.jcrysgro.2013.10.061,"Kempisty P., Strak P., Sakowski K., Krukowski S.",True,Integrated Surface Database,dataset-621
Analysis of cell surface markers specific for transplantable rod photoreceptors,Molecular Vision,http://dx.doi.org/10.1371/journal.pone.0008763,"Postel, Kai, Bellmann, Jessica, Splith, Victoria, Ader, Marius",True,Integrated Surface Database,dataset-621
Toward an Integrated Set of Surface Meteorological Observations for Climate Science and Applications,,http://dx.doi.org/10.1175/bams-d-16-0165.1,"Thorne, P. W., Allan, R. J., Ashcroft, L., Brohan, P., Dunn, R. J. H., Menne, M. J., Pearce, P. R., Picas, J., Willett, K. M., Benoy, M., Bronnimann, S., Canziani, Osvaldo, Coll, J., Compo, G. P., Cuppett, D., Curley, M., Duffy, C., Gillespie, I., Guijarro, José Antonio, Jourdain, S., Kent, E. C., Kubota, H., Legg, T. P., Li, Q., Matsumoto, J., Murphy, C., Rayner, N. A., Rennie, J. J., Rustemeier, E., Slivinski, L. C., Slonosky, v., Squintu, A., Tinz, B., Valente, M. A., Walsh, S., Wang, Xiaolan L., Westcott, N., Wood, K., Woodruff, S. D., Worley, S. J.",True,Integrated Surface Database,dataset-621
Pathway for a low-temperature deposition of α-Al2O3: A molecular dynamics study,,http://dx.doi.org/10.1016/j.surfcoat.2013.07.062,Houska J.,True,Integrated Surface Database,dataset-621
Conceptualization and implementation of a regional groundwater model for the Neckar catchment in the framework of an integrated regional model,,https://hal.archives-ouvertes.fr/hal-00296845/file/adgeo-5-105-2005.pdf,"Jagelke , J., Barthel , R.",True,Integrated Surface Database,dataset-621
Combining ASTER Thermal Data and Spatial-Based Insolation Model for Identification of Geothermal Active Areas,,https://zenodo.org/record/1126173,"Khalid Hussein, Waleed Abdalati, Pakorn Petchprayoon, Khaula Alkaabi",True,Integrated Surface Database,dataset-621
"Joining the Dots: Continuous Survey, Routine Practice and the Interpretation of a Cypriot Landscape (with interactive GIS and integrated data archive)",Internet Archaeology,http://intarch.ac.uk/journal/issue20/taesp_index.html,"Michael Given, Hugh Corley, Luke Sollars",True,Integrated Surface Database,dataset-621
Conceptualization and implementation of a regional groundwater model for the Neckar catchment in the framework of an integrated regional model,Advances in Geosciences,http://www.adv-geosci.net/5/105/2005/adgeo-5-105-2005.pdf,"J. Jagelke, R. Barthel",True,Integrated Surface Database,dataset-621
Towards an integrated set of surface meteorological observations for climate science and applications,,http://eprints.maynoothuniversity.ie/8882/,"Thorne, Peter, Allan, Rob J., Ashcroft, L., Brohan, Philip, Dunn, R.J.H., Menne, M.J., Pearce, P.R., Picas, J., Willett, K.M., Benoy, M., Brönnimann, S., Canziani, P.O., Coll, John, Crouthamel, R., Compo, G.P., Cuppett, D., Curley, M., Duffy, C., Gillespie, I., Guijarro, J., Jourdain, S., Kent, E.C., Kubota, H., Legg, T.P., Matsumoto, J., Murphy, Conor, Rayner, N.A., Rennie, J.J., Rustemeier, E., Slivinsk, L.C., Slonosky, V., Squintu, A., Tinz, B., Valente, M.A., Walsh, S., Wang, X.L., Westcott, N., Wood, K., Woodruff, S.D., Worley, S.J.",True,Integrated Surface Database,dataset-621
