title,url,authors,open,journal,search_term,dataset_id
Application of long-range weather forecasts to agricultural decision problems in Europe,http://doc.rero.ch/record/302556/files/S0021859610000729.pdf,"CALANCA, P., BOLIUS, D., WEIGEL, A. P., LINIGER, M. A.",True,,Long Range Forecasts,dataset-639
The Contribution of Systems Research to Long-Range Planning in the Defense Industry,http://dx.doi.org/10.1287/mantech.3.1.78,Harold Tombach,True,Management Technology,Long Range Forecasts,dataset-639
"Comparison of forecasts of mean monthly water level in the Paraguay River, Brazil, from two fractionally differenced models",http://hdl.handle.net/10183/184271,"Prass, Taiane Schaedler, Bravo, Juan Martín, Clarke, Robin Thomas, Collischonn, Walter, Lopes, Silvia Regina Costa",True,,Long Range Forecasts,dataset-639
Forecasting the effects of reduced defense spending,https://fraser.stlouisfed.org/files/docs/publications/frbrichreview/rev_frbrich199211.pdf,"Peter Ireland, Christopher Otrok",True,,Long Range Forecasts,dataset-639
Long Range Temperature Forecasts,https://zenodo.org/record/1510074,"Wood, Frank S.",True,,Long Range Forecasts,dataset-639
Integration of multi-time-scale models in time series forecasting,http://eprints.maynoothuniversity.ie/9511/,"Murray, Fiona T., Ringwood, John, Austin, Paul C.",True,,Long Range Forecasts,dataset-639
Medium-Range Probabilistic Forecasts of Wind Power Generation and Ramps in Japan Based on a Hybrid Ensemble,https://www.mdpi.com/2073-4433/9/11/423,"Nohara, Daisuke, Kadokura, Shinji, Ohba, Masamichi",True,Atmosphere,Long Range Forecasts,dataset-639
Enhanced long-range forecast skill in boreal winter following stratospheric strong vortex conditions,http://centaur.reading.ac.uk/51843/1/pdf.pdf,"Tripathi, Om P., Charlton-Perez, Andrew, Sigmond, Michael, Vitart, Frederic",True,,Long Range Forecasts,dataset-639
Predictability studies with the ECMWF spectral model for the extended range: the impact of horizontal resolution and sea surface temperature,http://www.tellusa.net/index.php/tellusa/article/view/11695,"CUBASCH, U., WIIN-NIELSEN, A. C.",True,Tellus A,Long Range Forecasts,dataset-639
Atmospheric Circulation Response to Anomalous Siberian Forcing in October 2016 and its Long‐Range Predictability,http://hdl.handle.net/10138/302088,"Tyrrell, Nicholas L., Karpechko, Alexey Yu., Uotila, Petteri, Vihma, Timo",True,,Long Range Forecasts,dataset-639
Statistical and dynamical long-range atmospheric forecasts: experimental comparison and hybridization,http://www.tellusa.net/index.php/tellusa/article/view/12076,"Sarda, Jérôme, Plaut, Guy, Pires, Carlos, Vautard, Robert",True,Tellus A,Long Range Forecasts,dataset-639
Long-range forecasts of UK winter hydrology,http://iopscience.iop.org/1748-9326/10/6/064006,"Svensson, C., Brookshaw, A., Scaife, A.A., Bell, V.A., Mackay, J.D., Jackson, C.R., Hannaford, J., Davies, H.N., Arribas, A., Stanley, S.",True,,Long Range Forecasts,dataset-639
The sub-seasonal to seasonal prediction (S2S) project database,http://centaur.reading.ac.uk/65935/1/BAMS_S2Sdatabase.final.pdf,"Vitart, F., Ardilouze, C., Bonet, A., Brookshaw, A., Chen, M., Codorean, C., Deque, M., Ferranti, L., Fucile, E., Fuentes, M., Hendon, H., Hodgson, J., Kang, H. S., Kumar, A., Lin, H., Liu, G., Liu, X., Malguzzi, P., Mallas, I., Manoussakis, M., Mastrangelo, D., MacLachlan, C., McLean, P., Minami, A., Mladek, R., Nakazawa, T., Najim, S., Nie, Y., Rixen, M., Robertson, A. W., Ruti, P., Sun, C., Takaya, Y., Tlostykh, M., Venuti, F., Waliser, D., Woolnough, S., Wu, T., Won, D-J., Xiao, H., Zaripov, R., Zhang, L.",True,,Long Range Forecasts,dataset-639
Troposphere mapping functions for GPS and very Long Baseline Interferometry from European Centre for Medium-Range Weather Forecasts operational analysis data,http://gfzpublic.gfz-potsdam.de/pubman/item/escidoc:246431,"J. Böhm, B. Werl, Harald Schuh,  ",True,,Long Range Forecasts,dataset-639
Experts' adjustment to model-based SKU-level forecasts: Does the forecast horizon matter?,http://hdl.handle.net/1765/23711,"Franses, Philip Hans, Legerstee, Rianne",True,,Long Range Forecasts,dataset-639
Sea ice concentration anomalies as long range predictors of anomalous conditions in the North Atlantic basin,http://www.tellusa.net/index.php/tellusa/article/view/12144,"Sánchez Gómez, E., Cabos Narvaés, W., Ortiz Beviá, M. J.",True,Tellus A,Long Range Forecasts,dataset-639
Global meteorological drought – Part 2: Seasonal forecasts,http://publications.jrc.ec.europa.eu/repository/handle/JRC89129,"E. Dutra, W. Pozzi, F. Wetterhall, F. Di Giuseppe, L. Magnusson, G. Naumann, P. Barbosa, J. Vogt, F. Pappenberger",True,Hydrology and Earth System Sciences,Long Range Forecasts,dataset-639
Ultralong atmospheric waves and a long-range forecasting,http://www.tellusa.net/index.php/tellusa/article/view/10678,"KURBATKIN, G. P.",True,Tellus A,Long Range Forecasts,dataset-639
Long-range forecasting of forest fire danger based on the SLAV model seasonal ensemble forecasts,http://dx.doi.org/10.3103/S1068373912080018,"Khan, V. M.",False,RUSSIAN METEOROLOGY AND HYDROLOGY,Long Range Forecasts,dataset-639
Short-range probabilistic forecasts from the Norwegian limited-area EPS: long-term validation and a polar low study,http://www.tellusa.net/index.php/tellusa/article/view/15820,"Aspelien, Trygve, Iversen, Trond, Bremnes, John Bjørnar, Frogner, Inger-Lise",True,Tellus A,Long Range Forecasts,dataset-639
Long term load forecasting accuracy in electric utility integrated resource planning,http://www.escholarship.org/uc/item/4nd8z0n7,"Carvallo, JP, Larsen, PH, Sanstad, AH, Goldman, CA",True,,Long Range Forecasts,dataset-639
A Conceptual and Operational Framework for Developing The Long–Range Planning Process,http://www.palgrave-journals.com/jibs/journal/v4/n2/pdf/8490759a.pdf,"S Prakash Sethi, John Hogle",True,Journal of International Business Studies,Long Range Forecasts,dataset-639
Empirical Prediction Intervals for County Population Forecasts,http://www.escholarship.org/uc/item/56s7k6gj,"Rayer, Stefan, Smith, Stanley K., Tayman, Jeff",True,Population Research and Policy Review,Long Range Forecasts,dataset-639
Forecasting global ENSO-related climate anomalies,http://www.tellusa.net/index.php/tellusa/article/view/15487,"Barnett, T. P., Bengtsson, L., Arpe, K., Flügel, M., Graham, N., Latif, Mojib, Ritchie, J., Roeckner, E., Schlese, U., Schulzweida, U., Tyree, M.",True,Tellus A,Long Range Forecasts,dataset-639
Long-range prediction of the low-frequency mode in the low-level Indian monsoon circulation with a simple statistical method,http://www.tellusa.net/index.php/tellusa/article/view/14964,"CHEN, TSING-CHANG, YEN, MING-CHENG, WU, KUANG-DER, NG, THOMAS",True,Tellus A,Long Range Forecasts,dataset-639
Will Aging Baby Boomers Bust the Federal Budget?,http://www.aeaweb.org/articles.php?doi=10.1257/jep.13.1.117,"Ronald Lee, Jonathan Skinner",True,Journal of Economic Perspectives,Long Range Forecasts,dataset-639
The effect of improved nowcasting of precipitation on air quality modeling,http://library.wur.nl/WebQuery/wurpubs/396276,"Geertsema, G.T., Wichers Schreur, B.G.J.",False,,Long Range Forecasts,dataset-639
An approximate long-memory range-based approach for value at risk estimation,http://ora.ox.ac.uk/objects/uuid:,"Taylor, JW, Meng, X",True,International Journal of Forecasting,Long Range Forecasts,dataset-639
A proposed method for ship routing using long range weather forecasts,http://hdl.handle.net/10945/45641,"Haltiner, G.J., Bleick, W.E., Faulkner, F.D.",True,,Long Range Forecasts,dataset-639
The Utility of the Bering Sea and East Asia Rules in Long-Range Forecasting,http://dx.doi.org/10.1155/2017/1765428,"Renken, Joseph S., Herman, Joshua J., Bradshaw, Travis R., Market, Patrick S., Lupo, Anthony R.",True,Advances in Meteorology,Long Range Forecasts,dataset-639
Long range dependence in an emerging stock market’s sectors: volatility modelling and VaR forecasting,http://dx.doi.org//10.1080/00036846.2017.1403559,"Abuzayed B., Al-Fayoumi N., Charfeddine L.",True,,Long Range Forecasts,dataset-639
Skill transfer from meteorological to runoff forecasts in glacierized catchments,http://hdl.handle.net/20.500.11850/264559,"Saskia Gindraux, Daniel Farinotti",True,,Long Range Forecasts,dataset-639
A Comparative Study of Methods for Long-Range Market Forecasting,http://dx.doi.org/10.1287/mnsc.19.2.211,"J. Scott Armstrong, Michael C. Grohman",True,Management Science,Long Range Forecasts,dataset-639
"Ensemble dispersion forecasting:Part I: concept, approach and indicators",https://cris.vtt.fi/en/publications/5ec791ad-4f78-47f5-9906-17e5d9f1a0eb,"Galmarini, S., Bianconi, R., Klug, W., Ilvonen, Mikko, et al.,",False,,Long Range Forecasts,dataset-639
Coupling of palaeontological and neontological reef coral data improves forecasts of biodiversity responses under global climatic change,http://europepmc.org/articles/PMC6502368,"Jones, Lewis A., Mannion, Philip D., Farnsworth, Alexander, Valdes, Paul J., Allison, Peter A., Kelland, Sarah-Jane",True,Royal Society Open Science,Long Range Forecasts,dataset-639
Predictability of Weather and Climate,https://doi.org/10.1029/2019EA000586,V. Krishnamurthy,True,Earth and Space Science,Long Range Forecasts,dataset-639
Динамика лесов Красноярского края,http://cyberleninka.ru/article/n/dinamika-lesov-krasnoyarskogo-kraya,"Втюрина, Ольга",True,Интерэкспо Гео-Сибирь,Long Range Forecasts,dataset-639
Potential applications of subseasonal-to-seasonal (S2S) predictions,http://livrepository.liverpool.ac.uk/3005797/1/White%20et%20al_MET-16-0083.R2_SUBMITTED_withfigs.pdf,"Klein, Richard JT, James, Rachel, Pegion, Kathleen V, White, Christopher J, Carlsen, Henrik, Robertson, Andrew W, Lazo, Jeffrey K, Kumar, Arun, Vitart, Frederic, de Perez, Erin Coughlan, Ray, Andrea J, Murray, Virginia, Bharwani, Sukaina, MacLeod, Dave, Fleming, Lora, Morse, Andrew P, Eggen, Bernd, Graham, Richard, Kjellstrom, Erik, Becker, Emily, Holbrook, Neil J, McEvoy, Darryn, Depledge, Michael, Perkins-Kirkpatrick, Sarah, Brown, Timothy J, Street, Roger, Jones, Lindsey, Remenyi, Tomas A, Hodgson-Johnston, Indi, Buontempo, Carlo, Lamb, Rob, Meinke, Holger, Arheimer, Berit, Zebiak, Stephen E",True,,Long Range Forecasts,dataset-639
Прогнозированиe цен на продукцию целлюлозно-бумажной промышленности,http://cyberleninka.ru/article/n/prognozirovanie-tsen-na-produktsiyu-tsellyulozno-bumazhnoy-promyshlennosti,"СУШКО О.П., ПЛАСТИНИН А.В.",True,Актуальные проблемы лесного комплекса,Long Range Forecasts,dataset-639
Short-term forecasting of internal migration,http://www.envplan.com/abstract.cgi?id=a251593,E W Frees,True,Environment and Planning A,Long Range Forecasts,dataset-639
A Framework for Combining Seasonal Forecasts and Climate Projections to Aid Risk Management for Fisheries and Aquaculture,http://journal.frontiersin.org/article/10.3389/fmars.2018.00137/full,"Alistair J. Hobday, Claire M. Spillman, J. Paige Eveson, Jason R. Hartog, Xuebin Zhang, Stephanie Brodie, Stephanie Brodie",True,Frontiers in Marine Science,Long Range Forecasts,dataset-639
Using soil moisture forecasts for sub-seasonal summer temperature predictions in Europe,http://doc.rero.ch/record/325179/files/382_2014_Article_2112.pdf,"Orth, René, Seneviratne, Sonia",True,,Long Range Forecasts,dataset-639
Preparing for peat production seasons in Finland and experimenting with long range impact forecasting,http://www.sciencedirect.com/science/article/pii/S2405880718300402,"Hilppa Gregow, Ilari Lehtonen, Pentti Pirinen, Ari Venäläinen, Andrea Vajda, Juha Koskiniemi",True,Climate Services,Long Range Forecasts,dataset-639
Probabilistic forecasts of the onset of the North Australian wet season,http://library.wur.nl/WebQuery/wurpubs/361790,"Lo, F., Wheeler, M.C., Meinke, H.B., Donald, A.",True,,Long Range Forecasts,dataset-639
Addressing model error through atmospheric stochastic physical parametrizations: impact on the coupled ECMWF seasonal forecasting system,http://europepmc.org/articles/PMC4024238,"Weisheimer, Antje, Corti, Susanna, Palmer, Tim, Vitart, Frederic",True,"Philosophical transactions. Series A, Mathematical, physical, and engineering sciences",Long Range Forecasts,dataset-639
Accuracy of Balloon Trajectory Forecasts in the Lower Stratosphere,https://doaj.org/toc/2073-4433,"Selvaraj Dharmalingam, Riwal Plougonven, Albert Hertzog, Aurélien Podglajen, Michael Rennie, Lars Isaksen, Sélim Kébir",True,Atmosphere,Long Range Forecasts,dataset-639
The Role of Continental Mesoscale Convective Systems in Forecast Busts within Global Weather Prediction Systems,https://www.mdpi.com/2073-4433/10/11/681,"David Parsons, Samuel Lillo, Christopher Rattray, Peter Bechtold, Mark Rodwell, Connor Bruce",True,Atmosphere,Long Range Forecasts,dataset-639
Long-range forecast of the break and active summer monsoons,http://www.tellusa.net/index.php/tellusa/article/view/11788,"CADET, DANIEL L., DANIEL, PIERRE",True,Tellus A,Long Range Forecasts,dataset-639
Forecast-based financing: an approach for catalyzing humanitarian action based on extreme weather and climate forecasts,https://research.vu.nl/en/publications/eca7d397-9cd2-4851-b295-cc6f1e2167b5,"Coughlan, E.R., van den Hurk, B.J.J.M., van Aalst, M., Jongman, B., Klose, T., Suarez, P.",True,Natural Hazards and Earth System Sciences,Long Range Forecasts,dataset-639
