title,url,pdf,doi,authors,open,journal,search_term,dataset,Validation,if appears as a ref,Reference,Punctuation error
Application of long-range weather forecasts to agricultural decision problems in Europe,http://doc.rero.ch/record/302556/files/S0021859610000729.pdf,http://doc.rero.ch/record/302556/files/S0021859610000729.pdf,10.1017/S0021859610000729,"CALANCA, P., BOLIUS, D., WEIGEL, A. P., LINIGER, M. A.",TRUE,Journal of Agricultural Science,Long Range Forecasts,dataset-639,No,No,,
The Contribution of Systems Research to Long-Range Planning in the Defense Industry,http://dx.doi.org/10.1287/mantech.3.1.78,,10.1287/mantech.3.1.78,Harold Tombach,TRUE,Management Technology,Long Range Forecasts,dataset-639,No,No,,
"Comparison of forecasts of mean monthly water level in the Paraguay River, Brazil, from two fractionally differenced models",http://hdl.handle.net/10183/184271,,,"Prass, Taiane Schaedler, Bravo, Juan Martín, Clarke, Robin Thomas, Collischonn, Walter, Lopes, Silvia Regina Costa",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Forecasting the effects of reduced defense spending,https://fraser.stlouisfed.org/files/docs/publications/frbrichreview/rev_frbrich199211.pdf,,,"Peter Ireland, Christopher Otrok",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Long Range Temperature Forecasts,https://zenodo.org/record/1510074,,10.1038/scientificamerican05181918-318supp,"Wood, Frank S.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Integration of multi-time-scale models in time series forecasting,http://eprints.maynoothuniversity.ie/9511/,http://mural.maynoothuniversity.ie/9511/1/JR-Integration-2000.pdf,10.1080/00207720050165753,"Murray, Fiona T., Ringwood, John, Austin, Paul C.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Medium-Range Probabilistic Forecasts of Wind Power Generation and Ramps in Japan Based on a Hybrid Ensemble,https://www.mdpi.com/2073-4433/9/11/423,,10.3390/atmos9110423,"Nohara, Daisuke, Kadokura, Shinji, Ohba, Masamichi",TRUE,Atmosphere,Long Range Forecasts,dataset-639,No,No,,
Enhanced long-range forecast skill in boreal winter following stratospheric strong vortex conditions,http://centaur.reading.ac.uk/51843/1/pdf.pdf,http://centaur.reading.ac.uk/51843/1/pdf.pdf,10.1088/1748_9326/10/10/104007,"Tripathi, Om P., Charlton-Perez, Andrew, Sigmond, Michael, Vitart, Frederic",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Predictability studies with the ECMWF spectral model for the extended range: the impact of horizontal resolution and sea surface temperature,http://www.tellusa.net/index.php/tellusa/article/view/11695,,,"CUBASCH, U., WIIN-NIELSEN, A. C.",TRUE,Tellus A,Long Range Forecasts,dataset-639,No,No,,
Atmospheric Circulation Response to Anomalous Siberian Forcing in October 2016 and its Long‐Range Predictability,http://hdl.handle.net/10138/302088,,10.1029/2018GL081580,"Tyrrell, Nicholas L., Karpechko, Alexey Yu., Uotila, Petteri, Vihma, Timo",TRUE,,Long Range Forecasts,dataset-639,No,No,,
Statistical and dynamical long-range atmospheric forecasts: experimental comparison and hybridization,http://www.tellusa.net/index.php/tellusa/article/view/12076,,,"Sarda, Jérôme, Plaut, Guy, Pires, Carlos, Vautard, Robert",TRUE,Tellus A,Long Range Forecasts,dataset-639,No,No,,
Long-range forecasts of UK winter hydrology,http://iopscience.iop.org/1748-9326/10/6/064006,,,"Svensson, C., Brookshaw, A., Scaife, A.A., Bell, V.A., Mackay, J.D., Jackson, C.R., Hannaford, J., Davies, H.N., Arribas, A., Stanley, S.",TRUE,,Long Range Forecasts,dataset-639,No,No,,
