title,url,authors,open,journal,search_term,dataset_id
Airborne Surveys of Ocean Current and Temperature Perturbations Induced by Hurricanes,http://hdl.handle.net/10945/48940,"Elsberry, Russell L., Shay, Lynn K., Black, Peter G.",True,,National Data Buoy Center,dataset-668
Validation of Sentinel-3A/3B Satellite Altimetry Wave Heights with Buoy and Jason-3 Data,https://doaj.org/toc/1424-8220,"Jungang Yang, Jie Zhang",True,Sensors,National Data Buoy Center,dataset-668
33 years of globally calibrated wave height and wind speed data based on altimeter observations,http://europepmc.org/articles/PMC6541622,"Ribal, Agustinus, Young, Ian R.",True,Scientific Data,National Data Buoy Center,dataset-668
Resonant inertial oscillations in moored buoy ocean surface winds,http://www.tellusa.net/index.php/tellusa/article/view/14478,"Stockwell, R. G., Large, W. G., Milliff, R. F.",True,Tellus A,National Data Buoy Center,dataset-668
Validation of the Significant Wave Height Product of HY-2 Altimeter,https://www.mdpi.com/2072-4292/9/10/1016,"Chuntao Chen, Jianhua Zhu, Mingsen Lin, Yili Zhao, He Wang, Jin Wang",True,Remote Sensing,National Data Buoy Center,dataset-668
Quantification of the relationship between sea surface roughness and the size of the glistening zone for GNSS-R,http://dx.doi.org/10.1109/LGRS.2017.2782728,"Yan, Qingyun, Huang, Weimin, Foti, Giuseppe",True,,National Data Buoy Center,dataset-668
Research on the Algorithm Model for Measuring Ocean Waves Based on Satellite GPS Signals in China,https://www.mdpi.com/1424-8220/19/3/541,"Qi, Zhanhui, Li, Shaowu, Li, Mingbing, Dang, Chaoqun, Sun, Dongbo, Zhang, Dongliang, Liu, Ning, Zhang, Suoping",True,Sensors,National Data Buoy Center,dataset-668
The NOAA IOOS Data Integration Framework: Initial implementation report,https://zenodo.org/record/1278362,"de La Beaujardière, Jeff",True,,National Data Buoy Center,dataset-668
Assessment and Analysis of QuikSCAT Vector Wind Products for the Gulf of Mexico: A Long-Term and Hurricane Analysis,http://www.mdpi.com/1424-8220/8/3/1927/,"Sharma, Neha, D’Sa, Eurico",True,Sensors,National Data Buoy Center,dataset-668
Assessing Global Ocean Wind Energy Resources Using Multiple Satellite Data,http://www.mdpi.com/2072-4292/10/1/100,"Qiaoying Guo, Xiazhen Xu, Kangyu Zhang, Zhengquan Li, Weijiao Huang, Lamin R. Mansaray, Weiwei Liu, Xiuzhen Wang, Jian Gao, Jingfeng Huang",True,Remote Sensing,National Data Buoy Center,dataset-668
Preliminary Assessment of Wind and Wave Retrieval from Chinese Gaofen-3 SAR Imagery,https://www.mdpi.com/1424-8220/17/8/1705,"Weizeng Shao, Yexin Sheng, Jian Sun",True,"Sensors (Basel, Switzerland)",National Data Buoy Center,dataset-668
Evaluation of ISS-RapidScat Wind Vectors Using Buoys and ASCAT Data,http://www.mdpi.com/2072-4292/10/4/648,"Jungang Yang, Jie Zhang",True,Remote Sensing,National Data Buoy Center,dataset-668
Comparison of Five Satellite Derived Latent Heat Flux Products to Moored Buoy Data,https://hal.archives-ouvertes.fr/hal-00146529,"Bourras , Denis",True,,National Data Buoy Center,dataset-668
Ocean Wave Information Retrieval Using Simulated Compact Polarized SAR from Radarsat-2,http://dx.doi.org/10.1155/2018/1738014,"Wang, Xiaochen, Shao, Yun, She, Lu, Tian, Wei, Li, Kun, Liu, Long",True,Journal of Sensors,National Data Buoy Center,dataset-668
Comparison of Oceansat-2 Scatterometer Wind Data with Global Moored Buoys and ASCAT Observation,https://doaj.org/toc/1687-9309,"Jungang Yang, Jie Zhang",True,Advances in Meteorology,National Data Buoy Center,dataset-668
Wave Resource Characterization Using an Unstructured Grid Modeling Approach,http://www.mdpi.com/1996-1073/11/3/605,"Wei-Cheng Wu, Zhaoqing Yang, Taiping Wang",True,Energies,National Data Buoy Center,dataset-668
"Evaluation of HY-2A Scatterometer Wind Vectors Using Data from Buoys, ERA-Interim and ASCAT during 2012–2014",http://www.mdpi.com/2072-4292/8/5/390,"Jianyong Xing, Jiancheng Shi, Yonghui Lei, Xiang-Yu Huang, Zhiquan Liu",True,Remote Sensing,National Data Buoy Center,dataset-668
A Sensitivity Analysis of the Wind Forcing Effect on the Accuracy of Large-Wave Hindcasting,https://www.mdpi.com/2077-1312/6/4/139,"Wang, Taiping, Yang, Zhaoqing, Wu, Wei-Cheng, Grear, Molly",True,Journal of Marine Science and Engineering,National Data Buoy Center,dataset-668
Outlier Detection in Ocean Wave Measurements by Using Unsupervised Data Mining Methods,http://www.degruyter.com/view/j/pomr.2018.25.issue-1/pomr-2018-0005/pomr-2018-0005.xml?format=INT,"Mahmoodi Kumars, Ghassemi Hassan",True,Polish Maritime Research,National Data Buoy Center,dataset-668
Operational atmospheric and wave modelling in the California’s coastline and offshore area with applications to wave energy monitoring and assessment,http://hdl.handle.net/10945/57530,"Galanis, G., Kafatos, M., Chu, P.C., Hatzopoulos, N., Papageorgiou, E., Liakatas, A.",True,,National Data Buoy Center,dataset-668
Establishment and data analysis of sea-state monitoring system along Taiwan coast.,http://hdl.handle.net/1834/5834,"Feng, Xiangbo, Wang, Hao, Yan, Yixin",True,,National Data Buoy Center,dataset-668
Hölder Scales of Sea Level,http://dx.doi.org/10.1155/2012/863707,"Ming Li, YangQuan Chen, Jia-Yue Li, Wei Zhao",True,Mathematical Problems in Engineering,National Data Buoy Center,dataset-668
TSUNAMI HAZARD MITIGATION AND THE NOAA NATIONAL WATER LEVEL OBSERVATION NETWORK,http://tsunamisociety.org/STHVol20N1Y2002.pdf,"James R. Hubbard, Scott A. Duncan",True,Science of Tsunami Hazards,National Data Buoy Center,dataset-668
The effects of sea spray and atmosphere–wave coupling on air–sea exchange during a tropical cyclone,https://doaj.org/toc/1680-7324,"N. Garg, E. Y. K. Ng, S. Narasimalu",True,Atmospheric Chemistry and Physics,National Data Buoy Center,dataset-668
Long Term Wave Climate Risk Analysis,http://www.escholarship.org/uc/item/4tw2h2pv,"Orloff, Leah S.",True,,National Data Buoy Center,dataset-668
Viewing Sea Level by a One-Dimensional Random Function with Long Memory,https://doaj.org/toc/1024-123X,"Ming Li, Carlo Cattani, Seng-Yong Chen",True,Mathematical Problems in Engineering,National Data Buoy Center,dataset-668
Spectral partitioning and identification of wind sea and swell,http://www.vliz.be/nl/open-marien-archief?module=ref&refid=210994,"Portilla, J., Ocampo-Torres, F.J., Monbaliu, J.",False,,National Data Buoy Center,dataset-668
An Empirical Algorithm for Wave Retrieval from Co-Polarization X-Band SAR Imagery,https://www.mdpi.com/2072-4292/9/7/711,"Weizeng Shao, Jing Wang, Xiaofeng Li, Jian Sun",True,Remote Sensing,National Data Buoy Center,dataset-668
Onset of the spring bloom in the northwestern Mediterranean Sea: influence of environmental pulse events on the in situ hourly-scale dynamics of the phytoplankton community structure,http://dx.doi.org/10.3389/fmicb.2014.00387,"Thyssen, Melilotus, Grégori, Gerald J., Grisoni, Jean-Michel, Pedrotti, Maria Luiza, Mousseau, Laure, Artigas, Luis F., Marro, Sophie, Garcia, Nicole, Passafiume, Ornella, Denis, Michel J.",True,Frontiers in Microbiology,National Data Buoy Center,dataset-668
Onset of the spring bloom in the northwestern Mediterranean Sea: influence of environmental pulse events on the in situ hourly-scale dynamics of the phytoplankton community structure,http://europepmc.org/articles/PMC4129916,"Thyssen, Melilotus, Grégori, Gerald J., Grisoni, Jean-Michel, Pedrotti, Maria Luiza, Mousseau, Laure, Artigas, Luis F., Marro, Sophie, Garcia, Nicole, Passafiume, Ornella, Denis, Michel J.",True,Frontiers in Microbiology,National Data Buoy Center,dataset-668
Challenges in Mesoscale Prediction of a Nocturnal Stratocumulus-Topped Marine Boundary Layer and Implications for Operational Forecasting,http://hdl.handle.net/10945/46717,"Vellore, Ramesh, Wetzel, Melanie, Chai, Steven, Koraćin, Darko",True,,National Data Buoy Center,dataset-668
Statistical properties of the surface velocity field in the northern Gulf of Mexico sampled by GLAD drifters,http://resolver.tudelft.nl/uuid:3e84d4aa-2f38-4895-b7a0-8bf8bc763e2e,"Mariano, A.J., Ryan, E.H., Huntley, H.S., Laurindo, L.C., Coelho, E., Ozgokmen, TM, Berta, M., Bogucki, D, Chen, S.S., Curcic, M., Drouin, K.L., Gough, M, Haus, BK, Haza, A.C., Hogan, P, Iskandarani, M, Jacobs, G, Kirwan Jr., A.D., Laxague, N, Lipphardt Jr., B., Magaldi, M.G., Novelli, G., Reniers, A.J.H.M., Restrepo, J.M., Smith, C, Valle-Levinson, A., Wei, M.",True,,National Data Buoy Center,dataset-668
