title,url,authors,open,journal,search_term,dataset_id
Land Cover Information from Satellite Image Data as Input to a Danish National Spatial Database,https://pure.au.dk/portal/da/publications/land-cover-information-from-satellite-image-data-as-input-to-a-danish-national-spatial-database(f70f35b0-7e9c-11dd-a5a8-000ea68e967b).html,"Stjernholm, M., Groom, G.",False,,National Land Cover Database,dataset-624
CORINE land cover database of the Netherlands: monitoring land cover changes between 1986 and 2000,http://library.wur.nl/WebQuery/wurpubs/335000,"Hazeu, G.W., Wit, de, A.J.W.",True,,National Land Cover Database,dataset-624
Evaluating The National Land Cover Database Tree Canopy and Impervious Cover Estimates Across the Conterminous United States: A Comparison with Photo-Interpreted Estimates,http://europepmc.org/articles/PMC2941626,"Nowak, David J., Greenfield, Eric J.",True,Environmental Management,National Land Cover Database,dataset-624
Spatial variability in classification accuracy of agricultural crops in the Dutch national land-cover database,http://library.wur.nl/WebQuery/wurpubs/333509,"van Oort, P.A.J., Bregt, A.K., de Bruin, S., de Wit, A.J.W., Stein, A.",True,,National Land Cover Database,dataset-624
Learning-based superresolution land cover mapping,http://eprints.nottingham.ac.uk/32958/1/Feng-IEEE-2.pdf,"Ling, Feng, Zhang, Yihang, Foody, Giles M., Li, Xiaodong, Zhang, Xiuhua, Fang, Shiming, Li, Wenbo, Du, Yun",True,,National Land Cover Database,dataset-624
The managed clearing: An overlooked land-cover type in urbanizing regions?,http://dx.doi.org/10.1371/journal.pone.0192822.t002,"Singh, Kunwar K., Madden, Marguerite, Gray, Josh, Meentemeyer, Ross K.",True,PLoS ONE,National Land Cover Database,dataset-624
"An Experimental Framework for Integrating Citizen and Community Science into Land Cover, Land Use, and Land Change Detection Processes in a National Mapping Agency",http://www.mdpi.com/2073-445X/7/3/103,"OLTEANU-RAIMOND, Ana-Maria, Jolivet, Laurence, Van Damme, Marie-Dominque, Royer, Timothée, Fraval, Ludovic, See, Linda, Sturn, Tobias, Karner, Mathias, Moorthy, Inian, Fritz, Steffen,",True,Land,National Land Cover Database,dataset-624
Differences in land cover interpretation in landscapes rich in cover gradients: reflections based on the montado of South Portugal,http://library.wur.nl/WebQuery/wurpubs/370375,"Doorn, van, A.M., Correia, T.P.",False,,National Land Cover Database,dataset-624
Spatial patterns of the United States National Land Cover Dataset (NLCD) land-cover change thematic accuracy (2001–2011),http://europepmc.org/articles/PMC5906816,"Wickham, J., Stehman, S. V., Homer, C. G.",True,International journal of remote sensing,National Land Cover Database,dataset-624
Cartographic aspects of land cover change detection (over- and underestimation in the I&CORINE Land Cover 2000 project),http://library.wur.nl/WebQuery/wurpubs/353767,"Feranec, J., Hazeu, G.W., Jaffrain, G., Cebecauer, T.",False,,National Land Cover Database,dataset-624
Developing a dataset to assess ecosystem services in the Midwest United States,https://zenodo.org/record/1234501,"Mehaffey, Megan, Van Remortel, Rick, Smith, Elizabeth, Bruins, Randy",True,,National Land Cover Database,dataset-624
An Assessment of the Cultivated Cropland Class of NLCD 2006 Using a Multi-Source and Multi-Criteria Approach,http://www.mdpi.com/2072-4292/8/2/101,"Patrick Danielson, Limin Yang, Suming Jin, Collin Homer, Darrell Napton",True,Remote Sensing,National Land Cover Database,dataset-624
Spatial distribution of heathlands in the north-western part of Poland (Pomerania District),http://repozytorium.umk.pl/handle/item/2223,"Kunz, Mieczysław, Nienartowicz, Andrzej",True,,National Land Cover Database,dataset-624
SEMI AUTOMATED LAND COVER LAYER UPDATING PROCESS UTILIZING SPECTRAL ANALYSIS AND GIS DATA FUSION,https://doaj.org/toc/2194-9034,"Cohen, L., Keinan, E., Yaniv, M., Tal, Y., Felus, A., Regev, R.",True,The International Archives of the Photogrammetry,National Land Cover Database,dataset-624
