title,url,authors,open,journal,search_term,dataset_id
Assimilation of gridded GRACE terrestrial water storage estimates in the North American Land Data Assimilation System,https://lirias.kuleuven.be/handle/123456789/555244,"Kumar, S, Zaitchik, B, Peters-Lidard, C, Reichle, R, Li, B, Mocko, D, Getinara, A, De Lannoy, Gabrielle, Cosh, M, Hain, C, Anderson, M",True,,North American Land Data Assimilation System,dataset-669
Standardized Soil Moisture Index for Drought Monitoring Based on Soil Moisture Active Passive Observations and 36 Years of North American Land Data Assimilation System Data: A Case Study in the Southeast United States,http://www.mdpi.com/2072-4292/10/2/301,"Yaping Xu, Lei Wang, Kenton W. Ross, Cuiling Liu, Kimberly Berry",True,Remote Sensing,North American Land Data Assimilation System,dataset-669
Subregional inversion of North African dust sources,https://hal.sorbonne-universite.fr/hal-01366496,"Escribano , Jerónimo, Boucher , Olivier, Chevallier , Frédéric, Huneeus , Nicolás",True,,North American Land Data Assimilation System,dataset-669
Downscaling of SMAP Soil Moisture Using Land Surface Temperature and Vegetation Data,https://dl.sciencesocieties.org/publications/vzj/articles/17/1/170198,"Bin Fang, Venkataraman Lakshmi, Rajat Bindlish, Thomas J. Jackson",True,Vadose Zone Journal,North American Land Data Assimilation System,dataset-669
Studying soil moisture at a national level through statistical analysis of NASA NLDAS data,https://research.utwente.nl/en/publications/studying-soil-moisture-at-a-national-level-through-statistical-analysis-of-nasa-nldas-data(3f344f87-3bbe-4e5e-b2b7-41d27821e836).html,"Espinoza-Dávalos, Gonzalo E., Arctur, David K., Teng, William, Maidment, David R., García-Martí, I., Comair, Georges",True,,North American Land Data Assimilation System,dataset-669
Improving land-surface model hydrology: Is an explicit aquifer model better than a deeper soil profile?,http://www.escholarship.org/uc/item/0mv2c10k,"Gulden, Lindsey E, Rosero, Enrique, Yang, Zong-Liang, Rodell, Matthew, Jackson, Charles S, Niu, Guo-Yue, Yeh, Pat J.-F., Famiglietti, James",True,,North American Land Data Assimilation System,dataset-669
An optimal merging technique for high-resolution precipitation products,http://www.agu.org/journals/ms/ms1112/2011MS000062/,"Roshan Shrestha, Valentine Anantharaj, Paul Houser",True,Journal of Advances in Modeling Earth Systems,North American Land Data Assimilation System,dataset-669
Assessing Mountains as Natural Reservoirs With a Multimetric Framework,http://www.escholarship.org/uc/item/5sm2m13p,"Rhoades, AM, Jones, AD, Ullrich, PA",True,,North American Land Data Assimilation System,dataset-669
"A Systematic Evaluation of Noah-MP in Simulating Land-Atmosphere Energy, Water, and Carbon Exchanges Over the Continental United States",https://escholarship.org/uc/item/8g8323c5,"Ma, N, Niu, GY, Xia, Y, Cai, X, Zhang, Y, Ma, Y, Fang, Y",True,,North American Land Data Assimilation System,dataset-669
Controls on surface soil drying rates observed by SMAP and simulated by the Noah land surface model,https://www.hydrol-earth-syst-sci.net/22/1649/2018/hess-22-1649-2018.pdf,"P. J. Shellito, E. E. Small, B. Livneh",True,Hydrology and Earth System Sciences,North American Land Data Assimilation System,dataset-669
Comparison and assessment of three advanced land surface models in simulating terrestrial water storage components over the United States,http://www.escholarship.org/uc/item/41w3g276,"Xia, Y, Mocko, D, Huang, M, Li, B, Rodell, M, Mitchell, KE, Cai, X, Ek, MB",True,,North American Land Data Assimilation System,dataset-669
