title,url,authors,open,journal,search_term,dataset_id
Neural response dynamics of spiking and local field potential activity depend on CRT monitor refresh rate in the tree shrew primary visual cortex,http://doc.rero.ch/record/28469/files/rai_nrd.pdf,"Veit, J, Bhattacharyya, A, Kretz, Robert, Rainer, Gregor",True,,Rapid Refresh,dataset-671
Online refresh strategies for content based feed aggregation,https://hal.archives-ouvertes.fr/hal-01185362,"Horincar, Roxana, Amann, Bernd, Artières, Thierry",True,,Rapid Refresh,dataset-671
An overview of the TROPICS NASA Earth Venture Mission,http://europepmc.org/articles/PMC6360932,"Blackwell, W. J., Braun, S., Bennartz, R., Velden, C., DeMaria, M., Atlas, R., Dunion, J., Marks, F., Rogers, R., Annane, B., Leslie, R. V.",True,Quarterly Journal of the Royal Meteorological Society. Royal Meteorological Society (Great Britain),Rapid Refresh,dataset-671
Is training effective for older workers?,http://wol.iza.org/articles/is-training-effective-for-older-workers,"Picchio, Matteo",True,IZA World of Labor,Rapid Refresh,dataset-671
QuickProbs 2: towards rapid construction of high-quality alignments of large protein families,http://dx.doi.org/10.1038/srep41553,"Adam Gudyś, Sebastian Deorowicz",True,Scientific Reports,Rapid Refresh,dataset-671
Rapid Processing of Frames Refreshment with Viewpoint Movement Based on OpenGL for 3D Walkthrough System,http://www.sensorsportal.com/HTML/DIGEST/may_2014/Vol_171/P_RP_0124.pdf,"Guoyou SHI, Peng CHEN, Shuang LIU",True,Sensors & Transducers,Rapid Refresh,dataset-671
Impact of model improvements on 80&thinsp;m wind speeds during the second Wind Forecast Improvement Project (WFIP2),https://www.geosci-model-dev.net/12/4803/2019/gmd-12-4803-2019.pdf,"L. Bianco, L. Bianco, I. V. Djalalova, I. V. Djalalova, J. M. Wilczak, J. B. Olson, J. B. Olson, J. S. Kenyon, J. S. Kenyon, A. Choukulkar, A. Choukulkar, A. Choukulkar, L. K. Berg, H. J. S. Fernando, E. P. Grimit, R. Krishnamurthy, R. Krishnamurthy, J. K. Lundquist, J. K. Lundquist, P. Muradyan, M. Pekour, Y. Pichugina, Y. Pichugina, M. T. Stoelinga, D. D. Turner",True,Geoscientific Model Development,Rapid Refresh,dataset-671
Rapid mapping of visual receptive fields by filtered back-projection: application to multi-neuronal electrophysiology and imaging,http://dx.doi.org/10.1371/journal.pcbi.1000967,"Johnston, J, Ding, H, Seibel, SH, Esposti, F, Lagnado, L",True,The Journal of Physiology,Rapid Refresh,dataset-671
MAC : A Novel Systematically Multilevel Cache Replacement Policy for PCM Memory,https://zenodo.org/record/1199858,"Shenchen Ruan, Haixia",True,,Rapid Refresh,dataset-671
Probing cortical excitability using rapid frequency tagging,http://europepmc.org/articles/PMC6547046,"Zhigalov, A., Herring, J.D., Herpers, J., Bergmann, T.O., Jensen, O.",True,Neuroimage,Rapid Refresh,dataset-671
Representation and evolution of urban weather boundary conditions in downtown Chicago,http://www.escholarship.org/uc/item/8jg8g9cr,"Jain, R, Luo, X, Sever, G, Hong, T, Catlett, C",True,,Rapid Refresh,dataset-671
Generalized Bootstrapping Technique Based on Block Equality Test Algorithm,https://doaj.org/toc/1939-0122,"Xiufeng Zhao, Ailan Wang",True,Security and Communication Networks,Rapid Refresh,dataset-671
