title,journal,url,authors,open,search_term,dataset_id
Technical Progress and Development Directions of Oceanic Spatial Information Datum,Acta Geodaetica et Cartographica Sinica,http://html.rhhz.net/CHXB/html/2017-10-1778.htm,"BAO Jingyang, XU Jun, YU Caixia",True,Tidal Datum,dataset-614
Tidal Datum Changes Induced by Morphological Changes of North Carolina Coastal Inlets,Journal of Marine Science and Engineering,http://www.mdpi.com/2077-1312/4/4/79,"Jindong Wang, Edward Myers",True,Tidal Datum,dataset-614
Determination of the Vertical Deviation for China Height Datum with Coordinates of Dagang Tidal Gauge,Acta Geodaetica et Cartographica Sinica,http://html.rhhz.net/CHXB/html/2018-10-1295.htm,"WU Fumei, WEI Ziqing, LIU Guangming",True,Tidal Datum,dataset-614
Analysis of Tidal Data for Dagang Tidal Gauge and Study of the Changes for the National Height Datum,Acta Geodaetica et Cartographica Sinica,http://html.rhhz.net/CHXB/html/2015-7-709.htm,"WU Fumei, WEI Ziqing, LI Yingchun",True,Tidal Datum,dataset-614
Tidal Datums with Spatially Varying Uncertainty in North-East Gulf of Mexico for VDatum Application,Journal of Marine Science and Engineering,http://www.mdpi.com/2077-1312/6/4/114,"Liujuan Tang, Edward Myers, Lei Shi, Kurt Hess, Alison Carisio, Michael Michalski, Stephen White, Cuong Hoang",True,Tidal Datum,dataset-614
"Sea Level Characteristics Referenced to Specific Geodetic Datum in Alexandria, Egypt",,https://zenodo.org/record/1315759,"Ahmed M. Khedr, Saad M. Abdelrahman, Kareem M. Tonbol",True,Tidal Datum,dataset-614
Modeling Tidal Datums and Spatially Varying Uncertainty in the Texas and Western Louisiana Coastal Waters,Journal of Marine Science and Engineering,https://www.mdpi.com/2077-1312/7/2/44,"Wei Wu, Edward Myers, Lei Shi, Kurt Hess, Michael Michalski, Stephen White",True,Tidal Datum,dataset-614
Analysis of Tidal data for Dagang Tidal Gauge and Study of The National Height Datum,Acta Geodaetica et Cartographica Sinica,http://xb.sinomaps.com:8081/Jwk_chxb/CN/Y2015/V44/I6/591,"WU Fumei, WEI Ziqing, LI Yingchun",True,Tidal Datum,dataset-614
Determination of the chart datum for the Persian Gulf and Oman Sea based on Jason-1 satellite altimetry data,,http://aquaticcommons.org/24884/,"Lari, K., Abrehdary, M., Sudkolaei, A.",True,Tidal Datum,dataset-614
VARIATION OF CHART DATUM TOWARDS MARITIME DELIMITATION DUE TO RISING SEA LEVEL,The International Archives of the Photogrammetry,https://doaj.org/toc/2194-9034,"Faizuddin, A. R. M., Razali, M. M.",True,Tidal Datum,dataset-614
Trends in United States Tidal Datum Statistics and Tide Range,,https://escholarship.org/uc/item/5846m8hm,"Flick, R E, Murray, J F, Ewing, L C",True,Tidal Datum,dataset-614
THE IMPACT OF SEA LEVEL RISE ON GEODETIC VERTICAL DATUM OF PENINSULAR MALAYSIA,The International Archives of the Photogrammetry,https://doaj.org/toc/2194-9034,"Din, A. H. M., Abazu, I. C., Pa’suya, M. F., Omar, K. M., Hamid, A. I. A.",True,Tidal Datum,dataset-614
A method for detecting and locating the gross error of tidal based on wavelet analysis,E3S Web of Conferences,https://www.e3s-conferences.org/articles/e3sconf/pdf/2019/57/e3sconf_chinabiofilms18_01036.pdf,"Zhang Jin, Li ShuJun, Meng FanJun",True,Tidal Datum,dataset-614
Crustal Subsidence Analysis from GNSS Data for Dagang Tidal Station in Qingdao,Acta Geodaetica et Cartographica Sinica,http://html.rhhz.net/CHXB/html/2017-4-430.htm,"WU Fumei, WEI Ziqing, LIU Guangming",True,Tidal Datum,dataset-614
Efficient modeling of height datum based on GIS,,https://doaj.org/toc/2194-9034,Q. Qiao,True,Tidal Datum,dataset-614
Development and Use of Tide Models in Alaska Supporting VDatum and Hydrographic Surveying,Journal of Marine Science and Engineering,http://www.mdpi.com/2077-1312/2/1/171,"Shi, Lei, Wang, Jindong, Myers, Edward, Huang, Lijuan",True,Tidal Datum,dataset-614
Statistical Interpolation of Tidal Datums and Computation of Its Associated Spatially Varying Uncertainty,Journal of Marine Science and Engineering,http://www.mdpi.com/2077-1312/4/4/64,"Lei Shi, Edward Myers",True,Tidal Datum,dataset-614
