title,journal,url,authors,open,search_term,dataset_id
Beach Carrying Capacity Analysis for Sustainable Tourism Development in the South West Coast of India,"Environmental Research, Engineering and Management",http://www.erem.ktu.lt/index.php/erem/article/view/2648,"Rajan, Brilliant, Varghese, Vincy Mary, Pradeepkumar, Anakkathil Purushothaman",True,Total Economy of Coastal Areas,dataset-641
Impact of Green Total Factor Productivity in Marine Economy Based on Entropy Method,Polish Maritime Research,http://www.degruyter.com/view/j/pomr.2018.25.issue-s3/pomr-2018-0123/pomr-2018-0123.xml?format=INT,Wu Danjie,True,Total Economy of Coastal Areas,dataset-641
China¡¯s Economic Reform and Regional Productivity Differentials,Journal Of Economic Development,http://www.jed.or.kr/full-text/25-2/liu.PDF,"Bai-Yang Liu, Bong Joon Yoon",True,Total Economy of Coastal Areas,dataset-641
Valuasi Ekonomi Hutan Mangrove di Pulau Untung Jawa Kepulauan Seribu : Studi Konservasi Berbasis Green Economy,Omni-Akuatika,http://ojs.omniakuatika.net/index.php/joa/article/view/29,"Dandy E Prasetiyo, Firman Zulfikar, Shinta Shinta",True,Total Economy of Coastal Areas,dataset-641
China's continuing urban transition,Environment and Planning A,http://www.envplan.com/abstract.cgi?id=a34201,Clifton W Pannell,True,Total Economy of Coastal Areas,dataset-641
"Study on the Work Culture & Socio-economic Conditions of the Fishing Community working as Unorganised Labourers in Coastal Mangaluru, Karnataka",,https://zenodo.org/record/1133156,Pradeep M. D.,True,Total Economy of Coastal Areas,dataset-641
Water economy of three cinclodes (furnariidae) species inhabiting marine and freshwater ecosystems,,http://hdl.handle.net/10533/175726,"SABAT,PABLO, NESPOLO,ROBERTO F, BOZINOVIC,FRANCISCO",True,Total Economy of Coastal Areas,dataset-641
"Status of the biodiversity of St. Martin's Island, Bay of Bengal, Bangladesh",,http://aquaticcommons.org/19054/,"Hossain, M.M., Islam, M.H.",True,Total Economy of Coastal Areas,dataset-641
ANALYSIS OF WEAKNESSES OF COASTAL COMMUNITY ECONOMY EMPOWERMENT PROGRAM (PEMP) AND NATIONAL PROGRAM OF COMMUNITY EMPOWERMENT OF INDEPENDENT MARINE AND FISHERIES (PNPM-MKP) ON TRADITIONAL FISHERMEN IN INDONESIA,Junior Scientific Researcher,https://www.jsrpublishing.com/userfiles/files/archive_pages/32/Ginting_B._Arif_Nasution_M._Subhilhar_Hamdani_Harahap_R._JSR_Journal._Vol._IV._No.1._2018.pdf,"Bengkel Ginting, M. Arif Nasution, Subhilhar, Hamdani Harahap",True,Total Economy of Coastal Areas,dataset-641
Diagnostic Radiology in Liberia: A Country Report,Journal of Global Radiology,http://escholarship.umassmed.edu/jgr/vol1/iss2/6,"Farah S. Ali, Samantha G. Harrington, Stephen B. Kennedy, Sarwat Hussain",True,Total Economy of Coastal Areas,dataset-641
Application of Chemometric Methods for Assessment and Modelling of Microbiological Quality Data Concerning Coastal Bathing Water in Greece,Journal of Public Health Research,https://doaj.org/toc/2279-9036,"Agelos Papaioannou, George Rigas, Panagiotis Papastergiou, Christos Hadjichristodoulou",True,Total Economy of Coastal Areas,dataset-641
Attitudes and intentional reactions towards mariculture development - local residents' perspective,,https://hdl.handle.net/10037/15281,"Armbrecht, John, Skallerud, Kåre",True,Total Economy of Coastal Areas,dataset-641
Energy Efficiency and Its Driving Factors in China’s Three Economic Regions,Sustainability,https://www.mdpi.com/2071-1050/9/11/2059,"Sheng-An Shi, Long Xia, Ming Meng",True,Total Economy of Coastal Areas,dataset-641
"Large-scale assessment of landslide hazard, vulnerability and risk in China",Geomatics,http://dx.doi.org/10.1080/19475705.2018.1502690,"Xilin Liu, Cheng Miao",True,Total Economy of Coastal Areas,dataset-641
"Zona Ekowisata Kawasan Konservasi Pesisir di Kecamatan Katingan Kuala, Kabupaten Katingan, Provinsi Kalimantan Tengah Melalui Pendekatan Ekologi Bentang Lahan",Jurnal Ilmu Kehutanan,https://journal.ugm.ac.id/jikfkt/article/view/12628,"Cakra Birawa, Raden Mas Sukarna",True,Total Economy of Coastal Areas,dataset-641
Patterns of recruitment of the sand smelt (Atherina presbyter) on rocky intertidal habitats,Frontiers in Marine Science,http://journal.frontiersin.org/Journal/10.3389/conf.FMARS.2015.03.00147/full,"Frederico Almada, Frederico Almada",True,Total Economy of Coastal Areas,dataset-641
Regularities of the Development of Coastal Processes on Water Reservoirs of Hydroelectric Power Plants of Belarus,Izvestiâ Vysših Učebnyh Zavedenij i Ènergetičeskih ob Edinennij SNG. Ènergetika,https://energy.bntu.by/jour/article/view/1401,V. E. Levkevich,True,Total Economy of Coastal Areas,dataset-641
Morphological and economic impacts of rising sea levels on cliff-backed platform beaches in Southern Portugal,,http://dx.doi.org/10.1016/j.apgeog.2018.07.023,"Bon de Sousa, L., Loureiro, C., Ferreira, O.",True,Total Economy of Coastal Areas,dataset-641
