title,journal,doi,authors,search_term,dataset_id
Improvement of aerosol activation/ice nucleation in a source-oriented WRF-Chem model to study a winter Storm in California,Atmospheric Research,10.1016/j.atmosres.2019.104790,"Lee, Hsiang-He, Chen, Shu-Hua, Kumar, Anikender, Zhang, Hongliang, Kleeman, Michael J.",Next Generation Weather Radar,dataset-612
Optimized Raindrop Size Distribution Retrieval and Quantitative Rainfall Estimation from Polarimetric Radar,Journal of Hydrology,10.1016/j.jhydrol.2019.124248,"Huang, Hao, Zhao, Kun, Zhang, Guifu, Hu, Dongming, Yang, Zhengwei",Next Generation Weather Radar,dataset-612
Study on reflectivity data interpolation and mosaics for multiple Doppler weather radars,EURASIP Journal on Wireless Communications and Networking,10.1186/s13638-019-1465-6,"Sun, Min, Wang, Haijiang, Li, Zhaoming, Gao, Mengqing, Xu, Zili, Li, Jing",Next Generation Weather Radar,dataset-612
Observational study of the thermodynamics and morphological characteristics of a midlatitude continental cold pool event Observational study of the thermodynamics and morphological characteristics of a midlatitude continental cold pool event,Monthly Weather Review,10.1175/mwr-d-19-0068.1,"Borque, Paloma, Nesbitt, Stephen W., Trapp, Robert J., Lasher-Trapp, Sonia, Oue, Mariko",Next Generation Weather Radar,dataset-612
Image Processing of Radar Mosaics for the Climatology of Convection Initiation in South China Image Processing of Radar Mosaics for the Climatology of Convection Initiation in South China,Journal of Applied Meteorology and Climatology,10.1175/jamc-d-19-0081.1,"Bai, Lanqiang, Chen, Guixing, Huang, Ling",Next Generation Weather Radar,dataset-612
Statistical Observation of Thunderstorm-Induced Ionospheric Gravity Waves above Low-Latitude Areas in the Northern Hemisphere,Remote Sensing,10.3390/rs11232732,"Tang, Long, Chen, Wu, Chen, Mingli, Louis, Osei-Poku",Next Generation Weather Radar,dataset-612
Polarization Weather Radar Development from 1970–1995: Personal Reflections,Atmosphere,10.3390/atmos10110714,"Bringi, Viswanathan, Zrnic, Dusan",Next Generation Weather Radar,dataset-612
"A composite analysis of snowfall modes from four winter seasons in Marquette, Michigan A composite analysis of snowfall modes from four winter seasons in Marquette, Michigan",Journal of Applied Meteorology and Climatology,10.1175/jamc-d-19-0099.1,"Pettersen, Claire, Kulie, Mark S., Bliven, Larry F., Merrelli, Aronne J., Petersen, Walter A., Wagner, Timothy J., Wolff, David B., Wood, Norman B.",Next Generation Weather Radar,dataset-612
Daytime Rainy Cloud Detection and Convective Precipitation Delineation Based on a Deep Neural Network Method Using GOES-16 ABI Images,Remote Sensing,10.3390/rs11212555,"Liu, Qian, Li, Yun, Yu, Manzhu, Chiu, Long S., Hao, Xianjun, Duffy, Daniel Q., Yang, Chaowei",Next Generation Weather Radar,dataset-612
The Influence of Synoptic-Scale Air Mass Conditions on Seasonal Precipitation Patterns over North Carolina,Atmosphere,10.3390/atmos10100624,"Zarzar, Christopher, Dyer, Jamie",Next Generation Weather Radar,dataset-612
Effects of high-resolution geostationary satellite imagery on the predictability of tropical thunderstorms over Southeast Asia,Natural Hazards and Earth System Science,10.5194/nhess-19-2241-2019,"Lee, Kwonmin, Kim, Hye-Sil, Choi, Yong-Sang",Next Generation Weather Radar,dataset-612
Investigating the GPM Dual‐frequency Precipitation Radar signatures of low‐level precipitation enhancement,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.3611,"Porcacchia, Leonardo, Kirstetter, Pierre‐Emmanuel, Maggioni, Viviana, Tanelli, Simone",Next Generation Weather Radar,dataset-612
Reward‐Based Participant Management for Crowdsourcing Rainfall Monitoring: An Agent‐Based Model Simulation,Water Resources Research,10.1029/2018wr024447,"Yang, Pan, Ng, Tze Ling, Cai, Ximing",Next Generation Weather Radar,dataset-612
Enabling immediate access to Earth science models through cloud computing: application to the GEOS-Chem model Enabling immediate access to Earth science models through cloud computing: application to the GEOS-Chem model,Bulletin of the American Meteorological Society,10.1175/bams-d-18-0243.1,"Zhuang, Jiawei, Jacob, Daniel J., Gaya, Judith Flo, Yantosca, Robert M., Lundgren, Elizabeth W., Sulprizio, Melissa P., Eastham, Sebastian D.",Next Generation Weather Radar,dataset-612
Fusion of High-Resolution Reflectivity for a New Array Weather Radar,Atmosphere,10.3390/atmos10100566,"Ye, Kai, Yang, Ling, Ma, Shuqing, Zhen, Xiaoqiong, Fan, Xingang",Next Generation Weather Radar,dataset-612
Simulating sub-daily hydrological process with SWAT: a review,Hydrological Sciences Journal,10.1080/02626667.2019.1642477,"Brighenti, Tássia Mattos, Bonumá, Nadia Bernardi, Srinivasan, Raghavan, Chaffe, Pedro Luiz Borges",Next Generation Weather Radar,dataset-612
Practical Application of a Data Stewardship Maturity Matrix for the NOAA <i>OneStop</i> Project,Data Science Journal,10.5334/dsj-2019-041,"Peng, Ge, Milan, Anna, Ritchey, Nancy A., Partee, Robert P., Zinn, Sonny, McQuinn, Evan, Casey, Kenneth S., Lemieux, Paul, Ionin, Raisa, Jones, Philip, Jakositz, Arianna, Collins, Donald",Next Generation Weather Radar,dataset-612
