title,journal,authors,doi,search_term,dataset_id
"Publisher Correction: The Scales Project, a cross-national dataset on the interpretation of thermal perception scales.",Scientific data,,10.1038/s41597-019-0348-3,Applied Climate Information System,dataset-642
"Enteric Methane Emissions of Dairy Cows Predicted from Fatty Acid Profiles of Milk, Cream, Cheese, Ricotta, Whey, and Scotta.",Animals : an open access journal from MDPI,"Bittante, Giovanni, Bergamaschi, Matteo",10.3390/ani10010061,Applied Climate Information System,dataset-642
TRY plant trait database - enhanced coverage and open access.,Global change biology,,10.1111/gcb.14904,Applied Climate Information System,dataset-642
"Spatial and temporal characteristics of soil conservation service in the area of the upper and middle of the Yellow River, China.",Heliyon,"Zhu, Mingyong, He, Wenming, Zhang, Quanfa, Xiong, Yongzhu, Tan, Shuduan, He, Hongming",10.1016/j.heliyon.2019.e02985,Applied Climate Information System,dataset-642
[Overview and prospects of traditional Chinese medicine blending technology oriented by quality consistency].,Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,"Xu, Xiao-Rong, Zhang, Ting, Li, Pan, Xu, Qiang, Feng, Bi, Tan, Peng, Cao, Jun-Han, Xu, Run-Chun, Zhang, Ding-Kun, Han, Li",10.19540/j.cnki.cjcmm.20190901.302,Applied Climate Information System,dataset-642
Impacts of drought phenomenon on the chemical quality of groundwater resources in the central part of Iran-application of GIS technique.,Environmental monitoring and assessment,"Fallahati, Ali, Soleimani, Hamed, Alimohammadi, Mahmood, Dehghanifard, Emad, Askari, Masoomeh, Eslami, Fatemeh, Karami, Leila",10.1007/s10661-019-8037-4,Applied Climate Information System,dataset-642
"Capability and robustness of novel hybridized models used for drought hazard modeling in southeast Queensland, Australia.",The Science of the total environment,"Rahmati, Omid, Panahi, Mahdi, Kalantari, Zahra, Soltani, Elinaz, Falah, Fatemeh, Dayal, Kavina S, Mohammadi, Farnoush, Deo, Ravinesh C, Tiefenbacher, John, Tien Bui, Dieu",10.1016/j.scitotenv.2019.134656,Applied Climate Information System,dataset-642
Utilizing geospatial information to implement SDGs and monitor their Progress.,Environmental monitoring and assessment,"Avtar, Ram, Aggarwal, Ridhika, Kharrazi, Ali, Kumar, Pankaj, Kurniawan, Tonni Agustiono",10.1007/s10661-019-7996-9,Applied Climate Information System,dataset-642
"{'sub': ['3', '2'], '#text': 'Effects of warming and elevated O concentrations on NO emission and soil nitrification and denitrification rates in a wheat-soybean rotation cropland.'}","Environmental pollution (Barking, Essex : 1987)","Wang, Yuanyuan, Hu, Zhenghua, Shang, Dongyao, Xue, Ying, Islam, A R M Towfiqul, Chen, Shutao",10.1016/j.envpol.2019.113556,Applied Climate Information System,dataset-642
"{'i': 'Vibrio cholerae', '#text': 'Phenotypic and Genotypic Antimicrobial Resistance Traits of  Non-O1/Non-O139 Isolated From a Large Austrian Lake Frequently Associated With Cases of Human Infection.'}",Frontiers in microbiology,"Lepuschitz, Sarah, Baron, Sandrine, Larvor, Emeline, Granier, Sophie A, Pretzer, Carina, Mach, Robert L, Farnleitner, Andreas H, Ruppitsch, Werner, Pleininger, Sonja, Indra, Alexander, Kirschner, Alexander K T",10.3389/fmicb.2019.02600,Applied Climate Information System,dataset-642
Morphometric approaches to promote the use of exotic germplasm for improved food security and resilience to climate change: a kura clover example.,Plant science : an international journal of experimental plant biology,"Schlautman, Brandon, Diaz-Garcia, Luis, Barriball, Spencer",10.1016/j.plantsci.2019.110319,Applied Climate Information System,dataset-642
"The Scales Project, a cross-national dataset on the interpretation of thermal perception scales.",Scientific data,,10.1038/s41597-019-0272-6,Applied Climate Information System,dataset-642
How does water-reliant industry affect groundwater systems in coastal Kenya?,The Science of the total environment,"Ferrer, Nuria, Folch, Albert, Lane, Mike, Olago, Daniel, Katuva, Jacob, Thomson, Patrick, Jou, Sonia, Hope, Rob, Custodio, Emilio",10.1016/j.scitotenv.2019.133634,Applied Climate Information System,dataset-642
