title,journal,authors,doi,search_term,dataset_id
Digital epidemiology: assessment of measles infection through Google Trends mechanism in Italy.,Annali di igiene : medicina preventiva e di comunita,"Santangelo, O E, Provenzano, S, Piazza, D, Giordano, D, Calamusa, G, Firenze, A",10.7416/ai.2019.2300,Digital Forecast Database,dataset-643
Multitask learning and benchmarking with clinical time series data.,Scientific data,"Harutyunyan, Hrayr, Khachatrian, Hrant, Kale, David C, Ver Steeg, Greg, Galstyan, Aram",10.1038/s41597-019-0103-9,Digital Forecast Database,dataset-643
[Urgent need of action for the future of digital hospitals].,HNO,"Neumann, K, Reichl, V, Rong, O",10.1007/s00106-019-0655-1,Digital Forecast Database,dataset-643
[Multiple sclerosis in central Hungary: experiences and future possibilities of developing a local database].,Orvosi hetilap,"Iljicsov, Anna, Simó, Magdolna, Tegze, Nárcisz, Szócska, Miklós, Mátyus, Péter, Bereczki, Dániel",10.1556/650.2019.31274,Digital Forecast Database,dataset-643
Research Ethics in the European Influenzanet Consortium: Scoping Review.,JMIR public health and surveillance,"Geneviève, Lester Darryl, Wangmo, Tenzin, Dietrich, Damien, Woolley-Meza, Olivia, Flahault, Antoine, Elger, Bernice Simone",10.2196/publichealth.9616,Digital Forecast Database,dataset-643
"Identifiers for the 21st century: How to design, provision, and reuse persistent identifiers to maximize utility and impact of life science data.",PLoS biology,"McMurry, Julie A, Juty, Nick, Blomberg, Niklas, Burdett, Tony, Conlin, Tom, Conte, Nathalie, Courtot, Mélanie, Deck, John, Dumontier, Michel, Fellows, Donal K, Gonzalez-Beltran, Alejandra, Gormanns, Philipp, Grethe, Jeffrey, Hastings, Janna, Hériché, Jean-Karim, Hermjakob, Henning, Ison, Jon C, Jimenez, Rafael C, Jupp, Simon, Kunze, John, Laibe, Camille, Le Novère, Nicolas, Malone, James, Martin, Maria Jesus, McEntyre, Johanna R, Morris, Chris, Muilu, Juha, Müller, Wolfgang, Rocca-Serra, Philippe, Sansone, Susanna-Assunta, Sariyar, Murat, Snoep, Jacky L, Soiland-Reyes, Stian, Stanford, Natalie J, Swainston, Neil, Washington, Nicole, Williams, Alan R, Wimalaratne, Sarala M, Winfree, Lilly M, Wolstencroft, Katherine, Goble, Carole, Mungall, Christopher J, Haendel, Melissa A, Parkinson, Helen",10.1371/journal.pbio.2001414,Digital Forecast Database,dataset-643
"Digital divide, biometeorological data infrastructures and human vulnerability definition.",International journal of biometeorology,"Fdez-Arroyabe, Pablo, Lecha Estela, Luis, Schimt, Falko",10.1007/s00484-017-1398-x,Digital Forecast Database,dataset-643
Forecasting of construction and demolition waste in Brazil.,"Waste management & research : the journal of the International Solid Wastes and Public Cleansing Association, ISWA","Paz, Diogo Hf, Lafayette, Kalinny Pv",10.1177/0734242X16644680,Digital Forecast Database,dataset-643
The application of Big Data in medicine: current implications and future directions.,Journal of interventional cardiac electrophysiology : an international journal of arrhythmias and pacing,"Austin, Christopher, Kusumoto, Fred",,Digital Forecast Database,dataset-643
Durability of open popliteal artery aneurysm repair.,Journal of vascular surgery,"Dorweiler, Bernhard, Gemechu, Abebe, Doemland, Marco, Neufang, Achim, Espinola-Klein, Christine, Vahl, Christian-Friedrich",10.1016/j.jvs.2014.04.035,Digital Forecast Database,dataset-643
A 747 in the age of A380s: how can Cochrane learn from the past and compete 20 years on?,The Cochrane database of systematic reviews,"Craig, Jonathan, Grimshaw, Jeremy, Tovey, David",10.1002/14651858.ED000074,Digital Forecast Database,dataset-643
