title,journal,authors,doi,search_term,dataset_id
Materials Sealing Preventing Biofilm Formation in Implant/Abutment Joints: Which Is the Most Effective? A Systematic Review and Meta-Analysis.,The Journal of oral implantology,"Sousa, Cecília Alves, Taborda, Maria Beatriz Bello, Momesso, Gustavo Correa, Rocha, Eduardo Passos, Dos Santos, Paulo Henrique, Santigo-Junior, Joel Ferreira, Assunçao, Wirley Gonçalves",10.1563/aaid-joi-D-19-00121,Integrated Surface Database,dataset-621
Integrated Analysis To Identify Molecular Biomarkers Of High-Grade Serous Ovarian Cancer.,OncoTargets and therapy,"Si, Manfei, Zhang, Junji, Cao, Jianzhong, Xie, Zhibo, Shu, Shan, Zhu, Yapei, Lang, Jinghe",10.2147/OTT.S228678,Integrated Surface Database,dataset-621
"{'i': 'in silico', '#text': 'Mining of potential dipeptidyl peptidase-IV inhibitors as anti-diabetic agents using integrated  approaches.'}",Journal of biomolecular structure & dynamics,"Sharma, Shweta, Srivastava, Shubham, Shrivastava, Apeksha, Malik, Ruchi, Almalki, Faisal, Saifullah, Khalid, Alam, Mohammad Mumtaz, Shaqiquzzaman, Mohammad, Ali, Shakir, Akhter, Mymoona",10.1080/07391102.2019.1701553,Integrated Surface Database,dataset-621
Correlation between FAS single nucleotide polymorphisms and breast carcinoma susceptibility in Asia.,Medicine,"Chen, Ying, Wang, Hanfei, Yan, Yunwen, Ren, Min, Yan, Cunye, Wang, Benzhong",10.1097/MD.0000000000018240,Integrated Surface Database,dataset-621
Multi-targeted tyrosine kinase inhibitors as third-line regimen in advanced non-small cell lung cancer: a network meta-analysis.,Annals of translational medicine,"Zhang, Zhonghan, Zhao, Yuanyuan, Lu, Feiteng, Hou, Xue, Ma, Yuxiang, Luo, Fan, Zeng, Kangmei, Zhao, Shen, Zhang, Yaxiong, Zhou, Ting, Yang, Yunpeng, Fang, Wenfeng, Huang, Yan, Zhang, Li, Zhao, Hongyun",10.21037/atm.2019.08.51,Integrated Surface Database,dataset-621
Bioinformatics analysis of the Hub genes and key pathways of interstitial cystitis pathogenesis.,Neurourology and urodynamics,"Liu, Junjiang, Zhang, Yunxia, Li, Shoubin, Sun, Fuzhen, Wang, Gang, Wei, Dong, Yang, Tao, Gu, Shouyi",10.1002/nau.24196,Integrated Surface Database,dataset-621
Identification and quantification of bacterial genomes carrying antibiotic resistance genes and virulence factor genes for aquatic microbiological risk assessment.,Water research,"Liang, Jinsong, Mao, Guannan, Yin, Xiaole, Ma, Liping, Liu, Lei, Bai, Yaohui, Zhang, Tong, Qu, Jiuhui",10.1016/j.watres.2019.115160,Integrated Surface Database,dataset-621
Evaluation of core serous epithelial ovarian cancer genes as potential prognostic markers and indicators of the underlying molecular mechanisms using an integrated bioinformatics analysis.,Oncology letters,"Zhang, Yu-Bo, Jiang, Yuhan, Wang, Jiao, Ma, Jing, Han, Shiyu",10.3892/ol.2019.10884,Integrated Surface Database,dataset-621
Grammatical predictions in Spanish-English bilinguals and Spanish-language learners.,"Journal of experimental psychology. Learning, memory, and cognition","de Los Santos, Guadalupe, Boland, Julie E, Lewis, Richard L",10.1037/xlm0000764,Integrated Surface Database,dataset-621
High expression of EZR (ezrin) gene is correlated with the poor overall survival of breast cancer patients.,Thoracic cancer,"Zhang, Rongju, Zhang, Shaohui, Xing, Rongge, Zhang, Qin",10.1111/1759-7714.13174,Integrated Surface Database,dataset-621
