title,journal,authors,doi,search_term,dataset_id
Analyzing territory for the sustainable development of solar photovoltaic power using GIS databases.,Environmental monitoring and assessment,"Guaita-Pradas, Inmaculada, Marques-Perez, Inmaculada, Gallego, Aurea, Segura, Baldomero",10.1007/s10661-019-7871-8,Local Climate Analysis Tool Data,dataset-637
Vulnerability assessment tools for infectious threats and antimicrobial resistance: a scoping review protocol.,BMJ open,"Jeleff, Maren, Lehner, Lisa, Giles-Vernick, Tamara, Dückers, Michel L A, Napier, A David, Jirovsky, Elena, Kutalek, Ruth",10.1136/bmjopen-2019-031944,Local Climate Analysis Tool Data,dataset-637
Water Supply Risk in the United States 2015-2050 Considering Projected Changes in Population and Thermoelectric Power Demand.,Environmental science & technology,"Dickson, Kerim E, Dzombak, David A",10.1021/acs.est.9b02435,Local Climate Analysis Tool Data,dataset-637
"{'sub': '2.5', '#text': 'Urban pollution in the Danube and Western Balkans regions: The impact of major PM sources.'}",Environment international,"Belis, Claudio A, Pisoni, Enrico, Degraeuwe, Bart, Peduzzi, Emanuela, Thunis, Philippe, Monforti-Ferrario, Fabio, Guizzardi, Diego",10.1016/j.envint.2019.105158,Local Climate Analysis Tool Data,dataset-637
Trans-Species Polymorphism in Mitochondrial Genome of Camarodont Sea Urchins.,Genes,"Balakirev,Evgeniy S",10.3390/genes10080592,Local Climate Analysis Tool Data,dataset-637
"A multivariate statistical approach to the integration of different land-uses, seasons, and water quality as water resources management tool.",Environmental monitoring and assessment,"de Souza Pereira, Mariana Antonio, Cavalheri, Priscila Sabioni, de Oliveira, Michel Ângelo Constantino, Magalhães Filho, Fernando Jorge Correa",10.1007/s10661-019-7647-1,Local Climate Analysis Tool Data,dataset-637
Modeling the impact of liana infestation on the demography and carbon cycle of tropical forests.,Global change biology,"di Porcia E Brugnera, Manfredo, Meunier, Félicien, Longo, Marcos, Krishna Moorthy, Sruthi M, De Deurwaerder, Hannes, Schnitzer, Stefan A, Bonal, Damien, Faybishenko, Boris, Verbeeck, Hans",10.1111/gcb.14769,Local Climate Analysis Tool Data,dataset-637
Perceptions of agrodiversity and seed-saving practices in the northern Andes of Ecuador.,Journal of ethnobiology and ethnomedicine,"Montúfar, Rommel, Ayala, Michael",10.1186/s13002-019-0312-5,Local Climate Analysis Tool Data,dataset-637
Review: An integrated graphical tool for analysing impacts and services provided by livestock farming.,Animal : an international journal of animal bioscience,"Ryschawy, J, Dumont, B, Therond, O, Donnars, C, Hendrickson, J, Benoit, M, Duru, M",10.1017/S1751731119000351,Local Climate Analysis Tool Data,dataset-637
Environmental and meteorological factors linked to malaria transmission around large dams at three ecological settings in Ethiopia.,Malaria journal,"Kibret, Solomon, Glenn Wilson, G, Ryder, Darren, Tekie, Habte, Petros, Beyene",10.1186/s12936-019-2689-y,Local Climate Analysis Tool Data,dataset-637
