title,journal,authors,doi,search_term,dataset_id
Influence of the spatial resolution of the exposure estimate in determining the association between heat waves and adverse health outcomes.,Annals of the American Association of Geographers,"Wu, Connor Y H, Zaitchik, Benjamin F, Swarup, Samarth, Gohlke, Julia M",10.1080/24694452.2018.1511411,North American Land Data Assimilation System,dataset-669
"{'sub': '2.5', '#text': 'Development and validation of improved PM models for public health applications using remotely sensed aerosol and meteorological data.'}",Environmental monitoring and assessment,"Al-Hamdan, Mohammad, Crosson, William, Burrows, Erica, Coffield, Shane, Crane, Breanna, Barik, Muhammad",10.1007/s10661-019-7414-3,North American Land Data Assimilation System,dataset-669
Heat waves and fatal traffic crashes in the continental United States.,Accident; analysis and prevention,"Wu, Connor Y H, Zaitchik, Benjamin F, Gohlke, Julia M",10.1016/j.aap.2018.07.025,North American Land Data Assimilation System,dataset-669
Trends in seasonal warm anomalies across the contiguous United States: Contributions from natural climate variability.,Scientific reports,"Yu, Lejiang, Zhong, Shiyuan, Heilman, Warren E, Bian, Xindi",10.1038/s41598-018-21817-9,North American Land Data Assimilation System,dataset-669
Comparing potential recharge estimates from three Land Surface Models across the Western US.,Journal of hydrology,"Niraula, Rewati, Meixner, Thomas, Ajami, Hoori, Rodell, Matthew, Gochis, David, Castro, Christopher L",10.1016/j.jhydrol.2016.12.028,North American Land Data Assimilation System,dataset-669
Benchmarking NLDAS-2 Soil Moisture and Evapotranspiration to Separate Uncertainty Contributions.,Journal of hydrometeorology,"Nearing, Grey S, Mocko, David M, Peters-Lidard, Christa D, Kumar, Sujay V, Xia, Youlong",10.1175/JHM-D-15-0063.1,North American Land Data Assimilation System,dataset-669
"Meteorological conditions associated with increased incidence of West Nile virus disease in the United States, 2004-2012.",The American journal of tropical medicine and hygiene,"Hahn, Micah B, Monaghan, Andrew J, Hayden, Mary H, Eisen, Rebecca J, Delorey, Mark J, Lindsey, Nicole P, Nasci, Roger S, Fischer, Marc",10.4269/ajtmh.14-0737,North American Land Data Assimilation System,dataset-669
Environmental Public Health Applications Using Remotely Sensed Data.,Geocarto international,"Al-Hamdan, Mohammad Z, Crosson, William L, Economou, Sigrid A, Estes, Maurice G, Estes, Sue M, Hemmings, Sarah N, Kent, Shia T, Puckett, Mark, Quattrochi, Dale A, Rickman, Douglas L, Wade, Gina M, McClure, Leslie A",,North American Land Data Assimilation System,dataset-669
Heat waves and health outcomes in Alabama (USA): the importance of heat wave definition.,Environmental health perspectives,"Kent, Shia T, McClure, Leslie A, Zaitchik, Benjamin F, Smith, Tiffany T, Gohlke, Julia M",10.1289/ehp.1307262,North American Land Data Assimilation System,dataset-669
"Heat waves in the United States: definitions, patterns and trends.",Climatic change,"Smith, Tiffany T, Zaitchik, Benjamin F, Gohlke, Julia M",,North American Land Data Assimilation System,dataset-669
Predictors of indoor absolute humidity and estimated effects on influenza virus survival in grade schools.,BMC infectious diseases,"Koep, Tyler H, Enders, Felicity T, Pierret, Chris, Ekker, Stephen C, Krageschmidt, Dale, Neff, Kevin L, Lipsitch, Marc, Shaman, Jeffrey, Huskins, W Charles",10.1186/1471-2334-13-71,North American Land Data Assimilation System,dataset-669
Estimating ground-level PM(2.5) concentrations in the southeastern U.S. using geographically weighted regression.,Environmental research,"Hu, Xuefei, Waller, Lance A, Al-Hamdan, Mohammad Z, Crosson, William L, Estes, Maurice G, Estes, Sue M, Quattrochi, Dale A, Sarnat, Jeremy A, Liu, Yang",10.1016/j.envres.2012.11.003,North American Land Data Assimilation System,dataset-669
