title,journal,authors,doi,search_term,dataset_id
Health Risk Modifiers of Exposure to Persistent Pollutants among Indigenous Peoples of Chukotka.,International journal of environmental research and public health,"Chashchin, Valery, Kovshov, Aleksandr A, Thomassen, Yngvar, Sorokina, Tatiana, Gorbanev, Sergey A, Morgunov, Boris, Gudkov, Andrey B, Chashchin, Maksim, Sturlis, Natalia V, Trofimova, Anna, Odland, Jon Ø, Nieboer, Evert",10.3390/ijerph17010128,Total Economy of Coastal Areas,dataset-641
How does China's Western Development Strategy affect regional green economic efficiency?,The Science of the total environment,"Zhuo, Chengfeng, Deng, Feng",10.1016/j.scitotenv.2019.135939,Total Economy of Coastal Areas,dataset-641
"{'sub': '2', '#text': 'Provincial-level industrial CO emission drivers and emission reduction strategies in China: Combining two-layer LMDI method with spectral clustering.'}",The Science of the total environment,"Wen, Lei, Li, Zhenkai",10.1016/j.scitotenv.2019.134374,Total Economy of Coastal Areas,dataset-641
"[Spatial variation and driving factors of invasive plants in Fujian Province, China].",Ying yong sheng tai xue bao = The journal of applied ecology,"Li, Zhi Peng, Zhao, Jian, Chen, Ye Bin, Chen, Hong, Lin, Na, Qiu, Rong Zhou",10.13287/j.1001-9332.201908.010,Total Economy of Coastal Areas,dataset-641
Contamination characteristics of siloxanes in coastal sediment collected from industrialized bays in South Korea.,Ecotoxicology and environmental safety,"Lee, Danbi, Park, Min-Kyu, Lee, In-Seok, Choi, Sung-Deuk",10.1016/j.ecoenv.2019.109457,Total Economy of Coastal Areas,dataset-641
Occurrence of Human Enteric Adenoviruses in Fresh Tropical Seafood from Retail Markets and Landing Centers.,Journal of food science,"Ghosh, Subal Kumar, Lekshmi, Manjusha, Das, Oishi, Kumar, Sanath, Nayak, Binaya Bhusan",10.1111/1750-3841.14735,Total Economy of Coastal Areas,dataset-641
How to allocate discharge permits more fairly in China?-A new perspective from watershed and regional allocation comparison on socio-natural equality.,The Science of the total environment,"Wu, Wenjun, Gao, Peiqi, Xu, Qiming, Zheng, Tianlong, Zhang, Jie, Wang, Jinnan, Liu, Nianlei, Bi, Jun, Zhou, Yuanchun, Jiang, Hongqiang",10.1016/j.scitotenv.2019.05.104,Total Economy of Coastal Areas,dataset-641
Patterns of outdoor exposure to heat in three South Asian cities.,The Science of the total environment,"Jacobs, Cor, Singh, Tanya, Gorti, Ganesh, Iftikhar, Usman, Saeed, Salar, Syed, Abu, Abbas, Farhat, Ahmad, Bashir, Bhadwal, Suruchi, Siderius, Christian",10.1016/j.scitotenv.2019.04.087,Total Economy of Coastal Areas,dataset-641
Occupational injuries and diseases in fish farming in Finland 1996-2015.,International maritime health,"Kaustell, Kim Olavi, Mattila, Tiina Elina Anneli, Ahvonen, Anssi, Rautiainen, Risto Heikki",10.5603/IMH.2019.0007,Total Economy of Coastal Areas,dataset-641
Evaluating the energy-environment efficiency and its determinants in Guangdong using a slack-based measure with environmental undesirable outputs and panel data model.,The Science of the total environment,"Wang, Jieyu, Wang, Shaojian, Li, Shijie, Cai, Qiaoxian, Gao, Shuang",10.1016/j.scitotenv.2019.01.413,Total Economy of Coastal Areas,dataset-641
Changes in area and number of nature reserves in China.,Conservation biology : the journal of the Society for Conservation Biology,"Ma, Zhijun, Chen, Ying, Melville, David S, Fan, Jun, Liu, Jianguo, Dong, Jinwei, Tan, Kun, Cheng, Xuefei, Fuller, Richard A, Xiao, Xiangming, Li, Bo",10.1111/cobi.13285,Total Economy of Coastal Areas,dataset-641
Temporal trends of polybrominated diphenyl ethers in the sediment cores from different areas in China.,Ecotoxicology and environmental safety,"Da, Chunnian, Wu, Ke, Ye, Jingsong, Wang, Ruwei, Liu, Rongqiong, Sun, Ruoyu",10.1016/j.ecoenv.2018.12.074,Total Economy of Coastal Areas,dataset-641
Cost-effective restoration and conservation planning in Green and Blue Infrastructure designs. A case study on the Intercontinental Biosphere Reserve of the Mediterranean: Andalusia (Spain) - Morocco.,The Science of the total environment,"Barbosa, Ana, Martín, Beatriz, Hermoso, Virgilio, Arévalo-Torres, Juan, Barbière, Julian, Martínez-López, Javier, Domisch, Sami, Langhans, Simone D, Balbi, Stefano, Villa, Ferdinando, Delacámara, Gonzalo, Teixeira, Heliana, Nogueira, Antonio J A, Lillebø, Ana I, Gil-Jiménez, Yolanda, McDonald, Hugh, Iglesias-Campos, Alejandro",10.1016/j.scitotenv.2018.10.416,Total Economy of Coastal Areas,dataset-641
Horizontal vs vertical growth: Understanding latent patterns of urban expansion in large metropolitan regions.,The Science of the total environment,"Zambon, Ilaria, Colantoni, Andrea, Salvati, Luca",10.1016/j.scitotenv.2018.11.182,Total Economy of Coastal Areas,dataset-641
Can Industrial Structural Adjustment Improve the Total-Factor Carbon Emission Performance in China?,International journal of environmental research and public health,"Cheng, Zhonghua, Shi, Xiai",10.3390/ijerph15102291,Total Economy of Coastal Areas,dataset-641
Modelling as decision support for the localisation of submarine urban wastewater outfall: Venice lagoon (Italy) as a case study.,Environmental science and pollution research international,"Ostoich, Marco, Ghezzo, Michol, Umgiesser, Georg, Zambon, Mirco, Tomiato, Loris, Ingegneri, Federico, Mezzadri, Giuseppe",10.1007/s11356-018-3316-0,Total Economy of Coastal Areas,dataset-641
Ecosystem-based management planning across aquatic realms at the Ria de Aveiro Natura 2000 territory.,The Science of the total environment,"Lillebø, Ana I, Teixeira, Heliana, Morgado, Mariana, Martínez-López, Javier, Marhubi, Asya, Delacámara, Gonzalo, Strosser, Pierre, Nogueira, António J A",10.1016/j.scitotenv.2018.09.317,Total Economy of Coastal Areas,dataset-641
Pathways to resilience: adapting to sea level rise in Los Angeles.,Annals of the New York Academy of Sciences,"Aerts, Jeroen C J H, Barnard, Patrick L, Botzen, Wouter, Grifman, Phyllis, Hart, Juliette Finzi, De Moel, Hans, Mann, Alyssa Newton, de Ruig, Lars T, Sadrpour, Nick",10.1111/nyas.13917,Total Economy of Coastal Areas,dataset-641
An integrated method for assessing drought prone areas - Water efficiency practices for a climate resilient Mediterranean agriculture.,The Science of the total environment,"Kourgialas, Nektarios N, Anyfanti, Ioanna, Karatzas, George P, Dokou, Zoi",10.1016/j.scitotenv.2018.01.051,Total Economy of Coastal Areas,dataset-641
"Monetary valuation of salicylic acid, methylparaben and THCOOH in a Mediterranean coastal wetland through the shadow prices methodology.",The Science of the total environment,"Bellver-Domingo, Águeda, Fuentes, Ramón, Hernández-Sancho, Francesc, Carmona, Eric, Picó, Yolanda, Hernández-Chover, Vicent",10.1016/j.scitotenv.2018.01.303,Total Economy of Coastal Areas,dataset-641
Ecological-economic assessment of the effects of freshwater flow in the Florida Everglades on recreational fisheries.,The Science of the total environment,"Brown, Christina Estela, Bhat, Mahadev G, Rehage, Jennifer S, Mirchi, Ali, Boucek, Ross, Engel, Victor, Ault, Jerald S, Mozumder, Pallab, Watkins, David, Sukop, Michael",10.1016/j.scitotenv.2018.01.038,Total Economy of Coastal Areas,dataset-641
"{'sub': '2.5', '#text': 'Transfers of embodied PM emissions from and to the North China region based on a multiregional input-output model.'}","Environmental pollution (Barking, Essex : 1987)","Yang, Xue, Zhang, Wenzhong, Fan, Jie, Yu, Jianhui, Zhao, Hongyan",10.1016/j.envpol.2017.12.115,Total Economy of Coastal Areas,dataset-641
Economic evaluation of 2014 cholera outbreak in Ghana: a household cost analysis.,Health economics review,"Awalime, Dziedzom Kwesi, Davies-Teye, Bernard Bright K, Vanotoo, Linda A, Owoo, Nkechi S, Nketiah-Amponsah, Edward",10.1186/s13561-017-0182-2,Total Economy of Coastal Areas,dataset-641
"Paths to Change: Bio-Economic Factors, Geographical Gradients and the Land-Use Structure of Italy.",Environmental management,"Masini, Emanuela, Barbati, Anna, Bencardino, Massimiliano, Carlucci, Margherita, Corona, Piermaria, Salvati, Luca",10.1007/s00267-017-0950-0,Total Economy of Coastal Areas,dataset-641
Mapping the global potential for marine aquaculture.,Nature ecology & evolution,"Gentry, Rebecca R, Froehlich, Halley E, Grimm, Dietmar, Kareiva, Peter, Parke, Michael, Rust, Michael, Gaines, Steven D, Halpern, Benjamin S",10.1038/s41559-017-0257-9,Total Economy of Coastal Areas,dataset-641
"Contribution of industrial density and socioeconomic status to the spatial distribution of thyroid cancer risk in Hangzhou, China.",The Science of the total environment,"Fei, Xufeng, Lou, Zhaohan, Christakos, George, Liu, Qingmin, Ren, Yanjun, Wu, Jiaping",10.1016/j.scitotenv.2017.08.270,Total Economy of Coastal Areas,dataset-641
