title,journal,authors,doi,search_term,dataset_id
Generation gaps in US public opinion on renewable energy and climate change.,PloS one,"Hamilton, Lawrence C, Hartter, Joel, Bell, Erin",10.1371/journal.pone.0217608,U.S. Climate Divisions,dataset-640
"Pride, Love, and Twitter Rants: Combining Machine Learning and Qualitative Techniques to Understand What Our Tweets Reveal about Race in the US.",International journal of environmental research and public health,"Nguyen, Thu T, Criss, Shaniece, Allen, Amani M, Glymour, M Maria, Phan, Lynn, Trevino, Ryan, Dasari, Shrikha, Nguyen, Quynh C",10.3390/ijerph16101766,U.S. Climate Divisions,dataset-640
"Epidemiology of canine heartworm (Dirofilaria immitis) infection in domestic dogs in Ontario, Canada: Geographic distribution, risk factors and effects of climate.",Geospatial health,"McGill, Erin, Berke, Olaf, Peregrine, Andrew S, Weese, J Scott",10.4081/gh.2019.741,U.S. Climate Divisions,dataset-640
Potential for Seasonal Lassa Fever Case Exportation from Nigeria.,The American journal of tropical medicine and hygiene,"Tuite, Ashleigh R, Watts, Alexander G, Kraemer, Moritz U G, Khan, Kamran, Bogoch, Isaac I",10.4269/ajtmh.18-0753,U.S. Climate Divisions,dataset-640
A Critical Review of State-of-the-Art and Emerging Approaches to Identify Fracking-Derived Gases and Associated Contaminants in Aquifers.,Environmental science & technology,"McIntosh, J C, Hendry, M J, Ballentine, C, Haszeldine, R S, Mayer, B, Etiope, G, Elsner, M, Darrah, T H, Prinzhofer, A, Osborn, S, Stalker, L, Kuloyo, O, Lu, Z-T, Martini, A, Lollar, B Sherwood",10.1021/acs.est.8b05807,U.S. Climate Divisions,dataset-640
Metals and oxidative potential in urban particulate matter influence systemic inflammatory and neural biomarkers: A controlled exposure study.,Environment international,"Liu, Ling, Urch, Bruce, Szyszkowicz, Mieczyslaw, Evans, Greg, Speck, Mary, Van Huang, Angela, Leingartner, Karen, Shutt, Robin H, Pelletier, Guillaume, Gold, Diane R, Brook, Jeffrey R, Godri Pollitt, Krystal, Silverman, Frances S",10.1016/j.envint.2018.10.055,U.S. Climate Divisions,dataset-640
"Seasonal and interannual risks of dengue introduction from South-East Asia into China, 2005-2015.",PLoS neglected tropical diseases,"Lai, Shengjie, Johansson, Michael A, Yin, Wenwu, Wardrop, Nicola A, van Panhuis, Willem G, Wesolowski, Amy, Kraemer, Moritz U G, Bogoch, Isaac I, Kain, Dylain, Findlater, Aidan, Choisy, Marc, Huang, Zhuojie, Mu, Di, Li, Yu, He, Yangni, Chen, Qiulan, Yang, Juan, Khan, Kamran, Tatem, Andrew J, Yu, Hongjie",10.1371/journal.pntd.0006743,U.S. Climate Divisions,dataset-640
A Comprehensive Map of Genetic Variation in the World's Largest Ethnic Group-Han Chinese.,Molecular biology and evolution,"Chiang, Charleston W K, Mangul, Serghei, Robles, Christopher, Sankararaman, Sriram",10.1093/molbev/msy170,U.S. Climate Divisions,dataset-640
Infrastructure Shapes Differences in the Carbon Intensities of Chinese Cities.,Environmental science & technology,"Zheng, Bo, Zhang, Qiang, Davis, Steven J, Ciais, Philippe, Hong, Chaopeng, Li, Meng, Liu, Fei, Tong, Dan, Li, Haiyan, He, Kebin",10.1021/acs.est.7b05654,U.S. Climate Divisions,dataset-640
"Mammalian genomic regulatory regions predicted by utilizing human genomics, transcriptomics, and epigenetics data.",GigaScience,"Nguyen, Quan H, Tellam, Ross L, Naval-Sanchez, Marina, Porto-Neto, Laercio R, Barendse, William, Reverter, Antonio, Hayes, Benjamin, Kijas, James, Dalrymple, Brian P",10.1093/gigascience/gix136,U.S. Climate Divisions,dataset-640
