title,journal,authors,doi,search_term,dataset_id
"Response of a vulnerable barrier island to multi-year storm impacts: LiDAR-data-inferred morphodynamic changes on Ship Island, Mississippi, USA.","Geomorphology (Amsterdam, Netherlands)","Eisemann, Eve R, Wallace, Davin J, Buijsman, Maarten C, Pierce, Troy",10.1016/j.geomorph.2018.04.001,3D Elevation Program Data,dataset-611
Ovarian cancer stem cells and macrophages reciprocally interact through the WNT pathway to promote pro-tumoral and malignant phenotypes in 3D engineered microenvironments.,Journal for immunotherapy of cancer,"Raghavan, Shreya, Mehta, Pooja, Xie, Yuying, Lei, Yu L, Mehta, Geeta",10.1186/s40425-019-0666-1,3D Elevation Program Data,dataset-611
"Challenges and Opportunities for UAV-Based Digital Elevation Model Generation for Flood-Risk Management: A Case of Princeville, North Carolina.","Sensors (Basel, Switzerland)","Hashemi-Beni, Leila, Jones, Jeffery, Thompson, Gary, Johnson, Curt, Gebrehiwot, Asmamaw",10.3390/s18113843,3D Elevation Program Data,dataset-611
"Study on seasonal hydrology and biogeochemical variability in a tropical estuarine system, Central Mozambique Coast, Africa.",Marine pollution bulletin,"Miguel,Lucas Lavo António Jimo",10.1016/j.marpolbul.2018.04.071,3D Elevation Program Data,dataset-611
Considerations for Achieving Cross-Platform Point Cloud Data Fusion across Different Dryland Ecosystem Structural States.,Frontiers in plant science,"Swetnam, Tyson L, Gillan, Jeffrey K, Sankey, Temuulen T, McClaran, Mitchel P, Nichols, Mary H, Heilman, Philip, McVay, Jason",10.3389/fpls.2017.02144,3D Elevation Program Data,dataset-611
Application of Additive Manufacturing in Oral and Maxillofacial Surgery.,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,"Farré-Guasch, Elisabet, Wolff, Jan, Helder, Marco N, Schulten, Engelbert A J M, Forouzanfar, Tim, Klein-Nulend, Jenneke",10.1016/j.joms.2015.04.019,3D Elevation Program Data,dataset-611
MicroCT image-generated tumour geometry and SAR distribution for tumour temperature elevation simulations in magnetic nanoparticle hyperthermia.,"International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group","Lebrun, Alexander, Manuchehrabadi, Navid, Attaluri, Anilchandra, Wang, Frank, Ma, Ronghui, Zhu, Liang",10.3109/02656736.2013.836757,3D Elevation Program Data,dataset-611
Segmental control for adaptive locomotor adjustments during obstacle clearance in healthy young adults.,Experimental brain research,"Maclellan, Michael J, McFadyen, Bradford J",10.1007/s00221-009-2133-6,3D Elevation Program Data,dataset-611
Automatic three-dimensional quantitative analysis for evaluation of facial movement.,"Journal of plastic, reconstructive & aesthetic surgery : JPRAS","Hontanilla, B, Aubá, C",,3D Elevation Program Data,dataset-611
Occlusal relief changes with molar wear in Pan troglodytes troglodytes and Gorilla gorilla gorilla.,American journal of primatology,"M'kirera, Francis, Ungar, Peter S",,3D Elevation Program Data,dataset-611
