title,journal,authors,doi,search_term,dataset_id
The gathering storm: optimizing management of coastal ecosystems in the face of a climate-driven threat.,Annals of botany,"Hanley, Mick E, Bouma, Tjeerd J, Mossman, Hannah L",10.1093/aob/mcz204,Coastal Flood Frequency,dataset-622
Self-Rated Mental and Physical Health of U.S. Gulf Coast Residents.,Journal of community health,"Karaye, Ibraheem M, Ross, Ashley D, Horney, Jennifer A",10.1007/s10900-019-00779-7,Coastal Flood Frequency,dataset-622
"Relationship between infiltration, sewer rehabilitation, and groundwater flooding in coastal urban areas.",Environmental science and pollution research international,"Su, Xin, Liu, Ting, Beheshti, Maryam, Prigiobbe, Valentina",10.1007/s11356-019-06513-z,Coastal Flood Frequency,dataset-622
Extreme Coastal Water Levels Exacerbate Fluvial Flood Hazards in Northwestern Europe.,Scientific reports,"Ganguli, Poulomi, Merz, Bruno",10.1038/s41598-019-49822-6,Coastal Flood Frequency,dataset-622
"Environmental health effects attributed to toxic and infectious agents following hurricanes, cyclones, flash floods and major hydrometeorological events.","Journal of toxicology and environmental health. Part B, Critical reviews","Erickson, Timothy B, Brooks, Julia, Nilles, Eric J, Pham, Phuong N, Vinck, Patrick",10.1080/10937404.2019.1654422,Coastal Flood Frequency,dataset-622
"Recent increase in catastrophic tropical cyclone flooding in coastal North Carolina, USA: Long-term observations suggest a regime shift.",Scientific reports,"Paerl, Hans W, Hall, Nathan S, Hounshell, Alexandria G, Luettich, Richard A, Rossignol, Karen L, Osburn, Christopher L, Bales, Jerad",10.1038/s41598-019-46928-9,Coastal Flood Frequency,dataset-622
Habitat selection can reduce effects of extreme climatic events in a long-lived shorebird.,The Journal of animal ecology,"Bailey, Liam D, Ens, Bruno J, Both, Christiaan, Heg, Dik, Oosterbeek, Kees, van de Pol, Martijn",10.1111/1365-2656.13041,Coastal Flood Frequency,dataset-622
Performance of urban storm drainage network under changing climate scenarios: Flood mitigation in Indian coastal city.,Scientific reports,"Andimuthu, Ramachandran, Kandasamy, Palanivelu, Mudgal, B V, Jeganathan, Anushiya, Balu, Abinaya, Sankar, Guganesh",10.1038/s41598-019-43859-3,Coastal Flood Frequency,dataset-622
Determining Key Influences on Patient Ability to Successfully Manage Noncommunicable Disease After Natural Disaster.,Prehospital and disaster medicine,"Ryan, Benjamin J, Franklin, Richard C, Burkle, Frederick M, Smith, Erin C, Aitken, Peter, Leggat, Peter A",10.1017/S1049023X1900431X,Coastal Flood Frequency,dataset-622
"Flood protection ecosystem services in the coast of Puerto Rico: Associations between extreme weather, flood hazard mitigation and gastrointestinal illness.",The Science of the total environment,"De Jesus Crespo, R, Wu, J, Myer, M, Yee, S, Fulford, R",10.1016/j.scitotenv.2019.04.287,Coastal Flood Frequency,dataset-622
Drawdown flushing in a chain of reservoirs-Effects on grayling populations and implications for sediment management.,Ecology and evolution,"Reckendorfer, Walter, Badura, Hannes, Schütz, Claudia",10.1002/ece3.4865,Coastal Flood Frequency,dataset-622
The Projected Impact of a Neighborhood-scaled Green Infrastructure Retrofit.,Sustainability,"Thiagarajan, Manasvini, Newman, Galen, Van Zandt, Shannon",10.3390/su10103665,Coastal Flood Frequency,dataset-622
"Population Health Adaptation Approaches to the Increasing Severity and Frequency of Weather-Related Disasters Resulting From our Changing Climate: A Literature Review and Application to Charleston, South Carolina.",Current environmental health reports,"Runkle, Jennifer, Svendsen, Erik R, Hamann, Mark, Kwok, Richard K, Pearce, John",10.1007/s40572-018-0223-y,Coastal Flood Frequency,dataset-622
"Does sea-dyke construction affect the spatial distribution of pesticides in agricultural soils? - A case study from the Red River Delta, Vietnam.","Environmental pollution (Barking, Essex : 1987)","Braun, G, Sebesvari, Z, Braun, M, Kruse, J, Amelung, W, An, N T, Renaud, F G",10.1016/j.envpol.2018.09.050,Coastal Flood Frequency,dataset-622
The variability of Hg concentration and composition of marine phytoplankton.,Environmental science and pollution research international,"Bełdowska, Magdalena, Kobos, Justyna",10.1007/s11356-018-2948-4,Coastal Flood Frequency,dataset-622
"Coastal erosion-a ""new"" land-based source of labile mercury to the marine environment.",Environmental science and pollution research international,"Kwasigroch, Urszula, Bełdowska, Magdalena, Jędruch, Agnieszka, Saniewska, Dominka",10.1007/s11356-018-2856-7,Coastal Flood Frequency,dataset-622
Storm induced estuarine turbidity maxima and controls on nutrient fluxes across river-estuary-coast continuum.,The Science of the total environment,"Chen, Nengwang, Krom, Michael D, Wu, Yinqi, Yu, Dan, Hong, Huasheng",10.1016/j.scitotenv.2018.02.060,Coastal Flood Frequency,dataset-622
