title,url,authors,journal,doi,search_term,dataset_id
Urban Climate Map System for Dutch spatial planning,http://dspace.library.uu.nl/handle/1874/278887,"Ren, C., Spit, T.J.M., Lenzholder, S., Yim, H.L.S., Heusinkveld, B., Hove, B. van, Chen, L., Kupski, S., Burghardt, R., Katzschner, L.",,,Applied Climate Information System,dataset-642
Indigenous climate knowledge in southern Uganda: the multiple components of a dynamic regional system,http://www.escholarship.org/uc/item/198655bm,"Orlove, Ben, Roncoli, Carla, Kabugo, Merit, Majugu, Abushen",Climatic Change,10.1007/s10584-009-9586-2,Applied Climate Information System,dataset-642
Quantification of Information Exchange in Idealized and Climate System Applications,http://dx.doi.org/10.3390/e21111094,"Pothapakula, Praveen Kumar, Primo, Cristina, Ahrens, Bodo",Entropy,10.3390/e21111094,Applied Climate Information System,dataset-642
Quantification of Information Exchange in Idealized and Climate System Applications,https://www.mdpi.com/1099-4300/21/11/1094,"Praveen Kumar Pothapakula, Cristina Primo, Bodo Ahrens",Entropy,10.3390/e21111094,Applied Climate Information System,dataset-642
Quality Control of Soil Water Data in Applied Climate Information System—Case Study in Nebraska,http://dx.doi.org/10.1061/(asce)he.1943-5584.0000174,"You, Jinshing, Hubbard, Kenneth G., Mahmood, Rezaul, Sridhar, Venkataramana, Todey, Dennis",,10.1061/(asce)he.1943-5584.0000174,Applied Climate Information System,dataset-642
"Hazard Ratings of Debris Flow Evacuation Sites in Hillside Communities of Ershui Township, Changhua County, Taiwan",http://www.mdpi.com/2073-4441/8/2/54,Szu-Hsien Peng,Water,10.3390/w8020054,Applied Climate Information System,dataset-642
Understanding climate data through commentary metadata: the CHARMe project,http://centaur.reading.ac.uk/34397/1/CHARMe%20Malta%20workshop%20final.pdf,"Blower, Jonathan, Alegre, Raquel, Bennett, Victoria L., Clifford, Debbie, Kershaw, Philip J., Lawrence, Bryan, Lewis, Jane, Marsh, Kevin, Nagni, Maurizio, O'Neill, Alan, Phipps, Rhona",,10.1007/978-3-319-08425-1_4,Applied Climate Information System,dataset-642
A proposal for a new scenario framework to support research and assessment in different climate research communities,https://research.vu.nl/en/publications/46c2506c-48bb-4064-a208-d43750dfdf93,"van Vuuren, D.P., Riahi, K., Moss, R., Edmonds, J.A., Nakicenovic, N., Kram, T., Berkhout, F.G.H., Swart, R., Janetos, A., Rose, S., Arnell, N.",,,Applied Climate Information System,dataset-642
Implication of Paris Agreement in the context of long-term climate mitigation goals,http://europepmc.org/articles/PMC5028350,"Fujimori, Shinichiro, Su, Xuanming, Liu, Jing-Yu, Hasegawa, Tomoko, Takahashi, Kiyoshi, Masui, Toshihiko, Takimi, Maho",SpringerPlus,10.1186/s40064-016-3235-9,Applied Climate Information System,dataset-642
New perspectives in the study of the Earth's magnetic field and climate connection: The use of transfer entropy.,http://hdl.handle.net/10261/187123,"Campuzano, S. A., De Santis, A., Pavón-Carrasco, F. J., Osete, M. L., Qamili, E.",PLoS ONE,10.1371/journal.pone.0207270,Applied Climate Information System,dataset-642
Climate Change and Geographic Ranges: The Implications for Russian Forests,https://www.frontiersin.org/article/10.3389/fevo.2019.00057/full,"Sergio Noce, Luca Caporaso, Monia Santini, Monia Santini",Frontiers in Ecology and Evolution,10.3389/fevo.2019.00057/full,Applied Climate Information System,dataset-642
Benefits of European climate policies for mercury air pollution,http://www.mdpi.com/2073-4433/5/1/45,"Peter Rafaj, Janusz Cofala, Jeroen Kuenen, Artur Wyrwa, Janusz Zyśk",Atmosphere,10.3390/atmos5010045,Applied Climate Information System,dataset-642
Remote sensing-supported vegetation parameters for regional climate models: a brief review,https://iforest.sisef.org/contents/?id=ifor0543-003,"Latifi H, Galos B",iForest - Biogeosciences and Forestry,10.3832/ifor0543-003,Applied Climate Information System,dataset-642
A paleogeographic approach to aerosol prescription in simulations of deep time climate,http://www.agu.org/journals/ms/ms1211/2012MS000166/,"Nicholas Gray Heavens, Christine A Shields, Natalie M Mahowald",Journal of Advances in Modeling Earth Systems,,Applied Climate Information System,dataset-642
Association between esophageal cancer and drought in China by using Geographic Information System,http://www.sciencedirect.com/science/article/pii/S0160412007000062,"Kusheng Wu, Ke Li",Environment International,10.1016/j.envint.2007.01.001,Applied Climate Information System,dataset-642
Visualizing Current and Future Climate Boundaries of the Conterminous United States: Implications for Forests,http://dx.doi.org/10.3390/f10030280,"Brice B. Hanberry, Jacob S. Fraser",Forests,10.3390/f10030280,Applied Climate Information System,dataset-642
"The Vulnerability, Impacts, Adaptation and Climate Services Advisory Board (VIACS AB v1.0) contribution to CMIP6",http://dx.doi.org/10.1371/journal.pone.0133794,"Ruane, A. C., Teichmann, C., Arnell, N. W., Carter, T. R., Ebi, K. L., Frieler, K., Goodess, C. M., Hewitson, B., Horton, R., Kovats, R. S., Lotze, H. K., Mearns, L. O., Navarra, A., Ojima, D. S., Riahi, K., Rosenzweig, C., Themessl, M., Vincent, K.",,10.5194/gmd-9-3493-2016,Applied Climate Information System,dataset-642
Exploring constraints on the realised value of a forecast-based climate service,http://www.sciencedirect.com/science/article/pii/S2405880718300906,"Edward C.D. Pope, Carlo Buontempo, Theo Economou",Climate Services,10.1016/j.cliser.2019.100102,Applied Climate Information System,dataset-642
Climate change prediction with new generation models: moderate and high resolution studies,http://hdl.handle.net/10945/48174,"Washington, Warren, Meehl, Gerald, Semtner, Bert, Weatherly, John",,,Applied Climate Information System,dataset-642
A cost-optimal solar thermal system for apartment buildings with district heating in a cold climate,https://aaltodoc.aalto.fi/handle/123456789/37607,"Arabzadeh, Vahid, Jokisalo, Juha, Kosonen, Risto",,10.1080/14786451.2018.1505725,Applied Climate Information System,dataset-642
An Operational Web-based Indicator System for Integrated Coastal Zone Management,http://dx.doi.org/10.3390/ijgi3010326,"Henning Sten Hansen, Morten Fuglsang",,10.3390/ijgi3010326,Applied Climate Information System,dataset-642
TOWARDS CONSISTENT MAPPING OF URBAN STRUCTURES – GLOBAL HUMAN SETTLEMENT LAYER AND LOCAL CLIMATE ZONES,https://doaj.org/toc/2194-9034,"Bechtel, B., Pesaresi, M., See, L., Mills, G., Ching, J., Alexander, P. J., Feddema, J. J., Florczyk, A. J., Stewart, I.",The International Archives of the Photogrammetry,10.5194/isprs-archives-XLI-B8-1371-2016,Applied Climate Information System,dataset-642
Rancang Bangun Sistem Pemantauan dan Peringatan dini Parameter Lingkungan Mikro Budidaya Tanaman pada Rumah Tanaman Berbasis SMS (Short Message Service),https://doaj.org/toc/2338-8439,"Mohamad Solahudin, Yudi Chadirin, Gumilang Agus Gozali",Journal Keteknikan Pertanian,10.19028/jtep.20.3.275-286,Applied Climate Information System,dataset-642
Climate change and health effects in Northwest Alaska,http://europepmc.org/articles/PMC3198120,"Brubaker, Michael, Berner, James, Chavan, Raj, Warren, John",Global Health Action,10.3402/gha.v4i0.8445,Applied Climate Information System,dataset-642
Optimization of internal psychological climate of project teams as a way to increase the competitiveness of an enterprise,http://journals.uran.ua/tarp/article/view/12242,"Антон Сергеевич Филатов, Виктория Александровна Хрутьба",Tehnologìčnij Audit ta Rezervi Virobnictva,10.15587/2312-8372.2013.12242,Applied Climate Information System,dataset-642
Modelling soil organic carbon stocks in global change scenarios: a CarboSOIL application,https://www.biogeosciences.net/10/8253/2013/,"Muñoz-Rojas, M., Jordán, A., Zavala, L. M., González-Peñaloza, F. A., De la Rosa, D., Pino-Mejias, R., Anaya-Romero, M.",,10.5194/bg-10-8253-2013,Applied Climate Information System,dataset-642
Initial phase of the Hans-Ertel Centre for Weather Research - A virtual centre at the interface of basic and applied weather and climate research,https://epub.ub.uni-muenchen.de/33534/,"Weissmann, M., Gober, M., Hohenegger, C., Janjic, T., Keller, J., Ohlwein, C., Seifert, A., Tromel, S., Ulbrich, T., Wapler, K., Bollmeyer, C., Deneke, H.",,10.1127/0941-2948/2014/0558,Applied Climate Information System,dataset-642
The Interpretation and Use of Biases in Decadal Climate Predictions,http://centaur.reading.ac.uk/36469/1/hawkins_etal_2014_biases.pdf,"Hawkins, Ed, Dong, Buwen, Robson, Jon, Sutton, Rowan, Smith, Doug",JOURNAL OF CLIMATE,10.1175/JCLI-D-13-00473.1,Applied Climate Information System,dataset-642
"Transient Earth system responses to cumulative carbon dioxide emissions: linearities, uncertainties, and probabilities in an observation-constrained model ensemble",https://www.biogeosciences.net/13/1071/2016/,"Steinacher, M., Joos, F.",Biogeosciences,10.7892/boris.70700,Applied Climate Information System,dataset-642
Local climate zone approach on local and micro scales: Dividing the urban open space,https://hal.archives-ouvertes.fr/hal-02086327,"Rodler, Auline, Leduc, Thomas",,10.1016/j.uclim.2019.100457,Applied Climate Information System,dataset-642
Geographic Information Systems and System Dynamics - Modelling the Impacts of Storm Damage on Coastal Communities,http://dx.doi.org/10.20381/ruor-4460,"Hartt, Maxwell",,10.20381/ruor-4460,Applied Climate Information System,dataset-642
Cyber-physical-system-based smart water system to prevent flood hazards,http://link.springer.com/article/10.1186/s40713-018-0008-3,"Tsun-Hua Yang, Sheng-Chi Yang, Hong-Ming Kao, Ming-Chang Wu, Hao-Ming Hsu",Smart Water,10.1186/s40713-018-0008-3,Applied Climate Information System,dataset-642
Capturing and sharing our collective expertise on climate data: the CHARMe project,http://centaur.reading.ac.uk/44485/8/bams-d-14-00189%252E1.pdf,"Clifford, Debbie, Alegre, Raquel, Bennett, Victoria, Blower, Jonathan, DeLuca, Cecelia, Kershaw, Philip, Lynnes, Christopher, Mattmann, Chris, Phipps, Rhona, Rozum, Iryna",,10.1175/BAMS-D-14-00189.1,Applied Climate Information System,dataset-642
Assessing water resource system vulnerability to unprecedented hydrological drought using copulas to characterize drought duration and deficit,http://europepmc.org/articles/PMC4991281,"Borgomeo, E., Pflug, G., Hall, J.W., Hochrainer-Stigler, S.",Water Resources Research,10.1002/2015WR017324,Applied Climate Information System,dataset-642
Interaction between karstic aquifers and allogenic rivers: the aquifer of the national park of the ephemeral river Lobos Canyon (Spain),http://oa.upm.es/29065/,"Sanz Pérez, Eugenio, Menéndez Pidal de Navascués, Ignacio, Segovia Rosales, Rafael",,10.4236/ns.2013.52A042,Applied Climate Information System,dataset-642
