title,url,authors,doi,journal,search_term,dataset_id
Methodology for assessing coastal change using terrestrial laser scanning,http://www.escholarship.org/uc/item/49z2x13x,"Olsen, Michael J.",10.1002/2014JB011538,,Coastal Change Analysis Program Data,dataset-623
"SPATIAL ANALYSIS OF SHORELINE CHANGES IN THE COASTAL OF SUBANG DISTRICT, WEST JAVA",http://journal.ipb.ac.id/index.php/jurnalikt/article/view/7790,"Ankiq Taofiqurohman, M. Furqon Azis Ismail, M. Furqon Azis Ismail, M. Furqon Azis Ismail",10.29244/jitkt.v4i2.7790,E-Journal Ilmu dan Teknologi Kelautan Tropis,Coastal Change Analysis Program Data,dataset-623
Morphological behaviour of costa da caparica beaches monitored during nourishment operations,https://hdl.handle.net/10216/97517,"R. Silva, F. Veloso Gomes, J. Pais Barbosa",10.2112/SI65-315.1,,Coastal Change Analysis Program Data,dataset-623
"Climate and water budget change of a Mediterranean coastal watershed, Ravenna, Italy",http://hdl.handle.net/11585/108449,"P. Mollema, M. Antonellini, G. Gabbianelli, M. Laghi, V. Marconi, A. Minchio",10.1007/s12665-011-1088-7,,Coastal Change Analysis Program Data,dataset-623
Composition and heterogeneity of the microbial community in a coastal microbial mat as revealed by the analysis of pigments and phospholipid-derived fatty acids,https://dare.uva.nl/personal/pure/en/publications/composition-and-heterogeneity-of-the-microbial-community-in-a-coastal-microbial-mat-as-revealed-by-the-analysis-of-pigments-and-phospholipidderived-fatty-acids(f86d7f8e-8ac8-4f1c-9a30-f240a8ffd512).html,"Dijkman, N.A., Boschker, H.T.S., Stal, L.J., Kromkamp, J.C.",10.3354/ame01766,,Coastal Change Analysis Program Data,dataset-623
Effects of future sea level rise on coastal habitat,http://hdl.handle.net/10919/93307,"Von Holle, Betsy, Irish, Jennifer L., Spivy, Annette, Weishampel, John F., Meylan, Anne, Godfrey, Matthew H., Dodd, Mark, Schweitzer, Sara H., Keyes, Tim, Sanders, Felicia, Chaplin, Melissa K., Taylor, Nick R.",10.1002/jwmg.21633,,Coastal Change Analysis Program Data,dataset-623
Adaptation Pathways in Coastal Case Studies: Lessons Learned and Future Directions,http://dx.doi.org/10.6084/m9.figshare.5382526.v1,"Lin, Brenda B., Capon, Tim, Langston, Art, Taylor, Bruce, Wise, Russ, Williams, Rachel, Lazarow, Neil",10.6084/m9.figshare.5382526.v1,,Coastal Change Analysis Program Data,dataset-623
Adaptation Pathways in Coastal Case Studies: Lessons Learned and Future Directions,http://dx.doi.org/10.6084/m9.figshare.5382526,"Lin, Brenda B., Capon, Tim, Langston, Art, Taylor, Bruce, Wise, Russ, Williams, Rachel, Lazarow, Neil",10.6084/m9.figshare.5382526,,Coastal Change Analysis Program Data,dataset-623
Voluntary Restoration: Mitigation's Silent Partner in the Quest to Reverse Coastal Wetland Loss in the USA,https://www.frontiersin.org/article/10.3389/fmars.2019.00511/full,"Rachel K. Gittman, Christopher J. Baillie, Katie K. Arkema, Katie K. Arkema, Richard O. Bennett, Jeff Benoit, Seth Blitch, Julien Brun, Anthony Chatwin, Allison Colden, Alyssa Dausman, Bryan DeAngelis, Nathaniel Herold, Jessica Henkel, Rachel Houge, Ronald Howard, A. Randall Hughes, Steven B. Scyphers, Tisa Shostik, Ariana Sutton-Grier, Jonathan H. Grabowski",10.3389/fmars.2019.00511/full,Frontiers in Marine Science,Coastal Change Analysis Program Data,dataset-623
Quantifying Errors in Long-term Coastal Erosion and Inundation Hazard Assessments,https://hal-brgm.archives-ouvertes.fr/hal-00564846,"Yates , Marissa ,, Le Cozannet , Gonéri, Lenotre , Nicole",,,Coastal Change Analysis Program Data,dataset-623
