title,url,authors,doi,journal,search_term,dataset_id
"Harmonising topographic &amp; remotely sensed datasets, a reference dataset for shoreline and beach change analysis.",http://dx.doi.org/10.17863/cam.38272,"Pollard, James, Brooks, Susan M, Spencer, Thomas",10.17863/cam.38272,,Coastal Topographic Lidar,dataset-618
"Harmonising topographic & remotely sensed datasets, a reference dataset for shoreline and beach change analysis",http://europepmc.org/articles/PMC6486598,"Pollard, James A., Spencer, Tom, Brooks, Susan M.",10.1038/s41597-019-0044-3,Scientific Data,Coastal Topographic Lidar,dataset-618
Using LiDAR to quantify topographic and bathymetric details for sea turtle nesting beaches in Florida,http://researchoutputs.unisa.edu.au/1959.8/137984,,10.1016/j.rse.2012.07.016,,Coastal Topographic Lidar,dataset-618
CLASSIFICATION OF WATER SURFACES USING AIRBORNE TOPOGRAPHIC LIDAR DATA,https://doaj.org/toc/2194-9034,"Smeeckaert, J., Mallet, C., David, N.",10.5194/isprsarchives-XL-1-W1-321-2013,The International Archives of the Photogrammetry,Coastal Topographic Lidar,dataset-618
Correlation scales of digital elevation models in developed coastal environments,http://dx.doi.org/10.7916/d8tq60zj,"Small, Christopher, Sohn, Robert",10.7916/d8tq60zj,,Coastal Topographic Lidar,dataset-618
"Spatial Discrimination of Complex, Low-Relief Quaternary Siliciclastic Strata Using Airborne Lidar and Near-Surface Geophysics: An Example from the Texas Coastal Plain, USA",http://www.sciencedirect.com/science/article/pii/S2095809918303278,"Jeffrey G. Paine, Edward W. Collins, Lucie Costard",10.1016/j.eng.2018.09.005,Engineering,Coastal Topographic Lidar,dataset-618
Flood protection structure detection with Lidar: examples on French Mediterranean rivers and coastal areas,http://dx.doi.org/10.1051/e3sconf/20160714001,"Trmal Céline, Pons Frédéric, Ledoux Patrick",10.1051/e3sconf/20160714001,E3S Web of Conferences,Coastal Topographic Lidar,dataset-618
Large-scale classification of water areas using airborne topographic lidar data,http://www.documentation.ird.fr/hor/fdi:010061283,"Smeeckaert, J., Mallet, C., David, N., Chehata, Nesrine, Ferraz, A.",10.5194/isprsarchives-XL-1-W1-321-2013,,Coastal Topographic Lidar,dataset-618
Full-Waveform LiDAR Pixel Analysis for Low-Growing Vegetation Mapping of Coastal Foredunes in Western France,https://hal.archives-ouvertes.fr/hal-02049011/document,"Launeau, Patrick, Giraud, Manuel, Ba, Antoine, Moussaoui, Saïd, Robin, Marc, Debaine, Françoise, Lague, Dimitri, Le Menn, Erwan",10.3390/rs10050669,Remote Sensing,Coastal Topographic Lidar,dataset-618
UAS-SfM for Coastal Research: Geomorphic Feature Extraction and Land Cover Classification from High-Resolution Elevation and Optical Imagery,https://www.mdpi.com/2072-4292/9/10/1020,"Emily J. Sturdivant, Erika E. Lentz, E. Robert Thieler, Amy S. Farris, Kathryn M. Weber, David P. Remsen, Simon Miner, Rachel E. Henderson",10.3390/rs9101020,Remote Sensing,Coastal Topographic Lidar,dataset-618
Beach-dune morphological relationships and erosion/accretion: an investigation at five sites in England and Wales using LIDAR data,https://pure.knaw.nl/portal/en/publications/beachdune-morphological-relationships-and-erosionaccretion-an-investigation-at-five-sites-in-england-and-wales-using-lidar-data(f808be04-ee7b-4a16-897a-959c16608d97).html,"Saye, S.E., Van der Wal, D., Pye, K., Blott, S.J.",,,Coastal Topographic Lidar,dataset-618
An Automated Model to Classify Barrier Island Geomorphology Using Lidar Data and Change Analysis (1998–2014),http://dx.doi.org/10.3390/rs10071109,"Halls, Joanne N., Frishman, Maria A., Hawkes, Andrea D.",10.3390/rs10071109,Remote Sensing,Coastal Topographic Lidar,dataset-618
Representing hydrodynamically important blocking features in coastal or riverine lidar topography,https://www.nat-hazards-earth-syst-sci.net/15/1011/2015/,B. R. Hodges,10.5194/nhess-15-1011-2015,,Coastal Topographic Lidar,dataset-618
Restored saltmarshes lack the topographic diversity found in natural habitat,http://e-space.mmu.ac.uk/619991/,"Lawrence, PJ, Smith, Graham, Sullivan, MJP, Mossman, Hannah",10.1016/j.ecoleng.2018.02.007,,Coastal Topographic Lidar,dataset-618
Deriving High Spatial-Resolution Coastal Topography From Sub-meter Satellite Stereo Imagery,http://dx.doi.org/10.3390/rs11050590,"Almeida, L. P., Almar, Rafaël, Bergsma, E. W. J., Berthier, E., Baptista, P., Garel, E., Dada, O. A., Alves, B.",10.3390/rs11050590,Remote Sensing,Coastal Topographic Lidar,dataset-618
Improving accuracy of LiDAR-derived digital terrain models for saltmarsh management,https://discovery.ucl.ac.uk/id/eprint/1545091/1/art%253A10.1007%252Fs11852-016-0492-2.pdf,"Fernandez-Nunez, M., Burningham, H., Ojeda Zujar, J.",10.1007/s11852-016-0492-2,Journal of Coastal Conservation,Coastal Topographic Lidar,dataset-618
Impact of High-Resolution Topographic Mapping on Beach Morphological Analyses Based on Terrestrial LiDAR and Object-Oriented Beach Evolution,http://www.mdpi.com/2220-9964/6/5/147,"Xuelian Meng, Xukai Zhang, Rodolfo Silva, Chunyan Li, Lei Wang",10.3390/ijgi6050147,ISPRS International Journal of Geo-Information,Coastal Topographic Lidar,dataset-618
HOMOGENEOUS GEOVISUALIZATION OF COASTAL AREAS FROM HETEROGENEOUS SPATIO-TEMPORAL DATA,https://doaj.org/toc/2194-9034,"A. Masse, S. Christophe",10.5194/isprsarchives-XL-3-W3-509-2015,,Coastal Topographic Lidar,dataset-618
Demonstration of Two Portable Scanning LiDAR Systems Flown at Low-Altitude for Investigating Coastal Sea Surface Topography,http://dx.doi.org/10.3390/rs3091983,"Jorg Hacker, Julian Vrbancich, Wolfgang Lieff",10.3390/rs3091983,Remote Sensing,Coastal Topographic Lidar,dataset-618
Very short-term forecast of near-coastal flow using scanning lidars,https://www.wind-energ-sci.net/3/313/2018/wes-3-313-2018.pdf,"Valldecabres, Laura, Pena Diaz, Alfredo, Courtney, Michael, von Bremen, Lueder, Kühn, Martin",10.5194/wes-3-313-2018,Wind Energy Science,Coastal Topographic Lidar,dataset-618
Evaluation of UAV LiDAR for Mapping Coastal Environments,http://dx.doi.org/10.3390/rs11242893,"Lin, Cheng, Zhou, Ravi, Hasheminasab, Flatt, Troy, Habib",10.3390/rs11242893,Remote Sensing,Coastal Topographic Lidar,dataset-618
"Response of a vulnerable barrier island to multi-year storm impacts: LiDAR-data-inferred morphodynamic changes on Ship Island, Mississippi, USA",https://europepmc.org/articles/PMC6687311/,"Eisemann, Eve R., Wallace, Davin J., Buijsman, Maarten C., Pierce, Troy",10.1016/j.geomorph.2018.04.001,,Coastal Topographic Lidar,dataset-618
Pushing the boundaries: integration of multi-source digital elevation model data for seamless geological mapping of the UK's coastal zone,http://dx.doi.org/10.1017/S1755691015000134,"Westhead, Keith, Smith, Kay, Campbel, Evelyn, Colenutt, Andrew, McVey, Stuart",10.1017/S1755691015000134,,Coastal Topographic Lidar,dataset-618
"Remote Sensing Monitoring of a Coastal-Valley Earthflow in Northwestern Galicia, Spain",http://hdl.handle.net/10459.1/66081,"Horacio, Jesús, Muñoz-Narciso, Efrén, Trenhaile, Alan S., Pérez-Alberti, Augusto",10.1016/j.catena.2019.03.028,,Coastal Topographic Lidar,dataset-618
Parallel Landscape Driven Data Reduction &amp; Spatial Interpolation Algorithm for Big LiDAR Data,http://www.mdpi.com/2220-9964/5/6/97,"Rahil Sharma, Zewei Xu, Ramanathan Sugumaran, Suely Oliveira",10.3390/ijgi5060097,ISPRS International Journal of Geo-Information,Coastal Topographic Lidar,dataset-618
Recognition and mapping of lacustrine relict coastal features using high resolution aerial photographs and LiDAR data,http://hdl.handle.net/10261/149830,"Castañeda del Álamo, Carmen, Gracia, Francisco Javier",10.1007/s10933-017-9956-0,,Coastal Topographic Lidar,dataset-618
Monitoring Cliff Erosion with LiDAR Surveys and Bayesian Network-based Data Analysis,https://www.mdpi.com/2072-4292/11/7/843,"Paweł Terefenko, Dominik Paprotny, Andrzej Giza, Oswaldo Morales-Nápoles, Adam Kubicki, Szymon Walczakiewicz",10.3390/rs11070843,Remote Sensing,Coastal Topographic Lidar,dataset-618
"Spatial Variability of Coastal Foredune Evolution, Part A: Timescales of Months to Years",https://www.mdpi.com/2077-1312/7/5/124,"Brodie, Katherine, Conery, Ian, Cohn, Nicholas, Spore, Nicholas, Palmsten, Margaret",10.3390/jmse7050124,Journal of Marine Science and Engineering,Coastal Topographic Lidar,dataset-618
UAV photogrammetry for topographic monitoring of coastal areas,http://hdl.handle.net/1822/51139,"Gonçalves, J. A., Henriques, Renato F.",10.1016/j.isprsjprs.2015.02.009,,Coastal Topographic Lidar,dataset-618
"Stages of sedimentary infilling in a hypertidal bay using a combination of sedimentological, morphological and dynamic criteria (Bay of Somme, France)",http://dx.doi.org/10.6084/m9.figshare.5540176.v1,"Michel, Charlotte, Bot, Sophie Le, Druine, Flavie, Costa, Stéphane, Levoy, Franck, Dubrulle-Brunaud, Carole, Lafite, Robert",10.6084/m9.figshare.5540176.v1,,Coastal Topographic Lidar,dataset-618
"Stages of sedimentary infilling in a hypertidal bay using a combination of sedimentological, morphological and dynamic criteria (Bay of Somme, France)",http://dx.doi.org/10.6084/m9.figshare.5540176,"Michel, Charlotte, Bot, Sophie Le, Druine, Flavie, Costa, Stéphane, Levoy, Franck, Dubrulle-Brunaud, Carole, Lafite, Robert",10.6084/m9.figshare.5540176,,Coastal Topographic Lidar,dataset-618
AUTOMATIC 3D BUILDING MODEL GENERATIONS WITH AIRBORNE LiDAR DATA,https://www.isprs-ann-photogramm-remote-sens-spatial-inf-sci.net/IV-4-W4/411/2017/,"N. Yastikli, Z. Cetin",10.5194/isprs-annals-IV-4-W4-411-2017,,Coastal Topographic Lidar,dataset-618
Using airborne laser altimetry to estimate Sabellaria alveolata (Polychaeta: Sabellariidae) reefs volume in tidal flat environments,http://archimer.ifremer.fr/doc/00018/12905/,"Noernberg, Mauricio Almeida, Fournier, Jerome, Dubois, Stanislas, Populus, Jacques",10.1016/j.ecss.2010.07.014,,Coastal Topographic Lidar,dataset-618
Integration of optical and acoustic remote sensing data over the backshore–foreshore–nearshore continuum: a case study in Ostend (Belgium),http://www.vliz.be/nl/open-marien-archief?module=ref&refid=232513,"Bertels, L., Houthuys, R., Deronde, B., Janssens, R., Verfaillie, E., Van Lancker, V.",,,Coastal Topographic Lidar,dataset-618
Analysis of MABEL Bathymetry in Keweenaw Bay and Implications for ICESat-2 ATLAS,http://www.mdpi.com/2072-4292/8/9/772,"Nicholas A. Forfinski-Sarkozi, Christopher E. Parrish",10.3390/rs8090772,Remote Sensing,Coastal Topographic Lidar,dataset-618
Monitoring the Topography of a Dynamic Tidal Inlet Using UAV Imagery,https://halshs.archives-ouvertes.fr/halshs-01340509,"Long , Nathalie, Millescamps , Bastien, Guillot , Benoît, Pouget , Frédéric, Bertin , Xavier",10.3390/rs8050387,Remote Sensing,Coastal Topographic Lidar,dataset-618
Quantifying Errors in Long-term Coastal Erosion and Inundation Hazard Assessments,https://hal-brgm.archives-ouvertes.fr/hal-00564846,"Yates , Marissa ,, Le Cozannet , Gonéri, Lenotre , Nicole",,,Coastal Topographic Lidar,dataset-618
