title,url,authors,doi,journal,search_term,dataset_id
Global Seasonal forecast system version 5 (GloSea5): a high-resolution seasonal forecast system,http://dx.doi.org/10.1002/qj.2396,"MacLachlan, C., Arribas, A., Peterson, K.A., Maidens, A., Fereday, D., Scaife, A.A., Gordon, M., Vellinga, M., Williams, A., Comer, R.E., Camp, J., Xavier, P., Madec, G.",10.1002/qj.2396,,Global Forecast System,dataset-620
Determining the bounds of skilful forecast range for probabilistic prediction of system-wide wind power generation,http://centaur.reading.ac.uk/45951/7/metz__Determining_the_bounds_of_skilful_forecast_range_for_probabilistic_prediction_of_system_wide_wind_power_generation_87066.pdf,"Cannon, Dirk, Brayshaw, David, Methven, John, Drew, Daniel",10.1127/metz/2016/0751,Meteorologische Zeitschrift,Global Forecast System,dataset-620
A novel probabilistic forecast system predicting anomalously warm 2018-2022 reinforcing the long-term global warming trend,https://hal.archives-ouvertes.fr/hal-02136488,"Sévellec, Florian, Drijfhout, Sybren S.",10.1038/s41467-018-05442-8,Nature Communications,Global Forecast System,dataset-620
Verification of Forecast Weather Surface Variables over Vietnam Using the National Numerical Weather Prediction System,https://doaj.org/toc/1687-9309,"Tien Du Duc, Lars Robert Hole, Duc Tran Anh, Cuong Hoang Duc, Thuy Nguyen Ba",10.1155/2016/8152413,Advances in Meteorology,Global Forecast System,dataset-620
GIM-TEC adaptive ionospheric weather assessment and forecast system,http://hdl.handle.net/2117/28462,"Gulyaeva, Tamara L., Arikan, Feza, Hernández Pajares, Manuel, Stanislawska, Iwona",10.1016/j.jastp.2013.06.011,,Global Forecast System,dataset-620
Coupling global chemistry transport models to ECMWF’s integrated forecast system,https://doaj.org/toc/1991-9603,"J. Flemming, A. Inness, H. Flentje, V. Huijnen, P. Moinat, M. G. Schultz, O. Stein",10.5194/gmd-2-253-2009,,Global Forecast System,dataset-620
A Preliminary Assessment of the Impact of Assimilating Satellite Soil Moisture Data Products on NCEP Global Forecast System,http://dx.doi.org/10.1155/2018/7363194,"Zheng, Weizhong, Zhan, Xiwu, Liu, Jicheng, Ek, Michael",10.1155/2018/7363194,Advances in Meteorology,Global Forecast System,dataset-620
Strategies for coupling global and limited-area ensemble Kalman filter assimilation,https://www.nonlin-processes-geophys.net/18/415/2011/,"D. Merkova, I. Szunyogh, E. Ott",10.5194/npg-18-415-2011,,Global Forecast System,dataset-620
THE FORECAST OF FORMING THE GLOBAL SYSTEM INSTITUTIONS ON THE BASIS OF SIMULATION MODELING: THE MAIN PRINCIPLES,http://www.revecon.ro/articles/2009-1/2009-1-6.pdf,Dmitry CHISTILIN,,Romanian Journal of Economics,Global Forecast System,dataset-620
Spectral analysis of forecast error investigated with an observing system simulation experiment,https://doaj.org/toc/1600-0870,"Nikki C. Privé, Ronald M. Errico",10.3402/tellusa.v67.25977,Tellus A,Global Forecast System,dataset-620
Global Seasonal forecast system version 5 (GloSea5): a high-resolution seasonal forecast system,http://dx.doi.org/10.1002/qj.2396,"MacLachlan, C., Arribas, A., Peterson, K. A., Maidens, A., Fereday, D., Scaife, A. A., Gordon, M., Vellinga, M., Williams, A., Comer, R. E., Camp, J., Xavier, P., Madec, G.",10.1002/qj.2396,,Global Forecast System,dataset-620
Hydrological Early Warning System Based on a Deep Learning Runoff Model Coupled with a Meteorological Forecast,http://dx.doi.org/10.3390/w11091808,"Fuente, Alberto de la, Meruane, Viviana, Meruane, Carolina",10.3390/w11091808,Water,Global Forecast System,dataset-620
Validation of reactive gases and aerosols in the MACC global analysis and forecast system,https://doaj.org/toc/1991-9603,"Eskes, H., Richter, A., Schulz, M., Huijnen, V., Arola, A., Benedictow, A., Blechschmidt, A.-M., Botek, E., Boucher, O., Bouarar, I., Chabrillat, S., Cuevas, E., Engelen, R., Flentje, H., Gaudel, A., Griesfeller, J., Jones, L., Kapsomenakis, J., Katragkou, E., Kinne, S., Langerock, B., Razinger, M., Schultz, M., Sudarchikova, N., Thouret, V., Vrekoussis, M., Wagner, A., Zerefos, C.",10.5194/gmd-8-3523-2015,,Global Forecast System,dataset-620
Satellite Based Shortest Term Solar Energy Forecast System for Entire Europe for the Next Hours,http://dx.doi.org/10.4229/eupvsec20142014-5bv.1.6,"Müller, S.C., Remund, J.",10.4229/eupvsec20142014-5bv.1.6,,Global Forecast System,dataset-620
THE FORECAST OF FORMING THE GLOBAL SOCIUM INSTITUTIONS ON THE BASIS OF SIMULATION MODELING: THE MAIN PRINCIPLES,http://www.managementgeneral.ro/pdf/2_2009_7.pdf,Dmitri K. CHISTILIN,,Review of General Management,Global Forecast System,dataset-620
Estimation of observation impact using the NRL atmospheric variational data assimilation adjoint system,http://www.tellusa.net/index.php/tellusa/article/view/14413,"Langland, Rolf H., Baker, Nancy L.",10.3402/tellusa.v56i3.14413,Tellus A,Global Forecast System,dataset-620
A Scalable Version of the Navy Operational Global Atmospheric Prediction System Spectral Forecast Model,https://doaj.org/toc/1058-9244,Thomas E. Rosmond,10.1155/2000/538260,Scientific Programming,Global Forecast System,dataset-620
Weakly coupled atmospheric-ocean data assimilation in the Canadian global prediction system (v1),https://www.geosci-model-dev-discuss.net/gmd-2019-203/,"Skachko, Sergey, Buehner, Mark, Laroche, Stéphane, Lapalme, Ervig, Smith, Gregory, Roy, François, Surcel-Colan, Dorina, Bélanger, Jean-Marc, Garand, Louis",10.5194/gmd-2019-203,,Global Forecast System,dataset-620
Evaluation of the Earth Systems Research Laboratory’s global Observing System Simulation Experiment system,https://doaj.org/toc/1600-0870,"Nikki C. Priv&#x00E9;, Yuanfu Xie, John S. Woollen, Steven E. Koch, Robert Atlas, Robbie E. Hood",10.3402/tellusa.v65i0.19011,Tellus A,Global Forecast System,dataset-620
Forecast of Chaotic Series in a Horizon Superior to the Inverse of the Maximum Lyapunov Exponent,https://doaj.org/toc/1099-0526,"Miguel Alfaro, Guillermo Fuertes, Manuel Vargas, Juan Sepúlveda, Matias Veloso-Poblete",10.1155/2018/1452683,Complexity,Global Forecast System,dataset-620
Towards improving the framework for probabilistic forecast evaluation,http://centaur.reading.ac.uk/40860/1/art%253A10.1007%252Fs10584-015-1430-2.pdf,"Smith, Leonard A., Suckling, Emma B, Thompson, Erica L., Maynard, Trevor, Du, Hailiang",10.1007/s10584-015-1430-2,,Global Forecast System,dataset-620
