title,url,authors,doi,journal,search_term,dataset_id
The Global Precipitation Measurement Mission,https://zenodo.org/record/1234573,"Hou, Arthur Y., Kakar, Ramesh K., Neeck, Steven, Azarbarzin, Ardeshir A., Kummerow, Christian D., Kojima, Masahiro, Oki, Riko, Nakamura, Kenji, Iguchi, Toshio",10.1175/bams-d-13-00164.1,,Global Precipitation Measurement,dataset-667
Global Precipitation Measurement (GPM) Mission Products and Services at the NASA Goddard Earth Sciences (GES) Data and Information Services Center (DISC),https://europepmc.org/articles/PMC6749173/,"Liu, Z., Ostrenga, D., Vollmer, B., Deshong, B., MacRitchie, K., Greene, M., Kempler, S.",10.1175/BAMS-D-16-0023.1,,Global Precipitation Measurement,dataset-667
Performance Evaluation of Version 5 (V05) of Integrated Multi-Satellite Retrievals for Global Precipitation Measurement (IMERG) over the Tianshan Mountains of China,http://dx.doi.org/10.3390/w11061139,"Yang, Min, Li, Zhongqin, Anjum, Muhammad Naveed, Gao, Yayu",10.3390/w11061139,Water,Global Precipitation Measurement,dataset-667
The Basic Performance of a Precipitation Retrieval Algorithm for the Global Precipitation Measurement Mission's Single/Dual-Frequency Radar Measurements,http://hdl.handle.net/10069/34075,"Seto, Shinta, Iguchi, Toshio, Oki, Taikan",,IEEE Transactions on Geoscience and Remote Sensing,Global Precipitation Measurement,dataset-667
"So, how much of the Earth’s surface is covered by rain gauges?",https://europepmc.org/articles/PMC6039978/,"Kidd, Chris, Becker, Andreas, Huffman, George J., Muller, Catherine L., Joe, Paul, Skofronick-Jackson, Gail, Kirschbaum, Dalia B.",10.1175/BAMS-D-14-00283.1,,Global Precipitation Measurement,dataset-667
"GPM Microwave Imager Key Technologies, Performance and Calibration Results",http://digitalcommons.usu.edu/calcon/CALCON2014/All2014Content/26,"Newell, David, Figgins, Don, Draper, David, Berdanier, Barry, Kubitschek, Michael, Holshouser, David, Sexton, Adam, Krimchansky, Sergey, Wentz, Frank, Meissner, Thomas",,,Global Precipitation Measurement,dataset-667
Successes with the Global Precipitation Measurement (GPM) mission,https://zenodo.org/record/1272965,"Skofronick-Jackson, Gail, Huffman, George, Stocker, Erich, Petersen, Walter",10.1109/igarss.2016.7730015,,Global Precipitation Measurement,dataset-667
Characteristics and diurnal cycle of GPM rainfall estimates over the Central Amazon Region,http://dx.doi.org/10.3390/rs8070544,"Rômulo Oliveira, Viviana Maggioni, Daniel Vila, Carlos Morales",10.3390/rs8070544,,Global Precipitation Measurement,dataset-667
Assessment of Satellite-Based Precipitation Measurement Products over the Hot Desert Climate of Egypt,http://dx.doi.org/10.3390/rs11050555,"Mohamed Salem Nashwan, Shamsuddin Shahid, Xiaojun Wang",10.3390/rs11050555,Remote Sensing,Global Precipitation Measurement,dataset-667
Comprehensive Characteristics of Summer Deep Convection over Tibetan Plateau and Its South Slope from the Global Precipitation Measurement Core Observatory,https://doaj.org/toc/2073-4433,"Gao, Chen, Cai, Li, Wang",10.3390/atmos10010009,Atmosphere,Global Precipitation Measurement,dataset-667
Improving the Regional Applicability of Satellite Precipitation Products by Ensemble Algorithm,http://www.mdpi.com/2072-4292/10/4/577,"Waseem Muhammad, Hanbo Yang, Huimin Lei, Ajmal Muhammad, Dawen Yang",10.3390/rs10040577,Remote Sensing,Global Precipitation Measurement,dataset-667
"Assessment of IMERG-V06 Precipitation Product over Different Hydro-Climatic Regimes in the Tianshan Mountains, North-Western China",http://dx.doi.org/10.3390/rs11192314,"Anjum, Ahmad, Ding, Shangguan, Zaman, Ijaz, Sarwar, Han, Yang",10.3390/rs11192314,Remote Sensing,Global Precipitation Measurement,dataset-667
"Assimilation of precipitation Estimates from the Integrated Multisatellite Retrievals for GPM (IMERG, early Run) in the Canadian Precipitation Analysis (CaPA)",http://www.sciencedirect.com/science/article/pii/S2214581817301398,"Alaba Boluwade, Tricia Stadnyk, Vincent Fortin, Guy Roy",10.1016/j.ejrh.2017.10.005,Journal of Hydrology: Regional Studies,Global Precipitation Measurement,dataset-667
An automatic precipitation-phase distinction algorithm for optical disdrometer data over the global ocean,https://doaj.org/toc/1867-8548,"Burdanowitz, J., Klepp, C., Bakan, S.",10.5194/amt-9-1637-2016,,Global Precipitation Measurement,dataset-667
