title,url,authors,doi,journal,search_term,dataset_id
Preparing suitable climate scenario data to assess impacts on local food safety,http://library.wur.nl/WebQuery/wurpubs/479542,"Liu, C., Hofstra, N., Leemans, R.",,,Local Climate Analysis Tool Data,dataset-637
Local indicators of climate change: The potential contribution of local knowledge to climate research,https://europepmc.org/articles/PMC5023048/,"Reyes-García, Victoria, Fernández-Llamazares, Álvaro, Guèze, Maximilien, Garcés, Ariadna, Mallo, Miguel, Vila-Gómez, Margarita, Vilaseca, Marina",10.1002/wcc.374,,Local Climate Analysis Tool Data,dataset-637
AN OPEN-SOURCE MOBILE GEOSPATIAL PLATFORM FOR PROMOTING CLIMATE-SMART LIVELIHOOD-LANDSCAPE SYSTEMS IN FIJI AND TONGA,https://doaj.org/toc/2194-9034,"K. P. Davies, J. Duncan, N. Wales, R. Varea, H. Shojaei, E. Bruce, B. Boruff, E. Biggs",10.5194/isprs-archives-XLII-4-W14-31-2019,,Local Climate Analysis Tool Data,dataset-637
Assessing the Impact of CFSR and Local Climate Datasets on Hydrological Modeling Performance in the Mountainous Black Sea Catchment,http://dx.doi.org/10.3390/w11112277,"Cuceloglu, Gokhan, Ozturk, Izzet",10.3390/w11112277,Water,Local Climate Analysis Tool Data,dataset-637
Applied climate-change analysis: the climate wizard tool.,http://dx.doi.org/10.1371/journal.pone.0006166,"Girvetz, Evan H., Zganjar, Chris, Raber, George T., Maurer, Edwin P., Kareiva, Peter, Lawler, Joshua J.",10.1371/journal.pone.0008320,PLoS ONE,Local Climate Analysis Tool Data,dataset-637
Assessing the Impact of CFSR and Local Climate Datasets on Hydrological Modeling Performance in the Mountainous Black Sea Catchment,https://www.mdpi.com/2073-4441/11/11/2277,"Gokhan Cuceloglu, Izzet Ozturk",10.3390/w11112277,Water,Local Climate Analysis Tool Data,dataset-637
Analysis of Climate Change Affecting German Forests by Combination of Meteorological and Phenological Data within a GIS Environment,https://doaj.org/toc/1537-744X,"Schröder, Winfried, Pesch, Roland, Schmidt, Gunther, Englert, Cordula",10.1100/tsw.2007.15,The Scientific World Journal,Local Climate Analysis Tool Data,dataset-637
"A study on Ecotect application of local climate at a residential area in Chuncheon, Korea",http://journals.vgtu.lt/index.php/JEELM/article/view/1349,"Wu, Qian, Jo, Hyun-Kil",10.3846/16486897.2014.980264,Journal of Environmental Engineering and Landscape Management,Local Climate Analysis Tool Data,dataset-637
Regional Climate Model Evaluation System powered by Apache Open Climate Workbench v1.3.0: an enabling tool for facilitating regional climate studies,https://www.geosci-model-dev.net/11/4435/2018/gmd-11-4435-2018.pdf,"H. Lee, A. Goodman, L. McGibbney, D. E. Waliser, J. Kim, J. Kim, P. C. Loikith, P. B. Gibson, E. C. Massoud",10.5194/gmd-11-4435-2018,Geoscientific Model Development,Local Climate Analysis Tool Data,dataset-637
Improvement of greenhouse design and climate control in mediterranean conditions,http://library.wur.nl/WebQuery/wurpubs/519884,"Tuzel, Yuksel, Zwart, de, Feije, Sapounas, A., Hemming, Silke, Stanghellini, Cecilia",,,Local Climate Analysis Tool Data,dataset-637
New insights into the use of stable water isotopes at the northern Antarctic Peninsula as a tool for regional climate studies,https://www.the-cryosphere.net/12/1069/2018/,"F. Fernandoy, D. Tetzner, H. Meyer, G. Gacitúa, K. Hoffmann, U. Falk, F. Lambert, S. MacDonell",10.5194/tc-12-1069-2018,,Local Climate Analysis Tool Data,dataset-637
Flomfrekvensanalyse og flomvannlinjeberegninger for byvassdrag,http://hdl.handle.net/11250/2595606,"Nie, Linmei, Selseth, Ingrid, Sægrov, Sveinung, Vagle, Odd Arne, Andrianov, Alexandr A",,,Local Climate Analysis Tool Data,dataset-637
"Traditional climate knowledge: a case study in a peasant community of Tlaxcala, Mexico",http://europepmc.org/articles/PMC4990871,"Rivero-Romero, Alexis D., Moreno-Calles, Ana I., Casas, Alejandro, Castillo, Alicia, Camou-Guerrero, Andrés",10.1186/s13002-016-0105-z,Journal of Ethnobiology and Ethnomedicine,Local Climate Analysis Tool Data,dataset-637
Set Up and Calibration of a Spatial Tool for Simulating River Discharge of Western Java in Recent Decades: Preliminary Results and Assessments,http://dx.doi.org/10.17605/osf.io/76q3f,", Poerbandono, Ward, Philip, Julian, Miga",10.17605/osf.io/76q3f,,Local Climate Analysis Tool Data,dataset-637
Complex Ecologies: Micro-Evidence for Storage Landscapes in Early Bronze Age Lebanon,http://dx.doi.org/10.7916/d8-4rf7-hw75,"Damick, Alison",None,,Local Climate Analysis Tool Data,dataset-637
"Software to identify climate change trends at the local level: a study case in Yucatán, México",http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-40182013000100007&lng=en&tlng=en,"Bautista, Francisco, Bautista-Hernández, Dorian A., Álvarez, Oscar, Anaya-Romero, María, de la Rosa, Diego",10.15741/revbio.03.04.08,,Local Climate Analysis Tool Data,dataset-637
Set up and calibration of a spatial tool for simulating latest decades' flow discharges of the western Java: Preliminary Results and Assessments,https://research.vu.nl/en/publications/9ec3a0b1-4812-4579-8ecc-7d860a4bf3ef,"Poerbandono, Philip J. Ward, Miga M. Julian",,ITB Journal of Engineering Science,Local Climate Analysis Tool Data,dataset-637
Adaptation Pathways in Coastal Case Studies: Lessons Learned and Future Directions,http://dx.doi.org/10.6084/m9.figshare.5382526,"Lin, Brenda B., Capon, Tim, Langston, Art, Taylor, Bruce, Wise, Russ, Williams, Rachel, Lazarow, Neil",10.6084/m9.figshare.5382526,,Local Climate Analysis Tool Data,dataset-637
Adaptation Pathways in Coastal Case Studies: Lessons Learned and Future Directions,http://dx.doi.org/10.6084/m9.figshare.5382526.v1,"Lin, Brenda B., Capon, Tim, Langston, Art, Taylor, Bruce, Wise, Russ, Williams, Rachel, Lazarow, Neil",10.6084/m9.figshare.5382526.v1,,Local Climate Analysis Tool Data,dataset-637
A governance of climate change mitigation in transport sector and selected co-benefits in Indonesia: The case of Bandung City,http://resolver.tudelft.nl/uuid:92215d2a-afb5-4abb-96e8-0ec7de1d7d8e,"Gunawan, H., Bressers, H., Megantara, E. N., Kurnani, T. B.A., Hoppe, T., Mohlakoana, N.",10.3929/ethz-b-000192613,,Local Climate Analysis Tool Data,dataset-637
"Software to identify climate change trends at the local level: A study case in Yucatán, México",http://hdl.handle.net/10261/115862,"Bautista, F., Bautista-Hernández, Dorian A., Álvarez, Oscar, Anaya Romero, María, Rosa, Diego de la",10.5154/r.rchscfa.2011.09.073,,Local Climate Analysis Tool Data,dataset-637
"Perceptions, Vulnerability and Adaptation to Climate Change in Ethiopia: The Case of Smallholder Farmers in Sidama",http://dx.doi.org/10.15123/pub.4470,"Hameso, Seyoum",10.15123/pub.4470,,Local Climate Analysis Tool Data,dataset-637
Information Entropy Suggests Stronger Nonlinear Associations between Hydro-Meteorological Variables and ENSO,http://www.mdpi.com/1099-4300/20/1/38,"Tue M. Vu, Ashok K. Mishra, Goutam Konapala",10.3390/e20010038,Entropy,Local Climate Analysis Tool Data,dataset-637
"Hydrological response to climate change for Gilgel Abay River, in the Lake Tana Basin -Upper Blue Nile Basin of Ethiopia.",http://europepmc.org/articles/PMC3824061,"Dile, Yihun Taddele, Berndtsson, Ronny, Setegn, Shimelis G.",10.1371/journal.pone.0079296,PLoS ONE,Local Climate Analysis Tool Data,dataset-637
Applied Computational Topology for Point Clouds and Sparse Timeseries Data,http://dx.doi.org/10.7907/z9d798df,"Yeung, Melissa L.",10.7907/z9d798df,,Local Climate Analysis Tool Data,dataset-637
Revealing patterns of local species richness along environmental gradients with a novel network tool,http://europepmc.org/articles/PMC4479799,"Baudena, M., Sánchez, A., Co-Pierre, G., Ruiz Benito, Paloma, Rodríguez, M.A., Zavala Girones, Miguel Ángel De, Rietkerk, M.",10.1038/srep11561,Scientific Reports,Local Climate Analysis Tool Data,dataset-637
"MRp|SE Newsletter, Issue: 1",http://dx.doi.org/10.5678/lcrs/for816.cit.1260,DFG PAK 823-825,10.5678/lcrs/for816.cit.1260,,Local Climate Analysis Tool Data,dataset-637
A data portal for regional climatic trend analysis in a Peruvian High Andes region,https://www.zora.uzh.ch/id/eprint/60921/1/2011_SalzmannN_asr-6-219-2011.pdf,"M. Schwarb, D. Acuña, Th. Konzelmann, M. Rohrer, N. Salzmann, B. Serpa Lopez, E. Silvestre",10.5167/uzh-60921,,Local Climate Analysis Tool Data,dataset-637
Farming profitably in a changing climate: a risk management approach,http://dx.doi.org/10.22004/ag.econ.9255,"Grant, Colin, Knight, Catherine, Nation, Eloise, Barratt, David, Grant, Colin, Knight, Catherine, Nation, Eloise, Barratt, David",10.22004/ag.econ.9255,,Local Climate Analysis Tool Data,dataset-637
East China summer rainfall variability of 1958-2000: Dynamical downscaling with a variable-resolution AGCM,http://dx.doi.org/10.1371/journal.pone.0069853.t001,"Zou, L., Zhou, T., Li, Laurent, Zhang, J.",10.1175/2010jcli3689.1,,Local Climate Analysis Tool Data,dataset-637
Economic Evaluation of Turbining Potential in Drinking Water Supply Networks,http://infoscience.epfl.ch/record/150150,"Bieri, Martin, Boillat, Jean-Louis, Dubois, Jérôme",,,Local Climate Analysis Tool Data,dataset-637
A new approach to semantic sustainability assessment: text mining via network analysis revealing transition patterns in German municipal climate action plans,https://doaj.org/toc/2192-0567,"Bickel, Manuel W.",10.1186/s13705-017-0125-0,Energy,Local Climate Analysis Tool Data,dataset-637
