title,url,authors,doi,journal,search_term,dataset_id
Application of long-range weather forecasts to agricultural decision problems in Europe,http://doc.rero.ch/record/302556/files/S0021859610000729.pdf,"CALANCA, P., BOLIUS, D., WEIGEL, A. P., LINIGER, M. A.",,,Long Range Forecasts,dataset-639
Long-range forecasts for the energy market &ndash; a case study,https://www.adv-sci-res.net/14/89/2017/,"Hyvärinen, Otto, Mäkelä, Antti, Kämäräinen, Matti, Gregow, Hilppa",10.5194/asr-14-89-2017,,Long Range Forecasts,dataset-639
The Contribution of Systems Research to Long-Range Planning in the Defense Industry,http://dx.doi.org/10.1287/mantech.3.1.78,Harold Tombach,10.1287/mantech.3.1.78,Management Technology,Long Range Forecasts,dataset-639
"Comparison of forecasts of mean monthly water level in the Paraguay River, Brazil, from two fractionally differenced models",http://hdl.handle.net/10183/184271,"Prass, Taiane Schaedler, Bravo, Juan Martín, Clarke, Robin Thomas, Collischonn, Walter, Lopes, Silvia Regina Costa",,,Long Range Forecasts,dataset-639
Sensitivity of a long-range numerical weather forecast model to small changes of model parameters,https://www.adv-sci-res.net/6/13/2011/,"M. B. Gavrilov, G. R. Jovanović, Z. Janjić",10.5194/asr-6-13-2011,,Long Range Forecasts,dataset-639
Forecasting the effects of reduced defense spending,https://fraser.stlouisfed.org/files/docs/publications/frbrichreview/rev_frbrich199211.pdf,"Peter Ireland, Christopher Otrok",,,Long Range Forecasts,dataset-639
Long Range Temperature Forecasts,https://zenodo.org/record/1510074,"Wood, Frank S.",10.1038/scientificamerican05181918-318supp,,Long Range Forecasts,dataset-639
Integration of multi-time-scale models in time series forecasting,http://eprints.maynoothuniversity.ie/9511/,"Murray, Fiona T., Ringwood, John, Austin, Paul C.",10.1080/00207720050165753,,Long Range Forecasts,dataset-639
Medium-Range Probabilistic Forecasts of Wind Power Generation and Ramps in Japan Based on a Hybrid Ensemble,https://www.mdpi.com/2073-4433/9/11/423,"Nohara, Daisuke, Kadokura, Shinji, Ohba, Masamichi",10.3390/atmos9110423,Atmosphere,Long Range Forecasts,dataset-639
Enhanced long-range forecast skill in boreal winter following stratospheric strong vortex conditions,http://centaur.reading.ac.uk/51843/1/pdf.pdf,"Tripathi, Om P., Charlton-Perez, Andrew, Sigmond, Michael, Vitart, Frederic",10.1088/1748-9326/10/10/104007,,Long Range Forecasts,dataset-639
Predictability studies with the ECMWF spectral model for the extended range: the impact of horizontal resolution and sea surface temperature,http://www.tellusa.net/index.php/tellusa/article/view/11695,"CUBASCH, U., WIIN-NIELSEN, A. C.",10.3402/tellusa.v38i1.11695,Tellus A,Long Range Forecasts,dataset-639
The Bayesian Processor of Forecasts on the probabilistic forecasting of long-range dependent variables using General Circulation Models,http://dx.doi.org/10.13140/rg.2.2.15481.77922,"Tyralis, Hristos, Demetris Koutsoyiannis",10.13140/rg.2.2.15481.77922,,Long Range Forecasts,dataset-639
Atmospheric Circulation Response to Anomalous Siberian Forcing in October 2016 and its Long‐Range Predictability,http://hdl.handle.net/10138/302088,"Tyrrell, Nicholas L., Karpechko, Alexey Yu., Uotila, Petteri, Vihma, Timo",10.1029/2018GL081580,,Long Range Forecasts,dataset-639
Inferred inflow forecast horizons guiding reservoir release decisions across the United States,https://www.hydrol-earth-syst-sci-discuss.net/hess-2019-486/,"Turner, Sean W. D., Xu, Wenwei, Voisin, Nathalie",10.5194/hess-2019-486,,Long Range Forecasts,dataset-639
Statistical and dynamical long-range atmospheric forecasts: experimental comparison and hybridization,http://www.tellusa.net/index.php/tellusa/article/view/12076,"Sarda, Jérôme, Plaut, Guy, Pires, Carlos, Vautard, Robert",10.3402/tellusa.v48i4.12076,Tellus A,Long Range Forecasts,dataset-639
Long-range forecasts of UK winter hydrology,http://iopscience.iop.org/1748-9326/10/6/064006,"Svensson, C., Brookshaw, A., Scaife, A.A., Bell, V.A., Mackay, J.D., Jackson, C.R., Hannaford, J., Davies, H.N., Arribas, A., Stanley, S.",10.1088/1748-9326/10/6/064006,,Long Range Forecasts,dataset-639
The sub-seasonal to seasonal prediction (S2S) project database,http://centaur.reading.ac.uk/65935/1/BAMS_S2Sdatabase.final.pdf,"Vitart, F., Ardilouze, C., Bonet, A., Brookshaw, A., Chen, M., Codorean, C., Deque, M., Ferranti, L., Fucile, E., Fuentes, M., Hendon, H., Hodgson, J., Kang, H. S., Kumar, A., Lin, H., Liu, G., Liu, X., Malguzzi, P., Mallas, I., Manoussakis, M., Mastrangelo, D., MacLachlan, C., McLean, P., Minami, A., Mladek, R., Nakazawa, T., Najim, S., Nie, Y., Rixen, M., Robertson, A. W., Ruti, P., Sun, C., Takaya, Y., Tlostykh, M., Venuti, F., Waliser, D., Woolnough, S., Wu, T., Won, D-J., Xiao, H., Zaripov, R., Zhang, L.",10.1175/BAMS-D-16-0017.1,,Long Range Forecasts,dataset-639
Troposphere mapping functions for GPS and very Long Baseline Interferometry from European Centre for Medium-Range Weather Forecasts operational analysis data,http://gfzpublic.gfz-potsdam.de/pubman/item/escidoc:246431,"J. Böhm, B. Werl, Harald Schuh,  ",10.1029/2005JB003629,,Long Range Forecasts,dataset-639
The benefit of seamless forecasts for hydrological predictions over Europe,https://www.hydrol-earth-syst-sci.net/22/3409/2018/,"F. Wetterhall, F. Di Giuseppe",10.5194/hess-22-3409-2018,,Long Range Forecasts,dataset-639
Long-range forecasting of intermittent streamflow,https://www.hydrol-earth-syst-sci.net/15/3343/2011/,"F. F. van Ogtrop, R. W. Vervoort, G. Z. Heller, D. M. Stasinopoulos, R. A. Rigby",10.5194/hess-15-3343-2011,,Long Range Forecasts,dataset-639
Experts' adjustment to model-based SKU-level forecasts: Does the forecast horizon matter?,http://hdl.handle.net/1765/23711,"Franses, Philip Hans, Legerstee, Rianne",,,Long Range Forecasts,dataset-639
Sea ice concentration anomalies as long range predictors of anomalous conditions in the North Atlantic basin,http://www.tellusa.net/index.php/tellusa/article/view/12144,"Sánchez Gómez, E., Cabos Narvaés, W., Ortiz Beviá, M. J.",10.3402/tellusa.v54i3.12144,Tellus A,Long Range Forecasts,dataset-639
Global meteorological drought – Part 2: Seasonal forecasts,http://publications.jrc.ec.europa.eu/repository/handle/JRC89129,"E. Dutra, W. Pozzi, F. Wetterhall, F. Di Giuseppe, L. Magnusson, G. Naumann, P. Barbosa, J. Vogt, F. Pappenberger",10.5194/hess-18-2669-2014,Hydrology and Earth System Sciences,Long Range Forecasts,dataset-639
Ultralong atmospheric waves and a long-range forecasting,http://www.tellusa.net/index.php/tellusa/article/view/10678,"KURBATKIN, G. P.",10.3402/tellusa.v24i6.10678,Tellus A,Long Range Forecasts,dataset-639
Long-range forecasting of forest fire danger based on the SLAV model seasonal ensemble forecasts,http://dx.doi.org/10.3103/S1068373912080018,"Khan, V. M.",10.3103/S1068373912080018,RUSSIAN METEOROLOGY AND HYDROLOGY,Long Range Forecasts,dataset-639
Short-range probabilistic forecasts from the Norwegian limited-area EPS: long-term validation and a polar low study,http://www.tellusa.net/index.php/tellusa/article/view/15820,"Aspelien, Trygve, Iversen, Trond, Bremnes, John Bjørnar, Frogner, Inger-Lise",10.3402/tellusa.v63i3.15820,Tellus A,Long Range Forecasts,dataset-639
Long term load forecasting accuracy in electric utility integrated resource planning,http://www.escholarship.org/uc/item/4nd8z0n7,"Carvallo, JP, Larsen, PH, Sanstad, AH, Goldman, CA",,,Long Range Forecasts,dataset-639
A Conceptual and Operational Framework for Developing The Long–Range Planning Process,http://www.palgrave-journals.com/jibs/journal/v4/n2/pdf/8490759a.pdf,"S Prakash Sethi, John Hogle",,Journal of International Business Studies,Long Range Forecasts,dataset-639
Empirical Prediction Intervals for County Population Forecasts,http://www.escholarship.org/uc/item/56s7k6gj,"Rayer, Stefan, Smith, Stanley K., Tayman, Jeff",10.1007/s11113-009-9128-7,Population Research and Policy Review,Long Range Forecasts,dataset-639
Forecasting global ENSO-related climate anomalies,http://www.tellusa.net/index.php/tellusa/article/view/15487,"Barnett, T. P., Bengtsson, L., Arpe, K., Flügel, M., Graham, N., Latif, Mojib, Ritchie, J., Roeckner, E., Schlese, U., Schulzweida, U., Tyree, M.",10.1034/j.1600-0870.1994.t01-3-00005.x,Tellus A,Long Range Forecasts,dataset-639
Seasonal streamflow forecasting by conditioning climatology with precipitation indices,https://www.hydrol-earth-syst-sci.net/21/1573/2017/,"Crochemore, Louise, Ramos, Maria-Helena, Pappenberger, Florian, Perrin, Charles",10.5194/hess-21-1573-2017,Hydrology and Earth System Sciences,Long Range Forecasts,dataset-639
Long-range prediction of the low-frequency mode in the low-level Indian monsoon circulation with a simple statistical method,http://www.tellusa.net/index.php/tellusa/article/view/14964,"CHEN, TSING-CHANG, YEN, MING-CHENG, WU, KUANG-DER, NG, THOMAS",10.3402/tellusa.v44i4.14964,Tellus A,Long Range Forecasts,dataset-639
A new framework for probabilistic seasonal forecasts based on circulation type classifications and driven by an ensemble global model,http://dx.doi.org/10.5281/zenodo.1321007,"G. Messeri, G. Messeri, R. Benedetti, A. Crisci, B. Gozzini, M. Rossi, M. Rossi, R. Vallorani, R. Vallorani, G. Maracchi",10.5194/asr-15-183-2018,,Long Range Forecasts,dataset-639
Will Aging Baby Boomers Bust the Federal Budget?,http://www.aeaweb.org/articles.php?doi=10.1257/jep.13.1.117,"Ronald Lee, Jonathan Skinner",10.1257/jep.13.1.117,Journal of Economic Perspectives,Long Range Forecasts,dataset-639
The effect of improved nowcasting of precipitation on air quality modeling,http://library.wur.nl/WebQuery/wurpubs/396276,"Geertsema, G.T., Wichers Schreur, B.G.J.",,,Long Range Forecasts,dataset-639
BAYESIAN HERDERS: ASYMMETRIC UPDATING OF RAINFALL BELIEFS IN RESPONSE TO EXTERNAL FORECASTS,http://dx.doi.org/10.22004/ag.econ.14762,"Lybbert, Travis J., Barrett, Christopher B., McPeak, John G., Luseno, Winnie K., Lybbert, Travis J., Barrett, Christopher B., McPeak, John G., Luseno, Winnie K.",10.22004/ag.econ.14762,,Long Range Forecasts,dataset-639
An approximate long-memory range-based approach for value at risk estimation,http://ora.ox.ac.uk/objects/uuid:,"Taylor, JW, Meng, X",10.1016/j.ijforecast.2017.11.007,International Journal of Forecasting,Long Range Forecasts,dataset-639
A proposed method for ship routing using long range weather forecasts,http://hdl.handle.net/10945/45641,"Haltiner, G.J., Bleick, W.E., Faulkner, F.D.",,,Long Range Forecasts,dataset-639
Advances in the Estimation of Fractionally Integrated Models,https://figshare.com/articles/Advances_in_the_Estimation_of_Fractionally_Integrated_Models/8187740,KANCHANA NADARAJAH,10.26180/5cecac5380e49,,Long Range Forecasts,dataset-639
The Utility of the Bering Sea and East Asia Rules in Long-Range Forecasting,http://dx.doi.org/10.1155/2017/1765428,"Renken, Joseph S., Herman, Joshua J., Bradshaw, Travis R., Market, Patrick S., Lupo, Anthony R.",10.1155/2017/1765428,Advances in Meteorology,Long Range Forecasts,dataset-639
Long range dependence in an emerging stock market’s sectors: volatility modelling and VaR forecasting,http://dx.doi.org//10.1080/00036846.2017.1403559,"Abuzayed B., Al-Fayoumi N., Charfeddine L.",10.1080/00036846.2017.1403559,,Long Range Forecasts,dataset-639
The Development of a Highway Revenue Forecasting Model for Indiana,http://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=1769&amp;context=jtrp,"Varma, Amit H, Sinha, Kumares C., Spalding, Jeffrey L.",,,Long Range Forecasts,dataset-639
Advances in the Estimation of Fractionally Integrated Models,http://dx.doi.org/10.26180/5cecac5380e49,KANCHANA NADARAJAH,10.26180/5cecac5380e49,,Long Range Forecasts,dataset-639
Very short-term forecast of wind speed and power at the offshore wind farm Global Tech I using horizontal PPI lidar scans,https://figshare.com/articles/Very_short-term_forecast_of_wind_speed_and_power_at_the_offshore_wind_farm_Global_Tech_I_using_horizontal_PPI_lidar_scans/9698453,"Theuer, Frauke, Valldecabres, Laura, von Bremen, Lüder, Kühn, Martin",10.5281/zenodo.3372276,,Long Range Forecasts,dataset-639
Skill transfer from meteorological to runoff forecasts in glacierized catchments,http://hdl.handle.net/20.500.11850/264559,"Saskia Gindraux, Daniel Farinotti",10.3390/hydrology5020026,,Long Range Forecasts,dataset-639
A Comparative Study of Methods for Long-Range Market Forecasting,http://dx.doi.org/10.1287/mnsc.19.2.211,"J. Scott Armstrong, Michael C. Grohman",10.1287/mnsc.19.2.211,Management Science,Long Range Forecasts,dataset-639
"Ensemble dispersion forecasting:Part I: concept, approach and indicators",https://cris.vtt.fi/en/publications/5ec791ad-4f78-47f5-9906-17e5d9f1a0eb,"Galmarini, S., Bianconi, R., Klug, W., Ilvonen, Mikko, et al.,",10.1016/j.atmosenv.2004.05.030,,Long Range Forecasts,dataset-639
Coupling of palaeontological and neontological reef coral data improves forecasts of biodiversity responses under global climatic change,http://europepmc.org/articles/PMC6502368,"Jones, Lewis A., Mannion, Philip D., Farnsworth, Alexander, Valdes, Paul J., Allison, Peter A., Kelland, Sarah-Jane",10.1098/rsos.182111,Royal Society Open Science,Long Range Forecasts,dataset-639
