title,journal,url,authors,doi,search_term,dataset_id
A Radar Radial Velocity Dealiasing Algorithm for Radar Data Assimilation and its Evaluation with Observations from Multiple Radar Networks,Remote Sensing,http://dx.doi.org/10.3390/rs11202457,"He, Guangxin, Sun, Juanzhen, Ying, Zhuming, Zhang, Lejian",10.3390/rs11202457,Next Generation Weather Radar,dataset-612
A Radar Radial Velocity Dealiasing Algorithm for Radar Data Assimilation and its Evaluation with Observations from Multiple Radar Networks,Remote Sensing,https://www.mdpi.com/2072-4292/11/20/2457,"Guangxin He, Juanzhen Sun, Zhuming Ying, Lejian Zhang",10.3390/rs11202457,Next Generation Weather Radar,dataset-612
Sensors and Systems to Enhance Aviation Safety Against Weather Hazards,,http://eprints.iisc.ernet.in/3968/,"Mahapatra, Pravas R, Zrnic, Dusan S",,Next Generation Weather Radar,dataset-612
Phased-Array Radar System Simulator (PASIM): Development and Simulation Result Assessment,Remote Sensing,http://dx.doi.org/10.3390/rs11040422,"Zhe Li, Sudantha Perera, Yan Zhang, Guifu Zhang, Richard Doviak",10.3390/rs11040422,Next Generation Weather Radar,dataset-612
A SIMULATED REAL-TIME SEVERE WEATHER NOWCASTING,The International Archives of the Photogrammetry,http://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XXXVIII-6-W27/41/2011/isprsarchives-XXXVIII-6-W27-41-2011.pdf,"C.-Y. Liu, S. A. Ackerman",10.5194/isprsarchives-XXXVIII-6-W27-41-2011,Next Generation Weather Radar,dataset-612
The WSR-88D and the WSR-88D operational support facility,,https://zenodo.org/record/1234705,"Crum, Timothy D., Alberty, Ron L.",10.1175/1520-0477(1993)074,Next Generation Weather Radar,dataset-612
Dual‐polarization radar products for biological applications,Ecosphere,https://doi.org/10.1002/ecs2.1539,"Phillip M. Stepanian, Kyle G. Horton, Valery M. Melnikov, Dušan S. Zrnić, Sidney A. Gauthreaux Jr.",10.1002/ecs2.1539,Next Generation Weather Radar,dataset-612
The next generation airborne polarimetric Doppler weather radar,Geoscientific Instrumentation,http://www.geosci-instrum-method-data-syst.net/3/111/2014/gi-3-111-2014.pdf,"J. Vivekanandan, W.-C. Lee, E. Loew, J. L. Salazar, V. Grubišić, J. Moore, P. Tsai",10.5194/gi-3-111-2014,Next Generation Weather Radar,dataset-612
Airborne polarimetric Doppler weather radar: trade-offs between various engineering specifications,,https://www.geosci-instrum-method-data-syst.net/7/21/2018/gi-7-21-2018.pdf,"J. Vivekanandan, E. Loew",10.5194/gi-7-21-2018,Next Generation Weather Radar,dataset-612
Vertical air motion retrievals in deep convective clouds using the ARM scanning radar network in Oklahoma during MC3E,Atmospheric Measurement Techniques,https://www.atmos-meas-tech.net/10/2785/2017/amt-10-2785-2017.pdf,"K. W. North, M. Oue, P. Kollias, P. Kollias, S. E. Giangrande, S. M. Collis, C. K. Potvin, C. K. Potvin",10.5194/amt-10-2785-2017,Next Generation Weather Radar,dataset-612
Quantifying errors due to frequency changes and target location uncertainty for radar refractivity retrievals,,http://centaur.reading.ac.uk/36317/1/JTECH-D-12-00118.pdf,"Nicol, J. C., Illingworth, A. J., Darlington, T., Kitchen, M.",10.1175/JTECH-D-12-00118.1,Next Generation Weather Radar,dataset-612
Investigating rainfall estimation from radar measurements using neural networks,,https://www.nat-hazards-earth-syst-sci.net/13/535/2013/,"A. Alqudah, V. Chandrasekar, M. Le",10.5194/nhess-13-535-2013,Next Generation Weather Radar,dataset-612
Modern radar techniques and the hazard of meteoroids to space platforms,Annals of Geophysics,http://www.annalsofgeophysics.eu/index.php/annals/article/view/3819,G. Cevolani,10.4401/ag-3819,Next Generation Weather Radar,dataset-612
Validation of the Hurricane Imaging Radiometer Forward Radiative Transfer Model for a Convective Rain Event,Remote Sensing,http://dx.doi.org/10.3390/rs11222650,"Alasgah, Abdusalam, Jacob, Maria, Jones, Linwood, Schneider, Larry",10.3390/rs11222650,Next Generation Weather Radar,dataset-612
URBAN MODELLING PERFORMANCE OF NEXT GENERATION SAR MISSIONS,The International Archives of the Photogrammetry,https://www.int-arch-photogramm-remote-sens-spatial-inf-sci.net/XLII-2-W7/641/2017/isprs-archives-XLII-2-W7-641-2017.pdf,"Sefercik, U. G., Yastikli, N., Atalay, C.",10.5194/isprs-archives-XLII-2-W7-641-2017,Next Generation Weather Radar,dataset-612
"Radar based rainfall nowcasting and its characteristic prediction based on spatially correlated random field, normalized duration line and Kalman filter algorithm",MATEC Web of Conferences,https://doaj.org/toc/2261-236X,"He Ting, Zhang Chao, Zhang Yi",10.1051/matecconf/201824601028,Next Generation Weather Radar,dataset-612
Detection of flooded urban areas in high resolution Synthetic Aperture Radar images using double scattering,International Journal of Applied Earth Observation and Geoinformation,http://centaur.reading.ac.uk/35451/1/1-s2.0-S0303243413001700-main.pdf,"Mason, D.C., Giustarini, L., Garcia-Pintado, J., Cloke, H.L.",10.1016/j.jag.2013.12.002,Next Generation Weather Radar,dataset-612
“Big Data Assimilation” Toward Post-Petascale Severe Weather Prediction: An Overview and Progress,,http://hdl.handle.net/11336/60304,"Miyoshi, Takemasa, Lien, Guo-Yuan, Satoh, Shinsuke, Ushio, Tomoo, Bessho, Kotaro, Tomita, Hirofumi, Nishizawa, Seiya, Yoshida, Ryuji, Adachi, Sachiho A., Liao, Jianwei, Gerofi, Balazs, Ishikawa, Yutaka, Kunii, Masaru, Ruiz, Juan Jose, Maejima, Yasumitsu, Otsuka, Shigenori, Otsuka, Michiko, Okamoto, Kozo, Seko, Hiromu",10.1109/JPROC.2016.2602560,Next Generation Weather Radar,dataset-612
Potential of high-resolution detection and retrieval of precipitation fields from X-band spaceborne synthetic aperture radar over land,Hydrology and Earth System Sciences,http://www.hydrol-earth-syst-sci.net/15/859/2011/hess-15-859-2011.pdf,"F. S. Marzano, S. Mori, M. Chini, L. Pulvirenti, N. Pierdicca, M. Montopoli, J. A. Weinman",10.5194/hess-15-859-2011,Next Generation Weather Radar,dataset-612
EO-ALERT: Next Generation Satellite Processing Chain for Security-Driven Early Warning Capacity in Maritime Surveillance and Extreme Weather Events,,http://dx.doi.org/10.5281/zenodo.3243836,"Tonetti, Stefania, Cornara, Stefania, Vicario de Miguel, Gonzalo, Carzana, Livio, Kerr, Murray, Fabrizi, Roberto, Fraile, Silvia, Marcos Martín, Cecilia, Velotto, Domenico",10.5281/zenodo.3243836,Next Generation Weather Radar,dataset-612
EO-ALERT: Next Generation Satellite Processing Chain for Security-Driven Early Warning Capacity in Maritime Surveillance and Extreme Weather Events,,http://dx.doi.org/10.5281/zenodo.3243835,"Tonetti, Stefania, Cornara, Stefania, Vicario de Miguel, Gonzalo, Carzana, Livio, Kerr, Murray, Fabrizi, Roberto, Fraile, Silvia, Marcos Martín, Cecilia, Velotto, Domenico",10.5281/zenodo.3243835,Next Generation Weather Radar,dataset-612
Seasonal Change in Wetland Coherence as an Aid to Wetland Monitoring,Remote Sensing,http://www.mdpi.com/2072-4292/9/2/158,"Brian Brisco, Frank Ahern, Kevin Murnaghan, Lori White, Francis Canisus, Philip Lancaster",10.3390/rs9020158,Next Generation Weather Radar,dataset-612
Wet scavenging of soluble gases in DC3 deep convective storms using WRF-Chem simulations and aircraft observations,,https://authors.library.caltech.edu/69109/,"Bela, Megan M., Barth, Mary C., Toon, Owen B., Fried, Alan, Homeyer, Cameron R., Morrison, Hugh, Cummings, Kristin A., Li, Yunyao, Pickering, Kenneth E., Allen, Dale J., Yang, Qing, Wennberg, Paul O., Crounse, John D., St. Clair, Jason M., Teng, Alex P., O'Sullivan, Daniel, Huey, L. Gregory, Chen, Dexian, Liu, Xiaoxi, Blake, Donald R., Blake, Nicola J., Apel, Eric C., Hornbrook, Rebecca S., Flocke, Frank, Campos, Teresa, Diskin, Glenn",,Next Generation Weather Radar,dataset-612
Land-surface controls on afternoon precipitation diagnosed from observatorial data: uncertainties and confounding factors,,http://library.wur.nl/WebQuery/wurpubs/483788,"Guillod, B.P., Orlowsky, B., Miralles, D., Teuling, A.J., Blanken, P.D., Buchmann, N.",10.3390/rs10111773,Next Generation Weather Radar,dataset-612
On the Importance of Soil Moisture for Streamflow Forecasting,,http://dx.doi.org/10.4225/03/589bfbb2657f3,Mahshid Shahrban,10.4225/03/589bfbb2657f3,Next Generation Weather Radar,dataset-612
On the Importance of Soil Moisture for Streamflow Forecasting,,https://figshare.com/articles/On_the_Importance_of_Soil_Moisture_for_Streamflow_Forecasting/4634884,"Shahrban, Mahshid",10.4225/03/589bfbb2657f3,Next Generation Weather Radar,dataset-612
On the Importance of Soil Moisture for Streamflow Forecasting,,http://dx.doi.org/10.4225/03/4634884,Mahshid Shahrban,10.4225/03/4634884,Next Generation Weather Radar,dataset-612
