title,url,authors,doi,journal,search_term,dataset_id
The multi-institution North American Land Data Assimilation System (NLDAS): Utilizing multiple GCIP products and partners in a continental distributed hydrological modeling system,http://dx.doi.org/10.1029/2003jd003823,"Mitchell, Kenneth E.",10.1029/2003jd003823,,North American Land Data Assimilation System,dataset-669
Assimilation of gridded GRACE terrestrial water storage estimates in the North American Land Data Assimilation System,https://lirias.kuleuven.be/handle/123456789/555244,"Kumar, S, Zaitchik, B, Peters-Lidard, C, Reichle, R, Li, B, Mocko, D, Getinara, A, De Lannoy, Gabrielle, Cosh, M, Hain, C, Anderson, M",,,North American Land Data Assimilation System,dataset-669
Standardized Soil Moisture Index for Drought Monitoring Based on Soil Moisture Active Passive Observations and 36 Years of North American Land Data Assimilation System Data: A Case Study in the Southeast United States,http://www.mdpi.com/2072-4292/10/2/301,"Yaping Xu, Lei Wang, Kenton W. Ross, Cuiling Liu, Kimberly Berry",10.3390/rs10020301,Remote Sensing,North American Land Data Assimilation System,dataset-669
Benchmarking NLDAS-2 Soil Moisture and Evapotranspiration to Separate Uncertainty Contributions,https://europepmc.org/articles/PMC5911932/,"Nearing, Grey S., Mocko, David M., Peters-Lidard, Christa D., Kumar, Sujay V., Xia, Youlong",10.1175/JHM-D-15-0063.1,,North American Land Data Assimilation System,dataset-669
Subregional inversion of North African dust sources,https://hal.sorbonne-universite.fr/hal-01366496,"Escribano , Jerónimo, Boucher , Olivier, Chevallier , Frédéric, Huneeus , Nicolás",10.1002/2016JD025020,,North American Land Data Assimilation System,dataset-669
Environmental Public Health Applications Using Remotely Sensed Data,https://europepmc.org/articles/PMC4044865/,"Al-Hamdan, Mohammad Z., Crosson, William L., Economou, Sigrid A., Estes, Maurice G., Estes, Sue M., Hemmings, Sarah N., Kent, Shia T., Puckett, Mark, Quattrochi, Dale A., Rickman, Douglas L., Wade, Gina M., McClure, Leslie A.",10.1080/10106049.2012.715209,,North American Land Data Assimilation System,dataset-669
Downscaling of SMAP Soil Moisture Using Land Surface Temperature and Vegetation Data,https://dl.sciencesocieties.org/publications/vzj/articles/17/1/170198,"Bin Fang, Venkataraman Lakshmi, Rajat Bindlish, Thomas J. Jackson",10.2136/vzj2017.11.0198,Vadose Zone Journal,North American Land Data Assimilation System,dataset-669
A Global Intercomparison of Modeled and Observed Land–Atmosphere Coupling,http://dx.doi.org/10.1175/jhm-d-11-0119.1,"Ferguson, Craig R., Wood, Eric F., Vinukollu, Raghuveer K.",10.1175/jhm-d-11-0119.1,,North American Land Data Assimilation System,dataset-669
"Heat waves in the United States: definitions, patterns and trends",https://europepmc.org/articles/PMC3711804/,"Smith, Tiffany T., Zaitchik, Benjamin F., Gohlke, Julia M.",10.1007/s10584-012-0659-2,,North American Land Data Assimilation System,dataset-669
Studying soil moisture at a national level through statistical analysis of NASA NLDAS data,https://research.utwente.nl/en/publications/studying-soil-moisture-at-a-national-level-through-statistical-analysis-of-nasa-nldas-data(3f344f87-3bbe-4e5e-b2b7-41d27821e836).html,"Espinoza-Dávalos, Gonzalo E., Arctur, David K., Teng, William, Maidment, David R., García-Martí, I., Comair, Georges",10.1007/s11269-015-1011-1,,North American Land Data Assimilation System,dataset-669
"Meteorological Conditions Associated with Increased Incidence of West Nile Virus Disease in the United States, 2004–2012",https://europepmc.org/articles/PMC4426558/,"Hahn, Micah B., Monaghan, Andrew J., Hayden, Mary H., Eisen, Rebecca J., Delorey, Mark J., Lindsey, Nicole P., Nasci, Roger S., Fischer, Marc",10.4269/ajtmh.14-0737,,North American Land Data Assimilation System,dataset-669
Comparing potential recharge estimates from three Land Surface Models across the Western US,https://europepmc.org/articles/PMC5880210/,"NIRAULA, REWATI, MEIXNER, THOMAS, AJAMI, HOORI, RODELL, MATTHEW, GOCHIS, DAVID, CASTRO, CHRISTOPHER L.",10.1016/j.jhydrol.2016.12.028,,North American Land Data Assimilation System,dataset-669
Improving land-surface model hydrology: Is an explicit aquifer model better than a deeper soil profile?,http://www.escholarship.org/uc/item/0mv2c10k,"Gulden, Lindsey E, Rosero, Enrique, Yang, Zong-Liang, Rodell, Matthew, Jackson, Charles S, Niu, Guo-Yue, Yeh, Pat J.-F., Famiglietti, James",10.1038/ncomms11068,,North American Land Data Assimilation System,dataset-669
An optimal merging technique for high-resolution precipitation products,http://www.agu.org/journals/ms/ms1112/2011MS000062/,"Roshan Shrestha, Valentine Anantharaj, Paul Houser",,Journal of Advances in Modeling Earth Systems,North American Land Data Assimilation System,dataset-669
Assessing Mountains as Natural Reservoirs With a Multimetric Framework,http://www.escholarship.org/uc/item/5sm2m13p,"Rhoades, AM, Jones, AD, Ullrich, PA",,,North American Land Data Assimilation System,dataset-669
Influence of the Spatial Resolution of the Exposure Estimate in Determining the Association between Heat Waves and Adverse Health Outcomes,http://dx.doi.org/10.6084/m9.figshare.7770896,"Wu, Connor Y. H., Zaitchik, Benjamin F., Samarth Swarup, Gohlke, Julia M.",10.6084/m9.figshare.7770896,,North American Land Data Assimilation System,dataset-669
"A Systematic Evaluation of Noah-MP in Simulating Land-Atmosphere Energy, Water, and Carbon Exchanges Over the Continental United States",https://escholarship.org/uc/item/8g8323c5,"Ma, N, Niu, GY, Xia, Y, Cai, X, Zhang, Y, Ma, Y, Fang, Y",,,North American Land Data Assimilation System,dataset-669
Controls on surface soil drying rates observed by SMAP and simulated by the Noah land surface model,https://www.hydrol-earth-syst-sci.net/22/1649/2018/hess-22-1649-2018.pdf,"P. J. Shellito, E. E. Small, B. Livneh",10.5194/hess-22-1649-2018,Hydrology and Earth System Sciences,North American Land Data Assimilation System,dataset-669
Comparison and assessment of three advanced land surface models in simulating terrestrial water storage components over the United States,http://www.escholarship.org/uc/item/41w3g276,"Xia, Y, Mocko, D, Huang, M, Li, B, Rodell, M, Mitchell, KE, Cai, X, Ek, MB",10.1007/s00190-016-0892-y,,North American Land Data Assimilation System,dataset-669
"A Systematic Evaluation of Noah-MP in Simulating Land-Atmosphere Energy, Water, and Carbon Exchanges Over the Continental United States",http://www.escholarship.org/uc/item/8g8323c5,"Ma, N, Niu, GY, Xia, Y, Cai, X, Zhang, Y, Ma, Y, Fang, Y",10.5194/gmd-9-1-2016,,North American Land Data Assimilation System,dataset-669
Influence of the Spatial Resolution of the Exposure Estimate in Determining the Association between Heat Waves and Adverse Health Outcomes,http://dx.doi.org/10.6084/m9.figshare.7770896.v1,"Wu, Connor Y. H., Zaitchik, Benjamin F., Samarth Swarup, Gohlke, Julia M.",10.6084/m9.figshare.7770896.v1,,North American Land Data Assimilation System,dataset-669
Analysis of process controls in land surface hydrological cycle over the continental United States,http://www.escholarship.org/uc/item/9265s8vg,"Syed, Tajdarul Hassan, Lakshimi, V, Paleologos, E, Lohmann, D, Mitchell, K, Famiglietti, J S",,,North American Land Data Assimilation System,dataset-669
Characterizing Sierra Nevada Snowpack Using Variable-Resolution CESM,https://escholarship.org/uc/item/0cz82359,"Rhoades, Alan M, Huang, Xingying, Ullrich, Paul A, Zarzycki, Colin M",,,North American Land Data Assimilation System,dataset-669
Evapotranspiration Estimates Derived Using Multi-Platform Remote Sensing in a Semiarid Region,http://www.mdpi.com/2072-4292/9/3/184,"Kyle Knipper, Terri Hogue, Russell Scott, Kristie Franz",10.3390/rs9030184,Remote Sensing,North American Land Data Assimilation System,dataset-669
Heat waves and fatal traffic crashes in the continental United States,https://europepmc.org/articles/PMC6675573/,"Wu, Connor Y.H., Zaitchik, Benjamin F., Gohlke, Julia M.",10.1016/j.aap.2018.07.025,,North American Land Data Assimilation System,dataset-669
Potential Crop Evapotranspiration and Surface Evaporation Estimates via a Gridded Weather Forcing Dataset,https://digitalcommons.usu.edu/cee_facpub/3529,"Lewis, Clayton S., Allen, L. Niel",10.17632/n76h8kyrys.1,,North American Land Data Assimilation System,dataset-669
On the Use of NLDAS2 Weather Data for Hydrologic Modeling in the Upper Mississippi River Basin,https://www.mdpi.com/2073-4441/11/5/960,"Junyu Qi, Qianfeng Wang, Xuesong Zhang",10.3390/w11050960,Water,North American Land Data Assimilation System,dataset-669
Characterizing Sierra Nevada Snowpack Using Variable-Resolution CESM,http://www.escholarship.org/uc/item/0cz82359,"Rhoades, Alan M, Huang, Xingying, Ullrich, Paul A, Zarzycki, Colin M",10.5194/tc-13-1547-2019,,North American Land Data Assimilation System,dataset-669
Trends in seasonal warm anomalies across the contiguous United States: Contributions from natural climate variability,http://europepmc.org/articles/PMC5821865,"Yu, Lejiang, Zhong, Shiyuan, Heilman, Warren E., Bian, Xindi",10.1038/s41598-018-21817-9,Scientific Reports,North American Land Data Assimilation System,dataset-669
Modeling Hydroclimatic Change in Southwest Louisiana Rivers,http://www.mdpi.com/2073-4441/10/5/596,"Z. George Xue, David J. Gochis, Wei Yu, Barry D. Keim, Robert V. Rohli, Zhengchen Zang, Kevin Sampson, Aubrey Dugger, David Sathiaraj, Qian Ge",10.3390/w10050596,Water,North American Land Data Assimilation System,dataset-669
Predictors of indoor absolute humidity and estimated effects on influenza virus survival in grade schools,http://dx.doi.org/10.7916/d8bk19p2,"Koep, Tyler H., Enders, Felicity T., Pierret, Chris, Ekker, Stephen C., Krageschmidt, Dale, Neff, Kevin L., Lipsitch, Marc, Shaman, Jeffrey L., Huskins, W. Charles",10.7916/d8bk19p2,,North American Land Data Assimilation System,dataset-669
Modeling the Impacts of Lakes and Wetlands on Streamflow,http://dx.doi.org/10.25394/pgs.8035178,"Kines, Stephen J",10.25394/pgs.8035178,,North American Land Data Assimilation System,dataset-669
Modeling the Impacts of Lakes and Wetlands on Streamflow,http://dx.doi.org/10.25394/pgs.8035178.v1,"Kines, Stephen J",10.25394/pgs.8035178.v1,,North American Land Data Assimilation System,dataset-669
Modeling the Impacts of Lakes and Wetlands on Streamflow,https://figshare.com/articles/Modeling_the_Impacts_of_Lakes_and_Wetlands_on_Streamflow/8035178,"Kines, Stephen J.",10.25394/pgs.8035178.v1,,North American Land Data Assimilation System,dataset-669
Use of WRF-Hydro over the Northeast of the US to Estimate Water Budget Tendencies in Small Watersheds,http://dx.doi.org/10.3390/w10121709,"Somos-Valenzuela, Marcelo A., Palmer, Richard N.",10.3390/w10121709,Water,North American Land Data Assimilation System,dataset-669
"Output Files Corresponding To ""Opportunities And Challenges In Computing Fresh Groundwater Discharge To Continental Coastlines: A Multimodel Comparison For The United States Gulf And Atlantic Coasts""",http://dx.doi.org/10.5281/zenodo.1164306,"YaoQuan Zhou, Kevin M. Befus",10.5281/zenodo.1164306,,North American Land Data Assimilation System,dataset-669
"Output Files Corresponding To ""Opportunities And Challenges In Computing Fresh Groundwater Discharge To Continental Coastlines: A Multimodel Comparison For The United States Gulf And Atlantic Coasts""",http://dx.doi.org/10.5281/zenodo.1164307,"YaoQuan Zhou, Kevin M. Befus",10.5281/zenodo.1164307,,North American Land Data Assimilation System,dataset-669
