title,url,authors,doi,journal,search_term,dataset_id
Neural response dynamics of spiking and local field potential activity depend on CRT monitor refresh rate in the tree shrew primary visual cortex,http://doc.rero.ch/record/28469/files/rai_nrd.pdf,"Veit, J, Bhattacharyya, A, Kretz, Robert, Rainer, Gregor",,,Rapid Refresh,dataset-671
Online refresh strategies for content based feed aggregation,https://hal.archives-ouvertes.fr/hal-01185362,"Horincar, Roxana, Amann, Bernd, Artières, Thierry",10.1007/s11280-014-0288-y,,Rapid Refresh,dataset-671
A Prototype Regional GSI-based EnKF-Variational Hybrid Data Assimilation System for the Rapid Refresh Forecasting System: Dual-Resolution Implementation and Testing Results,http://dx.doi.org/10.1007/s00376-017-7108-0,"Pan, Yujie, Xue, Ming, Zhu, Kefeng, Wang, Mingjun",10.1007/s00376-017-7108-0,,Rapid Refresh,dataset-671
The NASA TROPICS CubeSat Constellation Mission: Overview and Science Objectives,http://digitalcommons.usu.edu/smallsat/2017/all2017/109,"Blackwell, W., Burianek, D., Clark, K., Crompton, D., Cunningham, A., Fuhrman, L., Hopman, P., Michael, S.",,,Rapid Refresh,dataset-671
An overview of the TROPICS NASA Earth Venture Mission,http://europepmc.org/articles/PMC6360932,"Blackwell, W. J., Braun, S., Bennartz, R., Velden, C., DeMaria, M., Atlas, R., Dunion, J., Marks, F., Rogers, R., Annane, B., Leslie, R. V.",10.1002/qj.3290,Quarterly Journal of the Royal Meteorological Society. Royal Meteorological Society (Great Britain),Rapid Refresh,dataset-671
Is training effective for older workers?,http://wol.iza.org/articles/is-training-effective-for-older-workers,"Picchio, Matteo",10.15185/izawol.121,IZA World of Labor,Rapid Refresh,dataset-671
QuickProbs 2: towards rapid construction of high-quality alignments of large protein families,http://dx.doi.org/10.1038/srep41553,"Adam Gudyś, Sebastian Deorowicz",10.1038/srep41553,Scientific Reports,Rapid Refresh,dataset-671
Rapid Processing of Frames Refreshment with Viewpoint Movement Based on OpenGL for 3D Walkthrough System,http://www.sensorsportal.com/HTML/DIGEST/may_2014/Vol_171/P_RP_0124.pdf,"Guoyou SHI, Peng CHEN, Shuang LIU",,Sensors & Transducers,Rapid Refresh,dataset-671
Impact of model improvements on 80&thinsp;m wind speeds during the second Wind Forecast Improvement Project (WFIP2),https://www.geosci-model-dev.net/12/4803/2019/gmd-12-4803-2019.pdf,"L. Bianco, L. Bianco, I. V. Djalalova, I. V. Djalalova, J. M. Wilczak, J. B. Olson, J. B. Olson, J. S. Kenyon, J. S. Kenyon, A. Choukulkar, A. Choukulkar, A. Choukulkar, L. K. Berg, H. J. S. Fernando, E. P. Grimit, R. Krishnamurthy, R. Krishnamurthy, J. K. Lundquist, J. K. Lundquist, P. Muradyan, M. Pekour, Y. Pichugina, Y. Pichugina, M. T. Stoelinga, D. D. Turner",10.5194/gmd-12-4803-2019,Geoscientific Model Development,Rapid Refresh,dataset-671
Rapid mapping of visual receptive fields by filtered back-projection: application to multi-neuronal electrophysiology and imaging,http://dx.doi.org/10.1371/journal.pcbi.1000967,"Johnston, J, Ding, H, Seibel, SH, Esposti, F, Lagnado, L",10.1113/jphysiol.2014.276642,The Journal of Physiology,Rapid Refresh,dataset-671
