title,journal,url,authors,doi,search_term,dataset_id
Effective inundation of continental United States communities with 21st century sea level rise,Elementa: Science of the Anthropocene,http://dx.doi.org/10.1371/journal.pone.0170949,"Kristina A. Dahl, Erika Spanger-Siegfried, Astrid Caldas, Shana Udvardy",10.1525/elementa.234,Sea Level Rise Inundation,dataset-610
Sea-Level Rise and Land Subsidence: Impacts on Flood Projections for the Mekong Delta’s Largest City,Sustainability,http://www.mdpi.com/2071-1050/8/9/959,"Hiroshi Takagi, Nguyen Danh Thao, Le Tuan Anh",10.3390/su8090959,Sea Level Rise Inundation,dataset-610
Impacts of Sea Level Rise and River Discharge on the Hydrodynamics Characteristics of Jakarta Bay (Indonesia),,http://dx.doi.org/10.3390/w11071384,"Yahya Surya, Martin, He, Zhiguo, Xia, Yuezhang, Li, Li",10.3390/w11071384,Sea Level Rise Inundation,dataset-610
Impacts of Sea Level Rise and River Discharge on the Hydrodynamics Characteristics of Jakarta Bay (Indonesia),Water,http://dx.doi.org/10.3390/w11071384,"Surya, Martin Yahya, He, Zhiguo, Xia, Yuezhang, Li, Li",10.3390/w11071384,Sea Level Rise Inundation,dataset-610
Model of the Effect of Advanced Sea Water in Lamong Bay Due to Global Warming on the Drainage System in Surabaya City,,https://zenodo.org/record/3365594,"Rezky Karuru, Umboro Lasminto",10.5281/zenodo.3365594,Sea Level Rise Inundation,dataset-610
Pengukuran Daerah Genangan di Pesisir Bangkalan Akibat Naiknya Muka Air Laut [Pridiction Of Inundation Area At Bangkalan Coastal Region Resulted In Sea Level Rise],Jurnal Ilmiah Perikanan dan Kelautan,http://e-journal.unair.ac.id/JIPK/article/view/11427,"Syah, Achmad Fachruddin",10.20473/jipk.v5i1.11427,Sea Level Rise Inundation,dataset-610
Impact of Sea Level Rise for the Conterminous United States. An analysis on Inhabitant Displacement and GDP Production Impediment due to Land Inundation,,https://www.rug.nl/research/portal/en/publications/impact-of-sea-level-rise-for-the-conterminous-united-states-an-analysis-on-inhabitant-displacement-and-gdp-production-impediment-due-to-land-inundation(4b587780-5d09-4cbe-99fd-cca46e505c94).html,"Haer, Toon",,Sea Level Rise Inundation,dataset-610
INSIGHT ANALYSIS ON DYKE PROTECTION AGAINST LAND SUBSIDENCE AND THE SEA LEVEL RISE AROUND NORTHERN COAST OF JAVA (PANTURA) INDONESIA,Geoplanning: Journal of Geomatics and Planning,https://ejournal.undip.ac.id/index.php/geoplanning/article/view/15511,"Heri Andreas, Hasanuddin Zainal Abidin, Dina Anggreni Sarsito, Dhota Pradipta",10.14710/geoplanning.5.1.101-114,Sea Level Rise Inundation,dataset-610
A Regional Scale Approach to Assessing Current and Potential Future Exposure to Tidal Inundation in Different Types of Estuaries,Scientific Reports,http://europepmc.org/articles/PMC5935728,"Hanslow, David J., Morris, Bradley D., Foulsham, Edwina, Kinsela, Michael A.",10.1038/s41598-018-25410-y,Sea Level Rise Inundation,dataset-610
Pengukuran Daerah Genangan di Pesisir Bangkalan Akibat Naiknya Muka Air Laut <br><i>[Pridiction Of Inundation Area At Bangkalan Coastal Region Resulted In Sea Level Rise]<i>,Jurnal Ilmiah Perikanan dan Kelautan,https://e-journal.unair.ac.id/JIPK/article/view/11427,Achmad Fachruddin Syah,10.20473/jipk.v5i1.11427,Sea Level Rise Inundation,dataset-610
Nest inundation from sea-level rise threatens sea turtle population viability,Royal Society Open Science,http://dx.doi.org/10.1371/journal.pone.0085853,"Pike, David A., Roznik, Elizabeth A., Bell, Ian",10.1098/rsos.150127,Sea Level Rise Inundation,dataset-610
Social vulnerability projections improve sea-level rise risk assessments,,http://dx.doi.org/10.17605/osf.io/pkr75,"Hardy, Dean, Hauer, Mathew",10.17605/osf.io/pkr75,Sea Level Rise Inundation,dataset-610
Potential Inundation Due to Rising Sea Levels in the San Francisco Bay Region,San Francisco Estuary and Watershed Science,http://www.escholarship.org/uc/item/8ck5h3qn,"Knowles, Noah",,Sea Level Rise Inundation,dataset-610
"Assessing the inundation risk resulting from extreme water levels under sea-level rise: a case study of Rongcheng, China",Geomatics,http://dx.doi.org/10.1080/19475705.2018.1447026,"Aiqing Feng, Jiangbo Gao, Shaohong Wu, Lulu Liu, Yanzhong Li, Xiliu Yue",10.1080/19475705.2018.1447026,Sea Level Rise Inundation,dataset-610
Coastal marsh response to historical and future sea-level acceleration,Quaternary science reviews,https://hdl.handle.net/10067/779110151162165141,"Kirwan, Matthew, Temmerman, Stijn",10.1016/J.QUASCIREV.2009.02.022,Sea Level Rise Inundation,dataset-610
Quantifying Errors in Long-term Coastal Erosion and Inundation Hazard Assessments,,https://hal-brgm.archives-ouvertes.fr/hal-00564846,"Yates , Marissa ,, Le Cozannet , Gonéri, Lenotre , Nicole",,Sea Level Rise Inundation,dataset-610
"Impacts of Coastal Inundation Due to Climate Change in a CLUSTER of Urban Coastal Communities in Ghana, West Africa",Remote Sensing,http://dx.doi.org/10.3390/rs3092029,"Patrick Kwabena Ofori-Danson, Barnabas Amisigo, Lloyd Larbi, Kwasi Appeaning Addo",10.3390/rs3092029,Sea Level Rise Inundation,dataset-610
"The importance of the vertical accuracy of digital elevation models in gauging inundation by sea level rise along the Valdegrana beach and marshes (Bay of Cádiz, SW Spain)",,https://idus.us.es/xmlui/handle/11441/43874,"Fraile Jurado, Pablo, Ojeda Zújar, José",10.1007/s00367-012-0317-8,Sea Level Rise Inundation,dataset-610
Physical and Economic Impacts of Sea-Level Rise and Low Probability Flooding Events on Coastal Communities,PLoS ONE,http://dx.doi.org/10.1371/journal.pone.0117030,"Prime, Thomas, Brown, Jennifer M, Plater, Andrew J",10.1371/journal.pone.0117030,Sea Level Rise Inundation,dataset-610
Modelling Hydrodynamic Impacts of Sea-Level Rise on Wave-Dominated Australian Estuaries with Differing Geomorphology,Journal of Marine Science and Engineering,http://dx.doi.org/10.1371/journal.pone.0132079,"Kristian Kumbier, Rafael C. Carvalho, Colin D. Woodroffe",10.3390/jmse6020066,Sea Level Rise Inundation,dataset-610
"Future sea level rise and the New Jersey coast, assessing potential impacts and opportunities",,http://dx.doi.org/10.7282/t3f18wxc,No Name Supplied,10.7282/t3f18wxc,Sea Level Rise Inundation,dataset-610
Nest inundation from sea-level rise threatens sea turtle population viability,,http://dx.doi.org/10.1098/rsos.150127,"Pike, David A., Roznik, Elizabeth A., Bell, Ian",10.1098/rsos.150127,Sea Level Rise Inundation,dataset-610
Sea Level Rise and Inundation Tools Matrix Update,,http://dx.doi.org/10.13140/rg.2.2.32069.29924,"Taladay, Katie",10.13140/rg.2.2.32069.29924,Sea Level Rise Inundation,dataset-610
Wetland loss patterns and inundation-productivity relationships prognosticate widespread salt for southern New England,,https://europepmc.org/articles/PMC6040677/,"Watson, Elizabeth Burke, Wigand, Cathleen, Davey, Earl W., Andrews, Holly M., Bishop, Joseph, Raposa, Kenneth B.",10.1007/s12237-016-0069-1,Sea Level Rise Inundation,dataset-610
The influence of climate change on tsunami-like solitary wave inundation over fringing reefs,Journal of Integrative Environmental Sciences,http://dx.doi.org/10.1080/1943815X.2019.1614071,"Keqi Shao, Weijie Liu, Yangyang Gao, Yue Ning",10.1080/1943815X.2019.1614071,Sea Level Rise Inundation,dataset-610
Marsh macrophyte responses to inundation anticipate impacts of sea-level rise and indicate ongoing drowning of North Carolina marshes,Marine Biology,http://europepmc.org/articles/PMC3873026,"Voss, Christine M., Christian, Robert R., Morris, James T.",10.1007/s00227-012-2076-5,Sea Level Rise Inundation,dataset-610
Can community structure track sea‐level rise? Stress and competitive controls in tidal wetlands,Ecology and Evolution,http://dx.doi.org/10.1371/journal.pone.0027388,"Schile, Lisa M., Callaway, John C., Suding, Katharine N., Kelly, N. Maggi",10.1002/ece3.2758,Sea Level Rise Inundation,dataset-610
Rapid inundation of southern Florida coastline despite low relative sea-level rise rates during the late-Holocene,Nature Communications,http://europepmc.org/articles/PMC6642092,"Jones, Miriam C., Wingard, G. Lynn, Willard, Debra, Stackhouse, Bethany, Keller, Katherine, Marot, Marci, Landacre, Bryan, E. Bernhardt, Christopher",10.1038/s41467-019-11138-4,Sea Level Rise Inundation,dataset-610
"Sea-level rise and coastal groundwater inundation and shoaling at select sites in California, USA",Journal of Hydrology: Regional Studies,http://dx.doi.org/10.1016/j.ejrh.2015.12.055,"Swarzenski, Peter W., Hoover, Daniel J., Odigie, Kingsley O., Barnard, Patrick",10.1016/j.ejrh.2015.12.055,Sea Level Rise Inundation,dataset-610
Sea-Level Rise Inundation Assessment for the City of Rockledge Stormwater System,,http://dx.doi.org/10.13140/rg.2.2.15046.42563,"Evans, Jason M, Clark, Alex",10.13140/rg.2.2.15046.42563,Sea Level Rise Inundation,dataset-610
Vulnerability of coastal Connecticut to sea level rise: land inundation and impacts to residential property,,http://dx.doi.org/10.1080/10286608.2017.1325878,"Andreucci, Rebecca, Aktas, Can B.",10.1080/10286608.2017.1325878,Sea Level Rise Inundation,dataset-610
Coastal inundation risk assessment due to subsidence and sea level rise in a Mediterranean alluvial plain (Volturno coastal plain - southern Italy),,http://hdl.handle.net/11367/58276,"Aucelli, Pietro Patrizio Ciro, Di Paola, Gianluigi, Incontri, Pietro, Rizzo, Angela, Vilardo, Giuseppe, Benassai, Guido, Buonocore, Berardino, Pappone, Gerardo",10.1016/j.ecss.2016.06.017,Sea Level Rise Inundation,dataset-610
Quantifying coastal inundation vulnerability of Turkey to sea-level rise,,https://hdl.handle.net/11480/5270,"Demirkesen, Ali C., Evrendilek, Fatih, Berberoglu, Suha",10.1007/s10661-007-9746-7,Sea Level Rise Inundation,dataset-610
Hydrodynamic Modelling of Saline Inundation from Sea Level Rise in Kakadu National Park,,http://dx.doi.org/10.4225/08/58557deea122f,"Prakash, Mahesh, Woolard, Fletcher, Hilton, James",10.4225/08/58557deea122f,Sea Level Rise Inundation,dataset-610
Ensemble projection of the sea level rise impact on storm surge and inundation at the coast of Bangladesh,,https://www.nat-hazards-earth-syst-sci.net/18/351/2018/,"M. A. Jisan, S. Bao, L. J. Pietrafesa",10.5194/nhess-18-351-2018,Sea Level Rise Inundation,dataset-610
"Well Salinization Risk and Effects of Baltic Sea Level Rise on the Groundwater-Dependent Island of Öland, Sweden",Water,http://www.mdpi.com/2073-4441/10/2/141,"Marcus Eriksson, Karin Ebert, Jerker Jarsjö",10.3390/w10020141,Sea Level Rise Inundation,dataset-610
Adapting North Carolina's Coastlines to a New Era of Sea Level Rise,,http://dx.doi.org/10.17615/npcc-3n24,"Feld, Eric Ross",10.17615/npcc-3n24,Sea Level Rise Inundation,dataset-610
Projected changes in area of the Sundarban mangrove forest in Bangladesh due to SLR by 2100,Climatic Change,http://nora.nerc.ac.uk/514284/,"Payo Garcia, Andres, Mukhopadhyay, Anirban, Hazra, Sugata, Ghosh, Tuhin, Ghosh, Subhajit, Brown, Sally, Nicholls, Robert, Bricheno, Lucy, Wolf, Judith, Kay, Susan, Lazar, Attila, Haque, Anisul",10.1007/s10584-016-1769-z,Sea Level Rise Inundation,dataset-610
"Impact of sea level rise to coastal ecology: a case study on the northern part of Java Island, Indonesia",,http://hdl.handle.net/10593/15932,"Marfai, Muh Aris",,Sea Level Rise Inundation,dataset-610
The impact of sea-level rise on organic matter decay rates in Chesapeake Bay brackish tidal marshes,Biogeosciences,https://www.biogeosciences.net/10/1869/2013/,"Kirwan, M. L., Langley, J. A., Guntenspergen, G. R., Megonigal, J. P.",10.5194/bg-10-1869-2013,Sea Level Rise Inundation,dataset-610
Relative sea-level rise and the conterminous United States: Consequences of potential land inundation in terms of population at risk and GDP loss,,https://research.vu.nl/en/publications/2bc3e264-5ec8-478f-89e1-3db4a2523c10,"Haer, Toon, Kalnay, Eugenia, Kearney, Michael, Moll, Henk",,Sea Level Rise Inundation,dataset-610
Geospatial modelling of the inundation levels in the Sundarbans mangrove forests due to the impact of sea level rise and identification of affected species and regions,Geomatics,http://dx.doi.org/10.1080/19475705.2018.1564373,"Manoj Kumer Ghosh, Lalit Kumar, Philip Kibet Langat",10.1080/19475705.2018.1564373,Sea Level Rise Inundation,dataset-610
Hydrodynamic Modelling of Tidal Inundation from Sea Level Rise in Kakadu National Park,,http://dx.doi.org/10.4225/08/5852da55bbc0e,"Prakash, Mahesh, Woolard, Fletcher, Saunders, Kate",10.4225/08/5852da55bbc0e,Sea Level Rise Inundation,dataset-610
Sea-level rise and refuge habitats for tidal marsh species: Can artificial islands save the California Ridgway's rail?,,http://www.escholarship.org/uc/item/2nf8246k,"Overton, CT, Takekawa, JY, Casazza, ML, Bui, TD, Holyoak, M, Strong, DR",,Sea Level Rise Inundation,dataset-610
Past and present inundation episodes on the US East Coast: Short-term variability and adaptation to long-term sea level rise.,,http://dx.doi.org/10.13140/2.1.4862.5606,"Barber, Donald C, T Storrs Kegel",10.13140/2.1.4862.5606,Sea Level Rise Inundation,dataset-610
"Predicting the Extent of Inundation due to Sea-Level Rise: Al Hamra Development, Ras Al Khaimah, UAE. A Pilot Project",Miscellanea Geographica: Regional Studies on Development,http://www.degruyter.com/view/j/mgrsd.2016.20.issue-2/mgrsd-2016-0012/mgrsd-2016-0012.xml?format=INT,"Arthur Robert M., Garland G. G.",10.1515/mgrsd-2016-0012,Sea Level Rise Inundation,dataset-610
A modest 0.5-m rise in sea level will double the tsunami hazard in Macau,Science Advances,http://europepmc.org/articles/PMC6093631,"Li, Linlin, Switzer, Adam D., Wang, Yu, Chan, Chung-Han, Qiu, Qiang, Weiss, Robert",10.1126/sciadv.aat1180,Sea Level Rise Inundation,dataset-610
ASSESSING INUNDATION FROM UPSTREAM FLOODING AND SEA LEVEL RISE IN THE DOWNSTREAM OF THE DONGNAI -SAIGON RIVER,,http://dx.doi.org/10.13140/2.1.5117.6007,"Nguyen Quang Kim, Letrung, Thanh, Ngoc, Trieu Anh, Nguyen Thai Quyet",10.13140/2.1.5117.6007,Sea Level Rise Inundation,dataset-610
Uncertainties in Tidally Adjusted Estimates of Sea Level Rise Flooding (Bathtub Model) for the Greater London,Remote Sensing,http://centaur.reading.ac.uk/65088/1/remotesensing-08-00366.pdf,"Yunus, Ali P., Avtar, Ram, Kraines, Steven, Yamamuro, Masumi, Lindberg, Fredrik, Grimmond, C. S. B.",10.3390/rs8050366,Sea Level Rise Inundation,dataset-610
New Jersey coastal community resilience demonstration project report,,http://dx.doi.org/10.7282/t3pn97dj,"Wood, Ida Leigh, Tirrito, Jenny, Leckner, Mariana",10.7282/t3pn97dj,Sea Level Rise Inundation,dataset-610
Vulnerability Assessment of Critical Bridges in the Hampton Roads Region of Virginia to Storm Surge Flooding under Sea Level Rise,,http://dx.doi.org/10.25777/965e-wd72,"Castrucci, Luca",10.25777/965e-wd72,Sea Level Rise Inundation,dataset-610
