title,url,authors,doi,journal,search_term,dataset_id
Shuttle radar topography mission - dostupnost podataka i ostvarena tačnost,http://grafar.grf.bg.ac.rs//bitstream/id/3768/313.pdf,"Samardžić Mileva, Milenković Milutin",10.2298/GSGD1001051S,,Shuttle Radar Topography Mission,dataset-646
Drainage basin morphometry: a global snapshot from the shuttle radar topography mission,https://www.hydrol-earth-syst-sci.net/15/2091/2011/,P. L. Guth,10.5194/hess-15-2091-2011,,Shuttle Radar Topography Mission,dataset-646
System Identification of a Nonlinear Mode for the Shuttle Radar Topography Mission,https://authors.library.caltech.edu/21925/,"Brugarolas, Paul B., Bayard, David S., Spanos, John T., Breckenridge, William G.",10.1016/j.msksp.2016.12.010,,Shuttle Radar Topography Mission,dataset-646
Using shuttle radar topography to map ancient water channels in Mesopotamia.,http://dro.dur.ac.uk/5935/,"Hritz, C., Wilkinson, T. J.",10.1017/S0003598X00093728,,Shuttle Radar Topography Mission,dataset-646
Detection of Forest Clear-Cuts with Shuttle Radar Topography Mission (SRTM) and Tandem-X InSAR Data,http://dx.doi.org/10.3390/rs5115449,"Solberg, Svein, Astrup, Rasmus, Weydahl, Dan",10.3390/rs5115449,Remote Sensing,Shuttle Radar Topography Mission,dataset-646
Optical calibration phase locked loop for the Shuttle Radar Topography Mission,https://zenodo.org/record/1260803,"McWatters, D. A., Lutes, G., Caro, E. R., Tu, Meirong",10.1109/19.903876,,Shuttle Radar Topography Mission,dataset-646
Uncertainties in the Shuttle Radar Topography Mission (SRTM) Heights: Insights from the Indian Himalaya and Peninsula,http://dx.doi.org/10.1038/srep41672,"Manas Mukul, Vinee Srivastava, Sridevi Jade, Malay Mukul",10.1038/srep41672,Scientific Reports,Shuttle Radar Topography Mission,dataset-646
The influence of land cover/land use characteristics on shuttle radar topography mission (SRTM) elevation error,http://dx.doi.org/10.25335/m58p5vp71,"LaLonde, Tara Louise",10.25335/m58p5vp71,,Shuttle Radar Topography Mission,dataset-646
"Validation of Global Digital Elevation Models in Lagos State, Nigeria",https://hal.archives-ouvertes.fr/hal-02379763,"Arungwa, I. D., Obarafo, E. O., okolie, chukwuma,",10.36263/nijest.2018.01.0058,,Shuttle Radar Topography Mission,dataset-646
"Validation of Global Digital Elevation Models in Lagos State, Nigeria",https://hal.archives-ouvertes.fr/hal-02379763,"Arungwa, I. D., Obarafo, E. O., okolie, chukwuma,",10.36263/nijest.2018.01.0058,,Shuttle Radar Topography Mission,dataset-646
