title,journal,url,authors,doi,search_term,dataset_id
Beach Carrying Capacity Analysis for Sustainable Tourism Development in the South West Coast of India,"Environmental Research, Engineering and Management",http://www.erem.ktu.lt/index.php/erem/article/view/2648,"Rajan, Brilliant, Varghese, Vincy Mary, Pradeepkumar, Anakkathil Purushothaman",10.5755/j01.erem.63.1.2648,Total Economy of Coastal Areas,dataset-641
Impact of Green Total Factor Productivity in Marine Economy Based on Entropy Method,Polish Maritime Research,http://www.degruyter.com/view/j/pomr.2018.25.issue-s3/pomr-2018-0123/pomr-2018-0123.xml?format=INT,Wu Danjie,10.2478/pomr-2018-0123,Total Economy of Coastal Areas,dataset-641
China¡¯s Economic Reform and Regional Productivity Differentials,Journal Of Economic Development,http://www.jed.or.kr/full-text/25-2/liu.PDF,"Bai-Yang Liu, Bong Joon Yoon",,Total Economy of Coastal Areas,dataset-641
Valuasi Ekonomi Hutan Mangrove di Pulau Untung Jawa Kepulauan Seribu : Studi Konservasi Berbasis Green Economy,Omni-Akuatika,http://ojs.omniakuatika.net/index.php/joa/article/view/29,"Dandy E Prasetiyo, Firman Zulfikar, Shinta Shinta",10.20884/1.oa.2016.12.1.29,Total Economy of Coastal Areas,dataset-641
China's continuing urban transition,Environment and Planning A,http://www.envplan.com/abstract.cgi?id=a34201,Clifton W Pannell,,Total Economy of Coastal Areas,dataset-641
"Study On The Work Culture &amp; Socio-Economic Conditions Of The Fishing Community Working As Unorganised Labourers In Coastal Mangaluru, Karnataka",,http://dx.doi.org/10.5281/zenodo.1133156,"Pradeep M., D.",10.5281/zenodo.1133156,Total Economy of Coastal Areas,dataset-641
"Study On The Work Culture &amp; Socio-Economic Conditions Of The Fishing Community Working As Unorganised Labourers In Coastal Mangaluru, Karnataka",,http://dx.doi.org/10.5281/zenodo.1133155,"Pradeep M., D.",10.5281/zenodo.1133155,Total Economy of Coastal Areas,dataset-641
"Study on the Work Culture & Socio-economic Conditions of the Fishing Community working as Unorganised Labourers in Coastal Mangaluru, Karnataka",,https://zenodo.org/record/1133156,Pradeep M. D.,10.5281/zenodo.1133156,Total Economy of Coastal Areas,dataset-641
Water economy of three cinclodes (furnariidae) species inhabiting marine and freshwater ecosystems,,http://hdl.handle.net/10533/175726,"SABAT,PABLO, NESPOLO,ROBERTO F, BOZINOVIC,FRANCISCO",10.4067/S0716-078X2004000200001,Total Economy of Coastal Areas,dataset-641
"Status of the biodiversity of St. Martin's Island, Bay of Bengal, Bangladesh",,http://aquaticcommons.org/19054/,"Hossain, M.M., Islam, M.H.",,Total Economy of Coastal Areas,dataset-641
