title,url,authors,doi,journal,search_term,dataset_id
"Joint probability method of tide frequency analysis applied to Atlantic City and Long Beach Island, N.J.",http://dx.doi.org/10.7282/t3zk5dvq,No Name Supplied,10.7282/t3zk5dvq,,Coastal Flood Frequency,dataset-622
Probabilistic flood mapping of storm surges due to tropical cyclones with sea-level rise along Mekong delta,http://repository.unhas.ac.id/handle/123456789/7669,"Nobuoka, H., Mai, V.C., Dang, T.V.P.",,,Coastal Flood Frequency,dataset-622
Variability of Best-Estimate Flood Depth Return Periods in Coastal Louisiana,https://www.mdpi.com/2077-1312/7/5/145,"Meyer, Johnson",10.3390/jmse7050145,Journal of Marine Science and Engineering,Coastal Flood Frequency,dataset-622
"Analysis of Increasing Flash Flood Frequency in the Densely Urbanized Coastline of the Campi Flegrei Volcanic Area, Italy",https://www.frontiersin.org/article/10.3389/feart.2018.00063/full,"Giuseppe Esposito, Fabio Matano, Germana Scepi",10.3389/feart.2018.00063/full,Frontiers in Earth Science,Coastal Flood Frequency,dataset-622
Flood security in the Medieval and Early Modern North Sea area : a question of entitlement?,http://www.vliz.be/nl/open-marien-archief?module=ref&refid=226213,"Soens, T.",10.3197/096734013X13642082568651,Environment and history,Coastal Flood Frequency,dataset-622
"High-frequency sea level variations and implications for coastal flooding: A case study of the Solent, UK",http://dx.doi.org/10.1016/j.csr.2016.03.021,"Ozsoy, Ozgun, Haigh, Ivan D., Wadey, Matthew P., Nicholls, Robert J., Wells, Neil C.",10.1016/j.csr.2016.03.021,,Coastal Flood Frequency,dataset-622
Coastal marsh die-off and reduced attenuation of coastal floods: a model analysis,http://www.vliz.be/nl/open-marien-archief?module=ref&refid=231038,"Temmerman, S., de Vries, M.B., Bouma, T.J.",10.1016/j.gloplacha.2012.06.001,,Coastal Flood Frequency,dataset-622
Extreme flood impact on estuarine and coastal biogeochemistry: the 2013 Elbe flood,https://www.biogeosciences.net/14/541/2017/,"Voynova, Yoana, Brix, Holger, Petersen, Willhelm, Weigelt-Krenz, Sieglinde, Scharfe, Mirco",10.5194/bg-14-541-2017,Biogeosciences,Coastal Flood Frequency,dataset-622
Extreme Coastal Water Levels Exacerbate Fluvial Flood Hazards in Northwestern Europe,http://europepmc.org/articles/PMC6739477,"Ganguli, Poulomi, Merz, Bruno",10.1038/s41598-019-49822-6,Scientific Reports,Coastal Flood Frequency,dataset-622
Coastal and river flood risk analyses for guiding economically optimal flood adaptation policies: A country-scale study for Mexico,http://dspace.library.uu.nl/handle/1874/364471,"Haer, Toon, Botzen, W. J. Wouter, van Roomen, Vincent, Connor, Harry, Zavala-Hidalgo, Jorge, Eilander, Dirk M., Ward, Philip J.",10.1098/rsta.2017.0329,,Coastal Flood Frequency,dataset-622
Extreme flood impact on estuarine and coastal biogeochemistry: the 2013 Elbe flood,http://dx.doi.org/10.5194/bg-14-541-2017,"Voynova, Yoana G., Brix, Holger, Petersen, Wilhelm, Weigelt-Krenz, Sieglinde, Scharfe, Mirco",10.5194/bg-14-541-2017,,Coastal Flood Frequency,dataset-622
Atlantic hurricane surge response to geoengineering,https://europepmc.org/articles/PMC4653138/,"Moore, John C., Grinsted, Aslak, Guo, Xiaoran, Yu, Xiaoyong, Jevrejeva, Svetlana, Rinke, Annette, Cui, Xuefeng, Kravitz, Ben, Lenton, Andrew, Watanabe, Shingo, Ji, Duoying",10.1073/pnas.1510530112,,Coastal Flood Frequency,dataset-622
Drivers of flood and climate change risk perceptions and intention to adapt: an explorative survey in coastal and delta Vietnam,http://library.wur.nl/WebQuery/wurpubs/552088,"Ngo, Chinh C., Poortvliet, Marijn, Feindt, Peter H.",,,Coastal Flood Frequency,dataset-622
Bias and Efficiency Tradeoffs in the Selection of Storm Suites Used to Estimate Flood Risk,http://www.mdpi.com/2077-1312/4/1/10,"Jordan R. Fischbach, David R. Johnson, Kenneth Kuhn",10.3390/jmse4010010,Journal of Marine Science and Engineering,Coastal Flood Frequency,dataset-622
"Joint impact of rainfall and tidal level on flood risk in a coastal city with a complex river network: a case study of Fuzhou City, China",https://www.hydrol-earth-syst-sci.net/17/679/2013/,"J. J. Lian, K. Xu, C. Ma",10.5194/hess-17-679-2013,,Coastal Flood Frequency,dataset-622
"Geochemistry of Flood Waters from the Tar River, North Carolina Associated with Hurricane Matthew",http://www.mdpi.com/2079-9276/8/1/48,"Humphrey, Charles, Iverson, Guy, Skibiel, Caitlin, Sanderford, Christa, Blackmon, Jamil",10.3390/resources8010048,Resources,Coastal Flood Frequency,dataset-622
