title,url,authors,doi,journal,search_term,dataset_id
Assessment of cloud properties from the reanalysis with satellite observations over East Asia,https://www.atmos-meas-tech-discuss.net/amt-2019-223/,"Yao, Bin, Liu, Chao, Yin, Yan, Liu, Zhiquan, Shi, Chunxiang, Iwabuchi, Hironobu, Weng, Fuzhong",10.5194/amt-2019-223,,ERA5 Reanalysis,dataset-666
Evaluation of the ERA5 reanalysis as a potential reference dataset for hydrological modeling over North-America,https://www.hydrol-earth-syst-sci-discuss.net/hess-2019-316/,"Tarek, Mostafa, Brissette, François P., Arsenault, Richard",10.5194/hess-2019-316,,ERA5 Reanalysis,dataset-666
Brief communication: Interest of a regional climate model against ERA5 to simulate the near-surface climate of the Greenland ice sheet,https://www.the-cryosphere-discuss.net/tc-2019-96/,"Delhasse, Alison, Kittel, Christoph, Amory, Charles, Hofer, Stefan, Fettweis, Xavier",10.5194/tc-2019-96,,ERA5 Reanalysis,dataset-666
"A Validation of ERA5 Reanalysis Data in the Southern Antarctic Peninsula—Ellsworth Land Region, and Its Implications for Ice Core Studies",https://www.mdpi.com/2076-3263/9/7/289,"Tetzner, Dieter, Thomas, Liz, Allen, Claire",10.3390/geosciences9070289,Geosciences,ERA5 Reanalysis,dataset-666
Extreme variability in Irminger Sea winter heat loss Revealed by ocean observatories initiative mooring and the ERA5 Reanalysis,http://dx.doi.org/10.1029/2018GL080956,"Josey, S.A., de Jong, M.F., Oltmanns, M., Moore, G.K., Weller, R.A.",10.1029/2018GL080956,,ERA5 Reanalysis,dataset-666
From ERA-Interim to ERA5: the considerable impact of ECMWF's next-generation reanalysis on Lagrangian transport simulations,http://juser.fz-juelich.de/record/861315,"Hoffmann, Lars, Günther, Gebhard, Wright, Jonathon S., Li, Dan, Stein, Olaf, Wu, Xue, Griessbach, Sabine, Heng, Yi, Konopka, Paul, Müller, Rolf, Vogel, Bärbel",10.5194/acp-19-3097-2019,Atmospheric Chemistry and Physics,ERA5 Reanalysis,dataset-666
ERA5: The new champion of wind power modelling?,http://urn.kb.se/resolve?urn=urn:nbn:se:kth:diva-226569,"Olauson, Jon",10.1016/j.renene.2018.03.056,,ERA5 Reanalysis,dataset-666
Evaluation of global horizontal irradiance estimates from ERA5 and COSMO-REA6 reanalyses using ground and satellite-based data,http://hdl.handle.net/10138/235285,"Urraca, Ruben, Huld, Thomas, Gracia-Amillo, Ana, Martinez-de-Pison, Francisco Javier, Kaspar, Frank, Sanz-Garcia, Andres",10.1016/j.solener.2018.02.059,,ERA5 Reanalysis,dataset-666
Advancing global storm surge modelling using the new ERA5 climate reanalysis,https://research.vu.nl/en/publications/7245016c-6a24-468e-a882-4037165ca497,"Dullaart, Job C.M., Muis, Sanne, Bloemendaal, Nadia, Aerts, Jeroen C.J.H.",,,ERA5 Reanalysis,dataset-666
A Global Hourly Solar Radiation Data Set Using Satellite and Reanalysis Data,http://dx.doi.org/10.4229/eupvsec20172017-6bv.3.4,"Huld, T., Urraca Valle, R., Gracia Amillo, A.M., Trentmann, J.",10.4229/eupvsec20172017-6bv.3.4,,ERA5 Reanalysis,dataset-666
