title,url,authors,doi,journal,search_term,dataset_id
GHCN-M-v3_MM-Stew,http://dx.doi.org/10.6084/m9.figshare.7195715,"Lawrimore, Jay, Toner, Valerie, Lief, Christina, Peng, Ge, Baldwin, Richard",10.6084/m9.figshare.7195715,,Global Historical Climatology Network,dataset-638
GHCN-M-v3_MM-Stew,http://dx.doi.org/10.6084/m9.figshare.7195715.v1,"Lawrimore, Jay, Toner, Valerie, Lief, Christina, Peng, Ge, Baldwin, Richard",10.6084/m9.figshare.7195715.v1,,Global Historical Climatology Network,dataset-638
An Overview of the Global Historical Climatology Network-Daily Database,http://dx.doi.org/10.1175/jtech-d-11-00103.1,"Menne, Matthew J., Durre, Imke, Vose, Russell S., Gleason, Byron E., Houston, Tamara G.",10.1175/jtech-d-11-00103.1,,Global Historical Climatology Network,dataset-638
Assessing Stewardship Maturity of the Global Historical Climatology Network-Monthly (GHCN-M) Dataset: Use Case Study and Lessons Learned,http://dx.doi.org/10.6084/m9.figshare.1211954.v23,"Peng, Ge, Lawrimore, Jay, Toner, Valerie, Lief, Christina, Baldwin, Richard, Ritchey, Nancy, Brinegar, Danny, Del Greco, Stephen A.",10.1045/november2016-peng,D-Lib Magazine,Global Historical Climatology Network,dataset-638
Rainfall Estimates on a Gridded Network (REGEN) &ndash; A global land-based gridded dataset of daily precipitation from 1950&ndash;2013,https://www.hydrol-earth-syst-sci-discuss.net/hess-2018-595/,"Contractor, Steefan, Donat, Markus G., Alexander, Lisa V., Ziese, Markus, Meyer-Christoffer, Anja, Schneider, Udo, Rustemeier, Elke, Becker, Andreas, Durre, Imke, Vose, Russell S.",10.5194/hess-2018-595,,Global Historical Climatology Network,dataset-638
"Participación de américa latina y del caribe en los registros globales climatológicos, ghcn",http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0378-18442006000900005&lng=en&tlng=en,"Giddings, Lorrain, Soto, Margarita",10.3390/rs8100831,,Global Historical Climatology Network,dataset-638
An Ensemble Mean and Evaluation of Third Generation Global Climate Reanalysis Models,https://doaj.org/toc/2073-4433,"Auger, Jeffrey D., Birkel, Sean D., Maasch, Kirk A., Mayewski, Paul A., Schuenemann, Keah C.",10.3390/atmos9060236,Atmosphere,Global Historical Climatology Network,dataset-638
"Past, present, and future climate at select INDEPTH member Health and Demographic Surveillance Systems in Africa and Asia",http://europepmc.org/articles/PMC3508753,"Hondula, David M., Rocklöv, Joacim, Sankoh, Osman A.",10.3402/gha.v5i0.19083,Global Health Action,Global Historical Climatology Network,dataset-638
Downscaling and projection of summer rainfall in Eastern China using a nonhomogeneous hidden Markov model,https://hal.sorbonne-universite.fr/hal-02016597,"Guo, Lianyi, Jiang, Zhihong, Ding, Mei, Chen, Weilin, Li, Laurent",10.1002/joc.5882,,Global Historical Climatology Network,dataset-638
Attributable Human-Induced Changes in the Likelihood and Magnitude of the Observed Extreme Precipitation during Hurricane Harvey,http://www.escholarship.org/uc/item/0k28z28b,"Risser, MD, Wehner, MF",,,Global Historical Climatology Network,dataset-638
